price date,modal price (rs./quintal)
01-01-2020,2800
02-01-2020,3000
03-01-2020,2800
04-01-2020,2800
05-01-2020,2800
06-01-2020,3000
07-01-2020,2800
08-01-2020,2600
09-01-2020,2700
10-01-2020,2500
11-01-2020,2500
12-01-2020,2500
13-01-2020,2900
14-01-2020,2800
15-01-2020,2800
16-01-2020,2800
17-01-2020,2600
18-01-2020,2400
19-01-2020,2400
20-01-2020,2300
21-01-2020,2200
22-01-2020,2400
23-01-2020,3500
24-01-2020,2600
25-01-2020,2600
26-01-2020,2600
27-01-2020,2700
28-01-2020,2600
29-01-2020,2600
30-01-2020,2600
31-01-2020,2300
01-02-2020,2300
02-02-2020,2300
03-02-2020,2600
04-02-2020,2400
05-02-2020,2400
06-02-2020,2300
07-02-2020,2400
08-02-2020,2400
09-02-2020,2400
10-02-2020,2200
11-02-2020,2200
12-02-2020,2300
13-02-2020,2200
14-02-2020,2300
15-02-2020,2300
16-02-2020,2300
17-02-2020,2100
18-02-2020,2300
19-02-2020,2200
20-02-2020,3500
21-02-2020,3500
22-02-2020,3500
23-02-2020,3500
24-02-2020,2200
25-02-2020,2200
26-02-2020,2200
27-02-2020,1800
28-02-2020,1800
29-02-2020,1600
01-03-2020,1600
02-03-2020,1800
03-03-2020,1800
04-03-2020,2000
05-03-2020,1800
06-03-2020,1800
07-03-2020,2000
08-03-2020,2000
09-03-2020,2000
10-03-2020,2200
11-03-2020,2000
12-03-2020,2000
13-03-2020,2000
14-03-2020,2000
15-03-2020,2000
16-03-2020,2000
17-03-2020,2000
18-03-2020,1800
19-03-2020,2000
20-03-2020,2000
21-03-2020,2000
22-03-2020,2000
23-03-2020,2000
24-03-2020,2000
25-03-2020,2000
26-03-2020,2000
27-03-2020,2000
28-03-2020,2000
29-03-2020,2000
30-03-2020,2000
31-03-2020,2000
01-04-2020,2800
02-04-2020,1800
03-04-2020,1200
04-04-2020,1500
05-04-2020,1500
06-04-2020,1500
07-04-2020,1000
08-04-2020,1000
09-04-2020,2000
10-04-2020,2000
11-04-2020,2000
12-04-2020,2000
13-04-2020,1200
14-04-2020,1200
15-04-2020,1150
16-04-2020,900
17-04-2020,900
18-04-2020,1200
19-04-2020,1600
20-04-2020,1650
21-04-2020,1450
22-04-2020,1433.333333
23-04-2020,1350
24-04-2020,1250
25-04-2020,1600
26-04-2020,1600
27-04-2020,1350
28-04-2020,1300
29-04-2020,1250
30-04-2020,1350
01-05-2020,1900
02-05-2020,1550
03-05-2020,1800
04-05-2020,1550
05-05-2020,1750
06-05-2020,1700
07-05-2020,1400
08-05-2020,1600
09-05-2020,2100
10-05-2020,2000
11-05-2020,1800
12-05-2020,1900
13-05-2020,2150
14-05-2020,2400
15-05-2020,2250
16-05-2020,2300
17-05-2020,2600
18-05-2020,2200
19-05-2020,2300
20-05-2020,2250
21-05-2020,2700
22-05-2020,1950
23-05-2020,3000
24-05-2020,3000
25-05-2020,3800
26-05-2020,3200
27-05-2020,2900
28-05-2020,2850
29-05-2020,2600
30-05-2020,2800
31-05-2020,2800
01-06-2020,3400
02-06-2020,3100
03-06-2020,3050
04-06-2020,3150
05-06-2020,2900
06-06-2020,2650
07-06-2020,4100
08-06-2020,4050
09-06-2020,4650
10-06-2020,2500
11-06-2020,3050
12-06-2020,4200
13-06-2020,5500
14-06-2020,5500
15-06-2020,4100
16-06-2020,2400
17-06-2020,2400
18-06-2020,2500
19-06-2020,2000
20-06-2020,2000
21-06-2020,2000
