price date,modal price (rs./quintal)
2020-08-08,2250.0
2020-08-09,2250.0
2020-08-10,2250.0
2020-08-11,2250.0
2020-08-12,2250.0
2020-08-13,2250.0
2020-08-14,2250.0
2020-08-15,2250.0
2020-08-16,2250.0
2020-08-17,2250.0
2020-08-18,2250.0
2020-08-19,2250.0
2020-08-20,2250.0
2020-08-21,2250.0
2020-08-22,2250.0
2020-08-23,2250.0
2020-08-24,2250.0
2020-08-25,2250.0
2020-08-26,2250.0
2020-08-27,2250.0
2020-08-28,2250.0
2020-08-29,2350.0
2020-08-30,2350.0
2020-08-31,2350.0
2020-09-01,2350.0
2020-09-02,3250.0
2020-09-03,3250.0
2020-09-04,3250.0
2020-09-05,3250.0
2020-09-06,3250.0
2020-09-07,3250.0
2020-09-08,3250.0
2020-09-09,3250.0
2020-09-10,3250.0
2020-09-11,3250.0
2020-09-12,3250.0
2020-09-13,3250.0
2020-09-14,3250.0
2020-09-15,3250.0
2020-09-16,3250.0
2020-09-17,3250.0
2020-09-18,3250.0
2020-09-19,3250.0
2020-09-20,3250.0
2020-09-21,3250.0
2020-09-22,3250.0
2020-09-23,3250.0
2020-09-24,3250.0
2020-09-25,3250.0
2020-09-26,3250.0
2020-09-27,3250.0
2020-09-28,3250.0
2020-09-29,3250.0
2020-09-30,3250.0
2020-10-01,3250.0
2020-10-02,3250.0
2020-10-03,3250.0
2020-10-04,3250.0
2020-10-05,3250.0
2020-10-06,3250.0
2020-10-07,3250.0
2020-10-08,3250.0
2020-10-09,3250.0
2020-10-10,3250.0
2020-10-11,3250.0
2020-10-12,3250.0
2020-10-13,3250.0
2020-10-14,3250.0
2020-10-15,3250.0
2020-10-16,3250.0
2020-10-17,3250.0
2020-10-18,3250.0
2020-10-19,3250.0
2020-10-20,3250.0
2020-10-21,3250.0
2020-10-22,3250.0
2020-10-23,3250.0
2020-10-24,3250.0
2020-10-25,3250.0
2020-10-26,3250.0
2020-10-27,3250.0
2020-10-28,3250.0
2020-10-29,3250.0
2020-10-30,3250.0
2020-10-31,3250.0
2020-11-01,3250.0
2020-11-02,3250.0
2020-11-03,3250.0
2020-11-04,3700.0
2020-11-05,3700.0
2020-11-06,3700.0
2020-11-07,3700.0
2020-11-08,3700.0
2020-11-09,3700.0
2020-11-10,3700.0
2020-11-11,3700.0
2020-11-12,3700.0
2020-11-13,3700.0
2020-11-14,3700.0
2020-11-15,3700.0
2020-11-16,3700.0
2020-11-17,3700.0
2020-11-18,3700.0
2020-11-19,3700.0
2020-11-20,3700.0
2020-11-21,3700.0
2020-11-22,3700.0
2020-11-23,3700.0
2020-11-24,3700.0
2020-11-25,3700.0
2020-11-26,3700.0
2020-11-27,3700.0
2020-11-28,3650.0
2020-11-29,3650.0
2020-11-30,3650.0
2020-12-01,3650.0
2020-12-02,3500.0
2020-12-03,3500.0
2020-12-04,3500.0
2020-12-05,3500.0
2020-12-06,3500.0
2020-12-07,3500.0
2020-12-08,3500.0
2020-12-09,3500.0
2020-12-10,3500.0
2020-12-11,3500.0
2020-12-12,3500.0
2020-12-13,3500.0
2020-12-14,3500.0
2020-12-15,3500.0
2020-12-16,3500.0
2020-12-17,3500.0
2020-12-18,3500.0
2020-12-19,3400.0
2020-12-20,3400.0
2020-12-21,3400.0
2020-12-22,3400.0
2020-12-23,3400.0
2020-12-24,3400.0
2020-12-25,3400.0
2020-12-26,3400.0
2020-12-27,3400.0
2020-12-28,3400.0
2020-12-29,3400.0
2020-12-30,3400.0
2020-12-31,3400.0
2021-01-01,3400.0
2021-01-02,3400.0
2021-01-03,3400.0
2021-01-04,3400.0
2021-01-05,3400.0
2021-01-06,3400.0
2021-01-07,3400.0
2021-01-08,3400.0
2021-01-09,3400.0
2021-01-10,3400.0
2021-01-11,3400.0
2021-01-12,3400.0
2021-01-13,3400.0
2021-01-14,3400.0
2021-01-15,3400.0
2021-01-16,3400.0
2021-01-17,3400.0
2021-01-18,3400.0
2021-01-19,3400.0
2021-01-20,3400.0
2021-01-21,3400.0
2021-01-22,3400.0
2021-01-23,3400.0
2021-01-24,3400.0
2021-01-25,3400.0
2021-01-26,3400.0
2021-01-27,3400.0
2021-01-28,3400.0
2021-01-29,3400.0
2021-01-30,3400.0
2021-01-31,3400.0
2021-02-01,3400.0
2021-02-02,3400.0
2021-02-03,3400.0
2021-02-04,3100.0
2021-02-05,3100.0
2021-02-06,3100.0
2021-02-07,3100.0
2021-02-08,3100.0
2021-02-09,3100.0
2021-02-10,3100.0
2021-02-11,3100.0
2021-02-12,3100.0
2021-02-13,3100.0
2021-02-14,3100.0
2021-02-15,3100.0
2021-02-16,3100.0
2021-02-17,3100.0
2021-02-18,3100.0
2021-02-19,3100.0
2021-02-20,3250.0
2021-02-21,3250.0
2021-02-22,3250.0
2021-02-23,3250.0
2021-02-24,3500.0
2021-02-25,3500.0
2021-02-26,3500.0
2021-02-27,3500.0
2021-02-28,3500.0
2021-03-01,3500.0
2021-03-02,3500.0
2021-03-03,3500.0
2021-03-04,3500.0
2021-03-05,3500.0
2021-03-06,3500.0
2021-03-07,3500.0
2021-03-08,3500.0
2021-03-09,3500.0
2021-03-10,3500.0
2021-03-11,3500.0
2021-03-12,3500.0
2021-03-13,3500.0
2021-03-14,3500.0
2021-03-15,3500.0
2021-03-16,3500.0
2021-03-17,3500.0
2021-03-18,3500.0
2021-03-19,3500.0
2021-03-20,3500.0
2021-03-21,3500.0
2021-03-22,3500.0
2021-03-23,3500.0
2021-03-24,3500.0
2021-03-25,3500.0
2021-03-26,3500.0
2021-03-27,3500.0
2021-03-28,3500.0
2021-03-29,3500.0
2021-03-30,3500.0
2021-03-31,3500.0
2021-04-01,3500.0
2021-04-02,3500.0
2021-04-03,3500.0
2021-04-04,3500.0
2021-04-05,3500.0
2021-04-06,3500.0
2021-04-07,3500.0
2021-04-08,3500.0
2021-04-09,3500.0
2021-04-10,3500.0
2021-04-11,3500.0
2021-04-12,3500.0
2021-04-13,3500.0
2021-04-14,3500.0
2021-04-15,3500.0
2021-04-16,3500.0
2021-04-17,3500.0
2021-04-18,3500.0
2021-04-19,3500.0
2021-04-20,3500.0
2021-04-21,3500.0
2021-04-22,3500.0
2021-04-23,3500.0
2021-04-24,3250.0
2021-04-25,3250.0
2021-04-26,3250.0
2021-04-27,3250.0
2021-04-28,2250.0
2021-04-29,2250.0
2021-04-30,2250.0
2021-05-01,2250.0
2021-05-02,2200.0
2021-05-03,2200.0
2021-05-04,2200.0
2021-05-05,2200.0
2021-05-06,2200.0
2021-05-07,2000.0
2021-05-08,2000.0
2021-05-09,2000.0
2021-05-10,2000.0
2021-05-11,2000.0
2021-05-12,2000.0
2021-05-13,2000.0
2021-05-14,2000.0
2021-05-15,1700.0
2021-05-16,1700.0
2021-05-17,1700.0
2021-05-18,1700.0
2021-05-19,1700.0
2021-05-20,1700.0
2021-05-21,1700.0
2021-05-22,1700.0
2021-05-23,1700.0
2021-05-24,1700.0
2021-05-25,1800.0
2021-05-26,1800.0
2021-05-27,1800.0
2021-05-28,1800.0
2021-05-29,1800.0
2021-05-30,1800.0
2021-05-31,1800.0
2021-06-01,1800.0
2021-06-02,1800.0
2021-06-03,1800.0
2021-06-04,1800.0
2021-06-05,1800.0
2021-06-06,1800.0
2021-06-07,1700.0
2021-06-08,1700.0
2021-06-09,1700.0
2021-06-10,1700.0
2021-06-11,1700.0
2021-06-12,1700.0
2021-06-13,1700.0
2021-06-14,1700.0
2021-06-15,1700.0
2021-06-16,1700.0
2021-06-17,1700.0
2021-06-18,1700.0
2021-06-19,1700.0
2021-06-20,1700.0
2021-06-21,1700.0
2021-06-22,1700.0
2021-06-23,1700.0
2021-06-24,1700.0
2021-06-25,1700.0
2021-06-26,1700.0
2021-06-27,1700.0
2021-06-28,1700.0
2021-06-29,1700.0
2021-06-30,1700.0
2021-07-01,1700.0
2021-07-02,1700.0
2021-07-03,1700.0
2021-07-04,1700.0
2021-07-05,1700.0
2021-07-06,1700.0
2021-07-07,1600.0
2021-07-08,1600.0
2021-07-09,1600.0
2021-07-10,1600.0
2021-07-11,1600.0
2021-07-12,1600.0
2021-07-13,1600.0
2021-07-14,1600.0
2021-07-15,1600.0
2021-07-16,1600.0
2021-07-17,1600.0
2021-07-18,1600.0
2021-07-19,1600.0
2021-07-20,1600.0
2021-07-21,1600.0
