price date,modal price (rs./quintal)
2020-04-09,1700.0
2020-04-10,1700.0
2020-04-11,1700.0
2020-04-12,1700.0
2020-04-13,1700.0
2020-04-14,1700.0
2020-04-15,1700.0
2020-04-16,1700.0
2020-04-17,1700.0
2020-04-18,1700.0
2020-04-19,1700.0
2020-04-20,1700.0
2020-04-21,1700.0
2020-04-22,1700.0
2020-04-23,2300.0
2020-04-24,2300.0
2020-04-25,2300.0
2020-04-26,2300.0
2020-04-27,2300.0
2020-04-28,2300.0
2020-04-29,2700.0
2020-04-30,2300.0
2020-05-01,2300.0
2020-05-02,1800.0
2020-05-03,1800.0
2020-05-04,1800.0
2020-05-05,1800.0
2020-05-06,1800.0
2020-05-07,1800.0
2020-05-08,1800.0
2020-05-09,1800.0
2020-05-10,1800.0
2020-05-11,1800.0
2020-05-12,1800.0
2020-05-13,1800.0
2020-05-14,2800.0
2020-05-15,2800.0
2020-05-16,2800.0
2020-05-17,2800.0
2020-05-18,2800.0
2020-05-19,2800.0
2020-05-20,2800.0
2020-05-21,2800.0
2020-05-22,2800.0
2020-05-23,2800.0
2020-05-24,2800.0
2020-05-25,3800.0
2020-05-26,3800.0
2020-05-27,3800.0
2020-05-28,2200.0
2020-05-29,2200.0
2020-05-30,1900.0
2020-05-31,1900.0
2020-06-01,3800.0
