price date,modal price (rs./quintal)
2020-01-03,2750.0
2020-01-04,2750.0
2020-01-05,2750.0
2020-01-06,2750.0
2020-01-07,2750.0
2020-01-08,2750.0
2020-01-09,2750.0
2020-01-10,2750.0
2020-01-11,2750.0
2020-01-12,2750.0
2020-01-13,2750.0
2020-01-14,2750.0
2020-01-15,2750.0
2020-01-16,2750.0
2020-01-17,2750.0
2020-01-18,2750.0
2020-01-19,2750.0
2020-01-20,2750.0
2020-01-21,2750.0
2020-01-22,2750.0
2020-01-23,2750.0
2020-01-24,2750.0
2020-01-25,2750.0
2020-01-26,2750.0
2020-01-27,2750.0
2020-01-28,2750.0
2020-01-29,2750.0
2020-01-30,2750.0
2020-01-31,2750.0
2020-02-01,2750.0
2020-02-02,2750.0
2020-02-03,2750.0
2020-02-04,2750.0
2020-02-05,2750.0
2020-02-06,2750.0
2020-02-07,2750.0
2020-02-08,2750.0
2020-02-09,2750.0
2020-02-10,2750.0
2020-02-11,2750.0
2020-02-12,2750.0
2020-02-13,2000.0
2020-02-14,2000.0
2020-02-15,2000.0
2020-02-16,2000.0
2020-02-17,2000.0
2020-02-18,2000.0
2020-02-19,2000.0
2020-02-20,2100.0
2020-02-21,2100.0
2020-02-22,2100.0
2020-02-23,2100.0
2020-02-24,2100.0
2020-02-25,2100.0
2020-02-26,2100.0
2020-02-27,2100.0
2020-02-28,1750.0
2020-02-29,1750.0
2020-03-01,1750.0
2020-03-02,1750.0
2020-03-03,1750.0
2020-03-04,1750.0
2020-03-05,1750.0
2020-03-06,1850.0
2020-03-07,1850.0
2020-03-08,1850.0
2020-03-09,1850.0
2020-03-10,1850.0
2020-03-11,1850.0
2020-03-12,1850.0
2020-03-13,1750.0
2020-03-14,1750.0
2020-03-15,1750.0
2020-03-16,1750.0
2020-03-17,1750.0
2020-03-18,1750.0
2020-03-19,1750.0
2020-03-20,1350.0
2020-03-21,1350.0
2020-03-22,1350.0
2020-03-23,1350.0
2020-03-24,1350.0
2020-03-25,1350.0
2020-03-26,1350.0
2020-03-27,1750.0
2020-03-28,1750.0
2020-03-29,1750.0
2020-03-30,1750.0
2020-03-31,1750.0
2020-04-01,1750.0
2020-04-02,1750.0
2020-04-03,1750.0
2020-04-04,1750.0
2020-04-05,1750.0
2020-04-06,1750.0
2020-04-07,2650.0
2020-04-08,2650.0
2020-04-09,2650.0
2020-04-10,2650.0
2020-04-11,2650.0
2020-04-12,1650.0
2020-04-13,1650.0
2020-04-14,2300.0
2020-04-15,2300.0
2020-04-16,2400.0
2020-04-17,2300.0
2020-04-18,2800.0
2020-04-19,2900.0
2020-04-20,2900.0
2020-04-21,3000.0
2020-04-22,2600.0
2020-04-23,2400.0
2020-04-24,2500.0
2020-04-25,2400.0
2020-04-26,2400.0
2020-04-27,2400.0
2020-04-28,2800.0
2020-04-29,2600.0
2020-04-30,3000.0
2020-05-01,3000.0
2020-05-02,3200.0
2020-05-03,3000.0
2020-05-04,3000.0
2020-05-05,3000.0
2020-05-06,2800.0
2020-05-07,2800.0
2020-05-08,3000.0
2020-05-09,2700.0
2020-05-10,3000.0
2020-05-11,3000.0
2020-05-12,3000.0
2020-05-13,3200.0
2020-05-14,3200.0
2020-05-15,3200.0
2020-05-16,3000.0
2020-05-17,2600.0
2020-05-18,2600.0
2020-05-19,2600.0
2020-05-20,3000.0
2020-05-21,2200.0
2020-05-22,3000.0
2020-05-23,2500.0
2020-05-24,2500.0
2020-05-25,2500.0
2020-05-26,2400.0
2020-05-27,2800.0
2020-05-28,3000.0
2020-05-29,3000.0
2020-05-30,3000.0
2020-05-31,3100.0
2020-06-01,3100.0
2020-06-02,3100.0
2020-06-03,2400.0
2020-06-04,2700.0
2020-06-05,2900.0
2020-06-06,2800.0
2020-06-07,2800.0
2020-06-08,2800.0
2020-06-09,2800.0
2020-06-10,3000.0
2020-06-11,3000.0
2020-06-12,2800.0
2020-06-13,3000.0
2020-06-14,3000.0
2020-06-15,3000.0
2020-06-16,3200.0
2020-06-17,3100.0
2020-06-18,3000.0
2020-06-19,3000.0
2020-06-20,3100.0
2020-06-21,2500.0
2020-06-22,2500.0
2020-06-23,2500.0
2020-06-24,3000.0
2020-06-25,3200.0
2020-06-26,3200.0
2020-06-27,3300.0
2020-06-28,3400.0
2020-06-29,3400.0
2020-06-30,2800.0
2020-07-01,4200.0
2020-07-02,3500.0
2020-07-03,3500.0
2020-07-04,4000.0
2020-07-05,4000.0
2020-07-06,4000.0
2020-07-07,3400.0
2020-07-08,2500.0
2020-07-09,4200.0
2020-07-10,3000.0
2020-07-11,3400.0
2020-07-12,3400.0
2020-07-13,3400.0
2020-07-14,3300.0
2020-07-15,3300.0
2020-07-16,3200.0
2020-07-17,3400.0
2020-07-18,3600.0
2020-07-19,3600.0
2020-07-20,3600.0
2020-07-21,3600.0
2020-07-22,3200.0
2020-07-23,3200.0
2020-07-24,3600.0
2020-07-25,3800.0
2020-07-26,3200.0
2020-07-27,3200.0
2020-07-28,4200.0
2020-07-29,4000.0
2020-07-30,4000.0
2020-07-31,3800.0
2020-08-01,3800.0
2020-08-02,3800.0
2020-08-03,3800.0
2020-08-04,3800.0
2020-08-05,3700.0
2020-08-06,3800.0
2020-08-07,4000.0
2020-08-08,4000.0
2020-08-09,4000.0
2020-08-10,4000.0
2020-08-11,4000.0
2020-08-12,3800.0
2020-08-13,3800.0
2020-08-14,3800.0
2020-08-15,3800.0
2020-08-16,3800.0
2020-08-17,3800.0
2020-08-18,3800.0
2020-08-19,4200.0
2020-08-20,3800.0
2020-08-21,3800.0
2020-08-22,3800.0
2020-08-23,3800.0
2020-08-24,3800.0
2020-08-25,3800.0
2020-08-26,3800.0
2020-08-27,3800.0
2020-08-28,4000.0
2020-08-29,4000.0
2020-08-30,4000.0
2020-08-31,4000.0
2020-09-01,3800.0
2020-09-02,3400.0
2020-09-03,2800.0
2020-09-04,3000.0
2020-09-05,3300.0
2020-09-06,3300.0
2020-09-07,3300.0
2020-09-08,3000.0
2020-09-09,2800.0
2020-09-10,3800.0
2020-09-11,3600.0
2020-09-12,3600.0
2020-09-13,3600.0
2020-09-14,3600.0
2020-09-15,3400.0
2020-09-16,3300.0
2020-09-17,3300.0
2020-09-18,1800.0
2020-09-19,3400.0
2020-09-20,3400.0
2020-09-21,3400.0
2020-09-22,4300.0
2020-09-23,4000.0
2020-09-24,3800.0
2020-09-25,4300.0
2020-09-26,4200.0
2020-09-27,4200.0
2020-09-28,4200.0
2020-09-29,4200.0
2020-09-30,4800.0
2020-10-01,4600.0
2020-10-02,4600.0
2020-10-03,4300.0
2020-10-04,4300.0
2020-10-05,4300.0
2020-10-06,3800.0
2020-10-07,4300.0
2020-10-08,4300.0
2020-10-09,4300.0
2020-10-10,4300.0
2020-10-11,4300.0
2020-10-12,4300.0
2020-10-13,4300.0
2020-10-14,4300.0
2020-10-15,4300.0
2020-10-16,4300.0
2020-10-17,3300.0
2020-10-18,3300.0
2020-10-19,3300.0
2020-10-20,3800.0
2020-10-21,3800.0
2020-10-22,3800.0
2020-10-23,3800.0
2020-10-24,3800.0
2020-10-25,3800.0
2020-10-26,3800.0
2020-10-27,4300.0
2020-10-28,4300.0
2020-10-29,3800.0
2020-10-30,3800.0
2020-10-31,3800.0
2020-11-01,3800.0
2020-11-02,3800.0
2020-11-03,4300.0
2020-11-04,3800.0
2020-11-05,4300.0
2020-11-06,3800.0
2020-11-07,3600.0
2020-11-08,3600.0
2020-11-09,3600.0
2020-11-10,4300.0
2020-11-11,4300.0
2020-11-12,4800.0
2020-11-13,4700.0
2020-11-14,4700.0
2020-11-15,4700.0
2020-11-16,4700.0
2020-11-17,4600.0
2020-11-18,4300.0
2020-11-19,4300.0
2020-11-20,3800.0
2020-11-21,3800.0
2020-11-22,3800.0
2020-11-23,3800.0
2020-11-24,3800.0
2020-11-25,3800.0
2020-11-26,3800.0
2020-11-27,3800.0
2020-11-28,3800.0
2020-11-29,3800.0
2020-11-30,3800.0
2020-12-01,3300.0
2020-12-02,3500.0
2020-12-03,3500.0
2020-12-04,3300.0
2020-12-05,2800.0
2020-12-06,2800.0
2020-12-07,2800.0
2020-12-08,3300.0
2020-12-09,3800.0
2020-12-10,3300.0
2020-12-11,3300.0
2020-12-12,3300.0
2020-12-13,3300.0
2020-12-14,3300.0
2020-12-15,3300.0
2020-12-16,3300.0
2020-12-17,4300.0
2020-12-18,3300.0
2020-12-19,3800.0
2020-12-20,3800.0
2020-12-21,3800.0
2020-12-22,3500.0
2020-12-23,3800.0
2020-12-24,4300.0
2020-12-25,4300.0
2020-12-26,4300.0
2020-12-27,4300.0
2020-12-28,4300.0
2020-12-29,3800.0
2020-12-30,4300.0
2020-12-31,5300.0
2021-01-01,4300.0
2021-01-02,4300.0
2021-01-03,4300.0
2021-01-04,4300.0
2021-01-05,4700.0
2021-01-06,4300.0
2021-01-07,5300.0
2021-01-08,5300.0
2021-01-09,5300.0
2021-01-10,5300.0
2021-01-11,5300.0
2021-01-12,5300.0
2021-01-13,5300.0
2021-01-14,5300.0
2021-01-15,5300.0
2021-01-16,5300.0
2021-01-17,5300.0
2021-01-18,5300.0
2021-01-19,5800.0
2021-01-20,5300.0
2021-01-21,4800.0
2021-01-22,4800.0
2021-01-23,4800.0
2021-01-24,4800.0
2021-01-25,4800.0
2021-01-26,4800.0
2021-01-27,5300.0
2021-01-28,4800.0
2021-01-29,4800.0
2021-01-30,6300.0
2021-01-31,6300.0
2021-02-01,6300.0
2021-02-02,5000.0
2021-02-03,5300.0
2021-02-04,4700.0
2021-02-05,4300.0
2021-02-06,4300.0
2021-02-07,4300.0
2021-02-08,4300.0
2021-02-09,4800.0
2021-02-10,4300.0
2021-02-11,4800.0
2021-02-12,4800.0
2021-02-13,4800.0
2021-02-14,4800.0
2021-02-15,4800.0
2021-02-16,4800.0
2021-02-17,4300.0
2021-02-18,4300.0
2021-02-19,4300.0
2021-02-20,3800.0
2021-02-21,3800.0
2021-02-22,3800.0
2021-02-23,3800.0
2021-02-24,3300.0
2021-02-25,3400.0
2021-02-26,3300.0
2021-02-27,3300.0
2021-02-28,3300.0
2021-03-01,3300.0
2021-03-02,3800.0
2021-03-03,3800.0
2021-03-04,3300.0
2021-03-05,3300.0
2021-03-06,3300.0
2021-03-07,3300.0
2021-03-08,3300.0
2021-03-09,3300.0
2021-03-10,3300.0
2021-03-11,3300.0
