price date,modal price (rs./quintal)
2020-04-04,1100.0
2020-04-05,1150.0
2020-04-06,1300.0
2020-04-07,1700.0
2020-04-08,1425.0
2020-04-09,1300.0
2020-04-10,1300.0
2020-04-11,1350.0
2020-04-12,1900.0
2020-04-13,2500.0
2020-04-14,2025.0
2020-04-15,1750.0
2020-04-16,1875.0
2020-04-17,2200.0
2020-04-18,1725.0
2020-04-19,2000.0
2020-04-20,1900.0
2020-04-21,1900.0
2020-04-22,2250.0
2020-04-23,1825.0
2020-04-24,1800.0
2020-04-25,1525.0
2020-04-26,1812.5
2020-04-27,1812.5
2020-04-28,2125.0
2020-04-29,1925.0
2020-04-30,1750.0
2020-05-01,1400.0
2020-05-02,1425.0
2020-05-03,1800.0
2020-05-04,1900.0
2020-05-05,1600.0
2020-05-06,1275.0
2020-05-07,1425.0
2020-05-08,900.0
2020-05-09,1575.0
2020-05-10,2100.0
2020-05-11,2000.0
2020-05-12,1000.0
2020-05-13,1675.0
2020-05-14,1900.0
2020-05-15,1200.0
2020-05-16,1875.0
2020-05-17,2500.0
2020-05-18,2250.0
2020-05-19,1900.0
2020-05-20,1975.0
2020-05-21,1825.0
2020-05-22,1900.0
2020-05-23,1750.0
2020-05-24,1750.0
2020-05-25,1750.0
2020-05-26,1900.0
2020-05-27,2275.0
2020-05-28,1925.0
2020-05-29,1100.0
2020-05-30,1825.0
2020-05-31,1825.0
2020-06-01,1825.0
2020-06-02,1875.0
2020-06-03,1675.0
2020-06-04,1625.0
2020-06-05,1625.0
2020-06-06,1550.0
2020-06-07,2250.0
2020-06-08,2250.0
2020-06-09,1475.0
2020-06-10,700.0
2020-06-11,1525.0
2020-06-12,1525.0
2020-06-13,2650.0
2020-06-14,2650.0
2020-06-15,4500.0
2020-06-16,2000.0
2020-06-17,1950.0
2020-06-18,1850.0
2020-06-19,850.0
2020-06-20,1925.0
2020-06-21,1925.0
2020-06-22,1925.0
2020-06-23,1850.0
2020-06-24,1775.0
2020-06-25,800.0
2020-06-26,800.0
2020-06-27,4250.0
2020-06-28,3750.0
2020-06-29,3750.0
2020-06-30,2250.0
2020-07-01,2275.0
2020-07-02,3750.0
2020-07-03,3750.0
2020-07-04,900.0
2020-07-05,900.0
2020-07-06,4250.0
2020-07-07,4250.0
2020-07-08,4250.0
2020-07-09,4250.0
2020-07-10,4250.0
2020-07-11,4250.0
2020-07-12,4250.0
2020-07-13,1900.0
2020-07-14,4250.0
2020-07-15,4250.0
2020-07-16,4500.0
2020-07-17,4500.0
2020-07-18,4500.0
2020-07-19,4500.0
2020-07-20,4500.0
2020-07-21,4500.0
2020-07-22,3750.0
2020-07-23,3750.0
2020-07-24,3750.0
2020-07-25,3750.0
2020-07-26,3750.0
2020-07-27,3750.0
2020-07-28,3750.0
2020-07-29,3750.0
2020-07-30,3750.0
2020-07-31,3750.0
2020-08-01,3750.0
2020-08-02,4250.0
2020-08-03,4250.0
2020-08-04,4250.0
2020-08-05,4250.0
2020-08-06,4250.0
2020-08-07,4250.0
2020-08-08,4250.0
2020-08-09,4250.0
2020-08-10,4250.0
2020-08-11,4250.0
2020-08-12,4250.0
2020-08-13,4250.0
2020-08-14,4250.0
2020-08-15,4250.0
2020-08-16,4250.0
2020-08-17,4250.0
2020-08-18,4250.0
2020-08-19,4250.0
2020-08-20,4250.0
2020-08-21,4250.0
2020-08-22,4250.0
2020-08-23,4250.0
2020-08-24,4250.0
2020-08-25,3750.0
2020-08-26,3750.0
