price date,modal price (rs./quintal)
2020-01-02,2300.0
2020-01-03,2100.0
2020-01-04,2000.0
2020-01-05,2000.0
2020-01-06,2050.0
2020-01-07,1975.0
2020-01-08,1900.0
2020-01-09,2000.0
2020-01-10,1605.0
2020-01-11,2000.0
2020-01-12,1850.0
2020-01-13,1750.0
2020-01-14,1650.0
2020-01-15,1900.0
2020-01-16,1900.0
2020-01-17,2100.0
2020-01-18,2500.0
2020-01-19,1950.0
2020-01-20,1950.0
2020-01-21,1793.3333333333333
2020-01-22,1433.3333333333333
2020-01-23,1500.0
2020-01-24,1450.0
2020-01-25,1700.0
2020-01-26,1750.0
2020-01-27,1833.3333333333333
2020-01-28,1950.0
2020-01-29,1825.0
2020-01-30,1300.0
2020-01-31,1916.6666666666667
2020-02-01,1900.0
2020-02-02,2150.0
2020-02-03,1850.0
2020-02-04,1950.0
2020-02-05,1850.0
2020-02-06,1850.0
2020-02-07,1650.0
2020-02-08,2000.0
2020-02-09,1800.0
2020-02-10,1700.0
2020-02-11,1850.0
2020-02-12,2050.0
2020-02-13,1700.0
2020-02-14,1450.0
2020-02-15,1925.0
2020-02-16,1050.0
2020-02-17,1100.0
2020-02-18,1330.3333333333333
2020-02-19,875.0
2020-02-20,800.0
2020-02-21,1150.0
2020-02-22,1200.0
2020-02-23,825.0
2020-02-24,1150.0
2020-02-25,900.0
2020-02-26,916.6666666666666
2020-02-27,1100.0
2020-02-28,900.0
2020-02-29,1350.0
2020-03-01,875.0
2020-03-02,900.0
2020-03-03,966.6666666666666
2020-03-04,1000.0
2020-03-05,900.0
2020-03-06,933.3333333333334
2020-03-07,900.0
2020-03-08,950.0
2020-03-09,900.0
2020-03-10,825.0
2020-03-11,850.0
2020-03-12,800.0
2020-03-13,866.6666666666666
2020-03-14,750.0
2020-03-15,750.0
2020-03-16,775.0
2020-03-17,900.0
2020-03-18,800.0
2020-03-19,700.0
2020-03-20,900.0
2020-03-21,950.0
2020-03-22,900.0
2020-03-23,1100.0
2020-03-24,900.0
2020-03-25,900.0
2020-03-26,700.0
2020-03-27,1000.0
2020-03-28,850.0
2020-03-29,1000.0
2020-03-30,833.3333333333334
2020-03-31,1087.5
2020-04-01,900.0
2020-04-02,1100.0
2020-04-03,1050.0
2020-04-04,1250.0
2020-04-05,866.6666666666666
2020-04-06,866.6666666666666
2020-04-07,850.0
2020-04-08,733.3333333333334
2020-04-09,600.0
2020-04-10,766.6666666666666
2020-04-11,475.0
2020-04-12,750.0
2020-04-13,700.0
2020-04-14,1116.6666666666667
2020-04-15,800.0
2020-04-16,800.0
2020-04-17,716.6666666666666
2020-04-18,825.0
2020-04-19,683.3333333333334
2020-04-20,866.6666666666666
2020-04-21,575.0
2020-04-22,750.0
2020-04-23,800.0
2020-04-24,766.6666666666666
2020-04-25,833.3333333333334
2020-04-26,900.0
2020-04-27,962.5
2020-04-28,966.6666666666666
2020-04-29,883.3333333333334
2020-04-30,950.0
2020-05-01,950.0
2020-05-02,1083.3333333333333
2020-05-03,1100.0
2020-05-04,1100.0
2020-05-05,925.0
2020-05-06,1025.0
2020-05-07,1200.0
2020-05-08,1000.0
2020-05-09,1100.0
2020-05-10,1275.0
2020-05-11,1200.0
2020-05-12,1350.0
2020-05-13,1400.0
2020-05-14,1700.0
2020-05-15,1750.0
2020-05-16,1450.0
2020-05-17,1933.3333333333333
2020-05-18,2175.0
2020-05-19,2500.0
2020-05-20,1950.0
2020-05-21,2175.0
2020-05-22,2650.0
2020-05-23,1400.0
2020-05-24,1400.0
2020-05-25,2275.0
2020-05-26,2400.0
2020-05-27,2675.0
2020-05-28,2025.0
2020-05-29,3100.0
2020-05-30,2033.3333333333333
2020-05-31,2033.3333333333333
2020-06-01,3100.0
2020-06-02,3025.0
2020-06-03,2412.5
2020-06-04,2075.0
2020-06-05,3000.0
2020-06-06,3250.0
2020-06-07,3450.0
2020-06-08,3600.0
2020-06-09,3550.0
2020-06-10,3675.0
2020-06-11,4200.0
2020-06-12,3583.3333333333335
2020-06-13,3800.0
2020-06-14,3883.3333333333335
2020-06-15,4700.0
2020-06-16,4250.0
2020-06-17,4375.0
2020-06-18,4250.0
2020-06-19,4416.666666666667
2020-06-20,4066.6666666666665
2020-06-21,4700.0
2020-06-22,4250.0
2020-06-23,4350.0
2020-06-24,4600.0
2020-06-25,4750.0
2020-06-26,4450.0
2020-06-27,3750.0
2020-06-28,4250.0
2020-06-29,4500.0
2020-06-30,4125.0
2020-07-01,2475.0
2020-07-02,4300.0
2020-07-03,3900.0
2020-07-04,3500.0
2020-07-05,4300.0
2020-07-06,4125.0
2020-07-07,4000.0
2020-07-08,4100.0
2020-07-09,4700.0
2020-07-10,4400.0
2020-07-11,3500.0
2020-07-12,3500.0
2020-07-13,4350.0
2020-07-14,5000.0
2020-07-15,3300.0
2020-07-16,3750.0
2020-07-17,4125.0
2020-07-18,4125.0
2020-07-19,4125.0
2020-07-20,4250.0
2020-07-21,3933.3333333333335
2020-07-22,4525.0
2020-07-23,4700.0
2020-07-24,4000.0
2020-07-25,4000.0
2020-07-26,5000.0
2020-07-27,4375.0
2020-07-28,4350.0
2020-07-29,4375.0
2020-07-30,4100.0
2020-07-31,4775.0
2020-08-01,3500.0
2020-08-02,5000.0
2020-08-03,4250.0
2020-08-04,3500.0
2020-08-05,4100.0
2020-08-06,5000.0
2020-08-07,3900.0
2020-08-08,3500.0
2020-08-09,3500.0
2020-08-10,3500.0
2020-08-11,3500.0
2020-08-12,3700.0
2020-08-13,4500.0
2020-08-14,3500.0
2020-08-15,3800.0
2020-08-16,4050.0
2020-08-17,4500.0
2020-08-18,3930.0
2020-08-19,4250.0
2020-08-20,4275.0
2020-08-21,4150.0
2020-08-22,4150.0
2020-08-23,4150.0
2020-08-24,4500.0
2020-08-25,4000.0
2020-08-26,3900.0
2020-08-27,3700.0
2020-08-28,3766.6666666666665
2020-08-29,4000.0
2020-08-30,2650.0
2020-08-31,2650.0
2020-09-01,2575.0
2020-09-02,2775.0
2020-09-03,2805.0
2020-09-04,2550.0
2020-09-05,2250.0
2020-09-06,2200.0
2020-09-07,2350.0
2020-09-08,2175.0
2020-09-09,2386.0
2020-09-10,2500.0
2020-09-11,2050.0
2020-09-12,2000.0
2020-09-13,2100.0
2020-09-14,2285.0
2020-09-15,2070.6666666666665
2020-09-16,2300.0
