price date,modal price (rs./quintal)
2020-01-01,2500.0
2020-01-02,2500.0
2020-01-03,2500.0
2020-01-04,2500.0
2020-01-05,2500.0
2020-01-06,2400.0
2020-01-07,2500.0
2020-01-08,2500.0
2020-01-09,2300.0
2020-01-10,2350.0
2020-01-11,2350.0
2020-01-12,2100.0
2020-01-13,2150.0
2020-01-14,1950.0
2020-01-15,1900.0
2020-01-16,1950.0
2020-01-17,1950.0
2020-01-18,1950.0
2020-01-19,1950.0
2020-01-20,1900.0
2020-01-21,1900.0
2020-01-22,1900.0
2020-01-23,1750.0
2020-01-24,1750.0
2020-01-25,1750.0
2020-01-26,1750.0
2020-01-27,1900.0
2020-01-28,1900.0
2020-01-29,1900.0
2020-01-30,1900.0
2020-01-31,1950.0
2020-02-01,1950.0
2020-02-02,1950.0
2020-02-03,1900.0
2020-02-04,1900.0
2020-02-05,1950.0
2020-02-06,1900.0
2020-02-07,1900.0
2020-02-08,1900.0
2020-02-09,1950.0
2020-02-10,1750.0
2020-02-11,1750.0
2020-02-12,1750.0
2020-02-13,1450.0
2020-02-14,1450.0
2020-02-15,1450.0
2020-02-16,1450.0
2020-02-17,1450.0
2020-02-18,1450.0
2020-02-19,1450.0
2020-02-20,700.0
2020-02-21,1300.0
2020-02-22,1300.0
2020-02-23,1350.0
2020-02-24,1300.0
2020-02-25,1350.0
2020-02-26,1350.0
2020-02-27,1250.0
2020-02-28,1100.0
2020-02-29,1100.0
2020-03-01,1150.0
2020-03-02,1150.0
2020-03-03,1100.0
2020-03-04,1100.0
2020-03-05,900.0
2020-03-06,900.0
2020-03-07,900.0
2020-03-08,900.0
2020-03-09,900.0
2020-03-10,1100.0
2020-03-11,1100.0
2020-03-12,1100.0
2020-03-13,900.0
2020-03-14,900.0
2020-03-15,1150.0
2020-03-16,1150.0
2020-03-17,1100.0
2020-03-18,1250.0
2020-03-19,1200.0
2020-03-20,1200.0
2020-03-21,1200.0
2020-03-22,1200.0
2020-03-23,1200.0
2020-03-24,1200.0
2020-03-25,1200.0
2020-03-26,1400.0
2020-03-27,1450.0
2020-03-28,1450.0
2020-03-29,1200.0
