price date,modal price (rs./quintal)
2020-01-01,3800.0
2020-01-02,3800.0
2020-01-03,3800.0
2020-01-04,3800.0
2020-01-05,3800.0
2020-01-06,3800.0
2020-01-07,3800.0
2020-01-08,3200.0
2020-01-09,3200.0
2020-01-10,3200.0
2020-01-11,3200.0
2020-01-12,3200.0
2020-01-13,3200.0
2020-01-14,3200.0
2020-01-15,3200.0
2020-01-16,3200.0
2020-01-17,3200.0
2020-01-18,3200.0
2020-01-19,3200.0
2020-01-20,3200.0
2020-01-21,3200.0
2020-01-22,2800.0
2020-01-23,2800.0
2020-01-24,2800.0
2020-01-25,2800.0
2020-01-26,2800.0
2020-01-27,2800.0
2020-01-28,2800.0
2020-01-29,3800.0
2020-01-30,3800.0
2020-01-31,3800.0
2020-02-01,3800.0
2020-02-02,3800.0
2020-02-03,3800.0
2020-02-04,3800.0
2020-02-05,2800.0
2020-02-06,2800.0
2020-02-07,2800.0
2020-02-08,2800.0
2020-02-09,2800.0
2020-02-10,2800.0
2020-02-11,2800.0
2020-02-12,2900.0
2020-02-13,2900.0
2020-02-14,2900.0
2020-02-15,2900.0
2020-02-16,2900.0
2020-02-17,2900.0
2020-02-18,2900.0
2020-02-19,2200.0
2020-02-20,2200.0
2020-02-21,2200.0
2020-02-22,2200.0
2020-02-23,2200.0
2020-02-24,2200.0
2020-02-25,2200.0
2020-02-26,2200.0
2020-02-27,2200.0
2020-02-28,2200.0
2020-02-29,2200.0
2020-03-01,2200.0
2020-03-02,2200.0
2020-03-03,2200.0
2020-03-04,1900.0
2020-03-05,1900.0
2020-03-06,1900.0
2020-03-07,1900.0
2020-03-08,1900.0
2020-03-09,1900.0
2020-03-10,1900.0
2020-03-11,1800.0
2020-03-12,1800.0
2020-03-13,1800.0
2020-03-14,1800.0
2020-03-15,1800.0
2020-03-16,1800.0
2020-03-17,1800.0
2020-03-18,1600.0
2020-03-19,1600.0
2020-03-20,1600.0
2020-03-21,1600.0
2020-03-22,1600.0
2020-03-23,1600.0
2020-03-24,1600.0
2020-03-25,1600.0
2020-03-26,1600.0
2020-03-27,1600.0
2020-03-28,1600.0
2020-03-29,1600.0
2020-03-30,1600.0
2020-03-31,1600.0
2020-04-01,1600.0
2020-04-02,1600.0
2020-04-03,1600.0
2020-04-04,1600.0
2020-04-05,1600.0
2020-04-06,1600.0
2020-04-07,1600.0
2020-04-08,1600.0
2020-04-09,1600.0
2020-04-10,1600.0
2020-04-11,1600.0
2020-04-12,1600.0
2020-04-13,1600.0
2020-04-14,1600.0
2020-04-15,1600.0
2020-04-16,1600.0
2020-04-17,1600.0
2020-04-18,1600.0
2020-04-19,1600.0
2020-04-20,1600.0
2020-04-21,1600.0
2020-04-22,1600.0
2020-04-23,1600.0
2020-04-24,1600.0
2020-04-25,1600.0
2020-04-26,1600.0
2020-04-27,1600.0
2020-04-28,1600.0
2020-04-29,1600.0
2020-04-30,1600.0
2020-05-01,1600.0
2020-05-02,1600.0
2020-05-03,1600.0
2020-05-04,1600.0
2020-05-05,1600.0
2020-05-06,1600.0
2020-05-07,1600.0
2020-05-08,1600.0
2020-05-09,1600.0
2020-05-10,1600.0
2020-05-11,1600.0
2020-05-12,1600.0
2020-05-13,1600.0
2020-05-14,1600.0
2020-05-15,1600.0
2020-05-16,1600.0
2020-05-17,1600.0
2020-05-18,1600.0
2020-05-19,1600.0
2020-05-20,1600.0
2020-05-21,1600.0
2020-05-22,1600.0
2020-05-23,1600.0
2020-05-24,1600.0
2020-05-25,1600.0
2020-05-26,1600.0
2020-05-27,1600.0
2020-05-28,1600.0
2020-05-29,1600.0
2020-05-30,1600.0
2020-05-31,1600.0
2020-06-01,1600.0
2020-06-02,1600.0
2020-06-03,1600.0
2020-06-04,1600.0
2020-06-05,1600.0
2020-06-06,1600.0
2020-06-07,1600.0
2020-06-08,1600.0
2020-06-09,1600.0
2020-06-10,1600.0
2020-06-11,1600.0
2020-06-12,1600.0
2020-06-13,1600.0
2020-06-14,1600.0
2020-06-15,1600.0
2020-06-16,1600.0
2020-06-17,1600.0
2020-06-18,1600.0
2020-06-19,1600.0
2020-06-20,1600.0
2020-06-21,1600.0
2020-06-22,1600.0
2020-06-23,1600.0
2020-06-24,1600.0
2020-06-25,1600.0
2020-06-26,1600.0
2020-06-27,1600.0
2020-06-28,1600.0
2020-06-29,1600.0
2020-06-30,1600.0
2020-07-01,5800.0
2020-07-02,5800.0
2020-07-03,5800.0
2020-07-04,5800.0
2020-07-05,5800.0
2020-07-06,5800.0
2020-07-07,5800.0
2020-07-08,5800.0
2020-07-09,5800.0
2020-07-10,5800.0
2020-07-11,5800.0
2020-07-12,5800.0
2020-07-13,5800.0
2020-07-14,5800.0
2020-07-15,5800.0
2020-07-16,5800.0
2020-07-17,5800.0
2020-07-18,5800.0
2020-07-19,5800.0
2020-07-20,5800.0
2020-07-21,5800.0
2020-07-22,5800.0
2020-07-23,5800.0
2020-07-24,5800.0
2020-07-25,5800.0
2020-07-26,5800.0
2020-07-27,5800.0
2020-07-28,5800.0
2020-07-29,5300.0
2020-07-30,5300.0
2020-07-31,5300.0
2020-08-01,5300.0
2020-08-02,5300.0
2020-08-03,5300.0
2020-08-04,5300.0
2020-08-05,6300.0
2020-08-06,6300.0
2020-08-07,6300.0
2020-08-08,6300.0
2020-08-09,6300.0
2020-08-10,6300.0
2020-08-11,6300.0
2020-08-12,4700.0
2020-08-13,4700.0
2020-08-14,4700.0
2020-08-15,4700.0
2020-08-16,4700.0
2020-08-17,4700.0
2020-08-18,4700.0
2020-08-19,4300.0
2020-08-20,4300.0
2020-08-21,4300.0
2020-08-22,4300.0
2020-08-23,4300.0
2020-08-24,4300.0
2020-08-25,4300.0
2020-08-26,5100.0
2020-08-27,5100.0
2020-08-28,5100.0
2020-08-29,5100.0
2020-08-30,5100.0
2020-08-31,5100.0
2020-09-01,5100.0
2020-09-02,4800.0
2020-09-03,4800.0
2020-09-04,4800.0
2020-09-05,4800.0
2020-09-06,4800.0
2020-09-07,4800.0
2020-09-08,4800.0
2020-09-09,3400.0
2020-09-10,3400.0
2020-09-11,3400.0
2020-09-12,3400.0
2020-09-13,3400.0
2020-09-14,3400.0
2020-09-15,3400.0
2020-09-16,3200.0
2020-09-17,3200.0
2020-09-18,3200.0
2020-09-19,3200.0
2020-09-20,3200.0
2020-09-21,3200.0
2020-09-22,3200.0
2020-09-23,4300.0
2020-09-24,4300.0
2020-09-25,4300.0
2020-09-26,4300.0
2020-09-27,4300.0
2020-09-28,4300.0
2020-09-29,4300.0
2020-09-30,3800.0
2020-10-01,3800.0
2020-10-02,3800.0
2020-10-03,3800.0
2020-10-04,3800.0
2020-10-05,3800.0
2020-10-06,3800.0
2020-10-07,3800.0
2020-10-08,3800.0
2020-10-09,3800.0
2020-10-10,3800.0
2020-10-11,3800.0
2020-10-12,3800.0
2020-10-13,3800.0
2020-10-14,3800.0
2020-10-15,3800.0
2020-10-16,3800.0
2020-10-17,3800.0
2020-10-18,3800.0
2020-10-19,3800.0
2020-10-20,3800.0
2020-10-21,4000.0
2020-10-22,4000.0
2020-10-23,4000.0
2020-10-24,4000.0
2020-10-25,4000.0
2020-10-26,4000.0
2020-10-27,4000.0
2020-10-28,4800.0
2020-10-29,4800.0
2020-10-30,4800.0
2020-10-31,4800.0
2020-11-01,4800.0
2020-11-02,4800.0
2020-11-03,4800.0
2020-11-04,4800.0
2020-11-05,4800.0
2020-11-06,4800.0
2020-11-07,4800.0
2020-11-08,4800.0
2020-11-09,4800.0
2020-11-10,4800.0
2020-11-11,4000.0
2020-11-12,4000.0
2020-11-13,4000.0
2020-11-14,4000.0
2020-11-15,4000.0
2020-11-16,4000.0
2020-11-17,4000.0
2020-11-18,3600.0
2020-11-19,3600.0
2020-11-20,3600.0
2020-11-21,3600.0
2020-11-22,3600.0
2020-11-23,3600.0
2020-11-24,3600.0
2020-11-25,3000.0
2020-11-26,3000.0
2020-11-27,3000.0
2020-11-28,3000.0
2020-11-29,3000.0
2020-11-30,3000.0
2020-12-01,3000.0
2020-12-02,3400.0
2020-12-03,3400.0
2020-12-04,3400.0
2020-12-05,3400.0
2020-12-06,3400.0
2020-12-07,3400.0
2020-12-08,3400.0
2020-12-09,2800.0
2020-12-10,2800.0
2020-12-11,2800.0
2020-12-12,2800.0
2020-12-13,2800.0
2020-12-14,2800.0
2020-12-15,2800.0
2020-12-16,2800.0
2020-12-17,2800.0
2020-12-18,2800.0
2020-12-19,2800.0
2020-12-20,2800.0
2020-12-21,2800.0
2020-12-22,2800.0
2020-12-23,3400.0
2020-12-24,3400.0
2020-12-25,3400.0
2020-12-26,3400.0
2020-12-27,3400.0
2020-12-28,3400.0
2020-12-29,3400.0
2020-12-30,3200.0
2020-12-31,3200.0
