price date,modal price (rs./quintal)
2020-01-02,2500.0
2020-01-03,2500.0
2020-01-04,3000.0
2020-01-05,3000.0
2020-01-06,3000.0
2020-01-07,3500.0
2020-01-08,3200.0
2020-01-09,2850.0
2020-01-10,2850.0
2020-01-11,3500.0
2020-01-12,3500.0
2020-01-13,3500.0
2020-01-14,3500.0
2020-01-15,3500.0
2020-01-16,2500.0
2020-01-17,2500.0
2020-01-18,3200.0
2020-01-19,3200.0
2020-01-20,3200.0
2020-01-21,4500.0
2020-01-22,4500.0
2020-01-23,2700.0
2020-01-24,2700.0
2020-01-25,3000.0
2020-01-26,3000.0
2020-01-27,3000.0
2020-01-28,2800.0
2020-01-29,2800.0
2020-01-30,1700.0
2020-01-31,1700.0
2020-02-01,2700.0
2020-02-02,2700.0
2020-02-03,2700.0
2020-02-04,2600.0
2020-02-05,2600.0
2020-02-06,1600.0
2020-02-07,1600.0
2020-02-08,2000.0
2020-02-09,2000.0
2020-02-10,2000.0
2020-02-11,2000.0
2020-02-12,2000.0
2020-02-13,1200.0
2020-02-14,1200.0
2020-02-15,1200.0
2020-02-16,1200.0
2020-02-17,1200.0
2020-02-18,1500.0
2020-02-19,1500.0
2020-02-20,1400.0
2020-02-21,1400.0
2020-02-22,1800.0
2020-02-23,1800.0
2020-02-24,1800.0
2020-02-25,2000.0
2020-02-26,2000.0
2020-02-27,1000.0
2020-02-28,1000.0
2020-02-29,1400.0
2020-03-01,1400.0
2020-03-02,1400.0
2020-03-03,1300.0
2020-03-04,1300.0
2020-03-05,1100.0
2020-03-06,1100.0
2020-03-07,1700.0
2020-03-08,1700.0
2020-03-09,1700.0
2020-03-10,1700.0
2020-03-11,1700.0
2020-03-12,1250.0
2020-03-13,1250.0
2020-03-14,1800.0
2020-03-15,1800.0
2020-03-16,1800.0
2020-03-17,1300.0
2020-03-18,1300.0
2020-03-19,1300.0
2020-03-20,1300.0
2020-03-21,1300.0
2020-03-22,1300.0
2020-03-23,1100.0
2020-03-24,1100.0
2020-03-25,1100.0
2020-03-26,1100.0
2020-03-27,1100.0
2020-03-28,1100.0
2020-03-29,1100.0
2020-03-30,1100.0
2020-03-31,1100.0
2020-04-01,1400.0
2020-04-02,1400.0
2020-04-03,1400.0
2020-04-04,1400.0
2020-04-05,1400.0
2020-04-06,1400.0
2020-04-07,800.0
2020-04-08,800.0
2020-04-09,800.0
2020-04-10,800.0
2020-04-11,800.0
2020-04-12,800.0
2020-04-13,800.0
2020-04-14,800.0
2020-04-15,800.0
2020-04-16,800.0
2020-04-17,800.0
2020-04-18,700.0
2020-04-19,700.0
2020-04-20,700.0
2020-04-21,500.0
2020-04-22,500.0
2020-04-23,500.0
2020-04-24,500.0
2020-04-25,500.0
2020-04-26,500.0
2020-04-27,500.0
2020-04-28,600.0
2020-04-29,600.0
2020-04-30,600.0
2020-05-01,600.0
2020-05-02,400.0
2020-05-03,400.0
2020-05-04,400.0
2020-05-05,400.0
2020-05-06,400.0
2020-05-07,400.0
2020-05-08,400.0
2020-05-09,500.0
2020-05-10,500.0
2020-05-11,500.0
2020-05-12,500.0
2020-05-13,500.0
2020-05-14,500.0
2020-05-15,500.0
2020-05-16,600.0
2020-05-17,600.0
2020-05-18,600.0
2020-05-19,500.0
2020-05-20,500.0
2020-05-21,500.0
2020-05-22,500.0
2020-05-23,500.0
2020-05-24,500.0
2020-05-25,500.0
2020-05-26,600.0
2020-05-27,600.0
2020-05-28,600.0
2020-05-29,600.0
2020-05-30,800.0
2020-05-31,800.0
2020-06-01,800.0
2020-06-02,700.0
2020-06-03,700.0
2020-06-04,700.0
2020-06-05,700.0
2020-06-06,700.0
2020-06-07,700.0
2020-06-08,700.0
2020-06-09,700.0
2020-06-10,700.0
2020-06-11,700.0
2020-06-12,700.0
2020-06-13,700.0
2020-06-14,700.0
2020-06-15,700.0
2020-06-16,700.0
2020-06-17,700.0
2020-06-18,700.0
2020-06-19,700.0
2020-06-20,700.0
2020-06-21,700.0
2020-06-22,700.0
2020-06-23,700.0
2020-06-24,700.0
2020-06-25,700.0
2020-06-26,700.0
2020-06-27,700.0
2020-06-28,700.0
2020-06-29,700.0
2020-06-30,700.0
2020-07-01,700.0
2020-07-02,700.0
2020-07-03,700.0
2020-07-04,700.0
2020-07-05,700.0
2020-07-06,700.0
2020-07-07,700.0
2020-07-08,700.0
2020-07-09,700.0
2020-07-10,700.0
2020-07-11,700.0
2020-07-12,700.0
2020-07-13,700.0
2020-07-14,700.0
2020-07-15,700.0
2020-07-16,700.0
2020-07-17,700.0
2020-07-18,700.0
2020-07-19,700.0
2020-07-20,700.0
2020-07-21,800.0
2020-07-22,800.0
2020-07-23,800.0
2020-07-24,800.0
2020-07-25,800.0
2020-07-26,800.0
2020-07-27,800.0
2020-07-28,800.0
2020-07-29,800.0
2020-07-30,800.0
2020-07-31,800.0
2020-08-01,800.0
2020-08-02,800.0
2020-08-03,800.0
2020-08-04,900.0
2020-08-05,900.0
2020-08-06,900.0
2020-08-07,900.0
2020-08-08,900.0
2020-08-09,900.0
2020-08-10,900.0
2020-08-11,800.0
2020-08-12,800.0
2020-08-13,800.0
2020-08-14,800.0
2020-08-15,700.0
2020-08-16,700.0
2020-08-17,700.0
2020-08-18,1400.0
2020-08-19,1400.0
2020-08-20,1400.0
2020-08-21,1400.0
2020-08-22,1500.0
2020-08-23,1500.0
2020-08-24,1500.0
2020-08-25,1200.0
2020-08-26,1200.0
2020-08-27,1200.0
2020-08-28,1200.0
2020-08-29,1200.0
2020-08-30,1200.0
2020-08-31,1200.0
2020-09-01,1600.0
2020-09-02,1600.0
2020-09-03,1600.0
2020-09-04,1600.0
2020-09-05,1600.0
2020-09-06,1600.0
2020-09-07,1600.0
2020-09-08,1700.0
2020-09-09,1700.0
2020-09-10,1700.0
2020-09-11,1700.0
2020-09-12,1700.0
2020-09-13,1700.0
2020-09-14,1700.0
2020-09-15,1700.0
2020-09-16,1700.0
2020-09-17,1700.0
2020-09-18,1700.0
2020-09-19,2700.0
2020-09-20,2700.0
2020-09-21,2700.0
2020-09-22,3700.0
2020-09-23,3700.0
2020-09-24,3700.0
2020-09-25,3700.0
2020-09-26,3500.0
2020-09-27,3500.0
2020-09-28,3500.0
2020-09-29,3500.0
2020-09-30,3500.0
2020-10-01,3500.0
2020-10-02,3500.0
2020-10-03,3700.0
2020-10-04,3700.0
2020-10-05,3700.0
2020-10-06,3700.0
2020-10-07,3700.0
2020-10-08,3700.0
2020-10-09,3700.0
2020-10-10,3100.0
2020-10-11,3100.0
2020-10-12,3100.0
2020-10-13,3100.0
2020-10-14,3100.0
2020-10-15,3100.0
2020-10-16,3100.0
2020-10-17,3100.0
2020-10-18,3100.0
2020-10-19,3100.0
2020-10-20,3100.0
2020-10-21,3100.0
2020-10-22,3100.0
2020-10-23,3100.0
2020-10-24,3100.0
2020-10-25,3100.0
2020-10-26,3100.0
2020-10-27,3400.0
2020-10-28,3400.0
2020-10-29,3400.0
2020-10-30,3400.0
2020-10-31,3400.0
2020-11-01,3400.0
2020-11-02,3400.0
2020-11-03,5700.0
2020-11-04,5700.0
2020-11-05,5700.0
2020-11-06,5700.0
2020-11-07,5700.0
2020-11-08,5700.0
2020-11-09,5700.0
2020-11-10,5700.0
2020-11-11,5700.0
2020-11-12,5700.0
2020-11-13,5700.0
2020-11-14,5700.0
2020-11-15,5700.0
2020-11-16,5700.0
2020-11-17,5700.0
2020-11-18,5700.0
2020-11-19,5700.0
2020-11-20,5700.0
2020-11-21,5700.0
2020-11-22,5700.0
2020-11-23,5700.0
2020-11-24,5700.0
2020-11-25,5700.0
2020-11-26,5700.0
2020-11-27,5700.0
2020-11-28,5000.0
2020-11-29,5000.0
2020-11-30,5000.0
2020-12-01,3800.0
2020-12-02,3800.0
2020-12-03,3800.0
2020-12-04,3800.0
2020-12-05,3000.0
2020-12-06,3000.0
2020-12-07,3000.0
2020-12-08,2000.0
2020-12-09,2000.0
2020-12-10,2000.0
2020-12-11,2000.0
2020-12-12,2800.0
2020-12-13,2800.0
2020-12-14,2800.0
2020-12-15,2800.0
2020-12-16,2800.0
2020-12-17,2800.0
2020-12-18,2800.0
2020-12-19,2800.0
2020-12-20,2800.0
2020-12-21,2800.0
2020-12-22,1900.0
2020-12-23,1900.0
2020-12-24,1900.0
2020-12-25,1900.0
2020-12-26,2000.0
2020-12-27,2000.0
2020-12-28,2000.0
2020-12-29,2700.0
2020-12-30,2700.0
2020-12-31,2700.0
2021-01-01,2700.0
2021-01-02,2700.0
2021-01-03,2700.0
2021-01-04,2700.0
2021-01-05,2700.0
2021-01-06,2700.0
2021-01-07,2700.0
2021-01-08,2700.0
2021-01-09,2700.0
2021-01-10,2700.0
2021-01-11,2700.0
2021-01-12,2800.0
2021-01-13,2800.0
2021-01-14,2800.0
2021-01-15,2800.0
2021-01-16,2700.0
2021-01-17,2700.0
2021-01-18,2700.0
2021-01-19,2800.0
2021-01-20,2800.0
2021-01-21,2800.0
2021-01-22,2800.0
2021-01-23,2800.0
2021-01-24,2800.0
2021-01-25,2800.0
2021-01-26,2800.0
2021-01-27,2800.0
2021-01-28,2800.0
2021-01-29,2800.0
2021-01-30,2800.0
2021-01-31,2800.0
2021-02-01,2800.0
2021-02-02,2800.0
2021-02-03,2800.0
2021-02-04,2800.0
2021-02-05,2800.0
2021-02-06,2800.0
2021-02-07,2800.0
2021-02-08,2800.0
2021-02-09,2800.0
2021-02-10,2800.0
2021-02-11,2800.0
2021-02-12,2800.0
2021-02-13,2800.0
2021-02-14,2800.0
2021-02-15,2800.0
2021-02-16,2800.0
2021-02-17,2800.0
2021-02-18,2800.0
2021-02-19,2800.0
2021-02-20,2800.0
2021-02-21,2800.0
2021-02-22,2800.0
2021-02-23,2800.0
2021-02-24,2800.0
2021-02-25,2800.0
2021-02-26,2800.0
2021-02-27,2800.0
2021-02-28,2800.0
2021-03-01,2800.0
2021-03-02,2800.0
2021-03-03,2800.0
2021-03-04,2800.0
2021-03-05,2800.0
2021-03-06,2800.0
2021-03-07,2800.0
2021-03-08,2800.0
2021-03-09,2800.0
2021-03-10,2800.0
2021-03-11,2800.0
2021-03-12,2800.0
2021-03-13,2800.0
2021-03-14,2800.0
2021-03-15,2800.0
2021-03-16,2800.0
2021-03-17,2800.0
2021-03-18,2800.0
2021-03-19,2800.0
2021-03-20,2800.0
2021-03-21,2800.0
2021-03-22,2800.0
2021-03-23,2800.0
2021-03-24,2800.0
2021-03-25,2800.0
2021-03-26,2800.0
2021-03-27,2800.0
2021-03-28,2800.0
2021-03-29,2800.0
2021-03-30,2800.0
2021-03-31,1100.0
2021-04-01,1100.0
2021-04-02,1100.0
2021-04-03,1100.0
2021-04-04,1100.0
2021-04-05,1100.0
2021-04-06,1100.0
2021-04-07,1100.0
2021-04-08,1100.0
2021-04-09,1100.0
2021-04-10,1100.0
2021-04-11,1100.0
2021-04-12,1100.0
2021-04-13,1100.0
2021-04-14,1100.0
2021-04-15,1100.0
2021-04-16,1100.0
2021-04-17,1100.0
2021-04-18,1100.0
2021-04-19,1100.0
2021-04-20,1100.0
2021-04-21,1100.0
2021-04-22,1100.0
2021-04-23,1100.0
2021-04-24,1100.0
2021-04-25,1100.0
2021-04-26,1100.0
2021-04-27,700.0
2021-04-28,700.0
2021-04-29,700.0
2021-04-30,700.0
2021-05-01,800.0
2021-05-02,800.0
2021-05-03,800.0
2021-05-04,700.0
2021-05-05,700.0
2021-05-06,700.0
2021-05-07,700.0
2021-05-08,600.0
2021-05-09,600.0
2021-05-10,600.0
2021-05-11,900.0
2021-05-12,900.0
2021-05-13,900.0
2021-05-14,900.0
2021-05-15,900.0
2021-05-16,900.0
2021-05-17,900.0
2021-05-18,900.0
2021-05-19,900.0
2021-05-20,900.0
2021-05-21,900.0
2021-05-22,900.0
2021-05-23,900.0
2021-05-24,900.0
2021-05-25,1500.0
2021-05-26,1500.0
2021-05-27,1500.0
2021-05-28,1500.0
2021-05-29,1200.0
2021-05-30,1200.0
2021-05-31,1200.0
2021-06-01,1200.0
2021-06-02,1200.0
2021-06-03,1200.0
2021-06-04,1200.0
2021-06-05,900.0
2021-06-06,900.0
2021-06-07,900.0
2021-06-08,1900.0
2021-06-09,1900.0
2021-06-10,1900.0
2021-06-11,1900.0
2021-06-12,1600.0
2021-06-13,1600.0
2021-06-14,1600.0
2021-06-15,1700.0
2021-06-16,1700.0
2021-06-17,1700.0
2021-06-18,1700.0
2021-06-19,1500.0
2021-06-20,1500.0
2021-06-21,1500.0
2021-06-22,1500.0
2021-06-23,1500.0
2021-06-24,1500.0
2021-06-25,1500.0
2021-06-26,1500.0
2021-06-27,1500.0
2021-06-28,1500.0
2021-06-29,1700.0
2021-06-30,1700.0
2021-07-01,1700.0
2021-07-02,1700.0
2021-07-03,1700.0
2021-07-04,1700.0
2021-07-05,1700.0
2021-07-06,1700.0
2021-07-07,1700.0
2021-07-08,1700.0
2021-07-09,1700.0
2021-07-10,1700.0
2021-07-11,1700.0
2021-07-12,1700.0
2021-07-13,1600.0
2021-07-14,1600.0
2021-07-15,1600.0
2021-07-16,1600.0
2021-07-17,1700.0
2021-07-18,1700.0
2021-07-19,1700.0
2021-07-20,1700.0
2021-07-21,1700.0
2021-07-22,1700.0
2021-07-23,1700.0
2021-07-24,1700.0
2021-07-25,1700.0
2021-07-26,1700.0
2021-07-27,1700.0
2021-07-28,1700.0
2021-07-29,1700.0
2021-07-30,1700.0
2021-07-31,1700.0
2021-08-01,1700.0
2021-08-02,1700.0
2021-08-03,1700.0
2021-08-04,1700.0
2021-08-05,1700.0
2021-08-06,1700.0
2021-08-07,1600.0
2021-08-08,1600.0
2021-08-09,1600.0
2021-08-10,1600.0
2021-08-11,1600.0
2021-08-12,1600.0
2021-08-13,1600.0
2021-08-14,1700.0
2021-08-15,1700.0
2021-08-16,1700.0
2021-08-17,1700.0
2021-08-18,1700.0
2021-08-19,1700.0
2021-08-20,1700.0
2021-08-21,1700.0
2021-08-22,1700.0
2021-08-23,1700.0
2021-08-24,1700.0
2021-08-25,1700.0
2021-08-26,1700.0
2021-08-27,1700.0
2021-08-28,1700.0
2021-08-29,1700.0
2021-08-30,1700.0
2021-08-31,1700.0
2021-09-01,1700.0
2021-09-02,1700.0
2021-09-03,1700.0
2021-09-04,1500.0
2021-09-05,1500.0
2021-09-06,1500.0
2021-09-07,1700.0
2021-09-08,1700.0
2021-09-09,1700.0
2021-09-10,1700.0
2021-09-11,1700.0
2021-09-12,1700.0
2021-09-13,1700.0
2021-09-14,1500.0
2021-09-15,1500.0
2021-09-16,1500.0
2021-09-17,1500.0
2021-09-18,1500.0
2021-09-19,1500.0
2021-09-20,1500.0
2021-09-21,1700.0
2021-09-22,1700.0
2021-09-23,1700.0
2021-09-24,1700.0
2021-09-25,1700.0
2021-09-26,1700.0
2021-09-27,1700.0
2021-09-28,1800.0
2021-09-29,1800.0
2021-09-30,1800.0
2021-10-01,1800.0
2021-10-02,1800.0
2021-10-03,1800.0
2021-10-04,1800.0
2021-10-05,1800.0
2021-10-06,1800.0
2021-10-07,1800.0
2021-10-08,1800.0
2021-10-09,1600.0
2021-10-10,1600.0
2021-10-11,1600.0
2021-10-12,1600.0
2021-10-13,1600.0
2021-10-14,1600.0
2021-10-15,1600.0
2021-10-16,1500.0
2021-10-17,1500.0
2021-10-18,1500.0
2021-10-19,1500.0
2021-10-20,1500.0
2021-10-21,1500.0
2021-10-22,1500.0
2021-10-23,1500.0
2021-10-24,1500.0
2021-10-25,1500.0
2021-10-26,1500.0
2021-10-27,1500.0
2021-10-28,1500.0
2021-10-29,1500.0
2021-10-30,1700.0
2021-10-31,1700.0
2021-11-01,1700.0
2021-11-02,1700.0
2021-11-03,1700.0
