price date,modal price (rs./quintal)
2020-01-01,4500.0
2020-01-02,3500.0
2020-01-03,3150.0
2020-01-04,3750.0
2020-01-05,3750.0
2020-01-06,4333.333333333333
2020-01-07,4125.0
2020-01-08,4250.0
2020-01-09,4375.0
2020-01-10,4166.666666666667
2020-01-11,4166.666666666667
2020-01-12,4166.666666666667
2020-01-13,2925.0
2020-01-14,4166.666666666667
2020-01-15,4166.666666666667
2020-01-16,3500.0
2020-01-17,3333.3333333333335
2020-01-18,3450.0
2020-01-19,3450.0
2020-01-20,3850.0
2020-01-21,3633.3333333333335
2020-01-22,3700.0
2020-01-23,3500.0
2020-01-24,3150.0
2020-01-25,3150.0
2020-01-26,3150.0
2020-01-27,2800.0
2020-01-28,2766.6666666666665
2020-01-29,2733.3333333333335
2020-01-30,2666.6666666666665
2020-01-31,2733.3333333333335
2020-02-01,2525.0
2020-02-02,2525.0
2020-02-03,2500.0
2020-02-04,2700.0
2020-02-05,2050.0
2020-02-06,1550.0
2020-02-07,2016.6666666666667
2020-02-08,2016.6666666666667
2020-02-09,2016.6666666666667
2020-02-10,2283.3333333333335
2020-02-11,2233.3333333333335
2020-02-12,1825.0
2020-02-13,1850.0
2020-02-14,2233.3333333333335
2020-02-15,2333.3333333333335
2020-02-16,2333.3333333333335
2020-02-17,2000.0
2020-02-18,2333.3333333333335
2020-02-19,1975.0
2020-02-20,2116.6666666666665
2020-02-21,2116.6666666666665
2020-02-22,2116.6666666666665
2020-02-23,2116.6666666666665
2020-02-24,1800.0
2020-02-25,1733.3333333333333
2020-02-26,1566.6666666666667
2020-02-27,1725.0
2020-02-28,1725.0
2020-02-29,1750.0
2020-03-01,1750.0
2020-03-02,1625.0
2020-03-03,1450.0
2020-03-04,1300.0
2020-03-05,1425.0
2020-03-06,1425.0
2020-03-07,1383.3333333333333
2020-03-08,1383.3333333333333
2020-03-09,1475.0
2020-03-10,1625.0
2020-03-11,1900.0
2020-03-12,1733.3333333333333
2020-03-13,1700.0
2020-03-14,1700.0
2020-03-15,1700.0
2020-03-16,1516.6666666666667
2020-03-17,1450.0
2020-03-18,1266.6666666666667
2020-03-19,1266.6666666666667
2020-03-20,1266.6666666666667
2020-03-21,1266.6666666666667
2020-03-22,1266.6666666666667
2020-03-23,1550.0
2020-03-24,1533.3333333333333
2020-03-25,1533.3333333333333
2020-03-26,1500.0
2020-03-27,1800.0
2020-03-28,1800.0
2020-03-29,1800.0
2020-03-30,1516.6666666666667
2020-03-31,1700.0
2020-04-01,1533.3333333333333
2020-04-02,1616.6666666666667
2020-04-03,1716.6666666666667
2020-04-04,1550.0
2020-04-05,2600.0
2020-04-06,2100.0
2020-04-07,1918.75
2020-04-08,1787.5
2020-04-09,1350.0
2020-04-10,2000.0
2020-04-11,2100.0
2020-04-12,1600.0
2020-04-13,1437.5
2020-04-14,1600.0
2020-04-15,1200.0
2020-04-16,1275.0
2020-04-17,1000.0
2020-04-18,1066.6666666666667
2020-04-19,1500.0
2020-04-20,1200.0
2020-04-21,1200.0
2020-04-22,1175.0
2020-04-23,1087.5
2020-04-24,1150.0
2020-04-25,1400.0
2020-04-26,1500.0
2020-04-27,1118.75
2020-04-28,1125.0
2020-04-29,1000.0
2020-04-30,1075.0
2020-05-01,1450.0
2020-05-02,1212.5
2020-05-03,1400.0
2020-05-04,1131.25
2020-05-05,1137.5
2020-05-06,962.5
2020-05-07,962.5
2020-05-08,800.0
2020-05-09,1000.0
2020-05-10,1000.0
2020-05-11,850.0
2020-05-12,862.5
2020-05-13,850.0
2020-05-14,875.0
2020-05-15,875.0
2020-05-16,850.0
2020-05-17,1000.0
2020-05-18,875.0
2020-05-19,875.0
2020-05-20,843.75
2020-05-21,850.0
2020-05-22,850.0
2020-05-23,1000.0
2020-05-24,1000.0
2020-05-25,950.0
2020-05-26,850.0
2020-05-27,808.3333333333334
2020-05-28,887.5
2020-05-29,893.75
2020-05-30,962.5
2020-05-31,962.5
2020-06-01,975.0
2020-06-02,975.0
2020-06-03,1012.5
2020-06-04,987.5
2020-06-05,962.5
2020-06-06,1012.5
2020-06-07,1000.0
2020-06-08,1012.5
2020-06-09,962.5
2020-06-10,950.0
2020-06-11,1000.0
2020-06-12,933.3333333333334
2020-06-13,1200.0
2020-06-14,1200.0
2020-06-15,933.3333333333334
2020-06-16,1025.0
2020-06-17,950.0
2020-06-18,975.0
2020-06-19,983.3333333333334
2020-06-20,983.3333333333334
2020-06-21,983.3333333333334
2020-06-22,983.3333333333334
2020-06-23,1050.0
2020-06-24,933.3333333333334
2020-06-25,1033.3333333333333
2020-06-26,1050.0
2020-06-27,1050.0
2020-06-28,1050.0
2020-06-29,1050.0
2020-06-30,1050.0
2020-07-01,1050.0
2020-07-02,1133.3333333333333
2020-07-03,1116.6666666666667
2020-07-04,1116.6666666666667
2020-07-05,1116.6666666666667
2020-07-06,1116.6666666666667
2020-07-07,1091.6666666666667
2020-07-08,1025.0
2020-07-09,1025.0
2020-07-10,1058.3333333333333
2020-07-11,1058.3333333333333
2020-07-12,1058.3333333333333
2020-07-13,1066.6666666666667
2020-07-14,1083.3333333333333
2020-07-15,1150.0
2020-07-16,1068.75
2020-07-17,1118.75
2020-07-18,1250.0
2020-07-19,1250.0
2020-07-20,1081.25
2020-07-21,956.25
2020-07-22,962.5
2020-07-23,950.0
2020-07-24,962.5
2020-07-25,1000.0
2020-07-26,1000.0
2020-07-27,975.0
2020-07-28,968.75
2020-07-29,968.75
2020-07-30,968.75
2020-07-31,968.75
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,968.75
2020-08-04,993.75
2020-08-05,968.75
2020-08-06,968.75
2020-08-07,962.5
2020-08-08,1000.0
2020-08-09,1000.0
2020-08-10,962.5
2020-08-11,975.0
2020-08-12,987.5
2020-08-13,987.5
2020-08-14,987.5
2020-08-15,1000.0
2020-08-16,1000.0
2020-08-17,1150.0
2020-08-18,1275.0
2020-08-19,1500.0
2020-08-20,1662.5
2020-08-21,1475.0
2020-08-22,2200.0
2020-08-23,2200.0
2020-08-24,1450.0
2020-08-25,1350.0
2020-08-26,1312.5
2020-08-27,1537.5
