price date,modal price (rs./quintal)
2020-01-01,4000.0
2020-01-02,4000.0
2020-01-03,4000.0
2020-01-04,4000.0
2020-01-05,4000.0
2020-01-06,4000.0
2020-01-07,4500.0
2020-01-08,4500.0
2020-01-09,4500.0
2020-01-10,4500.0
2020-01-11,4500.0
2020-01-12,4500.0
2020-01-13,4500.0
2020-01-14,4500.0
2020-01-15,4500.0
2020-01-16,4500.0
2020-01-17,4500.0
2020-01-18,4500.0
2020-01-19,4500.0
2020-01-20,4500.0
2020-01-21,4000.0
2020-01-22,4000.0
2020-01-23,4000.0
2020-01-24,4000.0
2020-01-25,4000.0
2020-01-26,4000.0
2020-01-27,3000.0
2020-01-28,3000.0
2020-01-29,3000.0
2020-01-30,3000.0
2020-01-31,2500.0
2020-02-01,2500.0
2020-02-02,2500.0
2020-02-03,2500.0
2020-02-04,2500.0
2020-02-05,2400.0
2020-02-06,2400.0
2020-02-07,2600.0
2020-02-08,2600.0
2020-02-09,2600.0
2020-02-10,2600.0
2020-02-11,2000.0
2020-02-12,2000.0
2020-02-13,2000.0
2020-02-14,2000.0
2020-02-15,2000.0
2020-02-16,900.0
2020-02-17,900.0
2020-02-18,900.0
2020-02-19,1800.0
2020-02-20,1800.0
2020-02-21,1800.0
2020-02-22,1800.0
2020-02-23,1800.0
2020-02-24,1800.0
2020-02-25,1800.0
2020-02-26,1800.0
2020-02-27,1800.0
2020-02-28,1800.0
2020-02-29,1800.0
2020-03-01,1800.0
2020-03-02,1800.0
2020-03-03,1800.0
2020-03-04,1200.0
2020-03-05,1200.0
2020-03-06,1200.0
2020-03-07,1200.0
2020-03-08,1200.0
2020-03-09,1200.0
2020-03-10,1200.0
2020-03-11,1400.0
2020-03-12,1400.0
2020-03-13,1400.0
2020-03-14,1400.0
2020-03-15,1400.0
2020-03-16,1400.0
2020-03-17,1200.0
2020-03-18,1200.0
2020-03-19,1200.0
2020-03-20,1200.0
2020-03-21,1200.0
2020-03-22,1200.0
2020-03-23,1100.0
2020-03-24,1100.0
2020-03-25,1100.0
2020-03-26,1100.0
2020-03-27,1100.0
2020-03-28,1100.0
2020-03-29,1100.0
2020-03-30,1000.0
2020-03-31,1000.0
2020-04-01,1000.0
2020-04-02,1000.0
2020-04-03,1550.0
2020-04-04,550.0
2020-04-05,1500.0
2020-04-06,1650.0
2020-04-07,600.0
2020-04-08,1100.0
2020-04-09,1000.0
2020-04-10,925.0
2020-04-11,900.0
2020-04-12,750.0
2020-04-13,1000.0
2020-04-14,1000.0
2020-04-15,1000.0
2020-04-16,560.0
2020-04-17,900.0
2020-04-18,1000.0
2020-04-19,900.0
2020-04-20,950.0
2020-04-21,900.0
2020-04-22,900.0
2020-04-23,800.0
2020-04-24,850.0
2020-04-25,900.0
2020-04-26,1000.0
2020-04-27,900.0
2020-04-28,900.0
2020-04-29,800.0
2020-04-30,600.0
2020-05-01,1000.0
2020-05-02,1050.0
2020-05-03,900.0
2020-05-04,800.0
2020-05-05,750.0
2020-05-06,890.0
2020-05-07,700.0
2020-05-08,600.0
2020-05-09,950.0
2020-05-10,600.0
2020-05-11,800.0
2020-05-12,500.0
2020-05-13,950.0
2020-05-14,600.0
2020-05-15,800.0
2020-05-16,700.0
2020-05-17,500.0
2020-05-18,600.0
2020-05-19,600.0
2020-05-20,790.0
2020-05-21,600.0
2020-05-22,750.0
2020-05-23,600.0
2020-05-24,700.0
2020-05-25,700.0
2020-05-26,750.0
2020-05-27,600.0
2020-05-28,700.0
2020-05-29,750.0
2020-05-30,500.0
2020-05-31,700.0
2020-06-01,600.0
2020-06-02,750.0
2020-06-03,825.0
2020-06-04,800.0
2020-06-05,900.0
2020-06-06,900.0
2020-06-07,1000.0
2020-06-08,1000.0
2020-06-09,1000.0
2020-06-10,1000.0
2020-06-11,1000.0
2020-06-12,1000.0
2020-06-13,1000.0
2020-06-14,1000.0
2020-06-15,1000.0
2020-06-16,1000.0
2020-06-17,1000.0
2020-06-18,1000.0
2020-06-19,1000.0
2020-06-20,1000.0
2020-06-21,1000.0
2020-06-22,1000.0
2020-06-23,1000.0
2020-06-24,1000.0
2020-06-25,1000.0
2020-06-26,1000.0
2020-06-27,900.0
2020-06-28,900.0
2020-06-29,900.0
2020-06-30,900.0
2020-07-01,900.0
2020-07-02,900.0
2020-07-03,900.0
2020-07-04,1200.0
2020-07-05,1200.0
2020-07-06,1000.0
2020-07-07,1200.0
2020-07-08,900.0
2020-07-09,900.0
2020-07-10,1200.0
2020-07-11,1200.0
2020-07-12,1200.0
2020-07-13,1000.0
2020-07-14,1000.0
2020-07-15,1000.0
2020-07-16,1000.0
2020-07-17,1000.0
2020-07-18,1000.0
2020-07-19,1000.0
2020-07-20,1000.0
2020-07-21,1000.0
2020-07-22,1000.0
2020-07-23,1000.0
2020-07-24,1000.0
2020-07-25,1000.0
2020-07-26,1000.0
2020-07-27,1000.0
2020-07-28,1000.0
2020-07-29,1000.0
2020-07-30,1000.0
2020-07-31,1000.0
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,1000.0
2020-08-04,1000.0
2020-08-05,700.0
2020-08-06,700.0
2020-08-07,1000.0
2020-08-08,1000.0
2020-08-09,1000.0
2020-08-10,1000.0
2020-08-11,1000.0
2020-08-12,1000.0
2020-08-13,1000.0
2020-08-14,1000.0
2020-08-15,1000.0
2020-08-16,1200.0
2020-08-17,1200.0
2020-08-18,1200.0
2020-08-19,600.0
2020-08-20,600.0
2020-08-21,600.0
2020-08-22,600.0
2020-08-23,1200.0
2020-08-24,1200.0
2020-08-25,1200.0
2020-08-26,1000.0
2020-08-27,1000.0
2020-08-28,1000.0
2020-08-29,1000.0
2020-08-30,1000.0
2020-08-31,1000.0
2020-09-01,1000.0
2020-09-02,1200.0
2020-09-03,1200.0
2020-09-04,1000.0
2020-09-05,1000.0
2020-09-06,1200.0
2020-09-07,1200.0
2020-09-08,1200.0
2020-09-09,1200.0
2020-09-10,1200.0
2020-09-11,1200.0
2020-09-12,1000.0
2020-09-13,1000.0
2020-09-14,1200.0
2020-09-15,1400.0
2020-09-16,1200.0
2020-09-17,1200.0
2020-09-18,2000.0
2020-09-19,1500.0
2020-09-20,1500.0
2020-09-21,1500.0
2020-09-22,1800.0
2020-09-23,1800.0
2020-09-24,1800.0
2020-09-25,1800.0
2020-09-26,1500.0
2020-09-27,1500.0
2020-09-28,1500.0
2020-09-29,1000.0
2020-09-30,2800.0
2020-10-01,2800.0
2020-10-02,2800.0
2020-10-03,2800.0
2020-10-04,1600.0
2020-10-05,1600.0
2020-10-06,2000.0
2020-10-07,1500.0
2020-10-08,1500.0
2020-10-09,1500.0
2020-10-10,1500.0
2020-10-11,1800.0
2020-10-12,1800.0
2020-10-13,1400.0
2020-10-14,1400.0
2020-10-15,1400.0
2020-10-16,1300.0
2020-10-17,1800.0
2020-10-18,1800.0
2020-10-19,2800.0
2020-10-20,2600.0
2020-10-21,2600.0
2020-10-22,2600.0
2020-10-23,2600.0
2020-10-24,3000.0
2020-10-25,3000.0
2020-10-26,3000.0
2020-10-27,3000.0
2020-10-28,4000.0
2020-10-29,4000.0
2020-10-30,4000.0
2020-10-31,4000.0
2020-11-01,4000.0
2020-11-02,3000.0
2020-11-03,3000.0
2020-11-04,4000.0
2020-11-05,4000.0
2020-11-06,3000.0
2020-11-07,3000.0
2020-11-08,3500.0
2020-11-09,3500.0
2020-11-10,3000.0
2020-11-11,3000.0
2020-11-12,3000.0
2020-11-13,3000.0
2020-11-14,3000.0
2020-11-15,3000.0
2020-11-16,3000.0
2020-11-17,3000.0
2020-11-18,3000.0
2020-11-19,3000.0
2020-11-20,2300.0
2020-11-21,2300.0
2020-11-22,3000.0
2020-11-23,3000.0
2020-11-24,3000.0
2020-11-25,2800.0
2020-11-26,2800.0
2020-11-27,2800.0
2020-11-28,3000.0
2020-11-29,2100.0
2020-11-30,2100.0
2020-12-01,2800.0
2020-12-02,2200.0
2020-12-03,2200.0
2020-12-04,2800.0
2020-12-05,2800.0
2020-12-06,2800.0
2020-12-07,2800.0
2020-12-08,2800.0
2020-12-09,2000.0
2020-12-10,2000.0
2020-12-11,2000.0
2020-12-12,2000.0
2020-12-13,1800.0
2020-12-14,2000.0
2020-12-15,2400.0
2020-12-16,2400.0
2020-12-17,2400.0
2020-12-18,2000.0
2020-12-19,2000.0
2020-12-20,2000.0
2020-12-21,1800.0
2020-12-22,1800.0
2020-12-23,2000.0
2020-12-24,2000.0
2020-12-25,2000.0
2020-12-26,2000.0
2020-12-27,2000.0
2020-12-28,2000.0
2020-12-29,2000.0
2020-12-30,2000.0
2020-12-31,2000.0
2021-01-01,2000.0
2021-01-02,2000.0
2021-01-03,2000.0
2021-01-04,2000.0
2021-01-05,2000.0
2021-01-06,2000.0
2021-01-07,2000.0
2021-01-08,2000.0
2021-01-09,2000.0
2021-01-10,2000.0
2021-01-11,2000.0
2021-01-12,2000.0
2021-01-13,2000.0
2021-01-14,2000.0
2021-01-15,2000.0
2021-01-16,2000.0
2021-01-17,2500.0
2021-01-18,3000.0
2021-01-19,3000.0
2021-01-20,2400.0
2021-01-21,2400.0
2021-01-22,2400.0
2021-01-23,2000.0
2021-01-24,2000.0
2021-01-25,2000.0
2021-01-26,2000.0
2021-01-27,1700.0
2021-01-28,1700.0
2021-01-29,2000.0
2021-01-30,2000.0
2021-01-31,2000.0
2021-02-01,2000.0
2021-02-02,2000.0
2021-02-03,2200.0
2021-02-04,2200.0
2021-02-05,2200.0
2021-02-06,2000.0
2021-02-07,2000.0
2021-02-08,2000.0
2021-02-09,3000.0
2021-02-10,2500.0
2021-02-11,2500.0
2021-02-12,2500.0
2021-02-13,2000.0
2021-02-14,2000.0
2021-02-15,2400.0
2021-02-16,2400.0
2021-02-17,2500.0
2021-02-18,2500.0
2021-02-19,2600.0
2021-02-20,2000.0
2021-02-21,2000.0
2021-02-22,3000.0
2021-02-23,2000.0
2021-02-24,2500.0
2021-02-25,2500.0
2021-02-26,2500.0
2021-02-27,2000.0
2021-02-28,2000.0
2021-03-01,2000.0
2021-03-02,2000.0
2021-03-03,3000.0
2021-03-04,3000.0
2021-03-05,3000.0
2021-03-06,3000.0
2021-03-07,2400.0
2021-03-08,3000.0
2021-03-09,3000.0
2021-03-10,2000.0
2021-03-11,2000.0
2021-03-12,2000.0
2021-03-13,3000.0
2021-03-14,3000.0
2021-03-15,1200.0
2021-03-16,2500.0
2021-03-17,1500.0
2021-03-18,1500.0
2021-03-19,3000.0
2021-03-20,3000.0
2021-03-21,1500.0
2021-03-22,1800.0
2021-03-23,2000.0
2021-03-24,2000.0
2021-03-25,2000.0
2021-03-26,2000.0
2021-03-27,1600.0
2021-03-28,1600.0
2021-03-29,1600.0
2021-03-30,1600.0
2021-03-31,1600.0
2021-04-01,1600.0
2021-04-02,1600.0
2021-04-03,1500.0
2021-04-04,1500.0
2021-04-05,1000.0
2021-04-06,1400.0
2021-04-07,1600.0
2021-04-08,1600.0
2021-04-09,1600.0
2021-04-10,1600.0
2021-04-11,900.0
2021-04-12,1200.0
2021-04-13,1200.0
2021-04-14,1200.0
2021-04-15,1200.0
2021-04-16,1000.0
2021-04-17,1400.0
2021-04-18,1400.0
2021-04-19,1000.0
2021-04-20,1000.0
2021-04-21,1000.0
2021-04-22,1000.0
2021-04-23,1000.0
2021-04-24,1000.0
2021-04-25,1000.0
2021-04-26,1200.0
2021-04-27,1000.0
2021-04-28,1500.0
2021-04-29,1500.0
2021-04-30,900.0
2021-05-01,900.0
2021-05-02,1600.0
2021-05-03,1000.0
2021-05-04,1000.0
2021-05-05,1000.0
2021-05-06,1000.0
2021-05-07,1000.0
2021-05-08,1000.0
2021-05-09,1000.0
2021-05-10,1000.0
2021-05-11,1000.0
2021-05-12,1000.0
2021-05-13,1000.0
2021-05-14,1000.0
2021-05-15,1000.0
2021-05-16,1000.0
2021-05-17,1000.0
2021-05-18,1000.0
2021-05-19,1200.0
2021-05-20,1200.0
2021-05-21,1200.0
2021-05-22,1200.0
2021-05-23,1200.0
2021-05-24,1200.0
2021-05-25,1200.0
2021-05-26,1200.0
2021-05-27,1200.0
2021-05-28,1200.0
2021-05-29,1200.0
2021-05-30,1200.0
2021-05-31,1200.0
2021-06-01,1200.0
2021-06-02,1200.0
2021-06-03,1200.0
2021-06-04,1200.0
2021-06-05,1200.0
2021-06-06,1200.0
2021-06-07,1900.0
2021-06-08,1900.0
2021-06-09,1200.0
2021-06-10,1200.0
2021-06-11,1200.0
2021-06-12,1500.0
2021-06-13,1500.0
2021-06-14,1500.0
2021-06-15,1600.0
2021-06-16,1500.0
2021-06-17,1500.0
2021-06-18,1500.0
2021-06-19,1500.0
2021-06-20,1200.0
2021-06-21,1500.0
2021-06-22,1600.0
2021-06-23,1600.0
2021-06-24,1600.0
2021-06-25,1600.0
2021-06-26,1500.0
2021-06-27,1500.0
2021-06-28,1500.0
2021-06-29,1800.0
2021-06-30,1800.0
2021-07-01,1800.0
2021-07-02,2000.0
2021-07-03,2000.0
2021-07-04,2000.0
2021-07-05,2000.0
2021-07-06,1600.0
2021-07-07,1600.0
2021-07-08,1600.0
2021-07-09,1600.0
2021-07-10,1800.0
2021-07-11,1800.0
2021-07-12,2000.0
2021-07-13,1600.0
2021-07-14,1600.0
2021-07-15,1600.0
2021-07-16,2000.0
2021-07-17,2000.0
2021-07-18,2000.0
2021-07-19,2000.0
2021-07-20,2000.0
2021-07-21,2000.0
2021-07-22,2000.0
2021-07-23,2000.0
2021-07-24,1400.0
2021-07-25,1400.0
2021-07-26,1800.0
2021-07-27,1600.0
2021-07-28,1600.0
2021-07-29,1600.0
2021-07-30,1600.0
2021-07-31,1600.0
2021-08-01,1600.0
2021-08-02,1600.0
2021-08-03,1400.0
2021-08-04,1400.0
2021-08-05,1400.0
2021-08-06,1400.0
2021-08-07,1400.0
2021-08-08,1400.0
2021-08-09,1400.0
2021-08-10,1400.0
2021-08-11,1400.0
