price date,modal price (rs./quintal)
2020-01-02,3500.0
2020-01-03,3500.0
2020-01-04,3500.0
2020-01-05,3500.0
2020-01-06,3500.0
2020-01-07,3500.0
2020-01-08,3500.0
2020-01-09,3000.0
2020-01-10,3000.0
2020-01-11,3000.0
2020-01-12,3000.0
2020-01-13,2800.0
2020-01-14,2800.0
2020-01-15,2800.0
2020-01-16,2800.0
2020-01-17,2800.0
2020-01-18,2800.0
2020-01-19,2800.0
2020-01-20,2500.0
2020-01-21,2500.0
2020-01-22,2500.0
2020-01-23,2500.0
2020-01-24,2500.0
2020-01-25,2500.0
2020-01-26,2500.0
2020-01-27,2500.0
2020-01-28,2500.0
2020-01-29,2500.0
2020-01-30,2500.0
2020-01-31,2200.0
2020-02-01,2200.0
2020-02-02,2200.0
2020-02-03,2400.0
2020-02-04,2400.0
2020-02-05,2400.0
2020-02-06,1800.0
2020-02-07,1800.0
2020-02-08,1800.0
2020-02-09,1800.0
2020-02-10,1500.0
2020-02-11,1500.0
2020-02-12,1500.0
2020-02-13,1800.0
2020-02-14,1800.0
2020-02-15,1800.0
2020-02-16,1800.0
2020-02-17,2400.0
2020-02-18,2400.0
2020-02-19,2400.0
2020-02-20,1600.0
2020-02-21,1600.0
2020-02-22,1600.0
2020-02-23,1600.0
2020-02-24,1600.0
2020-02-25,1600.0
2020-02-26,1600.0
2020-02-27,1500.0
2020-02-28,1500.0
2020-02-29,1500.0
2020-03-01,1500.0
2020-03-02,1400.0
2020-03-03,1400.0
2020-03-04,1400.0
2020-03-05,1200.0
2020-03-06,1200.0
2020-03-07,1200.0
2020-03-08,1200.0
2020-03-09,1400.0
2020-03-10,1400.0
2020-03-11,1400.0
2020-03-12,1400.0
2020-03-13,1400.0
2020-03-14,1400.0
2020-03-15,1400.0
2020-03-16,1200.0
2020-03-17,1200.0
2020-03-18,1200.0
2020-03-19,1200.0
2020-03-20,1200.0
2020-03-21,1200.0
2020-03-22,1200.0
2020-03-23,1200.0
2020-03-24,1200.0
2020-03-25,1200.0
2020-03-26,1200.0
2020-03-27,1200.0
2020-03-28,1200.0
2020-03-29,1200.0
2020-03-30,1200.0
2020-03-31,1200.0
2020-04-01,1100.0
2020-04-02,1100.0
2020-04-03,1100.0
2020-04-04,1100.0
2020-04-05,1100.0
2020-04-06,1100.0
2020-04-07,1100.0
2020-04-08,1100.0
2020-04-09,1100.0
2020-04-10,1100.0
2020-04-11,1100.0
2020-04-12,1100.0
2020-04-13,1100.0
2020-04-14,1100.0
2020-04-15,1100.0
2020-04-16,1100.0
2020-04-17,1100.0
2020-04-18,1100.0
2020-04-19,1100.0
2020-04-20,600.0
2020-04-21,600.0
2020-04-22,600.0
2020-04-23,600.0
2020-04-24,600.0
2020-04-25,600.0
2020-04-26,600.0
2020-04-27,600.0
2020-04-28,600.0
2020-04-29,600.0
2020-04-30,500.0
2020-05-01,500.0
2020-05-02,500.0
2020-05-03,500.0
2020-05-04,500.0
2020-05-05,500.0
2020-05-06,500.0
2020-05-07,500.0
2020-05-08,500.0
2020-05-09,500.0
2020-05-10,500.0
2020-05-11,400.0
2020-05-12,400.0
2020-05-13,400.0
2020-05-14,400.0
2020-05-15,400.0
2020-05-16,400.0
2020-05-17,400.0
2020-05-18,400.0
2020-05-19,400.0
2020-05-20,400.0
2020-05-21,400.0
2020-05-22,400.0
2020-05-23,400.0
2020-05-24,400.0
2020-05-25,400.0
2020-05-26,400.0
2020-05-27,400.0
2020-05-28,400.0
2020-05-29,400.0
2020-05-30,400.0
2020-05-31,400.0
2020-06-01,400.0
2020-06-02,400.0
2020-06-03,400.0
2020-06-04,600.0
2020-06-05,600.0
2020-06-06,600.0
2020-06-07,600.0
2020-06-08,500.0
2020-06-09,500.0
2020-06-10,500.0
2020-06-11,500.0
2020-06-12,500.0
2020-06-13,500.0
2020-06-14,500.0
2020-06-15,400.0
2020-06-16,400.0
2020-06-17,400.0
2020-06-18,400.0
2020-06-19,400.0
2020-06-20,400.0
2020-06-21,400.0
2020-06-22,400.0
2020-06-23,400.0
2020-06-24,400.0
2020-06-25,400.0
2020-06-26,400.0
2020-06-27,400.0
2020-06-28,400.0
2020-06-29,300.0
2020-06-30,300.0
2020-07-01,300.0
2020-07-02,500.0
2020-07-03,500.0
2020-07-04,500.0
2020-07-05,500.0
2020-07-06,500.0
2020-07-07,500.0
2020-07-08,500.0
2020-07-09,500.0
2020-07-10,500.0
2020-07-11,500.0
2020-07-12,500.0
2020-07-13,500.0
2020-07-14,500.0
2020-07-15,500.0
2020-07-16,500.0
2020-07-17,500.0
2020-07-18,500.0
2020-07-19,500.0
2020-07-20,500.0
2020-07-21,500.0
2020-07-22,500.0
2020-07-23,500.0
2020-07-24,500.0
2020-07-25,500.0
2020-07-26,500.0
2020-07-27,500.0
2020-07-28,500.0
2020-07-29,500.0
2020-07-30,500.0
2020-07-31,500.0
2020-08-01,500.0
2020-08-02,500.0
2020-08-03,500.0
2020-08-04,600.0
2020-08-05,600.0
2020-08-06,600.0
2020-08-07,600.0
2020-08-08,600.0
2020-08-09,600.0
2020-08-10,600.0
2020-08-11,600.0
2020-08-12,600.0
2020-08-13,800.0
2020-08-14,800.0
