price date,modal price (rs./quintal)
2020-03-12,1000.0
2020-03-13,1000.0
2020-03-14,1000.0
2020-03-15,1000.0
2020-03-16,1000.0
2020-03-17,1000.0
2020-03-18,1000.0
2020-03-19,1000.0
2020-03-20,1000.0
2020-03-21,1000.0
2020-03-22,1000.0
2020-03-23,1000.0
2020-03-24,1000.0
2020-03-25,1000.0
2020-03-26,1000.0
2020-03-27,1000.0
2020-03-28,1000.0
2020-03-29,1000.0
2020-03-30,1000.0
2020-03-31,1000.0
2020-04-01,1000.0
2020-04-02,1000.0
2020-04-03,1000.0
2020-04-04,1000.0
2020-04-05,1000.0
2020-04-06,1000.0
2020-04-07,1000.0
2020-04-08,1000.0
2020-04-09,1000.0
2020-04-10,1000.0
2020-04-11,1000.0
2020-04-12,1000.0
2020-04-13,1000.0
2020-04-14,1000.0
2020-04-15,1000.0
2020-04-16,1000.0
2020-04-17,1000.0
2020-04-18,1000.0
2020-04-19,1000.0
2020-04-20,2140.0
2020-04-21,2140.0
2020-04-22,2140.0
2020-04-23,2140.0
2020-04-24,2140.0
2020-04-25,2140.0
2020-04-26,2140.0
2020-04-27,2140.0
2020-04-28,2140.0
2020-04-29,2140.0
2020-04-30,2140.0
2020-05-01,2140.0
2020-05-02,2140.0
2020-05-03,2140.0
2020-05-04,2140.0
2020-05-05,2140.0
2020-05-06,2140.0
2020-05-07,2140.0
2020-05-08,2140.0
2020-05-09,2140.0
2020-05-10,2140.0
2020-05-11,2140.0
2020-05-12,2140.0
2020-05-13,2140.0
2020-05-14,2140.0
2020-05-15,2140.0
2020-05-16,2140.0
2020-05-17,2140.0
2020-05-18,2140.0
2020-05-19,2140.0
2020-05-20,2140.0
2020-05-21,2140.0
2020-05-22,2140.0
2020-05-23,1000.0
2020-05-24,1000.0
2020-05-25,1000.0
2020-05-26,1000.0
2020-05-27,1000.0
2020-05-28,1000.0
2020-05-29,1000.0
2020-05-30,1000.0
2020-05-31,1000.0
2020-06-01,1000.0
2020-06-02,1000.0
2020-06-03,1000.0
2020-06-04,1000.0
2020-06-05,1000.0
2020-06-06,1000.0
2020-06-07,1000.0
2020-06-08,1000.0
2020-06-09,1000.0
2020-06-10,1000.0
2020-06-11,1000.0
2020-06-12,1000.0
2020-06-13,1000.0
2020-06-14,1000.0
2020-06-15,1000.0
2020-06-16,1000.0
2020-06-17,1000.0
2020-06-18,1000.0
2020-06-19,1300.0
2020-06-20,1300.0
2020-06-21,1300.0
2020-06-22,1300.0
2020-06-23,1300.0
2020-06-24,1300.0
2020-06-25,1300.0
2020-06-26,1300.0
2020-06-27,1300.0
2020-06-28,1300.0
2020-06-29,1300.0
2020-06-30,1300.0
2020-07-01,1300.0
2020-07-02,1300.0
2020-07-03,1300.0
2020-07-04,1300.0
2020-07-05,1300.0
2020-07-06,1300.0
2020-07-07,1300.0
2020-07-08,1300.0
2020-07-09,1300.0
2020-07-10,1300.0
2020-07-11,1300.0
2020-07-12,1300.0
2020-07-13,1300.0
2020-07-14,1300.0
2020-07-15,1300.0
2020-07-16,1300.0
2020-07-17,1300.0
2020-07-18,1300.0
2020-07-19,1300.0
2020-07-20,1300.0
2020-07-21,1300.0
2020-07-22,1300.0
2020-07-23,1300.0
2020-07-24,1300.0
2020-07-25,1300.0
2020-07-26,1300.0
2020-07-27,1300.0
2020-07-28,1300.0
2020-07-29,1300.0
2020-07-30,1300.0
2020-07-31,1300.0
