price date,modal price (rs./quintal)
2020-01-01,6500.0
2020-01-02,6500.0
2020-01-03,6500.0
2020-01-04,6500.0
2020-01-05,6500.0
2020-01-06,6500.0
2020-01-07,6500.0
2020-01-08,6500.0
2020-01-09,6500.0
2020-01-10,6500.0
2020-01-11,6500.0
2020-01-12,6500.0
2020-01-13,4500.0
2020-01-14,3000.0
2020-01-15,3000.0
2020-01-16,3000.0
2020-01-17,3000.0
2020-01-18,3000.0
2020-01-19,3000.0
2020-01-20,3000.0
2020-01-21,3750.0
2020-01-22,3750.0
2020-01-23,3750.0
2020-01-24,3750.0
2020-01-25,3750.0
2020-01-26,3750.0
2020-01-27,3750.0
2020-01-28,3333.0
2020-01-29,3333.0
2020-01-30,3333.0
2020-01-31,3333.0
2020-02-01,3333.0
2020-02-02,3333.0
2020-02-03,3333.0
2020-02-04,2857.0
2020-02-05,2857.0
2020-02-06,2857.0
2020-02-07,2857.0
2020-02-08,2857.0
2020-02-09,2857.0
2020-02-10,2500.0
2020-02-11,2500.0
2020-02-12,2500.0
2020-02-13,2500.0
2020-02-14,2500.0
2020-02-15,2500.0
2020-02-16,2500.0
2020-02-17,2731.0
2020-02-18,2731.0
2020-02-19,2731.0
2020-02-20,2731.0
2020-02-21,2731.0
2020-02-22,2731.0
2020-02-23,2731.0
2020-02-24,2731.0
2020-02-25,1428.0
2020-02-26,1428.0
2020-02-27,1428.0
2020-02-28,1428.0
2020-02-29,1428.0
2020-03-01,1428.0
2020-03-02,2333.0
2020-03-03,1428.0
2020-03-04,1428.0
2020-03-05,1428.0
2020-03-06,1428.0
2020-03-07,1428.0
2020-03-08,1428.0
2020-03-09,1860.0
2020-03-10,1860.0
2020-03-11,1860.0
2020-03-12,1860.0
2020-03-13,1860.0
2020-03-14,1860.0
2020-03-15,1860.0
2020-03-16,1860.0
2020-03-17,1702.0
2020-03-18,1702.0
2020-03-19,1702.0
2020-03-20,1702.0
2020-03-21,1702.0
2020-03-22,1702.0
2020-03-23,2100.0
2020-03-24,1000.0
2020-03-25,1000.0
2020-03-26,1000.0
2020-03-27,1393.0
2020-03-28,1393.0
2020-03-29,1393.0
2020-03-30,1873.0
2020-03-31,1944.0
2020-04-01,2066.3333333333335
2020-04-02,1736.0
2020-04-03,1597.0
2020-04-04,1834.3333333333333
2020-04-05,1834.3333333333333
2020-04-06,1834.3333333333333
2020-04-07,1715.5
2020-04-08,1890.0
2020-04-09,1873.3333333333333
2020-04-10,1944.0
2020-04-11,2002.5
2020-04-12,1833.0
2020-04-13,1590.6666666666667
2020-04-14,1783.5
2020-04-15,1626.0
2020-04-16,1720.0
2020-04-17,1360.5
2020-04-18,1650.0
2020-04-19,1740.0
2020-04-20,1461.0
2020-04-21,1362.0
2020-04-22,1215.6666666666667
2020-04-23,1272.0
2020-04-24,1066.0
2020-04-25,1413.0
2020-04-26,1452.5
2020-04-27,1376.0
2020-04-28,1402.0
2020-04-29,1038.0
2020-04-30,1354.0
2020-05-01,952.0
2020-05-02,1325.0
2020-05-03,1272.5
2020-05-04,1170.3333333333333
2020-05-05,1150.0
2020-05-06,1325.0
2020-05-07,1320.0
2020-05-08,1320.0
2020-05-09,1362.5
2020-05-10,1293.0
2020-05-11,1294.0
2020-05-12,1200.0
2020-05-13,1115.5
2020-05-14,1157.0
2020-05-15,1100.0
2020-05-16,1009.0
2020-05-17,1615.0
2020-05-18,1375.0
2020-05-19,1150.0
2020-05-20,1061.0
2020-05-21,1169.5
2020-05-22,1200.0
2020-05-23,1200.0
2020-05-24,1200.0
2020-05-25,1200.0
2020-05-26,1250.0
2020-05-27,1200.0
2020-05-28,1275.0
2020-05-29,1200.0
2020-05-30,1200.0
2020-05-31,1250.0
2020-06-01,1280.0
2020-06-02,1200.0
2020-06-03,1275.0
2020-06-04,1250.0
2020-06-05,1100.0
2020-06-06,1455.0
2020-06-07,1455.0
2020-06-08,1450.0
2020-06-09,1250.0
2020-06-10,1400.0
2020-06-11,1400.0
2020-06-12,1400.0
2020-06-13,1620.0
2020-06-14,1550.0
2020-06-15,1225.0
2020-06-16,1267.5
2020-06-17,1050.0
2020-06-18,1200.0
2020-06-19,1200.0
2020-06-20,1200.0
2020-06-21,1200.0
2020-06-22,1067.5
2020-06-23,1000.0
2020-06-24,1000.0
2020-06-25,1000.0
2020-06-26,1000.0
2020-06-27,1140.0
2020-06-28,1140.0
2020-06-29,1140.0
2020-06-30,1140.0
2020-07-01,1050.0
2020-07-02,1212.0
2020-07-03,1176.0
2020-07-04,1341.0
2020-07-05,1341.0
2020-07-06,1179.0
2020-07-07,1325.0
2020-07-08,1304.0
2020-07-09,1375.0
2020-07-10,1296.0
2020-07-11,1296.0
2020-07-12,2200.0
2020-07-13,1227.5
2020-07-14,1227.5
2020-07-15,1363.0
2020-07-16,1600.0
2020-07-17,1209.0
2020-07-18,1658.0
2020-07-19,1658.0
2020-07-20,1130.0
2020-07-21,1250.0
2020-07-22,1228.0
2020-07-23,1250.0
2020-07-24,1250.0
2020-07-25,1250.0
2020-07-26,1250.0
2020-07-27,1125.0
2020-07-28,1125.0
2020-07-29,1125.0
2020-07-30,1125.0
2020-07-31,1125.0
2020-08-01,1125.0
2020-08-02,1125.0
2020-08-03,1221.0
2020-08-04,1428.0
2020-08-05,1373.0
2020-08-06,1373.0
