price date,modal price (rs./quintal)
2020-01-01,4000.0
2020-01-02,3750.0
2020-01-03,3750.0
2020-01-04,3750.0
2020-01-05,3750.0
2020-01-06,4250.0
2020-01-07,4000.0
2020-01-08,3850.0
2020-01-09,3750.0
2020-01-10,3750.0
2020-01-11,3750.0
2020-01-12,3750.0
2020-01-13,3000.0
2020-01-14,2250.0
2020-01-15,2250.0
2020-01-16,2250.0
2020-01-17,2500.0
2020-01-18,3100.0
2020-01-19,3100.0
2020-01-20,3100.0
2020-01-21,3250.0
2020-01-22,4000.0
2020-01-23,3000.0
2020-01-24,3000.0
2020-01-25,3000.0
2020-01-26,3000.0
2020-01-27,2000.0
2020-01-28,2050.0
2020-01-29,2250.0
2020-01-30,2700.0
2020-01-31,2300.0
2020-02-01,2150.0
2020-02-02,2150.0
2020-02-03,2800.0
2020-02-04,2000.0
2020-02-05,1750.0
2020-02-06,1750.0
2020-02-07,1350.0
2020-02-08,1350.0
2020-02-09,1350.0
2020-02-10,1500.0
2020-02-11,1650.0
2020-02-12,1650.0
2020-02-13,1350.0
2020-02-14,1350.0
2020-02-15,1400.0
2020-02-16,1400.0
2020-02-17,1400.0
2020-02-18,1200.0
2020-02-19,1300.0
2020-02-20,1350.0
2020-02-21,1350.0
2020-02-22,1350.0
2020-02-23,1350.0
2020-02-24,1700.0
2020-02-25,1650.0
2020-02-26,1500.0
2020-02-27,1400.0
2020-02-28,1300.0
2020-02-29,1300.0
2020-03-01,1300.0
2020-03-02,1500.0
2020-03-03,1500.0
2020-03-04,1500.0
2020-03-05,1200.0
2020-03-06,1250.0
2020-03-07,1250.0
2020-03-08,1250.0
2020-03-09,1250.0
2020-03-10,1300.0
2020-03-11,1300.0
2020-03-12,1250.0
2020-03-13,1250.0
2020-03-14,1250.0
2020-03-15,1250.0
2020-03-16,1100.0
2020-03-17,1100.0
2020-03-18,950.0
2020-03-19,900.0
2020-03-20,800.0
2020-03-21,950.0
2020-03-22,950.0
2020-03-23,1300.0
2020-03-24,1300.0
2020-03-25,1300.0
2020-03-26,1300.0
2020-03-27,1300.0
2020-03-28,1300.0
2020-03-29,1300.0
2020-03-30,1300.0
2020-03-31,1600.0
2020-04-01,1050.0
2020-04-02,1450.0
2020-04-03,1100.0
2020-04-04,1050.0
2020-04-05,1050.0
2020-04-06,1050.0
2020-04-07,1000.0
2020-04-08,900.0
2020-04-09,750.0
2020-04-10,850.0
2020-04-11,800.0
2020-04-12,800.0
2020-04-13,1020.0
2020-04-14,900.0
2020-04-15,800.0
2020-04-16,800.0
2020-04-17,750.0
2020-04-18,750.0
2020-04-19,750.0
2020-04-20,700.0
2020-04-21,700.0
2020-04-22,700.0
2020-04-23,700.0
2020-04-24,700.0
2020-04-25,700.0
2020-04-26,700.0
2020-04-27,12000.0
2020-04-28,700.0
2020-04-29,700.0
2020-04-30,700.0
2020-05-01,750.0
2020-05-02,700.0
2020-05-03,700.0
2020-05-04,700.0
2020-05-05,600.0
2020-05-06,700.0
2020-05-07,700.0
2020-05-08,700.0
2020-05-09,700.0
2020-05-10,700.0
2020-05-11,700.0
2020-05-12,700.0
2020-05-13,700.0
2020-05-14,700.0
2020-05-15,700.0
2020-05-16,650.0
2020-05-17,650.0
2020-05-18,650.0
2020-05-19,650.0
2020-05-20,650.0
2020-05-21,600.0
2020-05-22,600.0
2020-05-23,600.0
2020-05-24,600.0
2020-05-25,600.0
2020-05-26,650.0
2020-05-27,650.0
2020-05-28,700.0
2020-05-29,700.0
2020-05-30,700.0
2020-05-31,700.0
2020-06-01,700.0
2020-06-02,700.0
2020-06-03,700.0
2020-06-04,700.0
2020-06-05,700.0
2020-06-06,700.0
2020-06-07,700.0
2020-06-08,700.0
2020-06-09,700.0
2020-06-10,800.0
2020-06-11,800.0
2020-06-12,800.0
2020-06-13,800.0
2020-06-14,800.0
2020-06-15,800.0
2020-06-16,800.0
2020-06-17,800.0
2020-06-18,800.0
2020-06-19,800.0
2020-06-20,800.0
2020-06-21,800.0
2020-06-22,800.0
2020-06-23,800.0
2020-06-24,700.0
2020-06-25,700.0
2020-06-26,600.0
2020-06-27,700.0
2020-06-28,700.0
2020-06-29,700.0
2020-06-30,700.0
2020-07-01,700.0
2020-07-02,700.0
2020-07-03,800.0
2020-07-04,800.0
2020-07-05,800.0
2020-07-06,800.0
2020-07-07,700.0
2020-07-08,700.0
2020-07-09,700.0
2020-07-10,700.0
2020-07-11,700.0
2020-07-12,700.0
2020-07-13,700.0
2020-07-14,800.0
2020-07-15,800.0
2020-07-16,800.0
2020-07-17,800.0
2020-07-18,800.0
2020-07-19,800.0
2020-07-20,800.0
2020-07-21,800.0
2020-07-22,700.0
2020-07-23,700.0
2020-07-24,700.0
2020-07-25,700.0
2020-07-26,700.0
2020-07-27,800.0
2020-07-28,700.0
2020-07-29,700.0
2020-07-30,700.0
2020-07-31,600.0
2020-08-01,600.0
2020-08-02,600.0
2020-08-03,650.0
2020-08-04,650.0
2020-08-05,650.0
2020-08-06,625.0
2020-08-07,700.0
2020-08-08,700.0
2020-08-09,700.0
2020-08-10,600.0
2020-08-11,700.0
2020-08-12,700.0
2020-08-13,600.0
2020-08-14,800.0
2020-08-15,800.0
2020-08-16,800.0
2020-08-17,750.0
2020-08-18,725.0
2020-08-19,750.0
2020-08-20,825.0
2020-08-21,750.0
2020-08-22,750.0
2020-08-23,750.0
2020-08-24,750.0
2020-08-25,750.0
2020-08-26,725.0
2020-08-27,650.0
2020-08-28,600.0
2020-08-29,750.0
2020-08-30,750.0
2020-08-31,650.0
2020-09-01,600.0
2020-09-02,600.0
2020-09-03,650.0
2020-09-04,900.0
2020-09-05,850.0
2020-09-06,850.0
2020-09-07,900.0
2020-09-08,850.0
2020-09-09,1000.0
2020-09-10,900.0
2020-09-11,900.0
2020-09-12,900.0
2020-09-13,900.0
2020-09-14,900.0
2020-09-15,900.0
2020-09-16,925.0
2020-09-17,925.0
2020-09-18,900.0
2020-09-19,900.0
2020-09-20,900.0
2020-09-21,1150.0
2020-09-22,1000.0
2020-09-23,1000.0
2020-09-24,1150.0
2020-09-25,1150.0
2020-09-26,1150.0
2020-09-27,1150.0
2020-09-28,1150.0
2020-09-29,1000.0
2020-09-30,1000.0
2020-10-01,1050.0
2020-10-02,1050.0
2020-10-03,1000.0
2020-10-04,1000.0
2020-10-05,1000.0
2020-10-06,1200.0
2020-10-07,1300.0
2020-10-08,1250.0
2020-10-09,1000.0
2020-10-10,1000.0
2020-10-11,1000.0
2020-10-12,1300.0
2020-10-13,1350.0
2020-10-14,1250.0
