price date,modal price (rs./quintal)
2020-01-01,4266.666666666667
2020-01-02,2950.0
2020-01-03,2816.6666666666665
2020-01-04,3000.0
2020-01-05,3000.0
2020-01-06,3066.6666666666665
2020-01-07,3400.0
2020-01-08,3400.0
2020-01-09,2933.3333333333335
2020-01-10,2800.0
2020-01-11,2433.3333333333335
2020-01-12,2433.3333333333335
2020-01-13,2266.6666666666665
2020-01-14,1966.6666666666667
2020-01-15,1966.6666666666667
2020-01-16,2733.3333333333335
2020-01-17,2600.0
2020-01-18,2600.0
2020-01-19,2600.0
2020-01-20,2700.0
2020-01-21,2500.0
2020-01-22,2600.0
2020-01-23,2533.3333333333335
2020-01-24,2166.6666666666665
2020-01-25,2000.0
2020-01-26,2000.0
2020-01-27,2000.0
2020-01-28,2000.0
2020-01-29,2000.0
2020-01-30,2033.3333333333333
2020-01-31,1800.0
2020-02-01,1866.6666666666667
2020-02-02,1866.6666666666667
2020-02-03,1575.0
2020-02-04,1600.0
2020-02-05,1416.6666666666667
2020-02-06,1350.0
2020-02-07,1283.3333333333333
2020-02-08,1300.0
2020-02-09,1300.0
2020-02-10,1216.6666666666667
2020-02-11,1500.0
2020-02-12,1400.0
2020-02-13,1500.0
2020-02-14,1366.6666666666667
2020-02-15,1500.0
2020-02-16,1500.0
2020-02-17,1500.0
2020-02-18,1800.0
2020-02-19,1600.0
2020-02-20,1475.0
2020-02-21,1475.0
2020-02-22,1300.0
2020-02-23,1300.0
2020-02-24,1200.0
2020-02-25,1275.0
2020-02-26,1100.0
2020-02-27,1150.0
2020-02-28,1300.0
2020-02-29,1266.6666666666667
2020-03-01,1266.6666666666667
2020-03-02,1266.6666666666667
2020-03-03,1150.0
2020-03-04,1216.6666666666667
2020-03-05,1175.0
2020-03-06,1400.0
2020-03-07,1216.6666666666667
2020-03-08,1216.6666666666667
2020-03-09,1300.0
2020-03-10,1350.0
2020-03-11,1333.3333333333333
2020-03-12,1500.0
2020-03-13,1500.0
2020-03-14,1325.0
2020-03-15,1325.0
2020-03-16,1250.0
2020-03-17,1250.0
2020-03-18,1150.0
2020-03-19,1066.6666666666667
2020-03-20,983.3333333333334
2020-03-21,1150.0
2020-03-22,1150.0
2020-03-23,1150.0
2020-03-24,1150.0
2020-03-25,1150.0
2020-03-26,1150.0
2020-03-27,1150.0
2020-03-28,1150.0
2020-03-29,1150.0
2020-03-30,1150.0
2020-03-31,1150.0
2020-04-01,1150.0
2020-04-02,1750.0
