price date,modal price (rs./quintal)
2020-01-01,4000.0
2020-01-02,5500.0
2020-01-03,4000.0
2020-01-04,4000.0
2020-01-05,4000.0
2020-01-06,4000.0
2020-01-07,3000.0
2020-01-08,3000.0
2020-01-09,3000.0
2020-01-10,3545.5
2020-01-11,3545.5
2020-01-12,3545.5
2020-01-13,3295.0
2020-01-14,2760.0
2020-01-15,2760.0
2020-01-16,3395.0
2020-01-17,3395.0
2020-01-18,3395.0
2020-01-19,3395.0
2020-01-20,3444.0
2020-01-21,3408.0
2020-01-22,2500.0
2020-01-23,2500.0
2020-01-24,3600.0
2020-01-25,3600.0
2020-01-26,3600.0
2020-01-27,3395.0
2020-01-28,2900.0
2020-01-29,3289.0
2020-01-30,3000.0
2020-01-31,3000.0
2020-02-01,2863.5
2020-02-02,2863.5
2020-02-03,2863.5
2020-02-04,2415.0
2020-02-05,2065.0
2020-02-06,2422.0
2020-02-07,400.0
2020-02-08,400.0
2020-02-09,400.0
2020-02-10,400.0
2020-02-11,2500.0
2020-02-12,1507.0
2020-02-13,1495.0
2020-02-14,1200.0
2020-02-15,1200.0
2020-02-16,1200.0
2020-02-17,2290.0
2020-02-18,2290.0
2020-02-19,1742.0
2020-02-20,1928.0
2020-02-21,1928.0
2020-02-22,1928.0
2020-02-23,1928.0
2020-02-24,1972.0
2020-02-25,1500.0
2020-02-26,2112.5
2020-02-27,1929.0
2020-02-28,1929.0
2020-02-29,1813.0
2020-03-01,1813.0
2020-03-02,1813.0
2020-03-03,1813.0
2020-03-04,1236.0
2020-03-05,1721.0
2020-03-06,1721.0
2020-03-07,1721.0
2020-03-08,1721.0
2020-03-09,1721.0
2020-03-10,1669.0
2020-03-11,1682.0
2020-03-12,1307.5
2020-03-13,1307.5
2020-03-14,1307.5
2020-03-15,1307.5
2020-03-16,1500.0
2020-03-17,1500.0
2020-03-18,1358.0
2020-03-19,1761.0
2020-03-20,1613.0
2020-03-21,1613.0
2020-03-22,1613.0
2020-03-23,1613.0
2020-03-24,1613.0
2020-03-25,1613.0
2020-03-26,1600.0
2020-03-27,2200.0
2020-03-28,2200.0
2020-03-29,1000.0
2020-03-30,1200.0
2020-03-31,1963.3333333333333
2020-04-01,2500.0
2020-04-02,3000.0
2020-04-03,1766.6666666666667
2020-04-04,1666.6666666666667
2020-04-05,3000.0
2020-04-06,3000.0
2020-04-07,1500.0
2020-04-08,1000.0
2020-04-09,2500.0
2020-04-10,2500.0
2020-04-11,2500.0
2020-04-12,2500.0
2020-04-13,600.0
2020-04-14,2500.0
2020-04-15,900.0
2020-04-16,1250.0
2020-04-17,1012.5
2020-04-18,800.0
2020-04-19,800.0
2020-04-20,1150.0
2020-04-21,1150.0
2020-04-22,1100.0
2020-04-23,1750.0
2020-04-24,1750.0
2020-04-25,2500.0
2020-04-26,2500.0
2020-04-27,2500.0
2020-04-28,861.5
2020-04-29,1050.0
2020-04-30,1100.0
2020-05-01,1100.0
2020-05-02,600.0
2020-05-03,600.0
2020-05-04,600.0
2020-05-05,1000.0
2020-05-06,975.0
2020-05-07,1000.0
2020-05-08,1000.0
2020-05-09,1000.0
2020-05-10,1000.0
2020-05-11,1000.0
2020-05-12,949.0
2020-05-13,949.0
2020-05-14,949.0
2020-05-15,600.0
2020-05-16,500.0
2020-05-17,500.0
2020-05-18,500.0
2020-05-19,500.0
2020-05-20,500.0
2020-05-21,500.0
2020-05-22,500.0
2020-05-23,500.0
2020-05-24,500.0
2020-05-25,500.0
2020-05-26,500.0
2020-05-27,500.0
2020-05-28,500.0
2020-05-29,500.0
2020-05-30,500.0
2020-05-31,500.0
2020-06-01,500.0
2020-06-02,500.0
2020-06-03,500.0
2020-06-04,500.0
2020-06-05,500.0
2020-06-06,600.0
2020-06-07,600.0
2020-06-08,600.0
2020-06-09,600.0
2020-06-10,600.0
2020-06-11,600.0
2020-06-12,600.0
2020-06-13,600.0
2020-06-14,600.0
2020-06-15,600.0
2020-06-16,600.0
2020-06-17,600.0
2020-06-18,600.0
2020-06-19,600.0
2020-06-20,600.0
2020-06-21,600.0
2020-06-22,600.0
2020-06-23,600.0
2020-06-24,600.0
2020-06-25,600.0
2020-06-26,600.0
2020-06-27,600.0
2020-06-28,600.0
2020-06-29,600.0
2020-06-30,600.0
2020-07-01,1000.0
2020-07-02,1000.0
2020-07-03,1000.0
2020-07-04,1000.0
2020-07-05,1000.0
2020-07-06,1000.0
2020-07-07,888.0
2020-07-08,700.0
2020-07-09,853.0
2020-07-10,853.0
2020-07-11,853.0
2020-07-12,853.0
2020-07-13,929.0
2020-07-14,750.0
2020-07-15,800.0
2020-07-16,749.0
2020-07-17,1000.0
2020-07-18,1000.0
2020-07-19,1000.0
2020-07-20,1000.0
2020-07-21,1000.0
2020-07-22,700.0
2020-07-23,700.0
2020-07-24,700.0
2020-07-25,700.0
2020-07-26,700.0
2020-07-27,890.0
2020-07-28,600.0
2020-07-29,1000.0
2020-07-30,918.0
2020-07-31,1000.0
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,1000.0
2020-08-04,1000.0
2020-08-05,740.0
2020-08-06,900.0
2020-08-07,900.0
2020-08-08,900.0
2020-08-09,900.0
2020-08-10,900.0
2020-08-11,900.0
2020-08-12,1000.0
2020-08-13,1000.0
2020-08-14,1000.0
2020-08-15,1000.0
2020-08-16,1100.0
2020-08-17,1100.0
2020-08-18,1100.0
2020-08-19,1100.0
2020-08-20,1100.0
2020-08-21,1100.0
2020-08-22,1100.0
2020-08-23,1100.0
2020-08-24,1289.0
2020-08-25,1289.0
2020-08-26,1100.0
2020-08-27,1200.0
2020-08-28,1000.0
2020-08-29,1574.0
2020-08-30,1574.0
2020-08-31,1574.0
2020-09-01,1333.0
2020-09-02,1093.0
2020-09-03,1093.0
2020-09-04,1550.0
2020-09-05,1550.0
2020-09-06,1550.0
2020-09-07,2000.0
2020-09-08,2000.0
2020-09-09,1650.0
2020-09-10,1650.0
2020-09-11,1657.0
2020-09-12,1657.0
2020-09-13,1657.0
