price date,modal price (rs./quintal)
2020-01-02,9125.0
2020-01-03,9000.0
2020-01-04,9000.0
2020-01-05,4500.0
2020-01-06,10000.0
2020-01-07,5000.0
2020-01-08,5000.0
2020-01-09,8545.0
2020-01-10,5000.0
2020-01-11,5000.0
2020-01-12,5000.0
2020-01-13,5000.0
2020-01-14,4750.0
2020-01-15,2750.0
2020-01-16,7366.0
2020-01-17,6557.5
2020-01-18,5000.0
2020-01-19,5000.0
2020-01-20,5000.0
2020-01-21,4250.0
2020-01-22,4250.0
2020-01-23,4250.0
2020-01-24,4300.0
2020-01-25,4300.0
2020-01-26,4300.0
2020-01-27,4300.0
2020-01-28,3250.0
2020-01-29,3250.0
2020-01-30,3250.0
2020-01-31,4100.0
2020-02-01,4100.0
2020-02-02,4100.0
2020-02-03,4100.0
2020-02-04,2900.0
2020-02-05,3000.0
2020-02-06,3000.0
2020-02-07,3575.0
2020-02-08,3575.0
2020-02-09,3575.0
2020-02-10,1600.0
2020-02-11,2400.0
2020-02-12,2400.0
2020-02-13,2500.0
2020-02-14,4008.0
2020-02-15,4008.0
2020-02-16,4008.0
2020-02-17,3800.0
2020-02-18,2700.0
2020-02-19,2700.0
2020-02-20,2700.0
2020-02-21,2000.0
2020-02-22,2000.0
2020-02-23,2000.0
2020-02-24,2000.0
2020-02-25,2450.0
2020-02-26,2450.0
2020-02-27,2500.0
2020-02-28,2595.5
2020-02-29,2595.5
2020-03-01,2595.5
2020-03-02,2595.5
2020-03-03,230.0
2020-03-04,2133.0
2020-03-05,1800.0
2020-03-06,2298.0
2020-03-07,2298.0
2020-03-08,2298.0
2020-03-09,2298.0
2020-03-10,1950.0
2020-03-11,1950.0
2020-03-12,1450.0
2020-03-13,2423.0
2020-03-14,2423.0
2020-03-15,2423.0
2020-03-16,2423.0
2020-03-17,2100.0
2020-03-18,1300.0
2020-03-19,2178.0
2020-03-20,1115.0
2020-03-21,430.0
2020-03-22,430.0
2020-03-23,1215.0
2020-03-24,2000.0
2020-03-25,2000.0
2020-03-26,2000.0
2020-03-27,2300.0
2020-03-28,1950.0
2020-03-29,2580.0
2020-03-30,2580.0
2020-03-31,2175.0
2020-04-01,2366.6666666666665
2020-04-02,1900.0
2020-04-03,2475.0
2020-04-04,2233.3333333333335
2020-04-05,2025.0
2020-04-06,2000.0
2020-04-07,1975.0
2020-04-08,2100.0
2020-04-09,2375.0
2020-04-10,1842.75
2020-04-11,2225.0
2020-04-12,2569.6
2020-04-13,2693.3333333333335
2020-04-14,2266.6666666666665
2020-04-15,1775.0
2020-04-16,2077.3333333333335
2020-04-17,2350.0
2020-04-18,2356.6
2020-04-19,2066.6666666666665
2020-04-20,1850.0
2020-04-21,1600.0
2020-04-22,1916.6666666666667
2020-04-23,1550.0
2020-04-24,1637.5
2020-04-25,1375.0
2020-04-26,1479.3333333333333
2020-04-27,1500.0
2020-04-28,1266.5
2020-04-29,803.3333333333334
2020-04-30,1125.0
2020-05-01,1250.0
2020-05-02,1050.0
2020-05-03,1225.0
2020-05-04,1216.6666666666667
2020-05-05,1200.0
2020-05-06,1350.0
2020-05-07,1477.0
2020-05-08,1266.6666666666667
2020-05-09,1200.0
2020-05-10,1200.0
2020-05-11,1200.0
2020-05-12,1200.0
2020-05-13,1200.0
2020-05-14,1557.3333333333333
2020-05-15,1066.6666666666667
2020-05-16,1125.0
2020-05-17,1100.0
2020-05-18,1000.0
2020-05-19,1200.0
2020-05-20,1166.6666666666667
2020-05-21,925.0
2020-05-22,1050.0
2020-05-23,1050.0
2020-05-24,1050.0
2020-05-25,900.0
2020-05-26,900.0
2020-05-27,975.0
2020-05-28,1050.0
2020-05-29,1316.6666666666667
2020-05-30,950.0
2020-05-31,950.0
2020-06-01,1050.0
2020-06-02,1200.0
2020-06-03,1066.6666666666667
2020-06-04,984.6666666666666
2020-06-05,1000.0
2020-06-06,1075.0
2020-06-07,1450.0
2020-06-08,1050.0
2020-06-09,1250.0
2020-06-10,1250.0
2020-06-11,1400.0
2020-06-12,1250.0
2020-06-13,1200.0
2020-06-14,950.0
2020-06-15,1200.0
2020-06-16,1250.0
2020-06-17,950.0
2020-06-18,1100.0
2020-06-19,1095.3333333333333
2020-06-20,1075.0
2020-06-21,1300.0
2020-06-22,1300.0
2020-06-23,1300.0
2020-06-24,1250.0
2020-06-25,1100.0
2020-06-26,1300.0
2020-06-27,1300.0
2020-06-28,1300.0
2020-06-29,1300.0
2020-06-30,1300.0
2020-07-01,1250.0
2020-07-02,1075.0
2020-07-03,1525.0
2020-07-04,1300.0
2020-07-05,900.0
2020-07-06,1300.0
2020-07-07,1250.0
2020-07-08,1300.0
2020-07-09,950.0
2020-07-10,1300.0
2020-07-11,1300.0
2020-07-12,1300.0
2020-07-13,1300.0
2020-07-14,1250.0
2020-07-15,1203.75
2020-07-16,1750.0
2020-07-17,1250.0
2020-07-18,1116.6666666666667
2020-07-19,1250.0
2020-07-20,1025.0
2020-07-21,1300.0
2020-07-22,1225.0
2020-07-23,1225.0
2020-07-24,1200.0
2020-07-25,1200.0
2020-07-26,1300.0
2020-07-27,1300.0
2020-07-28,1300.0
2020-07-29,1250.0
2020-07-30,1300.0
2020-07-31,1300.0
2020-08-01,1250.0
2020-08-02,1300.0
2020-08-03,1066.6666666666667
2020-08-04,1300.0
2020-08-05,1200.0
2020-08-06,1300.0
2020-08-07,1300.0
2020-08-08,1250.0
2020-08-09,1250.0
2020-08-10,1300.0
2020-08-11,1300.0
2020-08-12,1300.0
2020-08-13,1300.0
2020-08-14,1300.0
2020-08-15,1300.0
2020-08-16,1300.0
2020-08-17,1325.0
2020-08-18,1400.0
2020-08-19,1725.0
2020-08-20,1400.0
