price date,modal price (rs./quintal)
2023-07-20,1700.0
2023-07-21,1850.0
2023-07-22,1850.0
2023-07-23,1850.0
2023-07-24,1900.0
2023-07-25,1750.0
2023-07-26,1750.0
2023-07-27,1800.0
2023-07-28,1700.0
2023-07-29,1700.0
2023-07-30,1700.0
2023-07-31,1750.0
2023-08-01,1700.0
2023-08-02,1700.0
2023-08-03,2000.0
2023-08-04,1950.0
2023-08-05,1950.0
2023-08-06,1950.0
2023-08-07,1850.0
2023-08-08,1950.0
2023-08-09,1950.0
2023-08-10,1950.0
2023-08-11,1900.0
2023-08-12,1900.0
2023-08-13,1900.0
2023-08-14,1950.0
2023-08-15,1950.0
2023-08-16,1950.0
2023-08-17,1850.0
2023-08-18,1850.0
2023-08-19,1850.0
2023-08-20,1850.0
2023-08-21,1500.0
2023-08-22,1750.0
2023-08-23,1750.0
2023-08-24,1750.0
2023-08-25,1750.0
2023-08-26,1750.0
2023-08-27,1750.0
2023-08-28,2750.0
2023-08-29,3000.0
2023-08-30,3000.0
2023-08-31,3000.0
2023-09-01,3000.0
2023-09-02,3000.0
2023-09-03,3000.0
2023-09-04,3000.0
2023-09-05,3000.0
2023-09-06,3000.0
2023-09-07,3000.0
2023-09-08,2600.0
2023-09-09,2600.0
2023-09-10,2600.0
2023-09-11,2300.0
2023-09-12,2300.0
2023-09-13,2300.0
2023-09-14,2250.0
2023-09-15,2250.0
2023-09-16,2250.0
2023-09-17,2250.0
2023-09-18,2250.0
2023-09-19,2250.0
2023-09-20,2250.0
2023-09-21,2250.0
2023-09-22,2250.0
2023-09-23,2250.0
2023-09-24,2250.0
2023-09-25,2250.0
2023-09-26,2250.0
2023-09-27,2250.0
2023-09-28,2250.0
2023-09-29,2250.0
2023-09-30,2250.0
2023-10-01,2250.0
2023-10-02,2250.0
2023-10-03,2250.0
2023-10-04,2250.0
2023-10-05,2250.0
2023-10-06,2250.0
2023-10-07,2250.0
2023-10-08,2250.0
2023-10-09,2250.0
2023-10-10,2250.0
2023-10-11,2250.0
2023-10-12,2250.0
2023-10-13,2250.0
2023-10-14,2250.0
2023-10-15,2250.0
2023-10-16,2250.0
2023-10-17,2250.0
2023-10-18,2250.0
2023-10-19,2250.0
2023-10-20,2250.0
2023-10-21,2250.0
2023-10-22,2250.0
2023-10-23,2250.0
2023-10-24,2250.0
2023-10-25,2250.0
2023-10-26,375.0
2023-10-27,375.0
2023-10-28,375.0
2023-10-29,375.0
2023-10-30,375.0
2023-10-31,375.0
2023-11-01,375.0
2023-11-02,5750.0
2023-11-03,5750.0
2023-11-04,5750.0
2023-11-05,5750.0
2023-11-06,5750.0
2023-11-07,5750.0
2023-11-08,5750.0
2023-11-09,5750.0
2023-11-10,5750.0
2023-11-11,5750.0
2023-11-12,5750.0
2023-11-13,5750.0
2023-11-14,5750.0
2023-11-15,5750.0
2023-11-16,4250.0
2023-11-17,4250.0
2023-11-18,4250.0
2023-11-19,4250.0
2023-11-20,4250.0
2023-11-21,4250.0
2023-11-22,4250.0
2023-11-23,4250.0
2023-11-24,4250.0
2023-11-25,4250.0
2023-11-26,4250.0
2023-11-27,4250.0
2023-11-28,4250.0
2023-11-29,4250.0
2023-11-30,4250.0
2023-12-01,4250.0
2023-12-02,4250.0
2023-12-03,4250.0
2023-12-04,4250.0
2023-12-05,4250.0
2023-12-06,4250.0
2023-12-07,4250.0
2023-12-08,4250.0
2023-12-09,4250.0
2023-12-10,4250.0
2023-12-11,4250.0
2023-12-12,4250.0
2023-12-13,4250.0
2023-12-14,4250.0
2023-12-15,4250.0
2023-12-16,4250.0
2023-12-17,4250.0
2023-12-18,4250.0
2023-12-19,4250.0
2023-12-20,4250.0
2023-12-21,4250.0
2023-12-22,4250.0
2023-12-23,4250.0
2023-12-24,4250.0
2023-12-25,4250.0
2023-12-26,4250.0
2023-12-27,4250.0
2023-12-28,4250.0
2023-12-29,4250.0
2023-12-30,4250.0
2023-12-31,4250.0
2024-01-01,2400.0
2024-01-02,2400.0
2024-01-03,2400.0
2024-01-04,2400.0
2024-01-05,2600.0
