price date,modal price (rs./quintal)
2020-01-01,3160.0
2020-01-02,3310.0
2020-01-03,3200.0
2020-01-04,2800.0
2020-01-05,2800.0
2020-01-06,3600.0
2020-01-07,3160.0
2020-01-08,3210.0
2020-01-09,3150.0
2020-01-10,3160.0
2020-01-11,2360.0
2020-01-12,2360.0
2020-01-13,2600.0
2020-01-14,2900.0
2020-01-15,2900.0
2020-01-16,3550.0
2020-01-17,3360.0
2020-01-18,3400.0
2020-01-19,3400.0
2020-01-20,3300.0
2020-01-21,3300.0
2020-01-22,3200.0
2020-01-23,2775.0
2020-01-24,2560.0
2020-01-25,1960.0
2020-01-26,1960.0
2020-01-27,2190.0
2020-01-28,2105.0
2020-01-29,2065.0
2020-01-30,1960.0
2020-01-31,1900.0
2020-02-01,1910.0
2020-02-02,1910.0
2020-02-03,1750.0
2020-02-04,1790.0
2020-02-05,1650.0
2020-02-06,1610.0
2020-02-07,1400.0
2020-02-08,1400.0
2020-02-09,1400.0
2020-02-10,1550.0
2020-02-11,1330.0
2020-02-12,1510.0
2020-02-13,1390.0
2020-02-14,1610.0
2020-02-15,1725.0
2020-02-16,1725.0
2020-02-17,1600.0
2020-02-18,1480.0
2020-02-19,1575.0
2020-02-20,1430.0
2020-02-21,1300.0
2020-02-22,1590.0
2020-02-23,1590.0
2020-02-24,1400.0
2020-02-25,1490.0
2020-02-26,1310.0
2020-02-27,1490.0
2020-02-28,1295.0
2020-02-29,1395.0
2020-03-01,1395.0
2020-03-02,1270.0
2020-03-03,1260.0
2020-03-04,1295.0
2020-03-05,1307.0
2020-03-06,1270.0
2020-03-07,1235.0
2020-03-08,1235.0
2020-03-09,1535.0
2020-03-10,1535.0
2020-03-11,1160.0
2020-03-12,1395.0
2020-03-13,1260.0
2020-03-14,1320.0
2020-03-15,1320.0
2020-03-16,1200.0
2020-03-17,1260.0
2020-03-18,1070.0
2020-03-19,1200.0
2020-03-20,1250.0
2020-03-21,1250.0
2020-03-22,1250.0
2020-03-23,1250.0
2020-03-24,1250.0
2020-03-25,1250.0
2020-03-26,1250.0
2020-03-27,1250.0
2020-03-28,1250.0
2020-03-29,1250.0
2020-03-30,1250.0
2020-03-31,1250.0
2020-04-01,1250.0
2020-04-02,1250.0
2020-04-03,1050.0
2020-04-04,1050.0
2020-04-05,1050.0
2020-04-06,1045.0
2020-04-07,940.0
2020-04-08,915.0
2020-04-09,1006.0
2020-04-10,1010.0
2020-04-11,1000.0
2020-04-12,1000.0
2020-04-13,1050.0
2020-04-14,905.0
2020-04-15,990.0
2020-04-16,990.0
2020-04-17,970.0
2020-04-18,1100.0
2020-04-19,1100.0
2020-04-20,1100.0
2020-04-21,1050.0
2020-04-22,1000.0
2020-04-23,1100.0
2020-04-24,1050.0
2020-04-25,980.0
2020-04-26,1000.0
2020-04-27,990.0
2020-04-28,980.0
2020-04-29,950.0
2020-04-30,960.0
2020-05-01,960.0
2020-05-02,970.0
2020-05-03,990.0
2020-05-04,960.0
2020-05-05,960.0
2020-05-06,980.0
2020-05-07,990.0
2020-05-08,980.0
2020-05-09,990.0
2020-05-10,980.0
2020-05-11,980.0
2020-05-12,980.0
2020-05-13,990.0
2020-05-14,980.0
2020-05-15,980.0
2020-05-16,960.0
2020-05-17,950.0
2020-05-18,930.0
2020-05-19,900.0
2020-05-20,890.0
2020-05-21,880.0
2020-05-22,890.0
2020-05-23,900.0
2020-05-24,900.0
2020-05-25,900.0
2020-05-26,900.0
2020-05-27,900.0
2020-05-28,870.0
2020-05-29,870.0
2020-05-30,860.0
2020-05-31,750.0
2020-06-01,780.0
2020-06-02,765.0
2020-06-03,790.0
2020-06-04,311.0
2020-06-05,600.0
