price date,modal price (rs./quintal)
2020-02-12,2700.0
2020-02-13,2700.0
2020-02-14,2700.0
2020-02-15,2700.0
2020-02-16,2700.0
2020-02-17,2700.0
2020-02-18,2700.0
2020-02-19,2700.0
2020-02-20,2700.0
2020-02-21,2700.0
2020-02-22,2700.0
2020-02-23,2700.0
2020-02-24,2700.0
2020-02-25,2700.0
2020-02-26,1725.0
2020-02-27,1725.0
2020-02-28,1900.0
2020-02-29,1900.0
2020-03-01,1900.0
2020-03-02,2400.0
2020-03-03,2400.0
2020-03-04,2400.0
2020-03-05,2400.0
2020-03-06,2400.0
2020-03-07,2400.0
2020-03-08,2400.0
2020-03-09,2400.0
2020-03-10,2400.0
2020-03-11,2400.0
2020-03-12,2400.0
2020-03-13,2400.0
2020-03-14,2400.0
2020-03-15,2400.0
2020-03-16,2400.0
2020-03-17,2400.0
2020-03-18,2400.0
2020-03-19,2400.0
2020-03-20,2400.0
2020-03-21,2400.0
2020-03-22,2400.0
2020-03-23,2400.0
2020-03-24,2400.0
2020-03-25,2400.0
2020-03-26,2400.0
2020-03-27,2400.0
2020-03-28,2400.0
2020-03-29,2400.0
2020-03-30,2400.0
2020-03-31,2400.0
2020-04-01,2400.0
2020-04-02,2400.0
2020-04-03,2400.0
2020-04-04,2400.0
2020-04-05,2500.0
2020-04-06,2500.0
2020-04-07,2500.0
2020-04-08,2500.0
2020-04-09,2300.0
2020-04-10,2500.0
2020-04-11,2300.0
2020-04-12,2200.0
2020-04-13,2025.0
2020-04-14,2200.0
2020-04-15,2150.0
2020-04-16,2200.0
2020-04-17,2200.0
2020-04-18,1900.0
2020-04-19,2000.0
2020-04-20,1900.0
2020-04-21,1500.0
2020-04-22,1600.0
2020-04-23,2000.0
2020-04-24,1600.0
2020-04-25,1600.0
2020-04-26,1500.0
2020-04-27,1450.0
2020-04-28,1500.0
2020-04-29,1500.0
2020-04-30,1800.0
2020-05-01,1300.0
2020-05-02,1250.0
2020-05-03,1500.0
2020-05-04,1350.0
2020-05-05,1250.0
2020-05-06,1200.0
2020-05-07,1200.0
2020-05-08,1150.0
2020-05-09,1150.0
2020-05-10,1500.0
2020-05-11,1050.0
2020-05-12,1300.0
2020-05-13,1150.0
2020-05-14,1200.0
2020-05-15,1000.0
2020-05-16,1050.0
2020-05-17,1300.0
2020-05-18,1000.0
2020-05-19,1000.0
2020-05-20,1000.0
2020-05-21,1200.0
2020-05-22,1000.0
2020-05-23,1250.0
2020-05-24,1250.0
2020-05-25,600.0
2020-05-26,1150.0
2020-05-27,1100.0
2020-05-28,1200.0
2020-05-29,1200.0
2020-05-30,1350.0
2020-05-31,1200.0
2020-06-01,1200.0
2020-06-02,1375.0
2020-06-03,1200.0
2020-06-04,1300.0
2020-06-05,1200.0
2020-06-06,900.0
2020-06-07,900.0
2020-06-08,900.0
2020-06-09,900.0
2020-06-10,900.0
2020-06-11,900.0
2020-06-12,900.0
2020-06-13,900.0
2020-06-14,900.0
2020-06-15,900.0
2020-06-16,900.0
2020-06-17,900.0
2020-06-18,900.0
2020-06-19,900.0
2020-06-20,900.0
2020-06-21,900.0
2020-06-22,900.0
2020-06-23,900.0
2020-06-24,900.0
2020-06-25,900.0
2020-06-26,900.0
2020-06-27,900.0
2020-06-28,900.0
2020-06-29,900.0
2020-06-30,900.0
2020-07-01,900.0
2020-07-02,900.0
2020-07-03,900.0
2020-07-04,900.0
2020-07-05,900.0
2020-07-06,900.0
2020-07-07,900.0
2020-07-08,900.0
2020-07-09,900.0
2020-07-10,900.0
2020-07-11,900.0
2020-07-12,900.0
2020-07-13,900.0
2020-07-14,900.0
2020-07-15,900.0
2020-07-16,900.0
2020-07-17,900.0
2020-07-18,900.0
2020-07-19,900.0
2020-07-20,900.0
