price date,modal price (rs./quintal)
2020-01-01,1275.0
2020-01-02,1275.0
2020-01-03,1300.0
2020-01-04,1250.0
2020-01-05,1250.0
2020-01-06,1300.0
2020-01-07,1180.0
2020-01-08,1200.0
2020-01-09,1212.5
2020-01-10,1400.0
2020-01-11,950.0
2020-01-12,950.0
2020-01-13,1462.5
2020-01-14,1212.5
2020-01-15,1000.0
2020-01-16,1333.3333333333333
2020-01-17,1375.0
2020-01-18,1287.5
2020-01-19,1287.5
2020-01-20,1300.0
2020-01-21,1200.0
2020-01-22,1200.0
2020-01-23,1162.5
2020-01-24,1050.0
2020-01-25,900.0
2020-01-26,900.0
2020-01-27,1075.0
2020-01-28,1075.0
2020-01-29,1100.0
2020-01-30,1125.0
2020-01-31,1125.0
2020-02-01,1037.5
2020-02-02,1037.5
2020-02-03,962.5
2020-02-04,937.5
2020-02-05,900.0
2020-02-06,850.0
2020-02-07,762.5
2020-02-08,550.0
2020-02-09,550.0
2020-02-10,800.0
2020-02-11,862.5
2020-02-12,875.0
2020-02-13,887.5
2020-02-14,850.0
2020-02-15,825.0
2020-02-16,825.0
2020-02-17,825.0
2020-02-18,887.5
2020-02-19,850.0
2020-02-20,862.5
2020-02-21,575.0
2020-02-22,950.0
2020-02-23,950.0
2020-02-24,887.5
2020-02-25,825.0
2020-02-26,787.5
2020-02-27,750.0
2020-02-28,775.0
2020-02-29,762.5
2020-03-01,762.5
2020-03-02,775.0
2020-03-03,800.0
2020-03-04,800.0
2020-03-05,787.5
2020-03-06,787.5
2020-03-07,825.0
2020-03-08,825.0
2020-03-09,875.0
2020-03-10,900.0
2020-03-11,806.25
2020-03-12,812.5
2020-03-13,787.5
2020-03-14,700.0
2020-03-15,700.0
2020-03-16,900.0
2020-03-17,900.0
2020-03-18,787.5
2020-03-19,862.5
2020-03-20,862.5
2020-03-21,800.0
2020-03-22,800.0
2020-03-23,1250.0
2020-03-24,1600.0
2020-03-25,1750.0
2020-03-26,1575.0
2020-03-27,1516.6666666666667
2020-03-28,950.0
