price date,modal price (rs./quintal)
2020-08-08,2500.0
2020-08-09,2500.0
2020-08-10,2500.0
2020-08-11,2500.0
2020-08-12,2500.0
2020-08-13,2500.0
2020-08-14,2500.0
2020-08-15,2500.0
2020-08-16,2500.0
2020-08-17,2500.0
2020-08-18,2500.0
2020-08-19,2500.0
2020-08-20,2500.0
2020-08-21,2500.0
2020-08-22,2500.0
2020-08-23,2500.0
2020-08-24,2500.0
2020-08-25,2500.0
2020-08-26,2500.0
2020-08-27,2500.0
2020-08-28,2500.0
2020-08-29,3250.0
2020-08-30,3250.0
2020-08-31,3250.0
2020-09-01,3250.0
2020-09-02,3250.0
2020-09-03,3250.0
2020-09-04,3250.0
2020-09-05,3250.0
2020-09-06,3250.0
2020-09-07,3250.0
2020-09-08,3250.0
2020-09-09,3250.0
2020-09-10,3250.0
2020-09-11,3250.0
2020-09-12,3250.0
2020-09-13,3250.0
2020-09-14,3250.0
2020-09-15,3250.0
2020-09-16,3250.0
2020-09-17,3250.0
2020-09-18,3250.0
2020-09-19,3250.0
2020-09-20,3250.0
2020-09-21,3250.0
2020-09-22,3250.0
2020-09-23,3250.0
2020-09-24,3250.0
2020-09-25,3250.0
2020-09-26,3250.0
2020-09-27,3250.0
2020-09-28,3250.0
2020-09-29,3250.0
2020-09-30,3250.0
2020-10-01,3250.0
2020-10-02,3250.0
2020-10-03,3250.0
2020-10-04,3250.0
2020-10-05,3250.0
2020-10-06,3250.0
2020-10-07,3250.0
2020-10-08,3250.0
2020-10-09,3250.0
2020-10-10,3250.0
2020-10-11,3250.0
2020-10-12,3250.0
2020-10-13,3250.0
2020-10-14,3250.0
2020-10-15,3250.0
2020-10-16,3250.0
2020-10-17,3250.0
2020-10-18,3250.0
2020-10-19,3250.0
2020-10-20,3250.0
2020-10-21,3250.0
2020-10-22,3250.0
2020-10-23,3250.0
2020-10-24,3250.0
2020-10-25,3250.0
2020-10-26,3250.0
2020-10-27,3250.0
2020-10-28,3250.0
2020-10-29,3250.0
2020-10-30,3250.0
2020-10-31,3250.0
2020-11-01,3250.0
2020-11-02,3250.0
2020-11-03,3250.0
2020-11-04,4000.0
2020-11-05,4000.0
2020-11-06,4000.0
2020-11-07,4000.0
2020-11-08,4000.0
2020-11-09,4000.0
2020-11-10,4000.0
2020-11-11,4000.0
2020-11-12,4000.0
2020-11-13,4000.0
2020-11-14,4000.0
2020-11-15,4000.0
2020-11-16,4000.0
2020-11-17,4000.0
2020-11-18,4000.0
2020-11-19,4000.0
2020-11-20,4000.0
2020-11-21,4000.0
2020-11-22,4000.0
2020-11-23,4000.0
2020-11-24,4000.0
2020-11-25,4000.0
2020-11-26,4000.0
2020-11-27,4000.0
2020-11-28,3800.0
2020-11-29,3800.0
2020-11-30,3800.0
2020-12-01,3800.0
2020-12-02,3800.0
2020-12-03,3800.0
2020-12-04,3800.0
2020-12-05,3800.0
2020-12-06,3800.0
2020-12-07,3800.0
2020-12-08,3800.0
2020-12-09,3800.0
2020-12-10,3800.0
2020-12-11,3800.0
2020-12-12,3800.0
2020-12-13,3800.0
2020-12-14,3800.0
2020-12-15,3800.0
2020-12-16,3800.0
2020-12-17,3800.0
2020-12-18,3800.0
2020-12-19,3500.0
2020-12-20,3500.0
2020-12-21,3500.0
2020-12-22,3500.0
2020-12-23,3500.0
2020-12-24,3500.0
2020-12-25,3500.0
2020-12-26,3500.0
2020-12-27,3500.0
2020-12-28,3500.0
2020-12-29,3500.0
2020-12-30,3500.0
2020-12-31,3500.0
2021-01-01,3500.0
2021-01-02,3500.0
2021-01-03,3500.0
2021-01-04,3500.0
2021-01-05,3500.0
2021-01-06,3500.0
2021-01-07,3500.0
2021-01-08,3500.0
2021-01-09,3500.0
2021-01-10,3500.0
2021-01-11,3500.0
2021-01-12,3500.0
2021-01-13,3500.0
2021-01-14,3500.0
2021-01-15,3500.0
2021-01-16,3500.0
2021-01-17,3500.0
2021-01-18,3500.0
2021-01-19,3500.0
2021-01-20,3500.0
2021-01-21,3500.0
2021-01-22,3500.0
2021-01-23,3500.0
2021-01-24,3500.0
2021-01-25,3500.0
2021-01-26,3500.0
2021-01-27,3500.0
2021-01-28,3500.0
2021-01-29,3500.0
2021-01-30,3500.0
2021-01-31,3500.0
2021-02-01,3500.0
2021-02-02,3500.0
2021-02-03,3500.0
2021-02-04,2850.0
2021-02-05,2850.0
2021-02-06,2850.0
2021-02-07,2850.0
2021-02-08,2850.0
2021-02-09,2850.0
2021-02-10,2850.0
2021-02-11,2850.0
2021-02-12,2850.0
2021-02-13,2850.0
2021-02-14,2850.0
2021-02-15,2850.0
2021-02-16,2850.0
2021-02-17,2850.0
2021-02-18,2850.0
2021-02-19,2850.0
2021-02-20,2500.0
2021-02-21,2500.0
2021-02-22,2500.0
2021-02-23,2500.0
2021-02-24,2500.0
2021-02-25,2500.0
2021-02-26,2500.0
2021-02-27,2500.0
2021-02-28,2500.0
2021-03-01,2500.0
2021-03-02,2500.0
2021-03-03,2500.0
2021-03-04,2500.0
2021-03-05,2500.0
2021-03-06,2500.0
2021-03-07,2500.0
2021-03-08,2500.0
2021-03-09,2500.0
2021-03-10,2500.0
2021-03-11,2500.0
2021-03-12,2500.0
2021-03-13,2500.0
2021-03-14,2500.0
2021-03-15,2500.0
2021-03-16,2500.0
2021-03-17,2500.0
2021-03-18,2500.0
2021-03-19,2500.0
2021-03-20,2500.0
2021-03-21,2500.0
2021-03-22,2500.0
2021-03-23,2500.0
2021-03-24,2500.0
2021-03-25,2500.0
2021-03-26,2500.0
2021-03-27,2500.0
2021-03-28,2500.0
2021-03-29,2500.0
2021-03-30,2500.0
2021-03-31,2500.0
2021-04-01,2500.0
2021-04-02,2500.0
2021-04-03,2500.0
2021-04-04,2500.0
2021-04-05,2500.0
2021-04-06,2500.0
2021-04-07,2500.0
2021-04-08,2500.0
2021-04-09,2500.0
2021-04-10,2500.0
2021-04-11,2500.0
2021-04-12,2500.0
2021-04-13,2500.0
2021-04-14,2500.0
2021-04-15,2500.0
2021-04-16,2500.0
2021-04-17,2500.0
2021-04-18,2500.0
2021-04-19,2500.0
2021-04-20,2500.0
2021-04-21,2500.0
2021-04-22,2500.0
2021-04-23,2500.0
2021-04-24,2500.0
2021-04-25,2500.0
2021-04-26,2500.0
2021-04-27,2500.0
2021-04-28,1850.0
2021-04-29,1850.0
2021-04-30,1850.0
2021-05-01,1850.0
2021-05-02,1850.0
2021-05-03,1850.0
2021-05-04,1850.0
2021-05-05,1850.0
2021-05-06,1850.0
2021-05-07,1850.0
2021-05-08,1850.0
2021-05-09,1850.0
2021-05-10,1500.0
2021-05-11,1500.0
2021-05-12,1500.0
2021-05-13,1500.0
2021-05-14,1500.0
2021-05-15,1350.0
2021-05-16,1350.0
2021-05-17,1350.0
2021-05-18,1350.0
2021-05-19,1350.0
2021-05-20,1350.0
2021-05-21,1350.0
2021-05-22,1350.0
2021-05-23,1350.0
2021-05-24,1350.0
2021-05-25,1500.0
2021-05-26,1500.0
2021-05-27,1500.0
2021-05-28,1500.0
2021-05-29,1500.0
2021-05-30,1500.0
2021-05-31,1500.0
2021-06-01,1500.0
2021-06-02,1500.0
2021-06-03,1500.0
2021-06-04,1500.0
2021-06-05,1500.0
2021-06-06,1500.0
2021-06-07,1200.0
2021-06-08,1200.0
2021-06-09,1200.0
2021-06-10,1200.0
2021-06-11,1200.0
2021-06-12,1200.0
2021-06-13,1200.0
2021-06-14,1200.0
2021-06-15,1200.0
2021-06-16,1200.0
2021-06-17,1200.0
2021-06-18,1200.0
2021-06-19,1200.0
2021-06-20,1200.0
2021-06-21,1200.0
2021-06-22,1200.0
2021-06-23,1200.0
2021-06-24,1200.0
2021-06-25,1200.0
2021-06-26,1200.0
2021-06-27,1200.0
2021-06-28,1200.0
