price date,modal price (rs./quintal)
2020-01-01,500.0
2020-01-02,500.0
2020-01-03,500.0
2020-01-04,400.0
2020-01-05,400.0
2020-01-06,400.0
2020-01-07,500.0
2020-01-08,500.0
2020-01-09,500.0
2020-01-10,500.0
2020-01-11,500.0
2020-01-12,500.0
2020-01-13,500.0
2020-01-14,500.0
2020-01-15,500.0
2020-01-16,500.0
2020-01-17,500.0
2020-01-18,500.0
2020-01-19,500.0
2020-01-20,500.0
2020-01-21,500.0
2020-01-22,500.0
2020-01-23,500.0
2020-01-24,500.0
2020-01-25,500.0
2020-01-26,500.0
2020-01-27,500.0
2020-01-28,500.0
2020-01-29,500.0
2020-01-30,500.0
2020-01-31,500.0
2020-02-01,500.0
2020-02-02,500.0
2020-02-03,500.0
2020-02-04,500.0
2020-02-05,400.0
2020-02-06,400.0
2020-02-07,400.0
2020-02-08,400.0
2020-02-09,400.0
2020-02-10,400.0
2020-02-11,400.0
2020-02-12,400.0
2020-02-13,400.0
2020-02-14,400.0
2020-02-15,400.0
2020-02-16,400.0
2020-02-17,400.0
2020-02-18,400.0
2020-02-19,400.0
2020-02-20,400.0
2020-02-21,400.0
2020-02-22,400.0
2020-02-23,400.0
2020-02-24,400.0
2020-02-25,300.0
2020-02-26,300.0
2020-02-27,300.0
2020-02-28,300.0
2020-02-29,300.0
2020-03-01,300.0
2020-03-02,300.0
2020-03-03,300.0
2020-03-04,300.0
2020-03-05,300.0
2020-03-06,300.0
2020-03-07,300.0
2020-03-08,300.0
2020-03-09,300.0
2020-03-10,300.0
2020-03-11,400.0
2020-03-12,400.0
2020-03-13,400.0
2020-03-14,400.0
2020-03-15,400.0
2020-03-16,400.0
2020-03-17,400.0
2020-03-18,400.0
2020-03-19,400.0
2020-03-20,400.0
2020-03-21,400.0
2020-03-22,400.0
2020-03-23,350.0
2020-03-24,350.0
2020-03-25,350.0
2020-03-26,350.0
2020-03-27,350.0
2020-03-28,350.0
2020-03-29,350.0
2020-03-30,300.0
2020-03-31,300.0
2020-04-01,300.0
2020-04-02,300.0
2020-04-03,500.0
2020-04-04,80.0
2020-04-05,550.0
2020-04-06,600.0
2020-04-07,800.0
2020-04-08,475.0
2020-04-09,550.0
2020-04-10,350.0
2020-04-11,700.0
2020-04-12,750.0
2020-04-13,500.0
2020-04-14,500.0
2020-04-15,500.0
2020-04-16,789.0
2020-04-17,500.0
2020-04-18,500.0
2020-04-19,550.0
2020-04-20,450.0
2020-04-21,650.0
2020-04-22,450.0
2020-04-23,900.0
2020-04-24,475.0
2020-04-25,550.0
2020-04-26,1000.0
2020-04-27,1000.0
2020-04-28,650.0
2020-04-29,450.0
2020-04-30,900.0
2020-05-01,600.0
2020-05-02,500.0
2020-05-03,425.0
2020-05-04,475.0
2020-05-05,650.0
2020-05-06,725.0
2020-05-07,700.0
2020-05-08,650.0
2020-05-09,550.0
2020-05-10,525.0
2020-05-11,800.0
2020-05-12,650.0
2020-05-13,900.0
2020-05-14,900.0
2020-05-15,575.0
2020-05-16,550.0
