price date,modal price (rs./quintal)
2020-01-01,1250.0
2020-01-02,1250.0
2020-01-03,850.0
2020-01-04,850.0
2020-01-05,850.0
2020-01-06,1150.0
2020-01-07,1250.0
2020-01-08,1450.0
2020-01-09,1150.0
2020-01-10,1050.0
2020-01-11,1050.0
2020-01-12,1050.0
2020-01-13,1050.0
2020-01-14,1200.0
2020-01-15,1200.0
2020-01-16,1200.0
2020-01-17,1250.0
2020-01-18,1150.0
2020-01-19,1150.0
2020-01-20,1150.0
2020-01-21,850.0
2020-01-22,850.0
2020-01-23,850.0
2020-01-24,850.0
2020-01-25,850.0
2020-01-26,850.0
2020-01-27,850.0
2020-01-28,750.0
2020-01-29,850.0
2020-01-30,850.0
2020-01-31,750.0
2020-02-01,750.0
2020-02-02,750.0
2020-02-03,750.0
2020-02-04,650.0
2020-02-05,550.0
2020-02-06,550.0
2020-02-07,450.0
2020-02-08,450.0
2020-02-09,450.0
2020-02-10,450.0
2020-02-11,650.0
2020-02-12,650.0
2020-02-13,550.0
2020-02-14,575.0
2020-02-15,475.0
2020-02-16,475.0
2020-02-17,450.0
2020-02-18,450.0
2020-02-19,650.0
2020-02-20,675.0
2020-02-21,675.0
2020-02-22,675.0
2020-02-23,675.0
2020-02-24,400.0
2020-02-25,375.0
2020-02-26,350.0
2020-02-27,350.0
2020-02-28,550.0
2020-02-29,550.0
2020-03-01,550.0
2020-03-02,350.0
2020-03-03,450.0
2020-03-04,475.0
2020-03-05,375.0
2020-03-06,475.0
2020-03-07,350.0
2020-03-08,350.0
2020-03-09,575.0
2020-03-10,550.0
2020-03-11,650.0
2020-03-12,550.0
2020-03-13,550.0
2020-03-14,550.0
2020-03-15,550.0
2020-03-16,475.0
2020-03-17,550.0
2020-03-18,750.0
2020-03-19,675.0
2020-03-20,675.0
2020-03-21,475.0
2020-03-22,475.0
2020-03-23,475.0
2020-03-24,475.0
2020-03-25,475.0
2020-03-26,475.0
2020-03-27,475.0
2020-03-28,475.0
2020-03-29,475.0
2020-03-30,475.0
2020-03-31,475.0
2020-04-01,300.0
2020-04-02,550.0
2020-04-03,450.0
2020-04-04,500.0
2020-04-05,500.0
2020-04-06,500.0
2020-04-07,400.0
2020-04-08,350.0
2020-04-09,400.0
2020-04-10,555.0
2020-04-11,400.0
2020-04-12,400.0
2020-04-13,600.0
2020-04-14,500.0
2020-04-15,430.0
2020-04-16,450.0
2020-04-17,450.0
2020-04-18,450.0
2020-04-19,450.0
2020-04-20,400.0
2020-04-21,450.0
2020-04-22,450.0
2020-04-23,462.5
2020-04-24,450.0
2020-04-25,400.0
2020-04-26,400.0
2020-04-27,500.0
2020-04-28,450.0
2020-04-29,450.0
2020-04-30,450.0
2020-05-01,600.0
2020-05-02,600.0
2020-05-03,600.0
2020-05-04,500.0
2020-05-05,400.0
2020-05-06,450.0
2020-05-07,435.0
2020-05-08,500.0
2020-05-09,450.0
2020-05-10,450.0
2020-05-11,375.0
2020-05-12,350.0
2020-05-13,450.0
2020-05-14,450.0
2020-05-15,400.0
2020-05-16,450.0
2020-05-17,450.0
2020-05-18,450.0
2020-05-19,512.5
2020-05-20,557.5
2020-05-21,615.0
2020-05-22,462.5
2020-05-23,375.0
2020-05-24,375.0
2020-05-25,375.0
2020-05-26,400.0
2020-05-27,400.0
2020-05-28,300.0
2020-05-29,400.0
2020-05-30,475.0
2020-05-31,475.0
2020-06-01,400.0
2020-06-02,800.0
2020-06-03,750.0
2020-06-04,675.0
2020-06-05,530.0
2020-06-06,400.0
2020-06-07,780.0
2020-06-08,595.0
2020-06-09,750.0
2020-06-10,841.0
2020-06-11,400.0
2020-06-12,500.0
2020-06-13,400.0
2020-06-14,910.0
2020-06-15,1110.0
2020-06-16,875.0
2020-06-17,1115.0
2020-06-18,1065.0
2020-06-19,925.0
2020-06-20,800.0
2020-06-21,1785.0
2020-06-22,1900.0
2020-06-23,1650.0
2020-06-24,1500.0
2020-06-25,1487.5
2020-06-26,1367.5
2020-06-27,800.0
2020-06-28,1200.0
2020-06-29,2600.0
2020-06-30,2730.0
2020-07-01,1450.0
2020-07-02,1337.5
2020-07-03,1150.0
2020-07-04,200.0
2020-07-05,200.0
2020-07-06,1390.0
2020-07-07,1275.0
2020-07-08,1450.0
2020-07-09,1800.0
2020-07-10,1450.0
2020-07-11,400.0
2020-07-12,400.0
2020-07-13,2770.0
2020-07-14,1565.0
2020-07-15,1450.0
2020-07-16,1500.0
2020-07-17,1400.0
2020-07-18,400.0
2020-07-19,400.0
2020-07-20,915.0
2020-07-21,940.0
2020-07-22,1600.0
2020-07-23,1062.5
2020-07-24,400.0
2020-07-25,400.0
2020-07-26,400.0
2020-07-27,1700.0
2020-07-28,600.0
2020-07-29,950.0
2020-07-30,915.0
2020-07-31,1000.0
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,600.0
2020-08-04,900.0
2020-08-05,545.0
2020-08-06,825.0
2020-08-07,1000.0
2020-08-08,300.0
2020-08-09,300.0
2020-08-10,1600.0
2020-08-11,1500.0
2020-08-12,965.0
2020-08-13,1100.0
2020-08-14,970.0
2020-08-15,970.0
2020-08-16,970.0
2020-08-17,1017.5
2020-08-18,1050.0
2020-08-19,1200.0
2020-08-20,2020.0
2020-08-21,1250.0
2020-08-22,1250.0
2020-08-23,1250.0
2020-08-24,1950.0
2020-08-25,2000.0
2020-08-26,2350.0
2020-08-27,2150.0
2020-08-28,2300.0
2020-08-29,2400.0
2020-08-30,3000.0
2020-08-31,2200.0
2020-09-01,1750.0
2020-09-02,1650.0
2020-09-03,1700.0
2020-09-04,2100.0
2020-09-05,2100.0
2020-09-06,2100.0
2020-09-07,2500.0
2020-09-08,2650.0
2020-09-09,3400.0
2020-09-10,2700.0
2020-09-11,2400.0
2020-09-12,2000.0
2020-09-13,2000.0
2020-09-14,2700.0
2020-09-15,2650.0
2020-09-16,2650.0
2020-09-17,1700.0
2020-09-18,2400.0
2020-09-19,2000.0
2020-09-20,2000.0
2020-09-21,1700.0
2020-09-22,1700.0
2020-09-23,2000.0
2020-09-24,1650.0
2020-09-25,1300.0
2020-09-26,1700.0
2020-09-27,2100.0
2020-09-28,2100.0
2020-09-29,1725.0
2020-09-30,1475.0
2020-10-01,1200.0
2020-10-02,1000.0
2020-10-03,1150.0
2020-10-04,1150.0
2020-10-05,1150.0
2020-10-06,1050.0
2020-10-07,1150.0
2020-10-08,850.0
2020-10-09,900.0
2020-10-10,800.0
2020-10-11,800.0
2020-10-12,1150.0
2020-10-13,1142.5
2020-10-14,1050.0
2020-10-15,1000.0
2020-10-16,950.0
2020-10-17,850.0
2020-10-18,850.0
2020-10-19,1050.0
2020-10-20,1100.0
2020-10-21,1050.0
2020-10-22,1050.0
2020-10-23,700.0
2020-10-24,500.0
2020-10-25,500.0
2020-10-26,500.0
2020-10-27,700.0
2020-10-28,800.0
2020-10-29,750.0
2020-10-30,750.0
2020-10-31,800.0
2020-11-01,800.0
2020-11-02,800.0
2020-11-03,750.0
2020-11-04,525.0
2020-11-05,550.0
2020-11-06,750.0
2020-11-07,650.0
2020-11-08,650.0
2020-11-09,700.0
2020-11-10,650.0
2020-11-11,700.0
2020-11-12,800.0
2020-11-13,950.0
2020-11-14,600.0
2020-11-15,600.0
2020-11-16,500.0
2020-11-17,750.0
2020-11-18,850.0
2020-11-19,650.0
2020-11-20,675.0
2020-11-21,1000.0
2020-11-22,1000.0
2020-11-23,650.0
2020-11-24,625.0
2020-11-25,700.0
2020-11-26,750.0
2020-11-27,700.0
2020-11-28,500.0
2020-11-29,500.0
2020-11-30,800.0
2020-12-01,850.0
