price date,modal price (rs./quintal)
2020-01-01,954.3333333333334
2020-01-02,848.0
2020-01-03,1547.5
2020-01-04,1269.0
2020-01-05,1269.0
2020-01-06,1428.0
2020-01-07,1029.0
2020-01-08,1337.3333333333333
2020-01-09,1297.6666666666667
2020-01-10,1430.5
2020-01-11,1430.5
2020-01-12,1430.5
2020-01-13,1152.6666666666667
2020-01-14,1166.0
2020-01-15,1166.0
2020-01-16,1176.3333333333333
2020-01-17,1226.0
2020-01-18,1379.3333333333333
2020-01-19,1379.3333333333333
2020-01-20,1277.6666666666667
2020-01-21,1273.0
2020-01-22,1007.5
2020-01-23,1309.5
2020-01-24,1230.5
2020-01-25,1230.5
2020-01-26,1230.5
2020-01-27,1166.0
2020-01-28,917.0
2020-01-29,1064.6666666666667
2020-01-30,907.0
2020-01-31,1017.3333333333334
2020-02-01,918.6666666666666
2020-02-02,918.6666666666666
2020-02-03,940.0
2020-02-04,842.6666666666666
2020-02-05,820.0
2020-02-06,897.3333333333334
2020-02-07,875.3333333333334
2020-02-08,875.3333333333334
2020-02-09,875.3333333333334
2020-02-10,826.3333333333334
2020-02-11,823.0
2020-02-12,898.0
2020-02-13,936.6666666666666
2020-02-14,888.6666666666666
2020-02-15,878.3333333333334
2020-02-16,878.3333333333334
2020-02-17,833.3333333333334
2020-02-18,856.3333333333334
2020-02-19,875.3333333333334
2020-02-20,836.3333333333334
2020-02-21,836.3333333333334
2020-02-22,836.3333333333334
2020-02-23,836.3333333333334
2020-02-24,887.0
2020-02-25,883.6666666666666
2020-02-26,826.0
2020-02-27,839.6666666666666
2020-02-28,843.0
2020-02-29,806.6666666666666
2020-03-01,806.6666666666666
2020-03-02,777.6666666666666
2020-03-03,782.6666666666666
2020-03-04,876.0
2020-03-05,714.3333333333334
2020-03-06,684.3333333333334
2020-03-07,646.0
2020-03-08,646.0
2020-03-09,694.3333333333334
2020-03-10,682.3333333333334
2020-03-11,768.3333333333334
2020-03-12,675.0
2020-03-13,704.0
2020-03-14,704.0
2020-03-15,704.0
2020-03-16,696.6666666666666
2020-03-17,671.5
2020-03-18,753.6666666666666
2020-03-19,623.0
2020-03-20,736.0
2020-03-21,731.0
2020-03-22,731.0
2020-03-23,738.6666666666666
2020-03-24,1182.5
2020-03-25,1182.5
2020-03-26,897.3333333333334
2020-03-27,1407.0
2020-03-28,1407.0
2020-03-29,1407.0
2020-03-30,958.6666666666666
2020-03-31,675.6666666666666
2020-04-01,666.3333333333334
2020-04-02,686.3333333333334
2020-04-03,787.5
2020-04-04,638.6666666666666
2020-04-05,638.6666666666666
2020-04-06,638.6666666666666
2020-04-07,571.6666666666666
2020-04-08,725.3333333333334
2020-04-09,653.0
2020-04-10,1021.0
2020-04-11,672.0
2020-04-12,713.0
2020-04-13,677.6666666666666
2020-04-14,660.5
2020-04-15,613.6666666666666
2020-04-16,537.6666666666666
2020-04-17,656.0
2020-04-18,601.0
2020-04-19,678.5
2020-04-20,641.0
2020-04-21,585.0
2020-04-22,573.0
2020-04-23,588.6666666666666
2020-04-24,584.0
2020-04-25,578.0
2020-04-26,559.0
2020-04-27,601.0
2020-04-28,587.6666666666666
2020-04-29,525.3333333333334
2020-04-30,538.6666666666666
2020-05-01,705.0
2020-05-02,538.6666666666666
2020-05-03,519.0
2020-05-04,561.3333333333334
2020-05-05,582.3333333333334
2020-05-06,612.6666666666666
2020-05-07,529.0
2020-05-08,529.0
2020-05-09,570.0
2020-05-10,577.5
2020-05-11,684.5
2020-05-12,545.0
2020-05-13,733.0
2020-05-14,742.5
2020-05-15,900.0
2020-05-16,706.0
2020-05-17,662.5
2020-05-18,625.0
