price date,modal price (rs./quintal)
2020-01-01,1050.3333333333333
2020-01-02,1000.0
2020-01-03,1000.0
2020-01-04,1000.0
2020-01-05,1000.0
2020-01-06,700.0
2020-01-07,700.0
2020-01-08,1100.0
2020-01-09,650.0
2020-01-10,2727.0
2020-01-11,2727.0
2020-01-12,2727.0
2020-01-13,1000.0
2020-01-14,1000.0
2020-01-15,1000.0
2020-01-16,1000.0
2020-01-17,1000.0
2020-01-18,1000.0
2020-01-19,1000.0
2020-01-20,1000.0
2020-01-21,1000.0
2020-01-22,1178.5
2020-01-23,1178.5
2020-01-24,1000.0
2020-01-25,1000.0
2020-01-26,1000.0
2020-01-27,1000.0
2020-01-28,1000.0
2020-01-29,897.5
2020-01-30,1000.0
2020-01-31,1222.0
2020-02-01,1222.0
2020-02-02,1222.0
2020-02-03,1222.0
2020-02-04,1000.0
2020-02-05,1000.0
2020-02-06,1000.0
2020-02-07,1000.0
2020-02-08,1000.0
2020-02-09,1000.0
2020-02-10,1000.0
2020-02-11,1000.0
2020-02-12,1000.0
2020-02-13,2000.0
2020-02-14,1000.0
2020-02-15,1000.0
2020-02-16,1000.0
2020-02-17,1000.0
2020-02-18,1000.0
2020-02-19,1000.0
2020-02-20,1000.0
2020-02-21,1000.0
2020-02-22,1000.0
2020-02-23,500.0
2020-02-24,953.5
2020-02-25,1000.0
2020-02-26,918.5
2020-02-27,552.0
2020-02-28,552.0
2020-02-29,552.0
2020-03-01,552.0
2020-03-02,552.0
2020-03-03,1000.0
2020-03-04,1000.0
2020-03-05,1000.0
2020-03-06,1000.0
2020-03-07,500.0
2020-03-08,500.0
2020-03-09,500.0
2020-03-10,1000.0
2020-03-11,900.0
2020-03-12,500.0
2020-03-13,500.0
2020-03-14,1000.0
2020-03-15,1000.0
2020-03-16,1000.0
2020-03-17,1000.0
2020-03-18,675.0
2020-03-19,1000.0
2020-03-20,1000.0
2020-03-21,1000.0
2020-03-22,1000.0
2020-03-23,1000.0
2020-03-24,2000.0
2020-03-25,2000.0
2020-03-26,1000.0
2020-03-27,1000.0
2020-03-28,750.0
2020-03-29,1000.0
2020-03-30,1000.0
2020-03-31,1000.0
2020-04-01,1000.0
2020-04-02,1000.0
2020-04-03,1000.0
2020-04-04,766.5
2020-04-05,1000.0
2020-04-06,1000.0
2020-04-07,600.0
2020-04-08,400.0
2020-04-09,1000.0
2020-04-10,1000.0
2020-04-11,1000.0
2020-04-12,600.0
2020-04-13,600.0
2020-04-14,1000.0
2020-04-15,528.0
2020-04-16,1000.0
2020-04-17,1000.0
2020-04-18,1000.0
2020-04-19,1000.0
2020-04-20,1000.0
2020-04-21,1000.0
2020-04-22,562.0
2020-04-23,1000.0
2020-04-24,1000.0
2020-04-25,1000.0
2020-04-26,1000.0
2020-04-27,1000.0
2020-04-28,1000.0
2020-04-29,900.0
2020-04-30,873.0
2020-05-01,1000.0
2020-05-02,1000.0
2020-05-03,1000.0
2020-05-04,1000.0
2020-05-05,1000.0
2020-05-06,1000.0
2020-05-07,1000.0
2020-05-08,1000.0
2020-05-09,1000.0
2020-05-10,1000.0
2020-05-11,1000.0
2020-05-12,1000.0
2020-05-13,1000.0
2020-05-14,1000.0
2020-05-15,1000.0
2020-05-16,1000.0
2020-05-17,1000.0
2020-05-18,1000.0
2020-05-19,1000.0
2020-05-20,1000.0
2020-05-21,1000.0
2020-05-22,1000.0
2020-05-23,1000.0
2020-05-24,1000.0
2020-05-25,1000.0
2020-05-26,1000.0
2020-05-27,1000.0
2020-05-28,1000.0
2020-05-29,1000.0
2020-05-30,1000.0
2020-05-31,1000.0
2020-06-01,1000.0
2020-06-02,1000.0
2020-06-03,1000.0
2020-06-04,1000.0
2020-06-05,1000.0
2020-06-06,1000.0
2020-06-07,1000.0
2020-06-08,1000.0
2020-06-09,1000.0
2020-06-10,1000.0
2020-06-11,1000.0
2020-06-12,1000.0
2020-06-13,1000.0
2020-06-14,1000.0
2020-06-15,1000.0
2020-06-16,1000.0
2020-06-17,1000.0
2020-06-18,1000.0
2020-06-19,1000.0
2020-06-20,1000.0
2020-06-21,1000.0
2020-06-22,1000.0
2020-06-23,1000.0
2020-06-24,1000.0
2020-06-25,1000.0
2020-06-26,1000.0
2020-06-27,1000.0
2020-06-28,1000.0
2020-06-29,1000.0
2020-06-30,1000.0
2020-07-01,1500.0
2020-07-02,1000.0
2020-07-03,1000.0
2020-07-04,1500.0
2020-07-05,1500.0
2020-07-06,1500.0
2020-07-07,1500.0
2020-07-08,1224.0
2020-07-09,1350.0
2020-07-10,1500.0
2020-07-11,1500.0
2020-07-12,1500.0
2020-07-13,1500.0
2020-07-14,1500.0
2020-07-15,2000.0
2020-07-16,2000.0
2020-07-17,2000.0
2020-07-18,2000.0
2020-07-19,1000.0
2020-07-20,1000.0
2020-07-21,1000.0
2020-07-22,1800.0
2020-07-23,1000.0
2020-07-24,1000.0
2020-07-25,1000.0
2020-07-26,1000.0
2020-07-27,1000.0
2020-07-28,1000.0
2020-07-29,1200.0
2020-07-30,1000.0
2020-07-31,1000.0
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,1000.0
2020-08-04,800.0
