price date,modal price (rs./quintal)
2021-08-03,200.0
2021-08-04,250.0
2021-08-05,250.0
2021-08-06,250.0
2021-08-07,250.0
2021-08-08,250.0
2021-08-09,250.0
2021-08-10,225.0
2021-08-11,250.0
2021-08-12,200.0
2021-08-13,200.0
2021-08-14,125.0
2021-08-15,125.0
2021-08-16,200.0
2021-08-17,150.0
2021-08-18,130.0
2021-08-19,130.0
2021-08-20,130.0
2021-08-21,130.0
2021-08-22,130.0
2021-08-23,130.0
2021-08-24,130.0
2021-08-25,130.0
2021-08-26,130.0
2021-08-27,130.0
2021-08-28,130.0
2021-08-29,130.0
2021-08-30,130.0
2021-08-31,130.0
2021-09-01,130.0
2021-09-02,130.0
2021-09-03,130.0
2021-09-04,130.0
2021-09-05,130.0
2021-09-06,130.0
2021-09-07,130.0
2021-09-08,130.0
2021-09-09,130.0
2021-09-10,130.0
2021-09-11,130.0
2021-09-12,130.0
2021-09-13,110.0
2021-09-14,110.0
2021-09-15,110.0
2021-09-16,120.0
2021-09-17,120.0
2021-09-18,140.0
2021-09-19,140.0
2021-09-20,140.0
2021-09-21,130.0
2021-09-22,130.0
2021-09-23,130.0
2021-09-24,130.0
2021-09-25,130.0
2021-09-26,130.0
2021-09-27,130.0
2021-09-28,280.0
2021-09-29,280.0
2021-09-30,280.0
2021-10-01,280.0
2021-10-02,280.0
2021-10-03,280.0
2021-10-04,275.0
2021-10-05,400.0
2021-10-06,500.0
2021-10-07,500.0
2021-10-08,500.0
2021-10-09,500.0
2021-10-10,500.0
2021-10-11,600.0
2021-10-12,650.0
2021-10-13,650.0
2021-10-14,650.0
2021-10-15,650.0
2021-10-16,650.0
2021-10-17,650.0
2021-10-18,550.0
2021-10-19,550.0
2021-10-20,550.0
2021-10-21,650.0
2021-10-22,650.0
2021-10-23,650.0
2021-10-24,650.0
2021-10-25,650.0
2021-10-26,650.0
2021-10-27,650.0
2021-10-28,650.0
2021-10-29,650.0
2021-10-30,650.0
2021-10-31,650.0
2021-11-01,650.0
2021-11-02,650.0
2021-11-03,650.0
2021-11-04,650.0
2021-11-05,650.0
2021-11-06,650.0
2021-11-07,650.0
2021-11-08,650.0
2021-11-09,650.0
2021-11-10,650.0
2021-11-11,650.0
2021-11-12,650.0
2021-11-13,650.0
2021-11-14,650.0
2021-11-15,650.0
2021-11-16,650.0
