price date,modal price (rs./quintal)
2023-07-20,4000.0
2023-07-21,1600.0
2023-07-22,1600.0
2023-07-23,1600.0
2023-07-24,6400.0
2023-07-25,7200.0
2023-07-26,7200.0
2023-07-27,5700.0
2023-07-28,7000.0
2023-07-29,7000.0
2023-07-30,7000.0
2023-07-31,5600.0
2023-08-01,5050.0
2023-08-02,5050.0
2023-08-03,7000.0
2023-08-04,6000.0
2023-08-05,6000.0
2023-08-06,6000.0
2023-08-07,6000.0
2023-08-08,6000.0
2023-08-09,6000.0
2023-08-10,8000.0
2023-08-11,8000.0
2023-08-12,8000.0
2023-08-13,8000.0
2023-08-14,5500.0
2023-08-15,5500.0
2023-08-16,5500.0
2023-08-17,1700.0
2023-08-18,1700.0
2023-08-19,1700.0
2023-08-20,1700.0
2023-08-21,1350.0
2023-08-22,1300.0
2023-08-23,1300.0
2023-08-24,1300.0
2023-08-25,1300.0
2023-08-26,1300.0
2023-08-27,1300.0
2023-08-28,1500.0
2023-08-29,1100.0
2023-08-30,1100.0
2023-08-31,1100.0
2023-09-01,1100.0
2023-09-02,1100.0
2023-09-03,1100.0
2023-09-04,1100.0
2023-09-05,1100.0
2023-09-06,1100.0
2023-09-07,1100.0
2023-09-08,1250.0
2023-09-09,1250.0
2023-09-10,1250.0
2023-09-11,500.0
2023-09-12,500.0
2023-09-13,500.0
2023-09-14,400.0
2023-09-15,500.0
2023-09-16,500.0
2023-09-17,500.0
2023-09-18,500.0
2023-09-19,500.0
2023-09-20,500.0
2023-09-21,500.0
2023-09-22,500.0
2023-09-23,500.0
2023-09-24,500.0
2023-09-25,500.0
2023-09-26,500.0
2023-09-27,500.0
2023-09-28,500.0
2023-09-29,500.0
2023-09-30,500.0
2023-10-01,500.0
2023-10-02,500.0
2023-10-03,500.0
2023-10-04,500.0
2023-10-05,500.0
2023-10-06,500.0
2023-10-07,500.0
2023-10-08,500.0
2023-10-09,500.0
2023-10-10,500.0
2023-10-11,500.0
2023-10-12,500.0
2023-10-13,500.0
2023-10-14,500.0
2023-10-15,500.0
2023-10-16,500.0
2023-10-17,500.0
2023-10-18,500.0
2023-10-19,500.0
2023-10-20,500.0
2023-10-21,500.0
2023-10-22,500.0
2023-10-23,500.0
2023-10-24,500.0
2023-10-25,500.0
2023-10-26,300.0
2023-10-27,300.0
2023-10-28,300.0
2023-10-29,300.0
2023-10-30,300.0
2023-10-31,300.0
2023-11-01,300.0
2023-11-02,1300.0
2023-11-03,1300.0
2023-11-04,1300.0
2023-11-05,1300.0
2023-11-06,1300.0
2023-11-07,1300.0
2023-11-08,1300.0
2023-11-09,1300.0
2023-11-10,1300.0
2023-11-11,1300.0
2023-11-12,1300.0
2023-11-13,1300.0
2023-11-14,1300.0
2023-11-15,1300.0
2023-11-16,1600.0
2023-11-17,1600.0
2023-11-18,1600.0
2023-11-19,1600.0
2023-11-20,1600.0
2023-11-21,1600.0
2023-11-22,1600.0
2023-11-23,1600.0
2023-11-24,1600.0
2023-11-25,1600.0
2023-11-26,1600.0
2023-11-27,1600.0
2023-11-28,1600.0
2023-11-29,1600.0
2023-11-30,1600.0
2023-12-01,1600.0
2023-12-02,1600.0
2023-12-03,1600.0
2023-12-04,1600.0
2023-12-05,1600.0
2023-12-06,1600.0
2023-12-07,1600.0
2023-12-08,1600.0
2023-12-09,1600.0
2023-12-10,1600.0
2023-12-11,1600.0
2023-12-12,1600.0
2023-12-13,1600.0
2023-12-14,1600.0
2023-12-15,1600.0
2023-12-16,1600.0
2023-12-17,1600.0
2023-12-18,1600.0
2023-12-19,1600.0
2023-12-20,1600.0
2023-12-21,1600.0
2023-12-22,1600.0
2023-12-23,1600.0
2023-12-24,1600.0
2023-12-25,1600.0
2023-12-26,1600.0
2023-12-27,1600.0
2023-12-28,1600.0
2023-12-29,1600.0
2023-12-30,1600.0
2023-12-31,1600.0
2024-01-01,1300.0
2024-01-02,1300.0
2024-01-03,1300.0
2024-01-04,1300.0
2024-01-05,1100.0
