price date,modal price (rs./quintal)
2020-01-31,320.0
2020-02-01,320.0
2020-02-02,320.0
2020-02-03,320.0
2020-02-04,320.0
2020-02-05,320.0
2020-02-06,320.0
2020-02-07,320.0
2020-02-08,400.0
2020-02-09,400.0
2020-02-10,400.0
2020-02-11,200.0
2020-02-12,200.0
2020-02-13,200.0
2020-02-14,320.0
2020-02-15,320.0
2020-02-16,320.0
2020-02-17,320.0
2020-02-18,320.0
2020-02-19,320.0
2020-02-20,320.0
2020-02-21,320.0
2020-02-22,320.0
2020-02-23,320.0
2020-02-24,320.0
2020-02-25,300.0
2020-02-26,300.0
2020-02-27,300.0
2020-02-28,300.0
2020-02-29,300.0
2020-03-01,300.0
2020-03-02,300.0
2020-03-03,150.0
2020-03-04,150.0
2020-03-05,150.0
2020-03-06,150.0
2020-03-07,150.0
2020-03-08,150.0
2020-03-09,150.0
2020-03-10,500.0
2020-03-11,500.0
2020-03-12,500.0
2020-03-13,300.0
2020-03-14,300.0
2020-03-15,300.0
2020-03-16,300.0
2020-03-17,300.0
2020-03-18,300.0
2020-03-19,300.0
2020-03-20,150.0
2020-03-21,150.0
2020-03-22,150.0
2020-03-23,150.0
2020-03-24,150.0
2020-03-25,150.0
2020-03-26,150.0
2020-03-27,150.0
2020-03-28,150.0
2020-03-29,150.0
2020-03-30,667.0
2020-03-31,433.5
2020-04-01,1000.0
2020-04-02,660.0
2020-04-03,660.0
2020-04-04,500.0
2020-04-05,500.0
2020-04-06,500.0
2020-04-07,500.0
2020-04-08,500.0
2020-04-09,175.0
2020-04-10,175.0
2020-04-11,200.0
2020-04-12,200.0
2020-04-13,200.0
2020-04-14,200.0
2020-04-15,600.0
2020-04-16,600.0
2020-04-17,600.0
2020-04-18,600.0
2020-04-19,600.0
2020-04-20,600.0
2020-04-21,600.0
2020-04-22,600.0
2020-04-23,600.0
2020-04-24,600.0
2020-04-25,400.0
2020-04-26,400.0
2020-04-27,400.0
2020-04-28,400.0
2020-04-29,400.0
2020-04-30,400.0
2020-05-01,600.0
2020-05-02,600.0
2020-05-03,533.0
2020-05-04,533.0
2020-05-05,600.0
2020-05-06,600.0
2020-05-07,600.0
2020-05-08,600.0
2020-05-09,600.0
2020-05-10,600.0
2020-05-11,600.0
2020-05-12,600.0
2020-05-13,600.0
2020-05-14,600.0
2020-05-15,600.0
2020-05-16,600.0
2020-05-17,600.0
2020-05-18,600.0
2020-05-19,600.0
2020-05-20,600.0
2020-05-21,600.0
2020-05-22,600.0
2020-05-23,600.0
2020-05-24,600.0
2020-05-25,600.0
2020-05-26,600.0
2020-05-27,600.0
2020-05-28,600.0
2020-05-29,600.0
2020-05-30,600.0
2020-05-31,600.0
2020-06-01,600.0
2020-06-02,600.0
2020-06-03,600.0
2020-06-04,600.0
2020-06-05,600.0
2020-06-06,600.0
2020-06-07,600.0
2020-06-08,600.0
2020-06-09,600.0
2020-06-10,600.0
2020-06-11,600.0
2020-06-12,600.0
2020-06-13,600.0
2020-06-14,600.0
2020-06-15,600.0
2020-06-16,600.0
2020-06-17,600.0
2020-06-18,600.0
2020-06-19,600.0
2020-06-20,600.0
2020-06-21,600.0
2020-06-22,600.0
2020-06-23,533.0
2020-06-24,533.0
2020-06-25,533.0
2020-06-26,600.0
2020-06-27,600.0
2020-06-28,600.0
2020-06-29,600.0
2020-06-30,600.0
2020-07-01,600.0
2020-07-02,600.0
2020-07-03,600.0
2020-07-04,600.0
2020-07-05,600.0
2020-07-06,600.0
2020-07-07,600.0
2020-07-08,600.0
2020-07-09,600.0
2020-07-10,600.0
2020-07-11,600.0
2020-07-12,600.0
2020-07-13,600.0
2020-07-14,600.0
2020-07-15,400.0
2020-07-16,400.0
2020-07-17,1200.0
2020-07-18,1200.0
2020-07-19,1200.0
2020-07-20,1200.0
2020-07-21,1200.0
2020-07-22,1200.0
2020-07-23,1200.0
2020-07-24,1000.0
2020-07-25,1000.0
2020-07-26,1000.0
2020-07-27,1000.0
2020-07-28,1000.0
2020-07-29,1000.0
2020-07-30,1000.0
2020-07-31,1000.0
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,1000.0
2020-08-04,1000.0
2020-08-05,1000.0
2020-08-06,1000.0
2020-08-07,1000.0
2020-08-08,1000.0
2020-08-09,1000.0
2020-08-10,1000.0
2020-08-11,1000.0
2020-08-12,1000.0
2020-08-13,1000.0
2020-08-14,1000.0
2020-08-15,1000.0
2020-08-16,1000.0
2020-08-17,1000.0
2020-08-18,1700.0
2020-08-19,1700.0
2020-08-20,1700.0
2020-08-21,1000.0
2020-08-22,1000.0
2020-08-23,1000.0
2020-08-24,1000.0
2020-08-25,1000.0
2020-08-26,1000.0
2020-08-27,1000.0
2020-08-28,1000.0
2020-08-29,1000.0
2020-08-30,1000.0
2020-08-31,1000.0
2020-09-01,1500.0
2020-09-02,1500.0
2020-09-03,1500.0
2020-09-04,1500.0
2020-09-05,1500.0
2020-09-06,1500.0
2020-09-07,1500.0
2020-09-08,1000.0
2020-09-09,1000.0
2020-09-10,1000.0
2020-09-11,1000.0
2020-09-12,1000.0
2020-09-13,1000.0
2020-09-14,1000.0
2020-09-15,1500.0
2020-09-16,1500.0
2020-09-17,1500.0
2020-09-18,1500.0
2020-09-19,1500.0
2020-09-20,1500.0
2020-09-21,1500.0
2020-09-22,1500.0
2020-09-23,1500.0
2020-09-24,1500.0
