price date,modal price (rs./quintal)
2020-01-01,1150.0
2020-01-02,1300.0
2020-01-03,900.0
2020-01-04,900.0
2020-01-05,1100.0
2020-01-06,1250.0
2020-01-07,1200.0
2020-01-08,1450.0
2020-01-09,1100.0
2020-01-10,1200.0
2020-01-11,1200.0
2020-01-12,1100.0
2020-01-13,1100.0
2020-01-14,1100.0
2020-01-15,1175.0
2020-01-16,1350.0
2020-01-17,1300.0
2020-01-18,1300.0
2020-01-19,800.0
2020-01-20,800.0
2020-01-21,800.0
2020-01-22,800.0
2020-01-23,900.0
2020-01-24,900.0
2020-01-25,900.0
2020-01-26,900.0
2020-01-27,900.0
2020-01-28,900.0
2020-01-29,900.0
2020-01-30,900.0
2020-01-31,600.0
2020-02-01,600.0
2020-02-02,700.0
2020-02-03,800.0
2020-02-04,800.0
2020-02-05,700.0
2020-02-06,500.0
2020-02-07,400.0
2020-02-08,400.0
2020-02-09,400.0
2020-02-10,450.0
2020-02-11,600.0
2020-02-12,800.0
2020-02-13,600.0
2020-02-14,400.0
2020-02-15,400.0
2020-02-16,500.0
2020-02-17,550.0
2020-02-18,600.0
2020-02-19,650.0
2020-02-20,550.0
2020-02-21,750.0
2020-02-22,750.0
2020-02-23,600.0
2020-02-24,550.0
2020-02-25,450.0
2020-02-26,350.0
2020-02-27,500.0
2020-02-28,600.0
2020-02-29,600.0
2020-03-01,500.0
2020-03-02,400.0
2020-03-03,500.0
2020-03-04,450.0
2020-03-05,400.0
2020-03-06,500.0
2020-03-07,500.0
2020-03-08,450.0
2020-03-09,450.0
2020-03-10,550.0
2020-03-11,600.0
2020-03-12,650.0
2020-03-13,650.0
2020-03-14,650.0
2020-03-15,500.0
2020-03-16,550.0
2020-03-17,700.0
2020-03-18,700.0
2020-03-19,550.0
2020-03-20,550.0
2020-03-21,550.0
2020-03-22,550.0
2020-03-23,900.0
2020-03-24,1300.0
2020-03-25,1300.0
2020-03-26,1350.0
2020-03-27,1150.0
2020-03-28,1150.0
2020-03-29,750.0
2020-03-30,750.0
2020-03-31,600.0
2020-04-01,600.0
2020-04-02,500.0
2020-04-03,450.0
2020-04-04,400.0
2020-04-05,566.6666666666666
2020-04-06,533.3333333333334
2020-04-07,600.0
2020-04-08,566.6666666666666
2020-04-09,600.0
2020-04-10,566.6666666666666
2020-04-11,600.0
2020-04-12,666.6666666666666
2020-04-13,500.0
2020-04-14,500.0
2020-04-15,533.3333333333334
2020-04-16,433.3333333333333
2020-04-17,466.6666666666667
2020-04-18,500.0
2020-04-19,466.6666666666667
2020-04-20,466.6666666666667
2020-04-21,500.0
2020-04-22,466.6666666666667
2020-04-23,511.0
2020-04-24,516.6666666666666
2020-04-25,550.0
2020-04-26,466.6666666666667
2020-04-27,450.0
2020-04-28,400.0
2020-04-29,383.3333333333333
2020-04-30,433.3333333333333
2020-05-01,516.6666666666666
2020-05-02,500.0
2020-05-03,466.6666666666667
2020-05-04,566.6666666666666
2020-05-05,500.0
2020-05-06,516.6666666666666
2020-05-07,516.6666666666666
2020-05-08,466.6666666666667
2020-05-09,450.0
2020-05-10,466.6666666666667
2020-05-11,550.0
2020-05-12,516.6666666666666
2020-05-13,516.6666666666666
2020-05-14,566.6666666666666
2020-05-15,600.0
2020-05-16,500.0
2020-05-17,500.0
2020-05-18,533.3333333333334
2020-05-19,566.6666666666666
