price date,modal price (rs./quintal)
2020-04-08,1000.0
2020-04-09,1000.0
2020-04-10,1000.0
2020-04-11,1000.0
2020-04-12,1000.0
2020-04-13,900.0
2020-04-14,900.0
2020-04-15,1000.0
2020-04-16,1200.0
2020-04-17,800.0
2020-04-18,800.0
2020-04-19,800.0
2020-04-20,1000.0
2020-04-21,800.0
2020-04-22,800.0
2020-04-23,800.0
2020-04-24,800.0
2020-04-25,800.0
2020-04-26,800.0
2020-04-27,800.0
2020-04-28,700.0
2020-04-29,800.0
2020-04-30,600.0
2020-05-01,600.0
2020-05-02,600.0
2020-05-03,600.0
2020-05-04,1000.0
2020-05-05,1000.0
2020-05-06,900.0
2020-05-07,1000.0
2020-05-08,1000.0
2020-05-09,1000.0
2020-05-10,1000.0
2020-05-11,900.0
2020-05-12,1000.0
2020-05-13,1000.0
2020-05-14,1000.0
2020-05-15,1000.0
2020-05-16,1000.0
2020-05-17,1000.0
2020-05-18,1000.0
2020-05-19,1000.0
2020-05-20,1000.0
2020-05-21,900.0
2020-05-22,1000.0
2020-05-23,1000.0
2020-05-24,1000.0
2020-05-25,1000.0
2020-05-26,1000.0
2020-05-27,1000.0
2020-05-28,1000.0
2020-05-29,1200.0
2020-05-30,1200.0
2020-05-31,1200.0
2020-06-01,1600.0
2020-06-02,1200.0
2020-06-03,1200.0
2020-06-04,1200.0
2020-06-05,1600.0
2020-06-06,1600.0
2020-06-07,1600.0
2020-06-08,1600.0
2020-06-09,1200.0
2020-06-10,2000.0
2020-06-11,1600.0
2020-06-12,1600.0
2020-06-13,1600.0
2020-06-14,1600.0
2020-06-15,1600.0
2020-06-16,2000.0
2020-06-17,2000.0
2020-06-18,1600.0
2020-06-19,2400.0
2020-06-20,2400.0
2020-06-21,2400.0
2020-06-22,2000.0
2020-06-23,2000.0
2020-06-24,2600.0
2020-06-25,2400.0
2020-06-26,2400.0
2020-06-27,2400.0
2020-06-28,2400.0
2020-06-29,2400.0
2020-06-30,3000.0
2020-07-01,3000.0
2020-07-02,3000.0
2020-07-03,2200.0
2020-07-04,2200.0
2020-07-05,2200.0
2020-07-06,2000.0
2020-07-07,2000.0
2020-07-08,2400.0
2020-07-09,4000.0
2020-07-10,2400.0
2020-07-11,2400.0
2020-07-12,2400.0
2020-07-13,4000.0
2020-07-14,3000.0
2020-07-15,3600.0
2020-07-16,4000.0
2020-07-17,3000.0
2020-07-18,3000.0
2020-07-19,3000.0
2020-07-20,2000.0
2020-07-21,2000.0
2020-07-22,2000.0
2020-07-23,2000.0
2020-07-24,2000.0
2020-07-25,2000.0
2020-07-26,2000.0
2020-07-27,1000.0
2020-07-28,1600.0
2020-07-29,1600.0
2020-07-30,1600.0
2020-07-31,1000.0
2020-08-01,1000.0
2020-08-02,1000.0
2020-08-03,800.0
2020-08-04,1000.0
2020-08-05,1000.0
2020-08-06,1000.0
2020-08-07,1000.0
2020-08-08,1000.0
2020-08-09,1000.0
2020-08-10,1600.0
2020-08-11,1600.0
2020-08-12,1600.0
2020-08-13,1600.0
2020-08-14,2000.0
2020-08-15,2000.0
2020-08-16,2000.0
2020-08-17,1600.0
2020-08-18,1600.0
2020-08-19,1600.0
2020-08-20,2000.0
2020-08-21,2000.0
2020-08-22,2000.0
2020-08-23,2000.0
2020-08-24,1600.0
2020-08-25,1600.0
2020-08-26,1200.0
2020-08-27,2400.0
2020-08-28,2400.0
2020-08-29,2400.0
2020-08-30,2400.0
2020-08-31,2000.0
2020-09-01,2000.0
2020-09-02,2000.0
2020-09-03,2000.0
2020-09-04,1600.0
2020-09-05,1600.0
2020-09-06,1600.0
2020-09-07,4000.0
2020-09-08,2600.0
2020-09-09,2000.0
2020-09-10,3000.0
2020-09-11,2000.0
2020-09-12,2000.0
2020-09-13,2000.0
2020-09-14,2400.0
2020-09-15,3000.0
2020-09-16,2600.0
2020-09-17,2600.0
2020-09-18,2400.0
2020-09-19,2400.0
2020-09-20,2400.0
2020-09-21,2000.0
2020-09-22,2000.0
2020-09-23,1000.0
2020-09-24,2500.0
2020-09-25,2500.0
2020-09-26,2500.0
2020-09-27,2500.0
2020-09-28,2000.0
2020-09-29,2000.0
2020-09-30,2000.0
2020-10-01,2400.0
2020-10-02,2400.0
2020-10-03,2400.0
2020-10-04,2400.0
2020-10-05,2400.0
2020-10-06,2000.0
2020-10-07,2000.0
2020-10-08,1600.0
2020-10-09,2000.0
2020-10-10,2000.0
2020-10-11,2000.0
2020-10-12,2000.0
2020-10-13,2400.0
2020-10-14,2000.0
2020-10-15,2000.0
2020-10-16,2400.0
2020-10-17,2400.0
2020-10-18,2400.0
2020-10-19,2400.0
2020-10-20,2400.0
2020-10-21,2000.0
2020-10-22,2400.0
2020-10-23,2400.0
2020-10-24,2400.0
2020-10-25,2400.0
2020-10-26,2400.0
2020-10-27,2400.0
2020-10-28,2400.0
2020-10-29,1600.0
2020-10-30,1600.0
2020-10-31,1600.0
2020-11-01,1600.0
2020-11-02,2000.0
2020-11-03,1200.0
2020-11-04,1500.0
2020-11-05,1600.0
2020-11-06,2000.0
2020-11-07,2000.0
2020-11-08,2000.0
2020-11-09,2000.0
2020-11-10,2400.0
2020-11-11,2000.0
2020-11-12,2400.0
2020-11-13,2400.0
2020-11-14,2400.0
2020-11-15,2400.0
2020-11-16,2400.0
2020-11-17,2400.0
2020-11-18,2000.0
2020-11-19,2000.0
2020-11-20,2000.0
2020-11-21,2000.0
2020-11-22,2000.0
2020-11-23,2000.0
2020-11-24,1600.0
2020-11-25,2000.0
2020-11-26,2000.0
2020-11-27,2400.0
2020-11-28,2400.0
2020-11-29,2400.0
2020-11-30,2000.0
2020-12-01,2000.0
2020-12-02,1600.0
2020-12-03,1600.0
2020-12-04,1600.0
2020-12-05,1600.0
2020-12-06,1600.0
2020-12-07,1600.0
2020-12-08,1600.0
2020-12-09,2000.0
2020-12-10,1600.0
2020-12-11,1600.0
2020-12-12,1600.0
2020-12-13,1600.0
2020-12-14,1600.0
2020-12-15,1600.0
2020-12-16,1600.0
2020-12-17,1600.0
2020-12-18,1600.0
2020-12-19,1600.0
2020-12-20,1600.0
2020-12-21,1600.0
2020-12-22,1200.0
2020-12-23,1200.0
2020-12-24,1200.0
2020-12-25,1200.0
2020-12-26,1200.0
2020-12-27,1200.0
2020-12-28,1000.0
2020-12-29,1000.0
2020-12-30,1000.0
2020-12-31,1000.0
2021-01-01,1000.0
2021-01-02,1000.0
2021-01-03,1000.0
2021-01-04,1200.0
2021-01-05,1000.0
2021-01-06,1000.0
2021-01-07,1000.0
2021-01-08,1000.0
2021-01-09,1000.0
2021-01-10,1000.0
2021-01-11,1000.0
2021-01-12,1000.0
2021-01-13,1000.0
2021-01-14,1000.0
2021-01-15,1000.0
2021-01-16,1000.0
2021-01-17,1000.0
2021-01-18,1000.0
2021-01-19,1000.0
2021-01-20,1000.0
2021-01-21,1000.0
2021-01-22,1000.0
2021-01-23,1000.0
2021-01-24,1000.0
2021-01-25,1000.0
2021-01-26,1000.0
2021-01-27,1000.0
2021-01-28,1000.0
2021-01-29,1000.0
2021-01-30,1000.0
2021-01-31,1000.0
2021-02-01,1000.0
2021-02-02,1000.0
2021-02-03,1000.0
2021-02-04,1000.0
2021-02-05,1000.0
2021-02-06,1000.0
2021-02-07,1000.0
2021-02-08,1000.0
2021-02-09,1000.0
2021-02-10,1000.0
2021-02-11,2000.0
2021-02-12,2000.0
2021-02-13,2000.0
2021-02-14,2000.0
2021-02-15,2000.0
2021-02-16,2000.0
2021-02-17,1500.0
2021-02-18,1500.0
2021-02-19,1500.0
2021-02-20,1500.0
2021-02-21,1500.0
2021-02-22,1800.0
2021-02-23,1500.0
2021-02-24,900.0
2021-02-25,900.0
2021-02-26,700.0
2021-02-27,700.0
2021-02-28,700.0
2021-03-01,900.0
2021-03-02,900.0
2021-03-03,900.0
2021-03-04,900.0
2021-03-05,900.0
2021-03-06,900.0
2021-03-07,900.0
2021-03-08,900.0
2021-03-09,900.0
2021-03-10,700.0
2021-03-11,700.0
2021-03-12,700.0
2021-03-13,700.0
2021-03-14,700.0
2021-03-15,900.0
2021-03-16,900.0
2021-03-17,900.0
2021-03-18,900.0
2021-03-19,900.0
2021-03-20,900.0
2021-03-21,900.0
2021-03-22,900.0
2021-03-23,900.0
2021-03-24,900.0
2021-03-25,900.0
2021-03-26,700.0
2021-03-27,700.0
2021-03-28,700.0
2021-03-29,900.0
2021-03-30,900.0
2021-03-31,900.0
2021-04-01,900.0
2021-04-02,900.0
2021-04-03,900.0
2021-04-04,900.0
2021-04-05,900.0
2021-04-06,900.0
2021-04-07,900.0
2021-04-08,900.0
2021-04-09,900.0
2021-04-10,900.0
2021-04-11,900.0
2021-04-12,900.0
2021-04-13,900.0
2021-04-14,900.0
2021-04-15,900.0
2021-04-16,900.0
2021-04-17,900.0
2021-04-18,900.0
2021-04-19,900.0
2021-04-20,1500.0
2021-04-21,1250.0
2021-04-22,900.0
2021-04-23,900.0
2021-04-24,900.0
2021-04-25,900.0
2021-04-26,1500.0
2021-04-27,1100.0
2021-04-28,1300.0
2021-04-29,1100.0
2021-04-30,1000.0
2021-05-01,1000.0
2021-05-02,1000.0
2021-05-03,900.0
2021-05-04,1100.0
2021-05-05,900.0
2021-05-06,900.0
2021-05-07,900.0
2021-05-08,900.0
2021-05-09,900.0
2021-05-10,900.0
2021-05-11,900.0
2021-05-12,1250.0
2021-05-13,1500.0
2021-05-14,1500.0
2021-05-15,1500.0
2021-05-16,1500.0
2021-05-17,750.0
2021-05-18,750.0
2021-05-19,900.0
2021-05-20,1300.0
2021-05-21,1200.0
2021-05-22,1200.0
2021-05-23,1200.0
2021-05-24,900.0
2021-05-25,900.0
2021-05-26,1400.0
2021-05-27,800.0
2021-05-28,1200.0
2021-05-29,1200.0
2021-05-30,1200.0
2021-05-31,800.0
2021-06-01,750.0
2021-06-02,900.0
2021-06-03,750.0
2021-06-04,800.0
2021-06-05,800.0
2021-06-06,800.0
2021-06-07,900.0
2021-06-08,800.0
2021-06-09,800.0
2021-06-10,800.0
2021-06-11,900.0
2021-06-12,900.0
2021-06-13,900.0
2021-06-14,800.0
2021-06-15,900.0
2021-06-16,900.0
2021-06-17,1200.0
2021-06-18,900.0
2021-06-19,900.0
2021-06-20,900.0
2021-06-21,900.0
2021-06-22,800.0
2021-06-23,1400.0
2021-06-24,800.0
2021-06-25,900.0
2021-06-26,900.0
2021-06-27,900.0
2021-06-28,900.0
2021-06-29,900.0
2021-06-30,900.0
2021-07-01,900.0
2021-07-02,900.0
2021-07-03,900.0
2021-07-04,900.0
2021-07-05,1100.0
2021-07-06,900.0
2021-07-07,900.0
2021-07-08,900.0
2021-07-09,900.0
2021-07-10,900.0
