price date,modal price (rs./quintal)
2020-04-05,700.0
2020-04-06,700.0
2020-04-07,700.0
2020-04-08,650.0
2020-04-09,700.0
2020-04-10,700.0
2020-04-11,650.0
2020-04-12,650.0
2020-04-13,850.0
2020-04-14,700.0
2020-04-15,700.0
2020-04-16,850.0
2020-04-17,900.0
2020-04-18,760.0
2020-04-19,700.0
2020-04-20,800.0
2020-04-21,800.0
2020-04-22,725.0
2020-04-23,600.0
2020-04-24,750.0
2020-04-25,725.0
2020-04-26,600.0
2020-04-27,600.0
2020-04-28,550.0
2020-04-29,650.0
2020-04-30,600.0
2020-05-01,725.0
2020-05-02,625.0
2020-05-03,700.0
2020-05-04,675.0
2020-05-05,650.0
2020-05-06,775.0
2020-05-07,800.0
2020-05-08,800.0
2020-05-09,700.0
2020-05-10,900.0
2020-05-11,600.0
2020-05-12,625.0
2020-05-13,675.0
2020-05-14,800.0
2020-05-15,675.0
2020-05-16,800.0
2020-05-17,1100.0
2020-05-18,725.0
2020-05-19,700.0
2020-05-20,700.0
2020-05-21,800.0
2020-05-22,675.0
2020-05-23,900.0
2020-05-24,2500.0
2020-05-25,600.0
2020-05-26,600.0
2020-05-27,900.0
2020-05-28,1200.0
2020-05-29,1250.0
2020-05-30,950.0
2020-05-31,1200.0
2020-06-01,1100.0
2020-06-02,1000.0
2020-06-03,1050.0
2020-06-04,1400.0
2020-06-05,1225.0
2020-06-06,1200.0
2020-06-07,1200.0
2020-06-08,1200.0
2020-06-09,1200.0
2020-06-10,1200.0
2020-06-11,1200.0
2020-06-12,1200.0
2020-06-13,1200.0
2020-06-14,1200.0
2020-06-15,1200.0
2020-06-16,1200.0
2020-06-17,1200.0
2020-06-18,1200.0
2020-06-19,1200.0
2020-06-20,1200.0
2020-06-21,1200.0
2020-06-22,1200.0
2020-06-23,1200.0
2020-06-24,1200.0
2020-06-25,1200.0
2020-06-26,2400.0
2020-06-27,2400.0
2020-06-28,2400.0
2020-06-29,2400.0
2020-06-30,2400.0
2020-07-01,1850.0
2020-07-02,1850.0
2020-07-03,1850.0
2020-07-04,1850.0
2020-07-05,1850.0
2020-07-06,1600.0
2020-07-07,1500.0
2020-07-08,1600.0
2020-07-09,1600.0
2020-07-10,1600.0
2020-07-11,1600.0
2020-07-12,1600.0
2020-07-13,2100.0
2020-07-14,2100.0
2020-07-15,2450.0
2020-07-16,2450.0
2020-07-17,2850.0
2020-07-18,2400.0
2020-07-19,2400.0
2020-07-20,2400.0
2020-07-21,1100.0
2020-07-22,1200.0
2020-07-23,1200.0
2020-07-24,1200.0
2020-07-25,1200.0
2020-07-26,1200.0
2020-07-27,1200.0
2020-07-28,1200.0
2020-07-29,1250.0
2020-07-30,800.0
2020-07-31,800.0
2020-08-01,800.0
2020-08-02,800.0
2020-08-03,900.0
2020-08-04,800.0
2020-08-05,850.0
2020-08-06,850.0
2020-08-07,850.0
2020-08-08,850.0
2020-08-09,850.0
2020-08-10,800.0
2020-08-11,800.0
2020-08-12,800.0
2020-08-13,800.0
2020-08-14,800.0
2020-08-15,800.0
2020-08-16,800.0
2020-08-17,850.0
2020-08-18,850.0
2020-08-19,850.0
2020-08-20,850.0
2020-08-21,850.0
2020-08-22,850.0
2020-08-23,850.0
2020-08-24,1520.0
2020-08-25,1520.0
2020-08-26,2400.0
2020-08-27,2400.0
2020-08-28,2200.0
2020-08-29,2300.0
2020-08-30,2300.0
2020-08-31,2200.0
2020-09-01,2200.0
2020-09-02,2200.0
2020-09-03,2200.0
2020-09-04,2200.0
2020-09-05,2100.0
2020-09-06,2100.0
2020-09-07,2100.0
2020-09-08,2400.0
2020-09-09,2400.0
2020-09-10,2400.0
2020-09-11,2400.0
2020-09-12,2400.0
2020-09-13,2400.0
2020-09-14,2400.0
2020-09-15,2200.0
2020-09-16,1800.0
2020-09-17,1800.0
2020-09-18,1800.0
2020-09-19,1650.0
2020-09-20,1650.0
