price date,modal price (rs./quintal)
2020-01-01,3287.5
2020-01-02,3287.5
2020-01-03,3287.5
2020-01-04,3287.5
2020-01-05,3287.5
2020-01-06,3287.5
2020-01-07,3287.5
2020-01-08,3287.5
2020-01-09,3287.5
2020-01-10,3287.5
2020-01-11,3287.5
2020-01-12,3287.5
2020-01-13,3287.5
2020-01-14,3287.5
2020-01-15,3287.5
2020-01-16,3287.5
2020-01-17,3287.5
2020-01-18,3287.5
2020-01-19,3287.5
2020-01-20,3287.5
2020-01-21,3287.5
2020-01-22,3287.5
2020-01-23,3287.5
2020-01-24,3287.5
2020-01-25,3287.5
2020-01-26,3287.5
2020-01-27,3287.5
2020-01-28,3287.5
2020-01-29,3287.5
2020-01-30,2800.0
2020-01-31,2800.0
2020-02-01,2800.0
2020-02-02,2800.0
2020-02-03,2800.0
2020-02-04,2625.0
2020-02-05,2625.0
2020-02-06,2625.0
2020-02-07,2625.0
2020-02-08,2625.0
2020-02-09,2625.0
2020-02-10,2625.0
2020-02-11,2625.0
2020-02-12,2625.0
2020-02-13,2800.0
2020-02-14,2800.0
2020-02-15,2800.0
2020-02-16,2800.0
2020-02-17,2800.0
2020-02-18,2800.0
2020-02-19,2800.0
2020-02-20,2800.0
2020-02-21,2800.0
2020-02-22,2800.0
2020-02-23,2800.0
2020-02-24,2800.0
2020-02-25,2800.0
2020-02-26,2800.0
2020-02-27,3200.0
2020-02-28,3200.0
2020-02-29,3200.0
2020-03-01,3200.0
2020-03-02,3200.0
2020-03-03,3200.0
2020-03-04,3000.0
2020-03-05,3000.0
2020-03-06,3000.0
2020-03-07,3000.0
2020-03-08,3000.0
2020-03-09,2900.0
2020-03-10,2900.0
2020-03-11,2900.0
2020-03-12,2900.0
2020-03-13,2900.0
2020-03-14,2900.0
2020-03-15,2900.0
2020-03-16,1801.0
2020-03-17,2800.0
2020-03-18,2800.0
2020-03-19,2800.0
2020-03-20,2800.0
2020-03-21,3150.0
2020-03-22,3150.0
2020-03-23,3150.0
2020-03-24,3150.0
2020-03-25,2750.0
2020-03-26,2750.0
2020-03-27,2750.0
2020-03-28,2750.0
2020-03-29,2750.0
2020-03-30,2750.0
2020-03-31,2750.0
2020-04-01,2750.0
2020-04-02,2750.0
2020-04-03,2750.0
2020-04-04,2550.0
2020-04-05,2550.0
2020-04-06,2550.0
2020-04-07,3350.0
2020-04-08,3300.0
2020-04-09,3250.0
2020-04-10,2800.0
2020-04-11,2800.0
2020-04-12,2800.0
2020-04-13,2800.0
2020-04-14,2800.0
2020-04-15,3200.0
2020-04-16,3350.0
2020-04-17,3350.0
2020-04-18,3350.0
2020-04-19,3350.0
2020-04-20,3250.0
2020-04-21,2525.0
2020-04-22,2900.0
2020-04-23,2900.0
2020-04-24,2900.0
2020-04-25,2900.0
2020-04-26,2900.0
2020-04-27,2900.0
2020-04-28,2900.0
2020-04-29,2900.0
2020-04-30,3000.0
2020-05-01,3000.0
2020-05-02,3000.0
