price date,modal price (rs./quintal)
2020-01-01,3000.0
2020-01-02,3000.0
2020-01-03,3000.0
2020-01-04,3000.0
2020-01-05,3000.0
2020-01-06,3000.0
2020-01-07,3000.0
2020-01-08,3000.0
2020-01-09,3000.0
2020-01-10,3000.0
2020-01-11,3000.0
2020-01-12,3000.0
2020-01-13,3000.0
2020-01-14,3000.0
2020-01-15,3000.0
2020-01-16,3000.0
2020-01-17,3000.0
2020-01-18,3000.0
2020-01-19,3000.0
2020-01-20,3000.0
2020-01-21,3000.0
2020-01-22,3150.0
2020-01-23,3150.0
2020-01-24,3150.0
2020-01-25,3150.0
2020-01-26,3150.0
2020-01-27,3150.0
2020-01-28,3150.0
2020-01-29,3150.0
2020-01-30,3150.0
2020-01-31,3150.0
2020-02-01,3500.0
2020-02-02,3500.0
2020-02-03,3500.0
2020-02-04,3500.0
2020-02-05,3500.0
2020-02-06,3500.0
2020-02-07,3500.0
2020-02-08,3500.0
2020-02-09,3500.0
2020-02-10,3500.0
2020-02-11,3500.0
2020-02-12,3500.0
2020-02-13,3500.0
2020-02-14,3500.0
2020-02-15,3500.0
2020-02-16,3500.0
2020-02-17,3500.0
2020-02-18,3500.0
2020-02-19,3500.0
2020-02-20,3500.0
2020-02-21,3500.0
2020-02-22,3500.0
2020-02-23,3500.0
2020-02-24,3500.0
2020-02-25,3500.0
2020-02-26,3500.0
2020-02-27,3500.0
2020-02-28,3500.0
2020-02-29,3500.0
2020-03-01,3500.0
2020-03-02,3500.0
2020-03-03,3500.0
2020-03-04,3500.0
2020-03-05,3500.0
2020-03-06,3500.0
2020-03-07,3500.0
2020-03-08,3500.0
2020-03-09,3500.0
2020-03-10,3500.0
2020-03-11,3500.0
2020-03-12,3500.0
2020-03-13,3250.0
2020-03-14,3250.0
2020-03-15,3250.0
2020-03-16,3250.0
2020-03-17,3250.0
2020-03-18,3250.0
2020-03-19,3250.0
2020-03-20,3250.0
2020-03-21,3250.0
2020-03-22,3250.0
2020-03-23,3250.0
2020-03-24,3250.0
2020-03-25,3250.0
2020-03-26,3250.0
2020-03-27,3250.0
2020-03-28,3250.0
2020-03-29,3250.0
2020-03-30,3250.0
2020-03-31,3100.0
2020-04-01,3250.0
2020-04-02,3250.0
2020-04-03,3250.0
2020-04-04,2950.0
2020-04-05,2950.0
2020-04-06,2950.0
2020-04-07,2900.0
2020-04-08,2900.0
2020-04-09,2900.0
2020-04-10,2900.0
2020-04-11,2900.0
2020-04-12,2900.0
2020-04-13,2900.0
2020-04-14,2900.0
2020-04-15,2900.0
2020-04-16,2900.0
2020-04-17,2900.0
2020-04-18,3100.0
2020-04-19,3100.0
2020-04-20,3100.0
2020-04-21,2950.0
2020-04-22,2950.0
2020-04-23,3100.0
2020-04-24,3100.0
2020-04-25,3100.0
2020-04-26,3100.0
2020-04-27,3100.0
2020-04-28,2800.0
2020-04-29,2800.0
2020-04-30,2800.0
2020-05-01,2800.0
2020-05-02,2800.0
2020-05-03,2800.0
2020-05-04,2800.0
2020-05-05,2800.0
2020-05-06,2800.0
2020-05-07,2800.0
2020-05-08,2800.0
2020-05-09,2800.0
2020-05-10,2800.0
2020-05-11,2800.0
2020-05-12,3000.0
2020-05-13,3000.0
2020-05-14,3000.0
2020-05-15,3000.0
2020-05-16,2950.0
2020-05-17,2950.0
2020-05-18,2950.0
2020-05-19,2950.0
2020-05-20,2950.0
2020-05-21,2950.0
2020-05-22,3100.0
2020-05-23,3100.0
2020-05-24,3100.0
2020-05-25,3100.0
2020-05-26,2950.0
2020-05-27,2950.0
2020-05-28,2950.0
2020-05-29,2950.0
2020-05-30,2950.0
2020-05-31,2950.0
2020-06-01,2950.0
2020-06-02,2950.0
2020-06-03,2950.0
2020-06-04,2950.0
2020-06-05,2950.0
2020-06-06,2950.0
2020-06-07,2950.0
2020-06-08,2950.0
2020-06-09,2950.0
2020-06-10,2950.0
2020-06-11,2950.0
2020-06-12,2950.0
2020-06-13,2950.0
2020-06-14,2950.0
2020-06-15,2950.0
2020-06-16,2950.0
2020-06-17,2950.0
2020-06-18,2950.0
2020-06-19,2950.0
2020-06-20,2950.0
2020-06-21,2950.0
2020-06-22,2950.0
2020-06-23,2950.0
2020-06-24,2950.0
2020-06-25,2950.0
2020-06-26,2950.0
2020-06-27,2950.0
2020-06-28,2950.0
2020-06-29,2950.0
2020-06-30,2950.0
2020-07-01,3200.0
2020-07-02,3200.0
2020-07-03,3200.0
2020-07-04,3200.0
2020-07-05,3200.0
2020-07-06,3200.0
2020-07-07,3200.0
2020-07-08,3200.0
2020-07-09,3200.0
2020-07-10,3200.0
2020-07-11,3200.0
2020-07-12,3200.0
2020-07-13,3200.0
2020-07-14,3200.0
2020-07-15,3200.0
2020-07-16,3200.0
2020-07-17,3200.0
2020-07-18,3200.0
2020-07-19,3200.0
2020-07-20,3200.0
2020-07-21,3200.0
2020-07-22,3100.0
2020-07-23,3000.0
2020-07-24,3000.0
2020-07-25,3000.0
2020-07-26,3000.0
2020-07-27,3000.0
2020-07-28,3000.0
2020-07-29,3000.0
2020-07-30,3000.0
2020-07-31,3000.0
2020-08-01,3000.0
2020-08-02,3000.0
2020-08-03,3000.0
2020-08-04,2850.0
2020-08-05,2850.0
2020-08-06,2850.0
2020-08-07,2850.0
2020-08-08,2850.0
2020-08-09,2850.0
2020-08-10,2850.0
2020-08-11,2850.0
2020-08-12,2850.0
2020-08-13,2850.0
2020-08-14,2850.0
2020-08-15,2850.0
2020-08-16,2850.0
2020-08-17,2850.0
2020-08-18,2850.0
2020-08-19,2850.0
2020-08-20,2850.0
2020-08-21,2850.0
2020-08-22,2850.0
2020-08-23,2850.0
2020-08-24,2850.0
2020-08-25,2850.0
2020-08-26,2650.0
2020-08-27,2650.0
2020-08-28,2650.0
2020-08-29,2650.0
2020-08-30,2650.0
2020-08-31,2650.0
2020-09-01,2650.0
2020-09-02,2650.0
2020-09-03,2650.0
2020-09-04,2650.0
2020-09-05,2650.0
2020-09-06,2650.0
2020-09-07,2650.0
2020-09-08,2650.0
2020-09-09,2650.0
2020-09-10,2650.0
2020-09-11,2650.0
2020-09-12,2650.0
2020-09-13,2650.0
2020-09-14,2650.0
2020-09-15,2650.0
2020-09-16,2650.0
2020-09-17,2650.0
2020-09-18,2650.0
2020-09-19,2650.0
2020-09-20,2650.0
2020-09-21,2650.0
2020-09-22,2650.0
2020-09-23,2650.0
2020-09-24,2650.0
2020-09-25,2650.0
2020-09-26,2650.0
2020-09-27,2650.0
2020-09-28,2650.0
2020-09-29,2650.0
2020-09-30,2650.0
2020-10-01,2650.0
2020-10-02,2650.0
2020-10-03,2650.0
2020-10-04,2650.0
2020-10-05,2650.0
2020-10-06,2650.0
2020-10-07,2650.0
2020-10-08,2650.0
2020-10-09,2650.0
2020-10-10,2650.0
2020-10-11,2650.0
2020-10-12,2650.0
2020-10-13,2650.0
2020-10-14,2650.0
2020-10-15,2650.0
2020-10-16,2650.0
2020-10-17,2650.0
2020-10-18,2650.0
2020-10-19,2650.0
2020-10-20,2650.0
2020-10-21,2650.0
2020-10-22,2650.0
2020-10-23,2650.0
2020-10-24,2650.0
2020-10-25,2650.0
2020-10-26,2650.0
2020-10-27,2650.0
2020-10-28,2650.0
2020-10-29,2650.0
2020-10-30,2650.0
2020-10-31,2650.0
2020-11-01,2650.0
2020-11-02,2650.0
2020-11-03,2650.0
2020-11-04,2650.0
2020-11-05,2650.0
2020-11-06,2650.0
2020-11-07,2650.0
2020-11-08,2650.0
2020-11-09,2650.0
2020-11-10,2650.0
2020-11-11,2650.0
2020-11-12,2650.0
2020-11-13,2650.0
2020-11-14,2650.0
2020-11-15,2650.0
2020-11-16,2650.0
2020-11-17,2650.0
2020-11-18,3000.0
2020-11-19,3000.0
2020-11-20,3000.0
2020-11-21,3000.0
2020-11-22,3000.0
2020-11-23,3000.0
2020-11-24,3000.0
2020-11-25,3000.0
2020-11-26,3000.0
2020-11-27,3000.0
2020-11-28,3000.0
2020-11-29,3000.0
2020-11-30,3000.0
2020-12-01,2650.0
2020-12-02,2650.0
2020-12-03,2650.0
2020-12-04,2650.0
2020-12-05,2650.0
2020-12-06,2650.0
2020-12-07,2650.0
2020-12-08,2650.0
2020-12-09,2650.0
2020-12-10,2650.0
2020-12-11,2650.0
2020-12-12,2650.0
2020-12-13,2650.0
2020-12-14,2650.0
2020-12-15,2650.0
2020-12-16,2650.0
2020-12-17,2650.0
2020-12-18,2650.0
2020-12-19,2650.0
2020-12-20,2650.0
2020-12-21,2650.0
2020-12-22,2650.0
2020-12-23,2650.0
2020-12-24,2650.0
2020-12-25,2650.0
2020-12-26,2650.0
2020-12-27,2650.0
2020-12-28,2650.0
2020-12-29,2650.0
2020-12-30,2650.0
2020-12-31,2650.0
2021-01-01,2650.0
2021-01-02,2650.0
2021-01-03,2650.0
2021-01-04,2650.0
2021-01-05,2650.0
2021-01-06,2650.0
2021-01-07,2414.5
2021-01-08,2650.0
2021-01-09,2650.0
2021-01-10,2650.0
2021-01-11,2650.0
2021-01-12,2650.0
2021-01-13,2650.0
2021-01-14,2650.0
2021-01-15,2650.0
2021-01-16,2650.0
2021-01-17,2650.0
2021-01-18,2650.0
2021-01-19,2650.0
2021-01-20,2650.0
2021-01-21,2650.0
2021-01-22,2650.0
2021-01-23,2650.0
2021-01-24,2650.0
2021-01-25,2650.0
2021-01-26,2650.0
2021-01-27,2650.0
2021-01-28,2650.0
2021-01-29,2650.0
2021-01-30,2650.0
2021-01-31,2650.0
2021-02-01,2650.0
2021-02-02,2650.0
2021-02-03,2650.0
2021-02-04,2650.0
2021-02-05,2650.0
2021-02-06,2650.0
2021-02-07,2650.0
2021-02-08,2650.0
2021-02-09,2650.0
2021-02-10,2650.0
2021-02-11,2650.0
2021-02-12,2650.0
2021-02-13,2650.0
2021-02-14,2650.0
2021-02-15,2650.0
2021-02-16,2650.0
2021-02-17,2650.0
2021-02-18,2650.0
2021-02-19,2650.0
2021-02-20,2650.0
2021-02-21,2650.0
2021-02-22,2650.0
2021-02-23,2650.0
2021-02-24,2650.0
2021-02-25,2650.0
2021-02-26,2423.0
2021-02-27,2423.0
2021-02-28,2423.0
2021-03-01,2750.0
2021-03-02,2750.0
2021-03-03,2750.0
2021-03-04,2750.0
2021-03-05,2750.0
2021-03-06,2750.0
2021-03-07,2750.0
2021-03-08,2750.0
2021-03-09,2750.0
2021-03-10,2750.0
2021-03-11,2750.0
2021-03-12,2750.0
2021-03-13,2750.0
2021-03-14,2750.0
2021-03-15,2750.0
2021-03-16,2750.0
2021-03-17,2750.0
2021-03-18,2750.0
2021-03-19,2750.0
2021-03-20,2750.0
2021-03-21,2750.0
2021-03-22,2750.0
2021-03-23,2700.0
2021-03-24,2700.0
2021-03-25,2700.0
2021-03-26,2700.0
2021-03-27,2700.0
2021-03-28,2700.0
2021-03-29,2700.0
2021-03-30,2700.0
2021-03-31,2525.0
2021-04-01,2700.0
2021-04-02,2700.0
2021-04-03,2700.0
2021-04-04,2700.0
2021-04-05,2850.0
2021-04-06,2850.0
2021-04-07,2850.0
2021-04-08,2850.0
2021-04-09,2850.0
2021-04-10,2850.0
2021-04-11,2850.0
2021-04-12,2850.0
2021-04-13,2850.0
2021-04-14,2850.0
2021-04-15,2850.0
2021-04-16,2850.0
2021-04-17,2850.0
2021-04-18,2850.0
2021-04-19,2850.0
2021-04-20,2850.0
2021-04-21,2850.0
2021-04-22,2850.0
2021-04-23,2850.0
2021-04-24,2850.0
2021-04-25,2850.0
2021-04-26,2650.0
2021-04-27,2650.0
2021-04-28,2400.0
2021-04-29,2400.0
2021-04-30,2400.0
