price date,modal price (rs./quintal)
2020-01-04,2810.0
2020-01-05,2810.0
2020-01-06,2810.0
2020-01-07,2810.0
2020-01-08,2810.0
2020-01-09,2810.0
2020-01-10,2810.0
2020-01-11,2810.0
2020-01-12,2810.0
2020-01-13,2810.0
2020-01-14,2835.0
2020-01-15,2835.0
2020-01-16,2835.0
2020-01-17,2835.0
2020-01-18,2835.0
2020-01-19,2835.0
2020-01-20,2835.0
2020-01-21,3050.0
2020-01-22,3050.0
2020-01-23,3050.0
2020-01-24,3050.0
2020-01-25,3050.0
2020-01-26,3050.0
2020-01-27,3050.0
2020-01-28,3050.0
2020-01-29,3050.0
2020-01-30,3050.0
2020-01-31,3050.0
2020-02-01,3050.0
2020-02-02,3050.0
2020-02-03,3050.0
2020-02-04,3050.0
2020-02-05,3050.0
2020-02-06,3050.0
2020-02-07,3050.0
2020-02-08,3050.0
2020-02-09,3050.0
2020-02-10,3050.0
2020-02-11,3050.0
2020-02-12,3050.0
2020-02-13,3050.0
2020-02-14,3050.0
2020-02-15,3050.0
2020-02-16,3050.0
2020-02-17,3050.0
2020-02-18,3050.0
2020-02-19,2890.0
2020-02-20,2890.0
2020-02-21,2890.0
2020-02-22,2890.0
2020-02-23,2890.0
2020-02-24,2890.0
2020-02-25,2850.0
2020-02-26,2850.0
2020-02-27,2850.0
2020-02-28,2850.0
2020-02-29,2850.0
2020-03-01,2850.0
2020-03-02,2850.0
2020-03-03,2850.0
2020-03-04,2850.0
2020-03-05,2850.0
2020-03-06,2850.0
2020-03-07,2850.0
2020-03-08,2850.0
2020-03-09,2850.0
2020-03-10,2850.0
2020-03-11,2850.0
2020-03-12,2850.0
2020-03-13,2850.0
2020-03-14,2850.0
2020-03-15,2850.0
2020-03-16,2850.0
2020-03-17,2790.0
2020-03-18,2790.0
2020-03-19,2100.0
2020-03-20,2100.0
2020-03-21,2100.0
2020-03-22,2100.0
2020-03-23,2100.0
2020-03-24,2100.0
2020-03-25,2100.0
2020-03-26,2100.0
2020-03-27,2100.0
2020-03-28,2100.0
2020-03-29,2100.0
2020-03-30,2100.0
2020-03-31,2100.0
2020-04-01,2100.0
2020-04-02,2100.0
2020-04-03,2100.0
2020-04-04,2100.0
2020-04-05,2100.0
2020-04-06,2100.0
2020-04-07,2100.0
2020-04-08,2100.0
2020-04-09,2100.0
2020-04-10,2100.0
2020-04-11,2100.0
2020-04-12,2100.0
2020-04-13,2100.0
2020-04-14,2100.0
2020-04-15,2100.0
2020-04-16,2100.0
2020-04-17,2100.0
2020-04-18,2100.0
2020-04-19,2100.0
2020-04-20,2100.0
2020-04-21,2100.0
2020-04-22,2100.0
2020-04-23,2100.0
2020-04-24,2100.0
2020-04-25,2100.0
2020-04-26,2100.0
2020-04-27,2100.0
2020-04-28,2100.0
2020-04-29,2100.0
2020-04-30,2100.0
2020-05-01,2100.0
2020-05-02,2121.0
2020-05-03,2121.0
2020-05-04,2121.0
2020-05-05,2121.0
2020-05-06,2121.0
2020-05-07,2121.0
2020-05-08,2121.0
2020-05-09,2121.0
2020-05-10,2121.0
2020-05-11,2121.0
2020-05-12,2121.0
2020-05-13,2082.0
2020-05-14,2082.0
2020-05-15,2082.0
2020-05-16,2082.0
2020-05-17,2082.0
2020-05-18,2082.0
2020-05-19,2082.0
2020-05-20,2082.0
2020-05-21,2082.0
