price date,modal price (rs./quintal)
2020-01-01,2650.0
2020-01-02,2650.0
2020-01-03,2650.0
2020-01-04,2560.0
2020-01-05,2560.0
2020-01-06,2650.0
2020-01-07,2650.0
2020-01-08,2650.0
2020-01-09,2650.0
2020-01-10,2650.0
2020-01-11,2650.0
2020-01-12,2650.0
2020-01-13,2650.0
2020-01-14,2650.0
2020-01-15,2650.0
2020-01-16,2650.0
2020-01-17,4500.0
2020-01-18,2600.0
2020-01-19,2600.0
2020-01-20,2600.0
2020-01-21,2600.0
2020-01-22,2600.0
2020-01-23,2600.0
2020-01-24,2600.0
2020-01-25,2450.0
2020-01-26,2450.0
2020-01-27,2600.0
2020-01-28,2600.0
2020-01-29,2600.0
2020-01-30,2600.0
2020-01-31,2600.0
2020-02-01,2600.0
2020-02-02,2600.0
2020-02-03,2600.0
2020-02-04,2600.0
2020-02-05,2600.0
2020-02-06,2600.0
2020-02-07,2600.0
2020-02-08,2600.0
2020-02-09,2600.0
2020-02-10,2600.0
2020-02-11,2500.0
2020-02-12,2600.0
2020-02-13,2600.0
2020-02-14,2600.0
2020-02-15,2600.0
2020-02-16,2600.0
2020-02-17,2600.0
2020-02-18,2650.0
2020-02-19,2650.0
2020-02-20,2600.0
2020-02-21,2600.0
2020-02-22,2600.0
2020-02-23,2600.0
2020-02-24,2600.0
2020-02-25,2600.0
2020-02-26,2600.0
2020-02-27,2600.0
2020-02-28,2600.0
2020-02-29,2600.0
2020-03-01,2600.0
2020-03-02,2200.0
2020-03-03,2600.0
2020-03-04,2583.3333333333335
2020-03-05,2566.6666666666665
2020-03-06,2450.0
2020-03-07,2600.0
2020-03-08,2600.0
2020-03-09,2600.0
2020-03-10,2600.0
2020-03-11,2293.6666666666665
2020-03-12,2317.0
2020-03-13,2267.0
2020-03-14,2600.0
2020-03-15,2600.0
2020-03-16,2401.0
2020-03-17,2262.5
2020-03-18,2400.0
2020-03-19,2400.0
2020-03-20,2400.0
2020-03-21,2400.0
2020-03-22,2400.0
2020-03-23,2400.0
2020-03-24,2400.0
2020-03-25,2400.0
2020-03-26,2400.0
2020-03-27,2400.0
2020-03-28,2400.0
2020-03-29,2400.0
2020-03-30,2400.0
2020-03-31,2400.0
2020-04-01,2400.0
2020-04-02,2400.0
2020-04-03,2400.0
2020-04-04,2400.0
2020-04-05,2400.0
2020-04-06,2400.0
2020-04-07,2600.0
2020-04-08,2500.0
2020-04-09,2500.0
2020-04-10,2400.0
2020-04-11,2600.0
2020-04-12,2600.0
2020-04-13,2300.0
2020-04-14,2300.0
2020-04-15,2433.3333333333335
2020-04-16,2400.0
2020-04-17,2650.0
2020-04-18,2216.6666666666665
2020-04-19,2400.0
2020-04-20,2960.5
2020-04-21,2475.0
2020-04-22,2650.0
2020-04-23,3200.0
2020-04-24,2515.25
2020-04-25,3197.75
2020-04-26,3197.75
2020-04-27,2617.0
2020-04-28,3020.3333333333335
2020-04-29,2951.25
2020-04-30,2970.3333333333335
2020-05-01,2970.3333333333335
2020-05-02,3033.3333333333335
2020-05-03,3100.0
2020-05-04,2626.6666666666665
2020-05-05,2755.0
2020-05-06,2780.0
2020-05-07,2710.25
2020-05-08,2785.0
2020-05-09,2737.5
2020-05-10,2737.5
2020-05-11,2726.6666666666665
2020-05-12,3133.3333333333335
2020-05-13,3099.5
2020-05-14,3099.5
2020-05-15,2583.3333333333335
2020-05-16,2712.5
2020-05-17,3000.0
2020-05-18,3000.0
2020-05-19,2712.5
2020-05-20,2737.5
2020-05-21,3016.6666666666665
2020-05-22,3016.6666666666665
2020-05-23,2650.0
2020-05-24,2650.0
2020-05-25,2650.0
2020-05-26,3200.0
2020-05-27,2668.75
2020-05-28,2929.6666666666665
2020-05-29,2950.0
2020-05-30,2900.0
2020-05-31,2900.0
2020-06-01,2491.0
2020-06-02,2825.0
2020-06-03,2500.0
2020-06-04,2700.0
2020-06-05,2700.0
2020-06-06,2800.0
2020-06-07,2800.0
2020-06-08,2588.3333333333335
2020-06-09,3100.0
2020-06-10,3090.5
2020-06-11,2712.6666666666665
2020-06-12,3050.0
2020-06-13,3100.0
2020-06-14,3100.0
2020-06-15,2736.6666666666665
2020-06-16,2800.0
2020-06-17,3115.5
2020-06-18,2800.0
2020-06-19,2800.0
2020-06-20,2700.3333333333335
2020-06-21,2700.3333333333335
2020-06-22,2883.3333333333335
2020-06-23,3175.0
2020-06-24,3135.5
2020-06-25,2800.0
2020-06-26,2747.0
2020-06-27,2953.6666666666665
2020-06-28,2953.6666666666665
2020-06-29,2825.6666666666665
2020-06-30,2800.0
2020-07-01,2766.6666666666665
2020-07-02,2800.0
2020-07-03,3365.5
2020-07-04,2957.0
2020-07-05,2957.0
2020-07-06,2700.0
2020-07-07,3400.5
2020-07-08,3445.5
2020-07-09,2275.0
2020-07-10,2883.3333333333335
2020-07-11,3545.5
2020-07-12,3545.5
2020-07-13,3545.5
2020-07-14,3545.5
2020-07-15,3545.5
2020-07-16,3545.5
2020-07-17,3545.5
2020-07-18,3545.5
2020-07-19,3545.5
2020-07-20,3545.5
2020-07-21,3545.5
2020-07-22,3545.5
2020-07-23,3545.5
2020-07-24,3545.5
2020-07-25,3545.5
2020-07-26,3545.5
2020-07-27,2867.0
2020-07-28,2887.3333333333335
2020-07-29,2860.0
2020-07-30,3515.0
2020-07-31,2700.0
2020-08-01,2700.0
2020-08-02,2700.0
2020-08-03,2700.0
2020-08-04,2826.6666666666665
2020-08-05,2899.6666666666665
2020-08-06,3525.5
2020-08-07,2973.6666666666665
2020-08-08,2966.6666666666665
2020-08-09,2966.6666666666665
2020-08-10,2966.6666666666665
2020-08-11,2933.3333333333335
2020-08-12,3006.6666666666665
2020-08-13,2916.6666666666665
2020-08-14,3500.0
2020-08-15,3500.0
2020-08-16,3500.0
2020-08-17,2700.0
2020-08-18,2700.0
2020-08-19,2700.0
2020-08-20,2700.0
2020-08-21,3500.0
2020-08-22,3500.0
2020-08-23,3500.0
2020-08-24,2883.3333333333335
2020-08-25,2900.0
2020-08-26,3001.0
2020-08-27,2866.6666666666665
2020-08-28,2700.0
2020-08-29,2700.0
2020-08-30,2700.0
2020-08-31,2833.3333333333335
2020-09-01,2943.3333333333335
2020-09-02,2175.0
2020-09-03,2700.0
2020-09-04,2700.0
2020-09-05,2965.0
2020-09-06,2965.0
2020-09-07,3100.0
2020-09-08,3033.3333333333335
2020-09-09,3225.0
2020-09-10,3505.5
2020-09-11,3505.5
2020-09-12,3725.0
2020-09-13,3725.0
2020-09-14,3283.3333333333335
2020-09-15,2700.0
2020-09-16,4500.0
2020-09-17,4500.0
2020-09-18,3567.0
2020-09-19,3666.6666666666665
2020-09-20,3666.6666666666665
2020-09-21,3466.6666666666665
2020-09-22,3425.0
2020-09-23,2700.0
2020-09-24,4245.0
2020-09-25,2700.0
2020-09-26,2700.0
2020-09-27,2700.0
2020-09-28,2700.0
2020-09-29,3367.3333333333335
2020-09-30,3333.3333333333335
2020-10-01,2700.0
2020-10-02,2700.0
2020-10-03,2700.0
2020-10-04,2700.0
2020-10-05,3270.0
2020-10-06,2700.0
2020-10-07,3416.6666666666665
2020-10-08,3400.0
2020-10-09,3367.0
2020-10-10,2700.0
2020-10-11,2700.0
2020-10-12,3233.3333333333335
2020-10-13,3413.3333333333335
2020-10-14,2700.0
2020-10-15,2700.0
2020-10-16,2700.0
2020-10-17,2700.0
2020-10-18,2700.0
2020-10-19,3266.6666666666665
2020-10-20,3433.3333333333335
2020-10-21,2700.0
2020-10-22,3446.6666666666665
2020-10-23,2100.0
2020-10-24,2700.0
2020-10-25,2700.0
2020-10-26,2700.0
2020-10-27,2700.0
2020-10-28,2700.0
2020-10-29,2700.0
2020-10-30,2700.0
2020-10-31,2700.0
2020-11-01,2700.0
2020-11-02,2700.0
2020-11-03,3600.0
2020-11-04,3433.3333333333335
2020-11-05,3250.0
2020-11-06,2700.0
2020-11-07,2800.0
2020-11-08,2800.0
2020-11-09,3825.0
2020-11-10,3825.0
2020-11-11,3825.0
2020-11-12,3825.0
2020-11-13,3825.0
2020-11-14,3825.0
2020-11-15,3825.0
2020-11-16,3825.0
2020-11-17,3825.0
2020-11-18,3533.3333333333335
2020-11-19,2700.0
2020-11-20,2600.0
2020-11-21,2500.0
2020-11-22,2500.0
2020-11-23,2600.0
2020-11-24,2600.0
2020-11-25,2600.0
2020-11-26,2025.0
2020-11-27,2600.0
2020-11-28,2700.0
2020-11-29,2700.0
2020-11-30,2700.0
2020-12-01,2700.0
2020-12-02,2700.0
2020-12-03,2700.0
2020-12-04,2700.0
2020-12-05,3800.0
2020-12-06,3800.0
2020-12-07,2700.0
2020-12-08,2700.0
2020-12-09,3516.6666666666665
2020-12-10,3533.3333333333335
2020-12-11,2700.0
2020-12-12,3433.3333333333335
2020-12-13,3433.3333333333335
2020-12-14,3433.3333333333335
2020-12-15,2700.0
2020-12-16,2700.0
2020-12-17,2700.0
2020-12-18,2700.0
2020-12-19,2700.0
2020-12-20,2700.0
2020-12-21,2700.0
2020-12-22,2700.0
2020-12-23,2700.0
2020-12-24,2400.0
2020-12-25,2400.0
2020-12-26,2700.0
2020-12-27,2700.0
2020-12-28,2850.0
2020-12-29,2700.0
2020-12-30,2700.0
2020-12-31,2700.0
2021-01-01,2700.0
2021-01-02,2700.0
2021-01-03,2700.0
2021-01-04,2700.0
2021-01-05,2700.0
2021-01-06,2700.0
2021-01-07,2700.0
2021-01-08,2700.0
2021-01-09,2700.0
2021-01-10,2700.0
2021-01-11,2700.0
2021-01-12,2700.0
2021-01-13,2700.0
2021-01-14,2700.0
2021-01-15,2700.0
2021-01-16,2700.0
2021-01-17,2700.0
2021-01-18,2600.0
2021-01-19,2600.0
2021-01-20,2600.0
2021-01-21,2600.0
2021-01-22,2600.0
2021-01-23,2600.0
2021-01-24,2600.0
2021-01-25,2700.0
2021-01-26,2700.0
2021-01-27,2600.0
2021-01-28,1987.5
2021-01-29,2600.0
2021-01-30,2600.0
2021-01-31,2600.0
2021-02-01,2600.0
2021-02-02,2600.0
2021-02-03,2600.0
2021-02-04,1975.0
2021-02-05,2600.0
2021-02-06,2600.0
2021-02-07,2600.0
2021-02-08,2050.5
2021-02-09,2600.0
2021-02-10,2650.0
2021-02-11,2650.0
2021-02-12,2650.0
2021-02-13,2070.0
2021-02-14,2070.0
2021-02-15,2650.0
2021-02-16,2600.0
2021-02-17,2650.0
2021-02-18,2600.0
2021-02-19,2600.0
2021-02-20,2000.0
2021-02-21,2000.0
2021-02-22,2600.0
2021-02-23,2600.0
2021-02-24,2600.0
2021-02-25,2600.0
2021-02-26,2883.3333333333335
2021-02-27,3200.0
2021-02-28,3200.0
2021-03-01,2933.3333333333335
2021-03-02,2600.0
2021-03-03,2890.0
2021-03-04,2650.0
2021-03-05,2600.0
2021-03-06,2783.3333333333335
2021-03-07,2783.3333333333335
2021-03-08,3500.0
2021-03-09,2877.3333333333335
2021-03-10,3463.0
