price date,modal price (rs./quintal)
2020-01-02,2680.0
2020-01-03,2680.0
2020-01-04,2680.0
2020-01-05,2680.0
2020-01-06,2680.0
2020-01-07,2680.0
2020-01-08,2680.0
2020-01-09,2680.0
2020-01-10,1939.0
2020-01-11,2546.0
2020-01-12,2546.0
2020-01-13,2546.0
2020-01-14,2546.0
2020-01-15,2546.0
2020-01-16,2546.0
2020-01-17,2539.0
2020-01-18,2449.0
2020-01-19,2449.0
2020-01-20,2597.0
2020-01-21,2259.0
2020-01-22,2259.0
2020-01-23,2489.0
2020-01-24,2489.0
2020-01-25,2209.0
2020-01-26,2209.0
2020-01-27,2256.0
2020-01-28,2109.0
2020-01-29,2109.0
2020-01-30,2229.0
2020-01-31,1739.0
2020-02-01,2339.0
2020-02-02,2339.0
2020-02-03,2339.0
2020-02-04,2339.0
2020-02-05,2339.0
2020-02-06,2329.0
2020-02-07,2329.0
2020-02-08,2229.0
2020-02-09,2229.0
2020-02-10,2050.0
2020-02-11,2050.0
2020-02-12,2050.0
2020-02-13,1976.0
2020-02-14,1976.0
2020-02-15,2026.0
2020-02-16,2026.0
2020-02-17,2409.0
2020-02-18,2409.0
2020-02-19,2609.0
2020-02-20,2326.0
2020-02-21,2326.0
2020-02-22,2326.0
2020-02-23,2326.0
2020-02-24,2339.0
2020-02-25,2000.0
2020-02-26,2146.0
2020-02-27,2146.0
2020-02-28,2146.0
2020-02-29,2146.0
2020-03-01,2146.0
2020-03-02,2272.0
2020-03-03,2272.0
2020-03-04,2029.0
2020-03-05,2029.0
2020-03-06,2029.0
2020-03-07,1910.0
2020-03-08,1910.0
2020-03-09,1510.0
2020-03-10,1109.0
2020-03-11,1109.0
2020-03-12,1109.0
2020-03-13,2116.0
2020-03-14,1829.0
2020-03-15,1829.0
2020-03-16,1702.0
2020-03-17,1010.0
2020-03-18,1010.0
2020-03-19,2029.0
2020-03-20,2029.0
2020-03-21,1409.0
2020-03-22,1409.0
2020-03-23,1409.0
2020-03-24,1409.0
2020-03-25,1409.0
2020-03-26,1409.0
2020-03-27,1409.0
2020-03-28,1409.0
2020-03-29,1409.0
2020-03-30,1409.0
2020-03-31,1409.0
2020-04-01,1409.0
2020-04-02,1409.0
2020-04-03,1409.0
2020-04-04,1409.0
2020-04-05,1409.0
2020-04-06,1409.0
2020-04-07,1409.0
2020-04-08,1950.0
2020-04-09,2030.0
2020-04-10,2030.0
2020-04-11,2030.0
2020-04-12,2030.0
2020-04-13,2030.0
2020-04-14,2030.0
2020-04-15,2030.0
2020-04-16,2500.0
2020-04-17,2500.0
2020-04-18,2635.0
2020-04-19,2635.0
2020-04-20,2635.0
2020-04-21,2635.0
2020-04-22,2635.0
2020-04-23,2730.0
2020-04-24,2300.0
2020-04-25,2184.0
2020-04-26,2184.0
2020-04-27,2871.0
2020-04-28,2559.0
2020-04-29,2559.0
2020-04-30,2559.0
2020-05-01,2559.0
2020-05-02,2859.0
2020-05-03,2859.0
2020-05-04,2859.0
2020-05-05,2491.0
2020-05-06,2489.0
2020-05-07,2489.0
