price date,modal price (rs./quintal)
2020-01-01,2596.0
2020-01-02,2550.0
2020-01-03,2550.0
2020-01-04,2478.0
2020-01-05,2478.0
2020-01-06,2378.5
2020-01-07,2463.0
2020-01-08,2220.0
2020-01-09,2221.5
2020-01-10,2221.5
2020-01-11,2329.0
2020-01-12,2329.0
2020-01-13,2322.5
2020-01-14,2637.0
2020-01-15,2637.0
2020-01-16,2291.0
2020-01-17,2287.5
2020-01-18,2296.5
2020-01-19,2296.5
2020-01-20,2400.0
2020-01-21,2422.5
2020-01-22,2342.0
2020-01-23,2556.0
2020-01-24,2556.0
2020-01-25,2228.0
2020-01-26,2228.0
2020-01-27,2423.0
2020-01-28,2423.0
2020-01-29,2053.0
2020-01-30,2372.0
2020-01-31,2203.0
2020-02-01,2226.0
2020-02-02,2226.0
2020-02-03,2110.0
2020-02-04,2369.0
2020-02-05,2413.0
2020-02-06,2338.0
2020-02-07,2113.0
2020-02-08,2347.0
2020-02-09,2347.0
2020-02-10,2214.0
2020-02-11,2222.0
2020-02-12,2417.0
2020-02-13,2285.0
2020-02-14,2194.5
2020-02-15,2308.0
2020-02-16,2308.0
2020-02-17,2123.0
2020-02-18,2074.0
2020-02-19,2419.0
2020-02-20,2242.0
2020-02-21,2242.0
2020-02-22,2242.0
2020-02-23,2242.0
2020-02-24,2480.0
2020-02-25,2480.0
2020-02-26,1831.0
2020-02-27,2761.0
2020-02-28,2761.0
2020-02-29,2642.0
2020-03-01,2642.0
2020-03-02,2280.5
2020-03-03,2315.5
2020-03-04,2560.5
2020-03-05,2302.0
2020-03-06,2445.0
2020-03-07,2441.0
2020-03-08,2441.0
2020-03-09,2092.0
2020-03-10,2267.5
2020-03-11,2154.0
2020-03-12,2014.5
2020-03-13,2071.0
2020-03-14,2175.0
2020-03-15,2175.0
2020-03-16,2071.5
2020-03-17,2015.0
2020-03-18,2179.0
2020-03-19,1768.5
2020-03-20,2239.0
2020-03-21,2372.0
2020-03-22,2372.0
2020-03-23,2178.5
2020-03-24,2110.0
2020-03-25,2110.0
2020-03-26,2110.0
2020-03-27,2050.0
2020-03-28,2050.0
2020-03-29,2050.0
2020-03-30,2050.0
2020-03-31,2000.0
2020-04-01,2101.0
2020-04-02,2096.0
2020-04-03,2150.0
2020-04-04,2150.0
2020-04-05,2150.0
2020-04-06,2150.0
2020-04-07,2050.0
2020-04-08,2200.0
2020-04-09,2100.0
2020-04-10,2100.0
2020-04-11,2100.0
2020-04-12,2100.0
2020-04-13,2227.0
2020-04-14,2000.0
2020-04-15,2228.0
2020-04-16,1872.0
2020-04-17,2677.0
2020-04-18,2100.0
2020-04-19,2100.0
2020-04-20,2058.0
2020-04-21,1957.0
2020-04-22,1957.0
2020-04-23,1957.0
2020-04-24,2106.0
2020-04-25,1744.0
2020-04-26,1744.0
2020-04-27,2451.0
2020-04-28,2451.0
2020-04-29,2464.0
2020-04-30,2464.0
2020-05-01,2464.0
2020-05-02,2464.0
2020-05-03,2464.0
2020-05-04,2364.0
2020-05-05,2364.0
2020-05-06,2439.0
2020-05-07,2439.0
2020-05-08,2194.0
2020-05-09,2194.0
2020-05-10,2194.0
2020-05-11,2437.0
2020-05-12,2437.0
2020-05-13,2319.0
2020-05-14,2000.0
2020-05-15,2323.0
2020-05-16,2020.0
2020-05-17,2020.0
2020-05-18,2380.0
2020-05-19,1800.0
2020-05-20,2192.0
2020-05-21,2035.0
2020-05-22,2035.0
2020-05-23,2035.0
2020-05-24,2035.0
2020-05-25,2035.0
2020-05-26,2035.0
2020-05-27,2215.0
2020-05-28,2215.0
2020-05-29,2236.0
2020-05-30,2236.0
2020-05-31,2236.0
2020-06-01,2284.5
2020-06-02,2100.0
2020-06-03,2499.0
2020-06-04,2499.0
2020-06-05,2100.0
2020-06-06,1900.0
2020-06-07,1900.0
2020-06-08,2266.0
2020-06-09,2266.0
2020-06-10,2344.0
2020-06-11,2344.0
2020-06-12,2331.5
2020-06-13,2331.5
2020-06-14,2331.5
2020-06-15,2164.0
2020-06-16,2732.0
2020-06-17,2465.0
2020-06-18,3247.0
2020-06-19,2732.0
2020-06-20,2794.0
2020-06-21,2794.0
2020-06-22,1978.5
2020-06-23,2393.5
2020-06-24,3015.0
2020-06-25,2563.0
2020-06-26,1900.0
2020-06-27,2645.0
2020-06-28,2645.0
2020-06-29,2758.0
2020-06-30,2165.0
2020-07-01,2926.0
2020-07-02,2324.0
2020-07-03,2755.0
2020-07-04,2710.0
2020-07-05,2710.0
2020-07-06,2578.0
2020-07-07,1969.5
2020-07-08,2155.5
2020-07-09,1931.0
2020-07-10,1803.0
2020-07-11,2453.0
2020-07-12,2453.0
2020-07-13,2384.0
2020-07-14,3832.0
2020-07-15,2860.0
2020-07-16,5077.0
2020-07-17,2137.0
2020-07-18,2029.0
2020-07-19,2029.0
2020-07-20,1800.0
2020-07-21,1846.0
2020-07-22,2151.0
2020-07-23,1875.0
2020-07-24,1801.0
2020-07-25,2606.0
2020-07-26,2606.0
2020-07-27,2606.0
2020-07-28,2606.0
2020-07-29,2606.0
2020-07-30,2252.0
2020-07-31,2030.0
2020-08-01,2030.0
2020-08-02,2030.0
2020-08-03,2000.0
2020-08-04,2139.5
2020-08-05,2100.0
2020-08-06,2388.0
2020-08-07,2489.0
2020-08-08,2067.0
2020-08-09,2067.0
2020-08-10,2060.0
2020-08-11,1980.0
2020-08-12,1584.0
2020-08-13,1888.0
2020-08-14,2011.0
2020-08-15,2011.0
2020-08-16,2011.0
2020-08-17,2000.0
2020-08-18,2795.0
2020-08-19,2795.0
2020-08-20,1716.0
2020-08-21,1629.0
2020-08-22,1629.0
2020-08-23,1629.0
2020-08-24,1801.0
2020-08-25,2327.0
2020-08-26,1928.5
2020-08-27,1988.0
2020-08-28,1988.0
2020-08-29,1907.0
2020-08-30,1907.0
2020-08-31,2086.0
2020-09-01,1568.0
2020-09-02,1568.0
2020-09-03,1807.0
2020-09-04,1949.0
2020-09-05,2261.5
2020-09-06,2261.5
2020-09-07,2049.6666666666665
2020-09-08,2114.0
2020-09-09,2944.0
2020-09-10,1701.0
2020-09-11,3430.0
2020-09-12,2604.0
2020-09-13,2604.0
2020-09-14,2633.5
2020-09-15,2593.0
2020-09-16,1344.0
2020-09-17,1344.0
2020-09-18,2008.0
2020-09-19,1984.0
2020-09-20,1984.0
2020-09-21,2507.0
2020-09-22,2110.5
2020-09-23,1902.0
2020-09-24,1825.0
2020-09-25,2276.5
2020-09-26,3444.0
2020-09-27,3444.0
2020-09-28,3444.0
2020-09-29,1643.0
2020-09-30,1489.0
2020-10-01,1489.0
2020-10-02,1489.0
2020-10-03,2077.5
2020-10-04,2077.5
2020-10-05,2158.5
2020-10-06,1957.0
2020-10-07,3739.0
2020-10-08,1544.5
2020-10-09,1586.6666666666667
2020-10-10,1780.0
2020-10-11,1780.0
2020-10-12,1574.5
2020-10-13,2054.0
2020-10-14,2684.0
2020-10-15,1773.0
2020-10-16,1773.0
2020-10-17,2403.0
2020-10-18,2403.0
2020-10-19,1678.0
2020-10-20,2950.0
2020-10-21,2761.0
2020-10-22,3923.0
2020-10-23,2101.0
2020-10-24,1973.0
2020-10-25,1973.0
2020-10-26,1973.0
2020-10-27,2171.0
2020-10-28,1416.0
2020-10-29,2272.0
2020-10-30,2272.0
2020-10-31,2272.0
2020-11-01,2272.0
2020-11-02,2078.5
2020-11-03,1291.0
2020-11-04,1671.6666666666667
2020-11-05,2088.0
2020-11-06,4262.0
2020-11-07,2033.0
2020-11-08,2033.0
2020-11-09,3038.0
2020-11-10,2710.0
2020-11-11,2164.0
2020-11-12,2160.5
2020-11-13,2326.0
2020-11-14,2326.0
2020-11-15,2326.0
2020-11-16,2326.0
2020-11-17,1850.0
2020-11-18,1811.0
2020-11-19,1900.0
2020-11-20,1302.0
2020-11-21,2222.5
2020-11-22,2222.5
2020-11-23,1287.0
2020-11-24,1628.0
2020-11-25,2842.0
2020-11-26,1429.0
2020-11-27,1586.0
2020-11-28,2236.0
2020-11-29,2236.0
2020-11-30,2236.0
2020-12-01,1875.5
2020-12-02,1716.0
2020-12-03,1716.0
2020-12-04,3012.0
2020-12-05,3012.0
2020-12-06,3012.0
2020-12-07,2705.0
2020-12-08,2705.0
