price date,modal price (rs./quintal)
2020-01-10,2800.0
2020-01-11,2800.0
2020-01-12,2800.0
2020-01-13,2881.0
2020-01-14,2881.0
2020-01-15,2881.0
2020-01-16,2881.0
2020-01-17,2881.0
2020-01-18,2881.0
2020-01-19,2881.0
2020-01-20,2881.0
2020-01-21,2881.0
2020-01-22,2881.0
2020-01-23,2881.0
2020-01-24,2881.0
2020-01-25,2881.0
2020-01-26,2881.0
2020-01-27,2966.0
2020-01-28,2966.0
2020-01-29,2966.0
2020-01-30,3000.0
2020-01-31,2985.0
2020-02-01,2985.0
2020-02-02,2985.0
2020-02-03,2985.0
2020-02-04,2851.0
2020-02-05,2851.0
2020-02-06,2851.0
2020-02-07,2851.0
2020-02-08,2851.0
2020-02-09,2851.0
2020-02-10,2851.0
2020-02-11,2851.0
2020-02-12,2851.0
2020-02-13,2831.0
2020-02-14,2831.0
2020-02-15,2831.0
2020-02-16,2831.0
2020-02-17,3000.0
2020-02-18,2805.0
2020-02-19,2805.0
2020-02-20,2712.5
2020-02-21,2712.5
2020-02-22,2712.5
2020-02-23,2712.5
2020-02-24,2832.0
2020-02-25,2832.0
2020-02-26,2711.0
2020-02-27,1650.0
2020-02-28,1650.0
2020-02-29,1650.0
2020-03-01,1650.0
2020-03-02,1650.0
2020-03-03,1650.0
2020-03-04,1650.0
2020-03-05,1650.0
2020-03-06,1650.0
2020-03-07,1650.0
2020-03-08,1650.0
2020-03-09,1650.0
2020-03-10,2816.0
2020-03-11,2816.0
2020-03-12,2537.5
2020-03-13,2537.5
2020-03-14,2537.5
2020-03-15,2537.5
2020-03-16,2537.5
2020-03-17,2537.5
2020-03-18,2537.5
2020-03-19,2537.5
2020-03-20,2445.0
2020-03-21,2445.0
2020-03-22,2445.0
2020-03-23,2445.0
2020-03-24,2445.0
2020-03-25,2445.0
2020-03-26,2473.0
2020-03-27,2473.0
2020-03-28,2473.0
2020-03-29,2473.0
2020-03-30,2440.0
2020-03-31,2352.0
2020-04-01,2352.0
2020-04-02,2352.0
2020-04-03,2352.0
2020-04-04,2352.0
2020-04-05,2352.0
2020-04-06,2352.0
2020-04-07,2352.0
2020-04-08,2352.0
2020-04-09,2352.0
2020-04-10,2352.0
2020-04-11,2352.0
2020-04-12,2352.0
2020-04-13,2352.0
2020-04-14,2352.0
2020-04-15,2352.0
2020-04-16,2352.0
2020-04-17,2352.0
2020-04-18,2352.0
2020-04-19,2352.0
2020-04-20,2746.0
2020-04-21,2746.0
2020-04-22,2746.0
2020-04-23,2746.0
2020-04-24,2746.0
2020-04-25,2746.0
2020-04-26,2746.0
2020-04-27,2746.0
2020-04-28,2900.0
2020-04-29,2900.0
2020-04-30,2440.0
2020-05-01,2440.0
2020-05-02,2440.0
2020-05-03,2440.0
2020-05-04,2440.0
2020-05-05,2440.0
2020-05-06,2440.0
2020-05-07,2440.0
2020-05-08,2440.0
2020-05-09,2440.0
2020-05-10,2440.0
2020-05-11,2440.0
2020-05-12,2475.0
2020-05-13,2450.0
2020-05-14,2450.0
2020-05-15,2450.0
2020-05-16,2450.0
2020-05-17,2450.0
2020-05-18,2450.0
2020-05-19,2450.0
2020-05-20,2825.0
2020-05-21,2825.0
2020-05-22,2525.0
2020-05-23,2525.0
2020-05-24,2525.0
2020-05-25,2525.0
2020-05-26,2525.0
2020-05-27,2525.0
2020-05-28,2438.0
2020-05-29,2570.0
2020-05-30,2570.0
2020-05-31,2570.0
2020-06-01,2570.0
2020-06-02,2570.0
2020-06-03,2570.0
2020-06-04,2570.0
2020-06-05,2550.0
2020-06-06,2550.0
2020-06-07,2550.0
2020-06-08,2550.0
2020-06-09,2550.0
2020-06-10,2550.0
2020-06-11,2525.0
2020-06-12,2525.0
2020-06-13,2525.0
2020-06-14,2525.0
2020-06-15,2525.0
2020-06-16,2525.0
2020-06-17,2525.0
2020-06-18,2525.0
2020-06-19,2525.0
2020-06-20,2525.0
2020-06-21,2525.0
2020-06-22,2525.0
2020-06-23,2465.0
2020-06-24,2465.0
2020-06-25,2465.0
2020-06-26,2465.0
2020-06-27,2465.0
2020-06-28,2465.0
2020-06-29,2525.0
2020-06-30,2467.0
2020-07-01,2467.0
2020-07-02,2467.0
2020-07-03,2467.0
2020-07-04,2467.0
2020-07-05,2467.0
2020-07-06,2300.0
2020-07-07,2375.0
2020-07-08,2375.0
2020-07-09,2375.0
2020-07-10,2375.0
2020-07-11,2375.0
2020-07-12,2375.0
2020-07-13,2375.0
2020-07-14,2375.0
2020-07-15,2375.0
2020-07-16,2375.0
2020-07-17,2525.0
2020-07-18,2525.0
2020-07-19,2525.0
2020-07-20,2525.0
2020-07-21,2525.0
2020-07-22,2525.0
2020-07-23,2525.0
2020-07-24,2525.0
2020-07-25,2525.0
2020-07-26,2525.0
2020-07-27,2484.0
2020-07-28,2484.0
2020-07-29,1500.0
2020-07-30,2470.0
