price date,modal price (rs./quintal)
2020-01-13,1978.0
2020-01-14,1978.0
2020-01-15,1978.0
2020-01-16,1978.0
2020-01-17,1978.0
2020-01-18,2150.0
2020-01-19,2150.0
2020-01-20,2150.0
2020-01-21,2150.0
2020-01-22,2150.0
2020-01-23,2100.0
2020-01-24,2100.0
2020-01-25,2100.0
2020-01-26,2100.0
2020-01-27,2100.0
2020-01-28,2100.0
2020-01-29,2100.0
2020-01-30,2100.0
2020-01-31,2100.0
2020-02-01,2100.0
2020-02-02,2100.0
2020-02-03,2100.0
2020-02-04,2100.0
2020-02-05,2100.0
2020-02-06,2100.0
2020-02-07,2100.0
2020-02-08,2100.0
2020-02-09,2100.0
2020-02-10,2310.0
2020-02-11,2310.0
2020-02-12,2150.0
2020-02-13,2150.0
2020-02-14,2150.0
2020-02-15,2150.0
2020-02-16,2150.0
2020-02-17,2150.0
2020-02-18,2210.0
2020-02-19,2210.0
2020-02-20,2210.0
2020-02-21,2210.0
2020-02-22,2210.0
2020-02-23,2210.0
2020-02-24,2210.0
2020-02-25,2210.0
2020-02-26,2210.0
2020-02-27,2210.0
2020-02-28,2100.0
2020-02-29,2100.0
2020-03-01,2100.0
2020-03-02,2100.0
2020-03-03,2100.0
2020-03-04,2100.0
2020-03-05,1892.0
2020-03-06,1892.0
2020-03-07,1892.0
2020-03-08,1892.0
2020-03-09,1892.0
2020-03-10,1892.0
2020-03-11,1892.0
2020-03-12,1892.0
2020-03-13,1892.0
2020-03-14,1892.0
2020-03-15,2311.0
2020-03-16,2311.0
2020-03-17,2311.0
2020-03-18,2311.0
2020-03-19,2311.0
2020-03-20,2311.0
2020-03-21,2311.0
2020-03-22,2311.0
2020-03-23,2311.0
2020-03-24,2311.0
2020-03-25,2311.0
2020-03-26,1851.0
2020-03-27,1851.0
2020-03-28,1851.0
2020-03-29,1851.0
2020-03-30,1851.0
2020-03-31,1851.0
2020-04-01,1851.0
2020-04-02,1851.0
2020-04-03,1851.0
2020-04-04,1851.0
2020-04-05,1851.0
2020-04-06,1851.0
2020-04-07,1900.0
2020-04-08,1900.0
2020-04-09,1900.0
2020-04-10,1900.0
2020-04-11,1900.0
2020-04-12,1900.0
2020-04-13,1900.0
2020-04-14,1900.0
2020-04-15,1900.0
2020-04-16,1900.0
2020-04-17,1900.0
2020-04-18,1900.0
2020-04-19,1900.0
2020-04-20,1900.0
2020-04-21,1900.0
2020-04-22,1900.0
2020-04-23,1900.0
2020-04-24,1900.0
2020-04-25,1900.0
2020-04-26,1900.0
2020-04-27,1900.0
2020-04-28,1900.0
2020-04-29,1900.0
2020-04-30,1900.0
2020-05-01,1900.0
2020-05-02,1900.0
2020-05-03,1900.0
