price date,modal price (rs./quintal)
2021-11-23,2800.0
2021-11-24,2800.0
2021-11-25,2800.0
2021-11-26,2800.0
2021-11-27,2800.0
2021-11-28,2800.0
2021-11-29,2800.0
2021-11-30,2800.0
2021-12-01,2800.0
2021-12-02,1800.0
2021-12-03,1800.0
2021-12-04,1800.0
2021-12-05,1800.0
2021-12-06,1800.0
2021-12-07,1800.0
2021-12-08,1800.0
2021-12-09,1800.0
2021-12-10,1800.0
2021-12-11,1800.0
2021-12-12,1800.0
2021-12-13,1800.0
2021-12-14,1800.0
2021-12-15,1800.0
2021-12-16,1800.0
2021-12-17,1800.0
2021-12-18,1800.0
2021-12-19,1800.0
2021-12-20,1800.0
2021-12-21,1800.0
2021-12-22,1800.0
2021-12-23,1800.0
2021-12-24,1800.0
2021-12-25,1800.0
2021-12-26,1800.0
2021-12-27,1800.0
2021-12-28,1800.0
2021-12-29,1800.0
2021-12-30,1800.0
2021-12-31,1800.0
2022-01-01,1800.0
2022-01-02,1800.0
2022-01-03,1800.0
2022-01-04,1800.0
2022-01-05,1800.0
2022-01-06,1800.0
2022-01-07,1800.0
2022-01-08,1800.0
2022-01-09,1800.0
2022-01-10,1800.0
2022-01-11,1900.0
2022-01-12,1900.0
2022-01-13,1900.0
2022-01-14,1900.0
2022-01-15,1900.0
2022-01-16,1900.0
2022-01-17,1900.0
2022-01-18,1900.0
2022-01-19,1900.0
2022-01-20,1900.0
2022-01-21,1900.0
2022-01-22,1900.0
2022-01-23,1900.0
2022-01-24,1900.0
2022-01-25,1900.0
2022-01-26,1900.0
2022-01-27,1900.0
2022-01-28,1900.0
2022-01-29,1900.0
2022-01-30,1900.0
2022-01-31,1900.0
2022-02-01,1900.0
2022-02-02,1900.0
2022-02-03,1900.0
2022-02-04,1900.0
2022-02-05,1900.0
2022-02-06,1900.0
2022-02-07,1900.0
2022-02-08,1900.0
2022-02-09,1900.0
2022-02-10,1900.0
2022-02-11,1900.0
2022-02-12,1900.0
2022-02-13,1900.0
2022-02-14,1900.0
2022-02-15,1900.0
2022-02-16,1900.0
2022-02-17,1900.0
2022-02-18,1900.0
2022-02-19,1900.0
2022-02-20,1900.0
2022-02-21,1900.0
2022-02-22,1900.0
2022-02-23,1900.0
2022-02-24,1900.0
2022-02-25,1900.0
2022-02-26,1900.0
2022-02-27,1900.0
2022-02-28,1900.0
2022-03-01,1900.0
2022-03-02,1900.0
2022-03-03,1900.0
2022-03-04,1900.0
2022-03-05,1900.0
2022-03-06,1900.0
2022-03-07,1900.0
2022-03-08,1900.0
2022-03-09,1900.0
2022-03-10,1900.0
2022-03-11,1900.0
2022-03-12,1900.0
2022-03-13,1900.0
2022-03-14,1900.0
2022-03-15,1900.0
2022-03-16,1900.0
2022-03-17,1900.0
2022-03-18,1900.0
2022-03-19,1900.0
2022-03-20,1900.0
2022-03-21,2200.0
2022-03-22,2200.0
2022-03-23,2200.0
2022-03-24,2200.0
2022-03-25,2200.0
2022-03-26,2200.0
2022-03-27,2200.0
2022-03-28,2200.0
2022-03-29,2200.0
2022-03-30,2200.0
2022-03-31,2000.0
2022-04-01,2000.0
2022-04-02,2000.0
2022-04-03,2000.0
