price date,modal price (rs./quintal)
2020-05-11,1800.0
2020-05-12,1800.0
2020-05-13,1800.0
2020-05-14,1800.0
2020-05-15,1800.0
2020-05-16,1800.0
2020-05-17,1800.0
2020-05-18,2500.0
2020-05-19,2500.0
2020-05-20,2500.0
2020-05-21,2500.0
2020-05-22,2500.0
2020-05-23,2500.0
2020-05-24,2500.0
2020-05-25,2500.0
2020-05-26,2500.0
2020-05-27,2500.0
2020-05-28,2500.0
2020-05-29,2500.0
2020-05-30,2500.0
2020-05-31,2500.0
2020-06-01,2500.0
2020-06-02,2500.0
2020-06-03,2500.0
2020-06-04,1915.0
2020-06-05,1915.0
2020-06-06,1915.0
2020-06-07,1915.0
2020-06-08,1915.0
2020-06-09,1915.0
2020-06-10,1915.0
2020-06-11,1915.0
2020-06-12,1915.0
2020-06-13,1915.0
2020-06-14,1915.0
2020-06-15,1915.0
2020-06-16,1915.0
2020-06-17,1915.0
2020-06-18,1915.0
2020-06-19,1915.0
2020-06-20,1915.0
2020-06-21,1915.0
2020-06-22,1915.0
2020-06-23,1915.0
2020-06-24,1915.0
2020-06-25,1915.0
2020-06-26,1915.0
2020-06-27,1915.0
2020-06-28,1915.0
2020-06-29,1915.0
2020-06-30,1915.0
2020-07-01,1915.0
2020-07-02,1915.0
2020-07-03,1915.0
2020-07-04,1915.0
2020-07-05,1915.0
2020-07-06,1915.0
2020-07-07,1915.0
2020-07-08,1915.0
2020-07-09,1730.0
2020-07-10,1730.0
2020-07-11,1730.0
2020-07-12,1730.0
2020-07-13,1730.0
2020-07-14,1730.0
2020-07-15,1730.0
2020-07-16,1730.0
2020-07-17,1730.0
2020-07-18,1730.0
2020-07-19,1730.0
2020-07-20,1730.0
2020-07-21,1730.0
2020-07-22,1730.0
2020-07-23,1730.0
2020-07-24,1730.0
2020-07-25,1730.0
2020-07-26,1730.0
2020-07-27,1730.0
2020-07-28,1730.0
2020-07-29,1730.0
2020-07-30,1730.0
2020-07-31,1730.0
2020-08-01,1730.0
2020-08-02,1730.0
2020-08-03,1910.0
2020-08-04,1910.0
2020-08-05,1910.0
2020-08-06,1910.0
2020-08-07,1810.0
2020-08-08,1810.0
2020-08-09,1810.0
2020-08-10,1817.0
2020-08-11,1817.0
2020-08-12,1817.0
2020-08-13,1817.0
2020-08-14,1817.0
2020-08-15,1817.0
2020-08-16,1817.0
2020-08-17,1817.0
2020-08-18,1817.0
2020-08-19,1817.0
2020-08-20,1817.0
2020-08-21,1817.0
2020-08-22,1817.0
2020-08-23,1817.0
2020-08-24,1817.0
2020-08-25,1817.0
2020-08-26,1817.0
2020-08-27,1817.0
2020-08-28,1817.0
2020-08-29,1817.0
2020-08-30,1817.0
2020-08-31,1817.0
2020-09-01,1817.0
2020-09-02,1817.0
2020-09-03,1817.0
2020-09-04,1817.0
2020-09-05,1817.0
2020-09-06,1817.0
2020-09-07,1800.0
2020-09-08,1800.0
2020-09-09,1790.0
2020-09-10,1790.0
2020-09-11,1790.0
2020-09-12,1790.0
2020-09-13,1790.0
2020-09-14,1790.0
2020-09-15,1800.0
2020-09-16,1800.0
2020-09-17,1800.0
2020-09-18,1800.0
2020-09-19,1800.0
2020-09-20,1800.0
2020-09-21,1800.0
2020-09-22,1800.0
2020-09-23,1800.0
2020-09-24,1800.0
2020-09-25,1800.0
2020-09-26,1800.0
2020-09-27,1800.0
2020-09-28,1800.0
2020-09-29,1800.0
2020-09-30,1800.0
2020-10-01,1800.0
2020-10-02,1800.0
2020-10-03,1800.0
2020-10-04,1800.0
2020-10-05,1800.0
2020-10-06,1800.0
2020-10-07,1800.0
2020-10-08,1800.0
2020-10-09,1800.0
2020-10-10,1800.0
2020-10-11,1800.0
2020-10-12,1800.0
2020-10-13,1800.0
2020-10-14,1800.0
2020-10-15,1800.0
2020-10-16,1800.0
2020-10-17,1800.0
2020-10-18,1800.0
2020-10-19,1800.0
2020-10-20,1800.0
2020-10-21,1800.0
2020-10-22,1800.0
2020-10-23,1800.0
2020-10-24,1800.0
2020-10-25,1800.0
2020-10-26,1800.0
2020-10-27,1800.0
2020-10-28,1760.0
2020-10-29,1760.0
2020-10-30,1760.0
2020-10-31,1760.0
2020-11-01,1760.0
2020-11-02,1770.0
2020-11-03,1770.0
2020-11-04,1770.0
2020-11-05,1770.0
2020-11-06,1770.0
2020-11-07,1770.0
2020-11-08,1770.0
2020-11-09,1770.0
2020-11-10,1770.0
2020-11-11,1770.0
2020-11-12,1770.0
2020-11-13,1770.0
2020-11-14,1770.0
2020-11-15,1770.0
2020-11-16,1770.0
2020-11-17,1770.0
2020-11-18,1770.0
2020-11-19,1770.0
2020-11-20,1770.0
2020-11-21,1770.0
2020-11-22,1770.0
2020-11-23,1770.0
2020-11-24,1770.0
2020-11-25,1770.0
2020-11-26,1770.0
2020-11-27,1770.0
2020-11-28,1770.0
2020-11-29,1770.0
2020-11-30,1770.0
2020-12-01,1770.0
2020-12-02,1760.0
2020-12-03,1760.0
2020-12-04,1770.0
2020-12-05,1770.0
2020-12-06,1770.0
2020-12-07,1770.0
2020-12-08,1770.0
2020-12-09,1770.0
2020-12-10,1770.0
2020-12-11,1770.0
2020-12-12,1770.0
2020-12-13,1770.0
2020-12-14,1770.0
2020-12-15,1770.0
2020-12-16,1758.0
2020-12-17,1758.0
2020-12-18,1758.0
2020-12-19,1758.0
2020-12-20,1758.0
2020-12-21,1758.0
2020-12-22,1758.0
2020-12-23,1758.0
2020-12-24,1758.0
2020-12-25,1758.0
2020-12-26,1758.0
2020-12-27,1758.0
2020-12-28,1758.0
2020-12-29,1758.0
2020-12-30,1758.0
2020-12-31,1758.0
2021-01-01,1758.0
2021-01-02,1758.0
2021-01-03,1758.0
2021-01-04,1740.0
2021-01-05,1740.0
2021-01-06,1740.0
2021-01-07,1740.0
2021-01-08,1740.0
2021-01-09,1740.0
2021-01-10,1740.0
2021-01-11,1740.0
2021-01-12,1740.0
2021-01-13,1740.0
2021-01-14,1740.0
2021-01-15,1740.0
2021-01-16,1740.0
2021-01-17,1740.0
2021-01-18,1740.0
2021-01-19,1740.0
2021-01-20,1740.0
2021-01-21,1740.0
2021-01-22,1740.0
2021-01-23,1740.0
2021-01-24,1740.0
2021-01-25,1740.0
2021-01-26,1740.0
2021-01-27,1740.0
2021-01-28,1740.0
2021-01-29,1740.0
2021-01-30,1740.0
2021-01-31,1740.0
2021-02-01,1740.0
2021-02-02,1740.0
2021-02-03,1740.0
2021-02-04,1740.0
2021-02-05,1770.0
2021-02-06,1770.0
2021-02-07,1770.0
2021-02-08,1770.0
2021-02-09,1770.0
2021-02-10,1770.0
2021-02-11,1770.0
2021-02-12,1770.0
2021-02-13,1770.0
2021-02-14,1770.0
2021-02-15,1770.0
2021-02-16,1770.0
2021-02-17,1770.0
2021-02-18,1770.0
2021-02-19,1770.0
2021-02-20,1770.0
2021-02-21,1770.0
2021-02-22,1770.0
2021-02-23,1770.0
2021-02-24,1770.0
2021-02-25,1770.0
2021-02-26,1770.0
2021-02-27,1770.0
2021-02-28,1770.0
2021-03-01,1800.0
2021-03-02,1800.0
2021-03-03,1800.0
2021-03-04,1800.0
2021-03-05,1800.0
2021-03-06,1800.0
2021-03-07,1800.0
2021-03-08,1800.0
2021-03-09,1800.0
2021-03-10,1800.0
2021-03-11,1800.0
2021-03-12,1800.0
2021-03-13,1800.0
2021-03-14,1800.0
2021-03-15,1800.0
2021-03-16,1800.0
2021-03-17,1800.0
2021-03-18,1800.0
2021-03-19,1800.0
2021-03-20,1800.0
2021-03-21,1800.0
2021-03-22,1800.0
2021-03-23,1800.0
2021-03-24,1800.0
2021-03-25,1800.0
2021-03-26,1800.0
2021-03-27,1800.0
2021-03-28,1800.0
2021-03-29,1800.0
2021-03-30,1800.0
2021-03-31,1800.0
2021-04-01,1800.0
2021-04-02,1800.0
2021-04-03,1800.0
2021-04-04,1800.0
2021-04-05,1800.0
2021-04-06,1800.0
2021-04-07,1800.0
2021-04-08,1800.0
2021-04-09,1800.0
2021-04-10,1800.0
2021-04-11,1800.0
2021-04-12,1800.0
2021-04-13,1800.0
2021-04-14,1800.0
2021-04-15,1800.0
2021-04-16,1800.0
2021-04-17,1800.0
2021-04-18,1800.0
2021-04-19,1800.0
2021-04-20,1800.0
2021-04-21,1800.0
2021-04-22,1800.0
2021-04-23,1928.0
2021-04-24,1928.0
2021-04-25,1928.0
2021-04-26,1928.0
2021-04-27,1928.0
2021-04-28,1928.0
2021-04-29,1928.0
2021-04-30,1928.0
2021-05-01,1928.0
2021-05-02,1928.0
2021-05-03,1800.0
2021-05-04,1800.0
2021-05-05,1800.0
2021-05-06,1800.0
2021-05-07,1800.0
2021-05-08,1800.0
2021-05-09,1800.0
2021-05-10,1800.0
2021-05-11,1800.0
2021-05-12,1800.0
2021-05-13,1800.0
2021-05-14,1800.0
2021-05-15,1800.0
2021-05-16,1800.0
2021-05-17,1800.0
2021-05-18,1800.0
2021-05-19,1800.0
2021-05-20,1800.0
2021-05-21,1800.0
2021-05-22,1800.0
2021-05-23,1800.0
2021-05-24,1800.0
2021-05-25,1800.0
2021-05-26,1800.0
2021-05-27,1800.0
2021-05-28,1800.0
2021-05-29,1800.0
2021-05-30,1800.0
2021-05-31,1800.0
2021-06-01,1800.0
2021-06-02,1803.0
2021-06-03,1803.0
2021-06-04,1803.0
2021-06-05,1803.0
2021-06-06,1803.0
2021-06-07,1800.0
2021-06-08,1800.0
2021-06-09,1800.0
2021-06-10,1800.0
2021-06-11,1800.0
2021-06-12,1800.0
2021-06-13,1800.0
2021-06-14,1280.0
2021-06-15,1280.0
2021-06-16,1280.0
2021-06-17,1280.0
2021-06-18,1280.0
2021-06-19,1280.0
2021-06-20,1280.0
2021-06-21,1280.0
2021-06-22,1280.0
2021-06-23,1280.0
2021-06-24,1280.0
2021-06-25,1280.0
2021-06-26,1280.0
2021-06-27,1280.0
