price date,modal price (rs./quintal)
2020-01-01,3500.0
2020-01-02,3500.0
2020-01-03,3350.0
2020-01-04,3350.0
2020-01-05,3350.0
2020-01-06,3350.0
2020-01-07,2994.0
2020-01-08,3350.0
2020-01-09,3200.0
2020-01-10,3200.0
2020-01-11,3200.0
2020-01-12,3200.0
2020-01-13,3200.0
2020-01-14,3157.0
2020-01-15,3157.0
2020-01-16,3300.0
2020-01-17,2787.0
2020-01-18,2787.0
2020-01-19,2787.0
2020-01-20,3000.0
2020-01-21,3000.0
2020-01-22,3000.0
2020-01-23,3300.0
2020-01-24,3068.5
2020-01-25,3068.5
2020-01-26,3068.5
2020-01-27,3200.0
2020-01-28,3200.0
2020-01-29,3300.0
2020-01-30,3300.0
2020-01-31,3400.0
2020-02-01,3200.0
2020-02-02,3200.0
2020-02-03,3019.0
2020-02-04,3400.0
2020-02-05,3400.0
2020-02-06,3200.0
2020-02-07,2753.0
2020-02-08,2753.0
2020-02-09,2753.0
2020-02-10,3300.0
2020-02-11,3300.0
2020-02-12,3300.0
2020-02-13,3200.0
2020-02-14,3300.0
2020-02-15,2943.0
2020-02-16,2943.0
2020-02-17,3300.0
2020-02-18,3300.0
2020-02-19,2950.0
2020-02-20,2950.0
2020-02-21,2950.0
2020-02-22,2950.0
2020-02-23,2950.0
2020-02-24,2950.0
2020-02-25,2950.0
2020-02-26,2986.5
2020-02-27,2986.5
2020-02-28,2950.0
2020-02-29,2907.0
2020-03-01,2907.0
2020-03-02,3050.0
2020-03-03,3050.0
2020-03-04,2800.0
2020-03-05,2800.0
2020-03-06,2625.0
2020-03-07,3369.0
2020-03-08,3369.0
2020-03-09,3300.0
2020-03-10,3300.0
2020-03-11,3250.0
2020-03-12,3250.0
2020-03-13,2826.0
2020-03-14,2826.0
2020-03-15,2826.0
2020-03-16,2841.0
2020-03-17,2650.0
2020-03-18,3250.0
2020-03-19,3250.0
2020-03-20,2375.0
2020-03-21,2879.0
2020-03-22,2879.0
2020-03-23,2634.5
2020-03-24,2634.5
2020-03-25,2634.5
2020-03-26,3000.0
2020-03-27,2645.5
2020-03-28,2645.5
2020-03-29,2645.5
2020-03-30,3000.0
2020-03-31,3300.0
2020-04-01,3200.0
2020-04-02,3200.0
2020-04-03,2751.0
2020-04-04,3300.0
2020-04-05,3300.0
2020-04-06,3300.0
2020-04-07,3096.5
2020-04-08,3096.5
2020-04-09,3096.5
2020-04-10,3096.5
2020-04-11,3096.5
2020-04-12,3096.5
2020-04-13,3225.0
2020-04-14,3225.0
2020-04-15,3300.0
2020-04-16,3300.0
2020-04-17,3350.0
2020-04-18,3275.0
2020-04-19,3275.0
2020-04-20,2967.5
2020-04-21,2967.5
2020-04-22,3900.0
2020-04-23,3100.0
2020-04-24,3100.0
2020-04-25,3100.0
2020-04-26,3100.0
2020-04-27,2775.0
2020-04-28,3100.0
2020-04-29,3100.0
2020-04-30,3100.0
2020-05-01,3100.0
2020-05-02,2797.0
2020-05-03,2797.0
2020-05-04,3100.0
2020-05-05,3100.0
2020-05-06,3100.0
2020-05-07,3100.0
2020-05-08,3150.0
2020-05-09,3150.0
2020-05-10,3150.0
2020-05-11,2790.5
2020-05-12,3100.0
2020-05-13,3250.0
2020-05-14,3100.0
2020-05-15,3050.0
2020-05-16,3025.0
2020-05-17,3025.0
2020-05-18,3025.0
2020-05-19,2767.5
2020-05-20,2767.5
2020-05-21,3100.0
2020-05-22,3100.0
2020-05-23,3100.0
2020-05-24,3100.0
2020-05-25,3100.0
2020-05-26,3100.0
2020-05-27,3100.0
2020-05-28,2311.0
2020-05-29,3100.0
2020-05-30,3100.0
2020-05-31,3100.0
2020-06-01,3100.0
2020-06-02,3100.0
2020-06-03,3100.0
2020-06-04,3100.0
2020-06-05,3100.0
2020-06-06,3100.0
2020-06-07,3100.0
2020-06-08,3100.0
2020-06-09,3100.0
2020-06-10,3100.0
2020-06-11,3100.0
2020-06-12,2779.5
2020-06-13,2779.5
2020-06-14,2779.5
2020-06-15,3100.0
2020-06-16,3100.0
2020-06-17,3100.0
2020-06-18,3100.0
2020-06-19,3100.0
2020-06-20,3100.0
2020-06-21,3100.0
2020-06-22,2721.0
2020-06-23,3100.0
2020-06-24,3100.0
2020-06-25,3100.0
2020-06-26,3150.0
2020-06-27,3150.0
2020-06-28,3150.0
2020-06-29,3100.0
2020-06-30,3100.0
2020-07-01,3100.0
2020-07-02,3100.0
2020-07-03,3100.0
2020-07-04,2270.0
2020-07-05,2270.0
2020-07-06,2270.0
2020-07-07,3100.0
2020-07-08,3150.0
2020-07-09,3100.0
2020-07-10,3100.0
2020-07-11,3100.0
2020-07-12,3100.0
2020-07-13,3100.0
2020-07-14,3050.0
2020-07-15,3150.0
2020-07-16,3100.0
2020-07-17,2735.0
2020-07-18,2735.0
2020-07-19,2735.0
2020-07-20,3100.0
2020-07-21,3100.0
2020-07-22,3100.0
2020-07-23,3100.0
2020-07-24,9900.0
2020-07-25,9900.0
2020-07-26,9900.0
2020-07-27,2724.0
2020-07-28,3100.0
2020-07-29,3100.0
2020-07-30,3100.0
2020-07-31,2675.0
2020-08-01,2675.0
2020-08-02,2675.0
2020-08-03,3100.0
2020-08-04,3100.0
2020-08-05,3100.0
2020-08-06,3100.0
2020-08-07,2375.0
2020-08-08,2375.0
2020-08-09,2375.0
2020-08-10,3100.0
2020-08-11,3100.0
2020-08-12,3100.0
2020-08-13,3100.0
2020-08-14,3100.0
2020-08-15,3100.0
2020-08-16,3100.0
2020-08-17,3000.0
2020-08-18,3000.0
2020-08-19,3100.0
2020-08-20,3050.0
2020-08-21,3050.0
2020-08-22,3050.0
2020-08-23,3050.0
2020-08-24,3100.0
2020-08-25,3100.0
2020-08-26,3100.0
2020-08-27,3100.0
2020-08-28,2850.0
2020-08-29,2850.0
2020-08-30,2850.0
2020-08-31,3250.0
2020-09-01,2850.0
2020-09-02,2850.0
2020-09-03,2850.0
2020-09-04,2850.0
2020-09-05,2850.0
2020-09-06,2850.0
2020-09-07,2850.0
2020-09-08,2582.5
2020-09-09,2870.0
2020-09-10,2870.0
2020-09-11,2870.0
2020-09-12,2870.0
2020-09-13,2870.0
2020-09-14,2900.0
2020-09-15,2850.0
2020-09-16,2596.5
2020-09-17,2596.5
2020-09-18,2850.0
2020-09-19,2850.0
2020-09-20,2850.0
2020-09-21,2530.0
2020-09-22,2850.0
2020-09-23,2850.0
2020-09-24,2850.0
2020-09-25,2850.0
2020-09-26,2850.0
2020-09-27,2850.0
2020-09-28,2850.0
2020-09-29,2850.0
2020-09-30,2850.0
2020-10-01,2568.5
2020-10-02,2568.5
2020-10-03,2850.0
2020-10-04,2850.0
2020-10-05,2850.0
2020-10-06,2850.0
2020-10-07,2515.0
2020-10-08,2850.0
2020-10-09,2850.0
2020-10-10,2850.0
2020-10-11,2850.0
2020-10-12,2850.0
2020-10-13,2850.0
2020-10-14,2850.0
2020-10-15,2850.0
2020-10-16,2850.0
2020-10-17,2557.5
2020-10-18,2557.5
2020-10-19,2606.5
2020-10-20,2800.0
2020-10-21,2800.0
2020-10-22,2800.0
2020-10-23,2750.0
2020-10-24,2750.0
2020-10-25,2750.0
2020-10-26,2750.0
2020-10-27,2750.0
2020-10-28,2775.0
2020-10-29,2850.0
2020-10-30,2850.0
2020-10-31,2850.0
2020-11-01,2850.0
2020-11-02,2850.0
2020-11-03,2775.0
2020-11-04,2578.5
2020-11-05,2775.0
2020-11-06,2775.0
2020-11-07,8500.0
2020-11-08,8500.0
2020-11-09,2775.0
2020-11-10,2750.0
2020-11-11,2750.0
2020-11-12,2750.0
2020-11-13,2750.0
2020-11-14,2750.0
2020-11-15,2750.0
2020-11-16,2750.0
2020-11-17,2750.0
2020-11-18,2750.0
2020-11-19,2150.0
2020-11-20,2583.5
2020-11-21,2583.5
2020-11-22,2583.5
2020-11-23,2750.0
2020-11-24,2465.0
2020-11-25,2575.0
2020-11-26,2750.0
2020-11-27,2750.0
2020-11-28,2750.0
2020-11-29,2750.0
2020-11-30,2750.0
2020-12-01,2750.0
2020-12-02,2750.0
2020-12-03,2750.0
2020-12-04,2700.0
2020-12-05,2750.0
2020-12-06,2750.0
2020-12-07,2750.0
2020-12-08,2750.0
2020-12-09,2180.0
2020-12-10,2750.0
2020-12-11,2750.0
2020-12-12,2750.0
2020-12-13,2750.0
2020-12-14,2600.0
2020-12-15,2548.0
2020-12-16,2750.0
2020-12-17,2465.0
2020-12-18,2465.0
2020-12-19,2465.0
2020-12-20,2465.0
2020-12-21,2775.0
2020-12-22,2775.0
2020-12-23,2596.5
2020-12-24,2775.0
2020-12-25,2775.0
2020-12-26,2775.0
2020-12-27,2775.0
2020-12-28,2775.0
2020-12-29,2775.0
2020-12-30,2775.0
2020-12-31,2775.0
2021-01-01,2775.0
2021-01-02,2775.0
2021-01-03,2775.0
2021-01-04,2775.0
2021-01-05,2775.0
2021-01-06,2775.0
2021-01-07,2775.0
2021-01-08,2775.0
2021-01-09,2775.0
2021-01-10,2775.0
2021-01-11,2775.0
2021-01-12,2900.0
2021-01-13,2900.0
2021-01-14,2900.0
2021-01-15,2900.0
2021-01-16,2900.0
2021-01-17,2900.0
2021-01-18,2900.0
2021-01-19,2900.0
2021-01-20,2900.0
2021-01-21,2900.0
2021-01-22,2900.0
2021-01-23,2900.0
2021-01-24,2900.0
2021-01-25,2900.0
2021-01-26,2900.0
2021-01-27,2290.0
2021-01-28,2736.0
2021-01-29,2736.0
2021-01-30,2900.0
2021-01-31,2900.0
2021-02-01,2900.0
2021-02-02,2900.0
2021-02-03,2599.0
2021-02-04,2599.0
2021-02-05,2599.0
2021-02-06,2725.0
2021-02-07,2725.0
2021-02-08,2725.0
2021-02-09,2725.0
2021-02-10,2900.0
2021-02-11,2900.0
2021-02-12,2900.0
2021-02-13,2900.0
2021-02-14,2900.0
2021-02-15,2900.0
2021-02-16,2950.0
2021-02-17,2950.0
2021-02-18,2900.0
2021-02-19,2900.0
2021-02-20,2340.0
2021-02-21,2340.0
2021-02-22,2553.0
2021-02-23,2553.0
2021-02-24,2553.0
2021-02-25,2500.0
2021-02-26,2500.0
2021-02-27,2500.0
2021-02-28,2500.0
2021-03-01,2545.0
2021-03-02,2545.0
2021-03-03,2850.0
2021-03-04,2500.0
2021-03-05,2650.5
2021-03-06,2545.0
2021-03-07,2545.0
2021-03-08,2545.0
2021-03-09,2850.0
2021-03-10,2850.0
2021-03-11,2850.0
2021-03-12,2850.0
2021-03-13,2850.0
2021-03-14,2850.0
2021-03-15,2850.0
2021-03-16,2850.0
2021-03-17,2575.0
2021-03-18,2575.0
2021-03-19,2575.0
2021-03-20,2575.0
2021-03-21,2575.0
2021-03-22,2850.0
2021-03-23,2850.0
2021-03-24,2662.5
2021-03-25,2548.5
2021-03-26,2850.0
2021-03-27,2850.0
2021-03-28,2850.0
2021-03-29,2850.0
2021-03-30,2850.0
2021-03-31,2850.0
2021-04-01,2850.0
2021-04-02,2850.0
2021-04-03,2850.0
2021-04-04,2850.0
2021-04-05,2850.0
2021-04-06,2850.0
2021-04-07,2850.0
2021-04-08,2850.0
2021-04-09,2850.0
2021-04-10,2850.0
2021-04-11,2850.0
2021-04-12,2617.5
2021-04-13,2617.5
2021-04-14,2617.5
2021-04-15,2850.0
2021-04-16,2850.0
2021-04-17,2850.0
2021-04-18,2850.0
2021-04-19,2900.0
2021-04-20,2900.0
