district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kolar,Bangarpet,Tomato,250,950,650,2020-01-01
Hassan,Channarayapatna,Tomato,1051,1051,1051,2020-01-01
Kolar,Malur,Tomato,700,1200,1000,2020-01-01
Kolar,Chintamani,Tomato,400,1133,733,2020-01-01
Chamrajnagar,Gundlupet,Tomato,1200,1300,1250,2020-01-01
Kolar,Srinivasapur,Tomato,400,1667,800,2020-01-01
Kolar,Chickkaballapura,Tomato,400,2150,1470,2020-01-01
Bellary,Hospet,Tomato,500,600,500,2020-01-01
Hassan,Hassan,Tomato,775,2000,1100,2020-01-01
Hassan,Arasikere,Tomato,1000,1000,1000,2020-01-01
Udupi,Udupi,Tomato,1500,1800,1600,2020-01-01
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-01
Bangalore,Channapatana,Tomato,700,1500,1000,2020-01-01
Chikmagalur,Chikkamagalore,Tomato,882,1429,1104,2020-01-01
Kolar,Mulabagilu,Tomato,335,1335,665,2020-01-01
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,1800,1600,2020-01-01
Chikmagalur,Kadur,Tomato,600,833,833,2020-01-01
Davangere,Davangere,Tomato,400,640,520,2020-01-01
Chikmagalur,Bagepalli,Tomato,650,1250,926,2020-01-01
Bangalore,Ramanagara,Tomato,1400,1600,1500,2020-01-01
Kolar,Kolar,Tomato,333,1467,733,2020-01-01
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1150,2020-01-01
Kolar,Srinivasapur,Tomato,200,1333,667,2020-01-02
Chikmagalur,Chikkamagalore,Tomato,882,1176,1033,2020-01-02
Chikmagalur,Kadur,Tomato,434,714,666,2020-01-02
Kolar,Bangarpet,Tomato,250,1350,750,2020-01-02
Chikmagalur,Bagepalli,Tomato,580,1120,845,2020-01-02
Mysore,Mysore (Bandipalya),Tomato,1200,1400,1300,2020-01-02
Kolar,Malur,Tomato,800,1400,1000,2020-01-02
Bangalore,Channapatana,Tomato,650,1250,1000,2020-01-02
Bangalore,Ramanagara,Tomato,1400,1600,1500,2020-01-02
Kolar,Kolar,Tomato,333,1733,986,2020-01-02
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,1800,1600,2020-01-02
Davangere,Davangere,Tomato,400,600,500,2020-01-02
Kolar,Chintamani,Tomato,533,1200,866,2020-01-02
Kolar,Gowribidanoor,Tomato,500,600,550,2020-01-02
Kolar,Mulabagilu,Tomato,335,1335,665,2020-01-02
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-02
Bangalore,Doddaballa Pur,Tomato,700,1200,1000,2020-01-02
Chamrajnagar,Gundlupet,Tomato,1200,1300,1250,2020-01-02
Kolar,Bangarpet,Tomato,250,1350,750,2020-01-03
Kolar,Malur,Tomato,700,1200,1000,2020-01-03
Kolar,Chickkaballapura,Tomato,400,2300,1550,2020-01-03
Bangalore,Channapatana,Tomato,650,1400,1000,2020-01-03
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-03
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-03
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,2000,1800,2020-01-03
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-03
Kolar,Chintamani,Tomato,466,1200,800,2020-01-03
Kolar,Kolar,Tomato,400,2000,1047,2020-01-03
Davangere,Davangere,Tomato,400,720,560,2020-01-03
