district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Shimoga,Shimoga,Wheat,3400,3600,3500,2020-01-01
Gadag,Gadag,Wheat,2000,3327,2596,2020-01-01
Mysore,T. Narasipura,Wheat,1600,2100,2038,2020-01-01
Bidar,Bidar,Wheat,2450,2850,2650,2020-01-01
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-01
Bagalkot,Bagalakot,Wheat,2850,2850,2850,2020-01-01
Bagalkot,Jamakhandi,Wheat,3600,3985,3725,2020-01-01
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-02
Dharwad,Hubli (Amaragol),Wheat,1559,3005,2680,2020-01-02
Mysore,T. Narasipura,Wheat,1600,1890,1800,2020-01-02
Mysore,Mysore (Bandipalya),Wheat,2900,3400,3150,2020-01-02
Gadag,Gadag,Wheat,1407,2769,2550,2020-01-02
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-02
Belgaum,Sankeshwar,Wheat,2500,2700,2617,2020-01-02
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-03
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-03
Mysore,T. Narasipura,Wheat,1700,1800,1800,2020-01-03
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-03
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-01-03
Davangere,Davangere,Wheat,3000,3100,3050,2020-01-03
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-04
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-04
Gadag,Gadag,Wheat,1607,3359,2478,2020-01-04
Bellary,Hospet,Wheat,2785,2910,2810,2020-01-04
Bidar,Bidar,Wheat,2400,2850,2560,2020-01-04
Mysore,T. Narasipura,Wheat,1600,2500,2028,2020-01-04
Mysore,Mysore (Bandipalya),Wheat,2800,3400,3100,2020-01-04
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-06
Belgaum,Sankeshwar,Wheat,2400,2700,2546,2020-01-06
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-06
Gadag,Gadag,Wheat,1659,2657,2357,2020-01-06
Mysore,T. Narasipura,Wheat,1600,2350,1700,2020-01-06
Gadag,Nargunda,Wheat,2400,2400,2400,2020-01-06
Bidar,Bidar,Wheat,2400,2811,2650,2020-01-06
Mysore,Mysore (Bandipalya),Wheat,2900,3400,3150,2020-01-06
Gadag,Nargunda,Wheat,2321,2400,2335,2020-01-07
Gadag,Gadag,Wheat,1411,3077,2591,2020-01-07
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-07
Shimoga,Bhadravathi,Wheat,2575,2700,2638,2020-01-07
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-01-07
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-07
Gadag,Gadag,Wheat,2069,2609,2220,2020-01-08
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-08
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-08
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-08
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-01-08
Shimoga,Shimoga,Wheat,3200,3400,3200,2020-01-09
Gadag,Laxmeshwar,Wheat,2015,2489,2294,2020-01-09
Belgaum,Gokak,Wheat,2700,2810,2700,2020-01-09
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-09
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-09
Gadag,Gadag,Wheat,1717,2677,2149,2020-01-09
Bijapur,Bijapur,Wheat,3000,3300,3200,2020-01-09
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-10
Dharwad,Hubli (Amaragol),Wheat,1939,3139,1939,2020-01-10
Davangere,Davangere,Wheat,3100,3200,3150,2020-01-10
Hassan,Hassan,Wheat,2748,2935,2800,2020-01-10
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-10
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-11
Dharwad,Hubli (Amaragol),Wheat,2439,3201,2546,2020-01-11
Gadag,Gadag,Wheat,1629,2628,2329,2020-01-11
Hassan,Hassan,Wheat,2844,2881,2881,2020-01-13
Bijapur,Bijapur,Wheat,3500,4000,3800,2020-01-13
Koppal,Gangavathi,Wheat,1950,2000,1978,2020-01-13
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-01-13
Bidar,Bidar,Wheat,2400,2850,2650,2020-01-13
Gadag,Gadag,Wheat,1911,2977,2245,2020-01-13
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-13
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-13
Gadag,Nargunda,Wheat,2400,2400,2400,2020-01-13
Shimoga,Bhadravathi,Wheat,2956,3200,3014,2020-01-14
Gadag,Gadag,Wheat,2150,3569,2637,2020-01-14
Bellary,Hospet,Wheat,2735,2960,2835,2020-01-14
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-14
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-14
Bidar,Bidar,Wheat,2400,2880,2650,2020-01-14
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-14
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-16
Gadag,Nargunda,Wheat,2300,2300,2300,2020-01-16
Gadag,Gadag,Wheat,2222,2420,2282,2020-01-16
Belgaum,Sankeshwar,Wheat,2600,2900,2742,2020-01-16
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-16
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-16
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-17
Gadag,Nargunda,Wheat,2304,2304,2304,2020-01-17
Bidar,Bidar,Wheat,4100,5500,4500,2020-01-17
Davangere,Davangere,Wheat,2900,3000,2950,2020-01-17
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-17
Dharwad,Hubli (Amaragol),Wheat,2109,2939,2539,2020-01-17
Shimoga,Bhadravathi,Wheat,2787,2787,2787,2020-01-17
Gadag,Gadag,Wheat,2175,3302,2271,2020-01-17
Dharwad,Hubli (Amaragol),Wheat,1840,2810,2449,2020-01-18
Gadag,Gadag,Wheat,1717,2507,2258,2020-01-18
Bidar,Bidar,Wheat,2400,2850,2600,2020-01-18
Mysore,Mysore (Bandipalya),Wheat,2700,3400,3050,2020-01-18
Koppal,Gangavathi,Wheat,2150,2150,2150,2020-01-18
Gadag,Nargunda,Wheat,2300,2400,2335,2020-01-18
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-18
Gadag,Gadag,Wheat,1929,3201,2495,2020-01-20
Shimoga,Shimoga,Wheat,2700,3200,3000,2020-01-20
Belgaum,Kudchi,Wheat,3650,3800,3728,2020-01-20
Dharwad,Dharwar,Wheat,2793,2793,2793,2020-01-20
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-20
Dharwad,Hubli (Amaragol),Wheat,1669,2839,2401,2020-01-20
Gadag,Nargunda,Wheat,2305,2305,2305,2020-01-20
Bidar,Bidar,Wheat,2400,2850,2600,2020-01-20
Koppal,Gangavathi,Wheat,2150,2150,2150,2020-01-20
Bangalore,Bangalore,Wheat,2500,3500,3000,2020-01-21
Gadag,Nargunda,Wheat,2250,2250,2250,2020-01-21
Gadag,Gadag,Wheat,2216,3211,2595,2020-01-21
Bellary,Hospet,Wheat,3050,3050,3050,2020-01-21
Bidar,Bidar,Wheat,2400,2850,2600,2020-01-21
Mysore,Mysore (Bandipalya),Wheat,3300,3600,3450,2020-01-21
Dharwad,Hubli (Amaragol),Wheat,2259,2539,2259,2020-01-21
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-22
Gadag,Gadag,Wheat,1701,2929,2342,2020-01-22
Bidar,Bidar,Wheat,2400,2850,2600,2020-01-22
Mysore,Mysore (Bandipalya),Wheat,3300,3600,3450,2020-01-22
Bidar,Bidar,Wheat,2400,2850,2600,2020-01-23
Gadag,Gadag,Wheat,1590,2701,2556,2020-01-23
Dharwad,Hubli (Amaragol),Wheat,2209,2811,2489,2020-01-23
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-23
Koppal,Gangavathi,Wheat,2100,2100,2100,2020-01-23
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-23
Mysore,Mysore (Bandipalya),Wheat,3400,3600,3500,2020-01-24
Haveri,Ranebennur,Wheat,2635,2635,2635,2020-01-24
Belgaum,Nippani,Wheat,3075,3075,3075,2020-01-24
Davangere,Davangere,Wheat,2900,3000,2950,2020-01-24
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-24
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-24
Shimoga,Bhadravathi,Wheat,2775,2941,2837,2020-01-24
Bidar,Bidar,Wheat,2400,2800,2600,2020-01-25
Gadag,Gadag,Wheat,1604,3500,2228,2020-01-25
Dharwad,Hubli (Amaragol),Wheat,2109,2556,2209,2020-01-25
Bidar,Basava Kalayana,Wheat,2000,2600,2300,2020-01-25
Dharwad,Hubli (Amaragol),Wheat,1559,2621,2256,2020-01-27
Bidar,Bidar,Wheat,2400,2800,2600,2020-01-27
Shimoga,Shimoga,Wheat,3000,3300,3200,2020-01-27
Hassan,Hassan,Wheat,2868,2974,2966,2020-01-27
Gadag,Gadag,Wheat,1869,3159,2423,2020-01-27
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-27
Mysore,Mysore (Bandipalya),Wheat,3200,3600,3400,2020-01-27
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-01-28
Mysore,Mysore (Bandipalya),Wheat,3200,3600,3400,2020-01-28
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-28
Bidar,Bidar,Wheat,2400,2800,2600,2020-01-28
Dharwad,Hubli (Amaragol),Wheat,2019,2701,2109,2020-01-28
Haveri,Haveri,Wheat,2100,2100,2100,2020-01-28
Mysore,Mysore (Bandipalya),Wheat,3100,3600,3350,2020-01-29
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-29
Gadag,Gadag,Wheat,1704,2977,2053,2020-01-29
Bidar,Bidar,Wheat,2400,2800,2600,2020-01-29
Shimoga,Shimoga,Wheat,3000,3600,3300,2020-01-29
Hassan,Hassan,Wheat,3000,3000,3000,2020-01-30
Dharwad,Hubli (Amaragol),Wheat,1511,2839,2229,2020-01-30
Belgaum,Ramdurga,Wheat,2100,2100,2100,2020-01-30
Gadag,Gadag,Wheat,1789,3077,2394,2020-01-30
Gadag,Nargunda,Wheat,2350,2350,2350,2020-01-30
Bagalkot,Jamakhandi,Wheat,2500,3000,2800,2020-01-30
Bidar,Bidar,Wheat,2400,2850,2600,2020-01-30
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-30
Gadag,Gadag,Wheat,2000,2812,2203,2020-01-31
Davangere,Davangere,Wheat,3000,3100,3050,2020-01-31
Hassan,Hassan,Wheat,2975,3033,2985,2020-01-31
Mysore,Mysore (Bandipalya),Wheat,3000,3600,3300,2020-01-31
Bidar,Bidar,Wheat,2400,2800,2600,2020-01-31
Dharwad,Hubli (Amaragol),Wheat,1739,2600,1739,2020-01-31
Haveri,Ranebennur,Wheat,2600,2600,2600,2020-01-31
Bangalore,Bangalore,Wheat,2900,3400,3150,2020-01-31
Shimoga,Shimoga,Wheat,3200,3600,3400,2020-01-31
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-02-01
Belgaum,Soundati,Wheat,2300,2400,2319,2020-02-01
Gadag,Nargunda,Wheat,2226,2226,2226,2020-02-01
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-01
Mysore,Mysore (Bandipalya),Wheat,3000,3600,3300,2020-02-01
Dharwad,Hubli (Amaragol),Wheat,1861,2629,2339,2020-02-01
Mysore,T. Narasipura,Wheat,1500,1500,1500,2020-02-01
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-01
Gadag,Gadag,Wheat,1922,2912,2413,2020-02-03
Shimoga,Bhadravathi,Wheat,3000,3200,3019,2020-02-03
Gadag,Laxmeshwar,Wheat,1422,2065,1692,2020-02-03
Gadag,Nargunda,Wheat,2222,2228,2225,2020-02-03
Mysore,Mysore (Bandipalya),Wheat,3100,3500,3300,2020-02-03
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-03
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-03
Hassan,Hassan,Wheat,2851,2851,2851,2020-02-04
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-04
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-04
Gadag,Gadag,Wheat,2100,2912,2369,2020-02-04
Belgaum,Sankeshwar,Wheat,2500,2800,2664,2020-02-04
Bagalkot,Jamakhandi,Wheat,2500,2700,2625,2020-02-04
Shimoga,Shimoga,Wheat,3200,3600,3400,2020-02-04
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-02-04
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-05
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-02-05
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-05
Gadag,Gadag,Wheat,1404,3337,2413,2020-02-05
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-06
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-06
Dharwad,Hubli (Amaragol),Wheat,1529,2739,2329,2020-02-06
Gadag,Gadag,Wheat,2022,2651,2338,2020-02-06
Shimoga,Shimoga,Wheat,3000,3300,3200,2020-02-06
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-07
Gadag,Gadag,Wheat,2020,2851,2113,2020-02-07
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-07
Shimoga,Bhadravathi,Wheat,2753,2753,2753,2020-02-07
Davangere,Davangere,Wheat,2900,3000,2950,2020-02-07
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-08
Gadag,Gadag,Wheat,1677,2943,2347,2020-02-08
Dharwad,Hubli (Amaragol),Wheat,2036,2436,2229,2020-02-08
Gadag,Gadag,Wheat,1612,2956,2115,2020-02-10
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-10
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-02-10
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-10
Dharwad,Hubli (Amaragol),Wheat,2050,2050,2050,2020-02-10
Koppal,Gangavathi,Wheat,2310,2310,2310,2020-02-10
Gadag,Nargunda,Wheat,2300,2350,2313,2020-02-10
Haveri,Hanagal,Wheat,2000,2000,2000,2020-02-10
Gadag,Gadag,Wheat,2222,2222,2222,2020-02-11
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-02-11
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-11
Mandya,Mandya,Wheat,3089,3089,3089,2020-02-11
Bidar,Bidar,Wheat,2400,2800,2500,2020-02-11
Gadag,Gadag,Wheat,1807,2713,2417,2020-02-12
Bangalore,Bangalore,Wheat,3200,3800,3500,2020-02-12
Shimoga,Shimoga,Wheat,3000,3600,3300,2020-02-12
Koppal,Gangavathi,Wheat,2150,2150,2150,2020-02-12
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-02-12
Bidar,Bidar,Wheat,2400,2800,2600,2020-02-12
