district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bellary,Bellary,Capsicum,1500,2000,1700,2020-04-09
Bellary,Bellary,Capsicum,2000,2500,2300,2020-04-23
Bellary,Bellary,Capsicum,2000,2500,2300,2020-04-27
Bellary,Bellary,Capsicum,2000,2500,2300,2020-04-28
Bellary,Bellary,Capsicum,2500,3000,2700,2020-04-29
Bellary,Bellary,Capsicum,2000,2500,2300,2020-04-30
Bellary,Bellary,Capsicum,1500,2000,1800,2020-05-02
Bellary,Bellary,Capsicum,1500,2000,1800,2020-05-05
Bellary,Bellary,Capsicum,1500,2000,1800,2020-05-08
Bellary,Bellary,Capsicum,2500,3000,2800,2020-05-14
Bellary,Bellary,Capsicum,2500,3000,2800,2020-05-16
Bellary,Bellary,Capsicum,3500,4000,3800,2020-05-25
Bellary,Bellary,Capsicum,2000,2500,2200,2020-05-28
Bellary,Bellary,Capsicum,1800,2000,1900,2020-05-30
Bellary,Bellary,Capsicum,3500,4000,3800,2020-06-01
