district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Chikmagalur,Chikkamagalore,Capsicum,1667,1667,1667,2020-05-07
Chikmagalur,Chikkamagalore,Capsicum,1818,2222,2000,2020-05-10
Chikmagalur,Chikkamagalore,Capsicum,1594,1800,1616,2020-05-14
Chikmagalur,Chikkamagalore,Capsicum,1867,2304,2273,2020-05-16
Chikmagalur,Chikkamagalore,Capsicum,1800,1800,1800,2020-05-19
Chikmagalur,Bagepalli,Capsicum,1400,1800,1600,2020-06-02
Chikmagalur,Bagepalli,Capsicum,1400,1900,1680,2020-06-03
Chikmagalur,Bagepalli,Capsicum,1400,1900,1715,2020-06-06
Chikmagalur,Bagepalli,Capsicum,1600,1800,1700,2020-06-08
Chikmagalur,Bagepalli,Capsicum,1400,1800,1650,2020-06-09
Chikmagalur,Bagepalli,Capsicum,1400,1800,1600,2020-06-10
Chikmagalur,Bagepalli,Capsicum,1600,1800,1715,2020-06-11
Chikmagalur,Bagepalli,Capsicum,1500,1800,1650,2020-06-13
Chikmagalur,Bagepalli,Capsicum,1600,2000,1800,2020-06-14
Chikmagalur,Bagepalli,Capsicum,1600,1800,1700,2020-06-15
Chikmagalur,Bagepalli,Capsicum,1600,1900,1750,2020-06-16
Chikmagalur,Bagepalli,Capsicum,2600,3000,2800,2020-06-17
Chikmagalur,Bagepalli,Capsicum,1400,1800,1650,2020-06-18
Chikmagalur,Bagepalli,Capsicum,1600,2200,2000,2020-06-20
Chikmagalur,Bagepalli,Capsicum,1600,3000,2220,2020-06-21
Chikmagalur,Bagepalli,Capsicum,1600,2200,1900,2020-06-22
Chikmagalur,Bagepalli,Capsicum,1600,2200,2000,2020-06-23
Chikmagalur,Bagepalli,Capsicum,1600,2500,2000,2020-06-24
Chikmagalur,Bagepalli,Capsicum,1600,2200,2000,2020-06-25
Chikmagalur,Bagepalli,Capsicum,2000,3000,2500,2020-06-27
Chikmagalur,Bagepalli,Capsicum,2000,3000,2400,2020-06-28
Chikmagalur,Bagepalli,Capsicum,1800,2800,2500,2020-06-29
Chikmagalur,Bagepalli,Capsicum,2000,3500,3000,2020-06-30
Chikmagalur,Bagepalli,Capsicum,1600,2500,2000,2020-07-01
Chikmagalur,Bagepalli,Capsicum,2000,3000,2650,2020-07-02
Chikmagalur,Bagepalli,Capsicum,2000,3200,2450,2020-07-04
Chikmagalur,Bagepalli,Capsicum,1400,2000,1750,2020-07-06
Chikmagalur,Bagepalli,Capsicum,1800,2200,2000,2020-07-07
Chikmagalur,Bagepalli,Capsicum,1600,2000,1800,2020-07-11
Chikmagalur,Bagepalli,Capsicum,1800,2500,2200,2020-07-13
Chikmagalur,Bagepalli,Capsicum,1600,3000,2500,2020-07-15
Chikmagalur,Bagepalli,Capsicum,1600,2000,1800,2020-07-18
Chikmagalur,Bagepalli,Capsicum,900,1200,1100,2021-02-04
Chikmagalur,Bagepalli,Capsicum,700,1100,915,2021-02-08
Chikmagalur,Bagepalli,Capsicum,1000,2000,1600,2021-04-03
Chikmagalur,Bagepalli,Capsicum,1200,2000,1600,2021-05-07
Chikmagalur,Bagepalli,Capsicum,1600,2000,1800,2021-07-01
Chikmagalur,Chikkamagalore,Capsicum,826,1026,926,2021-07-12
Chikmagalur,Chikkamagalore,Capsicum,2778,2778,2778,2023-02-03
Chikmagalur,Bagepalli,Capsicum,1200,1800,1500,2023-03-06
Chikmagalur,Bagepalli,Capsicum,2000,2500,2250,2023-04-09
Chikmagalur,Bagepalli,Capsicum,2000,3500,2750,2023-04-10
Chikmagalur,Bagepalli,Capsicum,1000,1800,1400,2023-04-13
Chikmagalur,Bagepalli,Capsicum,800,1200,1000,2023-04-14
Chikmagalur,Bagepalli,Capsicum,800,1200,900,2023-04-17
Chikmagalur,Bagepalli,Capsicum,700,900,800,2023-04-28
Chikmagalur,Bagepalli,Capsicum,600,800,750,2023-04-29
Chikmagalur,Bagepalli,Capsicum,800,1200,960,2023-06-02
Chikmagalur,Bagepalli,Capsicum,400,600,500,2023-06-03
Chikmagalur,Bagepalli,Capsicum,800,1000,900,2023-06-04
Chikmagalur,Bagepalli,Capsicum,800,1200,900,2023-06-07
Chikmagalur,Bagepalli,Capsicum,700,900,800,2023-06-12
Chikmagalur,Bagepalli,Capsicum,700,900,800,2023-06-13
Chikmagalur,Bagepalli,Capsicum,500,800,700,2023-06-14
Chikmagalur,Bagepalli,Capsicum,1500,3000,2500,2023-06-19
Chikmagalur,Bagepalli,Capsicum,1500,2500,2000,2023-06-20
Chikmagalur,Bagepalli,Capsicum,2000,3000,2500,2023-06-21
Chikmagalur,Bagepalli,Capsicum,1500,3000,2300,2023-06-23
Chikmagalur,Bagepalli,Capsicum,1500,3000,2200,2023-06-26
Chikmagalur,Bagepalli,Capsicum,1400,3000,2200,2023-06-28
Chikmagalur,Bagepalli,Capsicum,1800,2200,2000,2023-07-03
Chikmagalur,Bagepalli,Capsicum,2200,2800,2500,2023-07-06
Chikmagalur,Bagepalli,Capsicum,2400,3800,3000,2023-07-07
Chikmagalur,Bagepalli,Capsicum,2000,3500,2700,2023-07-08
Chikmagalur,Bagepalli,Capsicum,2000,3000,2500,2023-07-13
Chikmagalur,Bagepalli,Capsicum,600,700,650,2023-07-14
Chikmagalur,Bagepalli,Capsicum,2500,3500,3000,2023-07-15
Chikmagalur,Bagepalli,Capsicum,2300,2800,2500,2023-07-16
