district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Davangere,Davangere,Capsicum,2500,3000,2750,2020-01-03
Davangere,Davangere,Capsicum,2500,3000,2750,2020-01-10
Davangere,Davangere,Capsicum,2500,3000,2750,2020-01-17
Davangere,Davangere,Capsicum,2500,3000,2750,2020-01-24
Davangere,Davangere,Capsicum,2500,3000,2750,2020-01-31
Davangere,Davangere,Capsicum,2500,3000,2750,2020-02-07
Davangere,Davangere,Capsicum,1500,2500,2000,2020-02-13
Davangere,Davangere,Capsicum,2000,2200,2100,2020-02-20
Davangere,Davangere,Capsicum,1500,2000,1750,2020-02-28
Davangere,Davangere,Capsicum,1500,2200,1850,2020-03-06
Davangere,Davangere,Capsicum,1500,2000,1750,2020-03-13
Davangere,Davangere,Capsicum,1200,1500,1350,2020-03-20
Davangere,Davangere,Capsicum,1500,2000,1750,2020-03-27
Davangere,Davangere,Capsicum,2500,3000,2650,2020-04-07
Davangere,Davangere,Capsicum,1500,1800,1650,2020-04-12
Davangere,Davangere,Capsicum,2200,2500,2300,2020-04-14
Davangere,Davangere,Capsicum,2200,2500,2300,2020-04-15
Davangere,Davangere,Capsicum,2200,2600,2400,2020-04-16
Davangere,Davangere,Capsicum,2000,2500,2300,2020-04-17
Davangere,Davangere,Capsicum,2500,3000,2800,2020-04-18
Davangere,Davangere,Capsicum,2800,3000,2900,2020-04-19
Davangere,Davangere,Capsicum,2800,3200,3000,2020-04-21
Davangere,Davangere,Capsicum,2500,2800,2600,2020-04-22
Davangere,Davangere,Capsicum,2200,2600,2400,2020-04-23
Davangere,Davangere,Capsicum,2400,2800,2500,2020-04-24
Davangere,Davangere,Capsicum,2200,2600,2400,2020-04-25
Davangere,Davangere,Capsicum,2000,2600,2400,2020-04-26
Davangere,Davangere,Capsicum,2500,3000,2800,2020-04-28
Davangere,Davangere,Capsicum,2500,2800,2600,2020-04-29
Davangere,Davangere,Capsicum,2800,3200,3000,2020-04-30
Davangere,Davangere,Capsicum,2800,3200,3000,2020-05-01
Davangere,Davangere,Capsicum,3000,3500,3200,2020-05-02
Davangere,Davangere,Capsicum,2800,3200,3000,2020-05-03
Davangere,Davangere,Capsicum,2800,3200,3000,2020-05-05
Davangere,Davangere,Capsicum,2500,3200,2800,2020-05-06
Davangere,Davangere,Capsicum,2500,3000,2800,2020-05-07
Davangere,Davangere,Capsicum,2800,3200,3000,2020-05-08
