district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2020-02-14
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2020-09-08
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2020-10-14
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2020-11-12
Hassan,Hassan,Capsicum,2000,2000,2000,2020-11-18
Hassan,Channarayapatna,Capsicum,2500,2500,2500,2020-11-26
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2020-12-10
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2021-02-04
Hassan,Channarayapatna,Capsicum,2600,2600,2600,2021-05-30
Hassan,Hassan,Capsicum,2000,2400,2400,2021-06-02
Hassan,Channarayapatna,Capsicum,3000,3000,3000,2021-07-04
Hassan,Channarayapatna,Capsicum,2800,2800,2800,2021-07-20
Hassan,Channarayapatna,Capsicum,2500,2500,2500,2021-08-19
Hassan,Channarayapatna,Capsicum,3000,3000,3000,2021-10-22
Hassan,Channarayapatna,Capsicum,3200,3200,3200,2022-07-02
Hassan,Hassan,Capsicum,5376,5376,5376,2023-07-19
Hassan,Hassan,Capsicum,1500,1500,1500,2023-08-09
Hassan,Hassan,Capsicum,3472,3472,3472,2023-08-30
Hassan,Arasikere,Capsicum,4000,4500,4000,2024-05-07
Hassan,Arasikere,Capsicum,1000,1000,1000,2024-05-13
Hassan,Arasikere,Capsicum,2000,5000,2000,2024-05-27
Hassan,Arasikere,Capsicum,2000,11000,4000,2024-06-01
Hassan,Arasikere,Capsicum,3000,5000,3000,2024-06-15
Hassan,Arasikere,Capsicum,5000,7000,7000,2024-06-24
Hassan,Arasikere,Capsicum,4000,4000,4000,2024-06-29
Hassan,Arasikere,Capsicum,4600,6500,6500,2024-08-19
Hassan,Arasikere,Capsicum,3000,3000,3000,2024-08-26
Hassan,Arasikere,Capsicum,3000,3000,3000,2024-08-31
Hassan,Channarayapatna,Capsicum,2000,2000,2000,2024-09-28
Hassan,Arasikere,Capsicum,1500,1500,1500,2024-09-30
Hassan,Arasikere,Capsicum,5000,5000,5000,2024-11-11
Hassan,Arasikere,Capsicum,2500,2500,2500,2024-11-16
Hassan,Arasikere,Capsicum,2500,2500,2500,2024-11-19
Hassan,Arasikere,Capsicum,3000,3000,3000,2024-12-07
Hassan,Arasikere,Capsicum,3000,5000,5000,2024-12-30
