district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kalburgi,Kalburgi,Capsicum,50,120,70,2021-08-11
Kalburgi,Kalburgi,Capsicum,250,320,300,2021-10-13
Kalburgi,Kalburgi,Capsicum,2100,2400,2200,2022-04-05
Kalburgi,Kalburgi,Capsicum,1500,2000,1750,2022-04-13
Kalburgi,Kalburgi,Capsicum,1400,1800,1700,2022-04-20
Kalburgi,Kalburgi,Capsicum,2300,2800,2500,2022-04-21
Kalburgi,Kalburgi,Capsicum,2100,2500,2250,2022-04-22
Kalburgi,Kalburgi,Capsicum,1500,1750,1600,2022-04-27
Kalburgi,Kalburgi,Capsicum,2500,2800,2650,2022-04-28
Kalburgi,Kalburgi,Capsicum,2200,2600,2300,2022-05-04
Kalburgi,Kalburgi,Capsicum,2200,2600,2300,2022-05-05
Kalburgi,Kalburgi,Capsicum,1800,2200,2000,2022-05-11
Kalburgi,Kalburgi,Capsicum,1500,2000,1800,2022-05-12
Kalburgi,Kalburgi,Capsicum,2500,3500,2800,2022-06-22
Kalburgi,Kalburgi,Capsicum,1300,2900,2050,2022-07-06
Kalburgi,Kalburgi,Capsicum,1900,3000,2400,2022-07-08
Kalburgi,Kalburgi,Capsicum,2000,2500,2200,2022-07-13
Kalburgi,Kalburgi,Capsicum,2000,2500,2200,2022-07-14
Kalburgi,Kalburgi,Capsicum,2400,3400,2900,2022-07-15
Kalburgi,Kalburgi,Capsicum,2200,3200,2700,2022-07-18
Kalburgi,Kalburgi,Capsicum,1200,1600,1400,2022-07-19
Kalburgi,Kalburgi,Capsicum,1000,1500,1200,2022-07-20
Kalburgi,Kalburgi,Capsicum,1100,1500,1300,2022-07-21
Kalburgi,Kalburgi,Capsicum,1100,1500,1300,2022-07-22
Kalburgi,Kalburgi,Capsicum,1100,1500,1300,2022-07-25
Kalburgi,Kalburgi,Capsicum,1100,1500,1300,2022-07-26
Kalburgi,Kalburgi,Capsicum,1200,1600,1400,2022-07-29
Kalburgi,Kalburgi,Capsicum,3000,5000,4000,2022-08-11
Kalburgi,Kalburgi,Capsicum,3500,4500,4000,2022-08-13
Kalburgi,Kalburgi,Capsicum,3000,4000,3500,2022-08-16
Kalburgi,Kalburgi,Capsicum,2000,2500,2200,2022-08-17
Kalburgi,Kalburgi,Capsicum,2200,4200,3200,2022-08-24
Kalburgi,Kalburgi,Capsicum,2200,4200,3200,2022-08-25
Kalburgi,Kalburgi,Capsicum,2000,2400,2200,2022-08-26
Kalburgi,Kalburgi,Capsicum,1600,2100,1950,2022-08-30
Kalburgi,Kalburgi,Capsicum,2100,4100,3100,2022-09-01
Kalburgi,Kalburgi,Capsicum,1200,2000,1650,2022-09-02
Kalburgi,Kalburgi,Capsicum,2000,3000,2500,2022-09-07
