district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kolar,Kolar,Capsicum,2000,2500,2300,2020-01-02
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-03
Kolar,Chickkaballapura,Capsicum,1800,2400,2000,2020-01-04
Kolar,Chickkaballapura,Capsicum,1800,2300,2000,2020-01-05
Kolar,Chickkaballapura,Capsicum,1800,2300,2000,2020-01-06
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-06
Kolar,Chickkaballapura,Capsicum,1800,2000,1850,2020-01-07
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-07
Kolar,Kolar,Capsicum,1800,2000,1900,2020-01-08
Kolar,Chickkaballapura,Capsicum,1800,2000,1900,2020-01-08
Kolar,Kolar,Capsicum,1800,2400,2000,2020-01-09
Kolar,Chickkaballapura,Capsicum,1500,1800,1600,2020-01-10
Kolar,Kolar,Capsicum,1500,2000,1700,2020-01-10
Kolar,Malur,Capsicum,1300,1800,1515,2020-01-10
Kolar,Chickkaballapura,Capsicum,1800,2300,2000,2020-01-11
Kolar,Chickkaballapura,Capsicum,1800,2200,2000,2020-01-12
Kolar,Kolar,Capsicum,1500,2000,1700,2020-01-12
Kolar,Kolar,Capsicum,1500,1800,1600,2020-01-13
Kolar,Chickkaballapura,Capsicum,1800,2000,1900,2020-01-13
Kolar,Chickkaballapura,Capsicum,1800,2000,1900,2020-01-14
Kolar,Kolar,Capsicum,1200,1800,1400,2020-01-14
Kolar,Kolar,Capsicum,1800,2000,1900,2020-01-15
Kolar,Chickkaballapura,Capsicum,1800,2000,1900,2020-01-15
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-17
Kolar,Chickkaballapura,Capsicum,2000,3000,2500,2020-01-18
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-19
Kolar,Chickkaballapura,Capsicum,1500,2000,1800,2020-01-19
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-20
Kolar,Chickkaballapura,Capsicum,1500,2000,1800,2020-01-20
Kolar,Chickkaballapura,Capsicum,1500,1800,1700,2020-01-21
Kolar,Kolar,Capsicum,1500,2000,1700,2020-01-21
Kolar,Malur,Capsicum,1800,2200,1980,2020-01-21
Kolar,Malur,Capsicum,600,900,800,2020-01-22
Kolar,Kolar,Capsicum,1500,2000,1700,2020-01-22
Kolar,Chickkaballapura,Capsicum,1500,1900,1800,2020-01-22
Kolar,Kolar,Capsicum,1400,1600,1500,2020-01-23
Kolar,Chickkaballapura,Capsicum,1500,2000,1600,2020-01-24
Kolar,Kolar,Capsicum,1000,1500,1300,2020-01-24
Kolar,Chickkaballapura,Capsicum,1500,1800,1700,2020-01-25
Kolar,Kolar,Capsicum,1500,2000,1700,2020-01-26
Kolar,Chickkaballapura,Capsicum,1600,2000,1800,2020-01-26
Kolar,Malur,Capsicum,1800,2200,2000,2020-01-27
Kolar,Chickkaballapura,Capsicum,1600,2000,1800,2020-01-27
Kolar,Kolar,Capsicum,1500,2000,1700,2020-01-27
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-28
Kolar,Chickkaballapura,Capsicum,1700,2000,1800,2020-01-28
Kolar,Chickkaballapura,Capsicum,1800,2000,1850,2020-01-29
Kolar,Kolar,Capsicum,1500,2000,1800,2020-01-29
Kolar,Kolar,Capsicum,1000,1500,1300,2020-01-30
Kolar,Malur,Capsicum,1500,2000,1800,2020-01-31
Kolar,Kolar,Capsicum,2000,2200,2100,2020-01-31
Kolar,Chickkaballapura,Capsicum,1800,2000,1850,2020-01-31
Kolar,Chickkaballapura,Capsicum,1500,2000,1900,2020-02-01
Kolar,Chickkaballapura,Capsicum,1800,2200,2000,2020-02-02
Kolar,Kolar,Capsicum,2000,2500,2300,2020-02-02
Kolar,Kolar,Capsicum,1500,2000,1700,2020-02-03
Kolar,Chickkaballapura,Capsicum,1800,2200,2000,2020-02-03
Kolar,Kolar,Capsicum,1500,2000,1700,2020-02-04
Kolar,Chickkaballapura,Capsicum,2000,2300,2200,2020-02-04
Kolar,Chickkaballapura,Capsicum,1800,2300,2000,2020-02-05
Kolar,Kolar,Capsicum,1500,2000,1700,2020-02-05
Kolar,Kolar,Capsicum,1500,2000,1700,2020-02-06
Kolar,Malur,Capsicum,1800,2200,2000,2020-02-06
Kolar,Kolar,Capsicum,1000,1500,1300,2020-02-07
Kolar,Chickkaballapura,Capsicum,1800,2200,2000,2020-02-07
Kolar,Chickkaballapura,Capsicum,1600,2200,2000,2020-02-08
Kolar,Chickkaballapura,Capsicum,1600,2000,1800,2020-02-09
