district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mandya,Nagamangala,Capsicum,800,850,833,2020-04-04
Mandya,Mandya,Capsicum,5000,7000,5000,2021-12-29
Mandya,Mandya,Capsicum,2000,3500,3000,2022-02-03
Mandya,Mandya,Capsicum,4000,5000,4200,2022-02-10
Mandya,Mandya,Capsicum,5000,5000,5000,2022-02-14
Mandya,Mandya,Capsicum,6000,6000,6000,2022-02-15
Mandya,Mandya,Capsicum,4000,4500,4000,2022-02-16
Mandya,Mandya,Capsicum,2000,6000,4000,2022-02-17
Mandya,Mandya,Capsicum,4000,4000,4000,2022-02-18
Mandya,Mandya,Capsicum,3000,5000,4000,2022-02-23
Mandya,Mandya,Capsicum,3000,4600,3500,2022-02-24
Mandya,Mandya,Capsicum,4000,5000,4500,2022-03-04
Mandya,Mandya,Capsicum,4000,4700,4000,2022-03-08
Mandya,Mandya,Capsicum,2500,5000,4000,2022-03-09
Mandya,Mandya,Capsicum,3600,3600,3600,2022-03-10
Mandya,Mandya,Capsicum,3500,4000,4000,2022-03-16
Mandya,Mandya,Capsicum,3500,4000,4000,2022-03-17
Mandya,Mandya,Capsicum,2000,5000,3000,2022-03-24
Mandya,Mandya,Capsicum,3600,3600,3600,2022-03-28
Mandya,Mandya,Capsicum,2800,3000,3000,2022-03-31
Mandya,Mandya,Capsicum,2800,5000,3300,2022-04-07
Mandya,Mandya,Capsicum,3000,5000,4500,2022-04-21
Mandya,Mandya,Capsicum,2000,8000,5000,2022-04-28
Mandya,Mandya,Capsicum,4000,5000,5000,2022-05-05
Mandya,Mandya,Capsicum,4000,4000,4000,2022-05-10
Mandya,Mandya,Capsicum,2500,5000,5000,2022-05-12
Mandya,Mandya,Capsicum,3000,4000,3000,2022-05-19
Mandya,Mandya,Capsicum,4000,5000,4000,2022-05-26
Mandya,Mandya,Capsicum,5000,5600,5600,2022-06-02
Mandya,Mandya,Capsicum,5000,6500,6500,2022-06-08
Mandya,Mandya,Capsicum,4000,6500,5000,2022-06-16
Mandya,Mandya,Capsicum,1000,3000,2000,2022-06-29
Mandya,Mandya,Capsicum,3000,5000,4200,2022-07-07
Mandya,Mandya,Capsicum,3000,4800,3800,2022-07-14
Mandya,Mandya,Capsicum,1500,5000,5000,2022-07-21
Mandya,Mandya,Capsicum,2000,5500,5500,2022-07-28
Mandya,Mandya,Capsicum,3000,4500,3500,2022-07-29
Mandya,Mandya,Capsicum,2000,3000,3000,2022-08-04
Mandya,Mandya,Capsicum,3000,5000,3000,2022-08-11
Mandya,Mandya,Capsicum,4000,4000,4000,2022-08-25
Mandya,Mandya,Capsicum,3000,3000,3000,2022-09-02
Mandya,Mandya,Capsicum,3000,4000,3000,2022-09-08
Mandya,Mandya,Capsicum,3000,3000,3000,2022-09-15
Mandya,Mandya,Capsicum,3000,4000,4000,2022-09-22
Mandya,Mandya,Capsicum,5000,5000,5000,2022-10-07
Mandya,Mandya,Capsicum,1600,3000,1600,2022-10-13
Mandya,Mandya,Capsicum,2000,4000,3000,2022-10-20
Mandya,Mandya,Capsicum,3500,4000,4000,2022-11-03
Mandya,Mandya,Capsicum,4000,4000,4000,2022-11-24
Mandya,Mandya,Capsicum,2500,4000,3000,2022-12-01
Mandya,Mandya,Capsicum,2800,3500,3000,2022-12-08
Mandya,Mandya,Capsicum,2000,3500,3000,2022-12-15
Mandya,Mandya,Capsicum,2000,3000,3000,2022-12-22
Mandya,Mandya,Capsicum,2400,3500,3000,2022-12-29
Mandya,Mandya,Capsicum,4000,4000,4000,2023-01-18
Mandya,Mandya,Capsicum,2400,4000,2400,2023-02-01
Mandya,Mandya,Capsicum,2000,2500,2500,2023-02-02
Mandya,Mandya,Capsicum,2000,2600,2600,2023-02-08
Mandya,Mandya,Capsicum,1600,2000,1600,2023-02-09
Mandya,Mandya,Capsicum,1600,2000,1600,2023-02-16
Mandya,Mandya,Capsicum,2700,2700,2700,2023-02-23
Mandya,Mandya,Capsicum,3000,4000,4000,2023-03-02
Mandya,Mandya,Capsicum,2400,4000,2400,2023-03-09
Mandya,Mandya,Capsicum,4000,4000,4000,2023-03-21
Mandya,Mandya,Capsicum,2000,3000,2800,2023-03-30
Mandya,Mandya,Capsicum,2000,3500,3000,2023-04-10
Mandya,Mandya,Capsicum,2400,2400,2400,2023-04-13
Mandya,Mandya,Capsicum,2000,4500,3000,2023-04-20
Mandya,Mandya,Capsicum,3000,4500,4000,2023-04-27
Mandya,Mandya,Capsicum,4000,4000,4000,2023-05-04
Mandya,Mandya,Capsicum,4000,4000,4000,2023-05-05
Mandya,Mandya,Capsicum,3000,3000,3000,2023-05-08
Mandya,Mandya,Capsicum,2500,3000,3000,2023-05-12
Mandya,Mandya,Capsicum,2500,3000,3000,2023-05-17
Mandya,Mandya,Capsicum,2800,2800,2800,2023-05-26
Mandya,Mandya,Capsicum,4000,4000,4000,2023-05-31
Mandya,Mandya,Capsicum,3000,4000,4000,2023-06-07
Mandya,Mandya,Capsicum,4000,4000,4000,2023-06-12
Mandya,Mandya,Capsicum,3000,5000,3000,2023-06-15
Mandya,Mandya,Capsicum,3000,4000,4000,2023-06-30
Mandya,Mandya,Capsicum,4000,4000,4000,2023-07-01
Mandya,Mandya,Capsicum,4000,4000,4000,2023-07-11
Mandya,Mandya,Capsicum,4000,5000,5000,2023-07-13
Mandya,Mandya,Capsicum,5000,5000,5000,2023-07-21
Mandya,Mandya,Capsicum,4000,4000,4000,2023-07-27
Mandya,Mandya,Capsicum,4000,4000,4000,2023-08-03
Mandya,Mandya,Capsicum,5000,5000,5000,2023-08-07
Mandya,Mandya,Capsicum,2500,5000,2800,2023-08-24
Mandya,Mandya,Capsicum,1000,1200,1000,2023-10-05
Mandya,Mandya,Capsicum,1600,2000,2000,2023-10-12
Mandya,Mandya,Capsicum,2000,2400,2400,2023-11-07
Mandya,Mandya,Capsicum,2000,3000,3000,2023-11-18
Mandya,Mandya,Capsicum,1600,3000,2000,2023-12-01
Mandya,Nagamangala,Capsicum,4200,4200,4200,2024-09-09
