district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bagalkot,Jamakhandi,Onion,400,4400,2000,2020-01-02
Bagalkot,Bagalakot,Onion,900,5000,3000,2020-01-02
Bagalkot,Bagalakot,Onion,700,5000,3000,2020-01-04
Bagalkot,Bagalakot,Onion,900,5000,3500,2020-01-07
Bagalkot,Jamakhandi,Onion,500,6100,3200,2020-01-08
Bagalkot,Bagalakot,Onion,1000,4300,2500,2020-01-09
Bagalkot,Jamakhandi,Onion,500,6100,3200,2020-01-09
Bagalkot,Bagalakot,Onion,700,4300,3500,2020-01-11
Bagalkot,Bagalakot,Onion,1000,4500,3500,2020-01-14
Bagalkot,Jamakhandi,Onion,500,5000,2500,2020-01-16
Bagalkot,Bagalakot,Onion,1000,4600,3200,2020-01-18
Bagalkot,Bagalakot,Onion,1200,4800,4500,2020-01-21
Bagalkot,Jamakhandi,Onion,700,5400,2700,2020-01-23
Bagalkot,Bagalakot,Onion,1200,4100,3000,2020-01-25
Bagalkot,Bagalakot,Onion,700,3100,2800,2020-01-28
Bagalkot,Jamakhandi,Onion,650,3000,1700,2020-01-30
Bagalkot,Bagalakot,Onion,800,3200,2700,2020-02-01
Bagalkot,Bagalakot,Onion,650,3000,2600,2020-02-04
Bagalkot,Jamakhandi,Onion,450,3000,1600,2020-02-06
Bagalkot,Bagalakot,Onion,700,2400,2000,2020-02-08
Bagalkot,Jamakhandi,Onion,300,2600,1200,2020-02-13
Bagalkot,Bagalakot,Onion,600,2500,2000,2020-02-18
Bagalkot,Jamakhandi,Onion,400,1300,1000,2020-02-18
Bagalkot,Jamakhandi,Onion,300,2700,1400,2020-02-20
Bagalkot,Bagalakot,Onion,700,2300,1800,2020-02-22
Bagalkot,Bagalakot,Onion,800,2400,2000,2020-02-25
Bagalkot,Jamakhandi,Onion,150,2000,1000,2020-02-27
Bagalkot,Bagalakot,Onion,600,1800,1400,2020-02-29
Bagalkot,Bagalakot,Onion,500,1700,1300,2020-03-03
Bagalkot,Jamakhandi,Onion,500,1950,1100,2020-03-05
Bagalkot,Bagalakot,Onion,500,2200,1700,2020-03-07
Bagalkot,Jamakhandi,Onion,600,2350,1250,2020-03-12
Bagalkot,Bagalakot,Onion,600,2300,1800,2020-03-14
Bagalkot,Jamakhandi,Onion,300,1500,1200,2020-03-17
Bagalkot,Bagalakot,Onion,500,1800,1400,2020-03-17
Bagalkot,Bagalakot,Onion,900,1400,1100,2020-03-23
Bagalkot,Bagalakot,Onion,600,1700,1400,2020-04-01
Bagalkot,Bagalakot,Onion,500,1200,800,2020-04-07
Bagalkot,Bagalakot,Onion,500,1100,800,2020-04-11
Bagalkot,Bagalakot,Onion,400,1200,800,2020-04-14
Bagalkot,Bagalakot,Onion,300,1100,700,2020-04-18
Bagalkot,Bagalakot,Onion,300,800,500,2020-04-21
Bagalkot,Bagalakot,Onion,300,800,500,2020-04-25
Bagalkot,Bagalakot,Onion,200,900,600,2020-04-28
Bagalkot,Bagalakot,Onion,200,800,400,2020-05-02
Bagalkot,Bagalakot,Onion,200,800,400,2020-05-05
Bagalkot,Bagalakot,Onion,100,800,500,2020-05-09
Bagalkot,Bagalakot,Onion,100,800,500,2020-05-12
Bagalkot,Bagalakot,Onion,100,900,600,2020-05-16
Bagalkot,Bagalakot,Onion,100,900,500,2020-05-19
Bagalkot,Bagalakot,Onion,100,800,500,2020-05-23
Bagalkot,Bagalakot,Onion,100,800,600,2020-05-26
Bagalkot,Bagalakot,Onion,300,1100,800,2020-05-30
Bagalkot,Bagalakot,Onion,300,1000,700,2020-06-02
Bagalkot,Bagalakot,Onion,200,1100,700,2020-06-13
Bagalkot,Bagalakot,Onion,100,1100,700,2020-06-16
Bagalkot,Bagalakot,Onion,200,1100,800,2020-07-21
Bagalkot,Bagalakot,Onion,200,1100,800,2020-07-25
Bagalkot,Bagalakot,Onion,200,1100,800,2020-07-28
Bagalkot,Bagalakot,Onion,200,1100,900,2020-08-04
Bagalkot,Bagalakot,Onion,200,1100,800,2020-08-11
Bagalkot,Bagalakot,Onion,200,1000,700,2020-08-15
Bagalkot,Bagalakot,Onion,200,1700,1400,2020-08-18
Bagalkot,Bagalakot,Onion,200,1900,1500,2020-08-22
Bagalkot,Bagalakot,Onion,100,1500,1200,2020-08-25
Bagalkot,Bagalakot,Onion,200,1900,1600,2020-09-01
