district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Belgaum,Belgaum,Onion,4500,7000,6200,2020-01-01
Belgaum,Belgaum,Onion,4500,7000,6200,2020-01-02
Belgaum,Belgaum,Onion,4500,7000,6200,2020-01-03
Belgaum,Belgaum,Onion,1000,5000,3800,2020-01-04
Belgaum,Belgaum,Onion,1000,5000,3800,2020-01-06
Belgaum,Belgaum,Onion,1000,5000,3800,2020-01-07
Belgaum,Belgaum,Onion,2500,5500,4100,2020-01-08
Belgaum,Belgaum,Onion,2500,5500,4100,2020-01-09
Belgaum,Belgaum,Onion,2500,5500,4100,2020-01-10
Belgaum,Belgaum,Onion,3500,5000,4550,2020-01-11
Belgaum,Belgaum,Onion,3500,5000,4550,2020-01-14
Belgaum,Belgaum,Onion,3200,4500,4150,2020-01-16
Belgaum,Belgaum,Onion,3200,4500,4150,2020-01-17
Belgaum,Belgaum,Onion,3200,4500,4150,2020-01-18
Belgaum,Belgaum,Onion,3200,4500,4150,2020-01-20
Belgaum,Belgaum,Onion,3200,4500,4150,2020-01-21
Belgaum,Belgaum,Onion,3000,4000,3700,2020-01-22
Belgaum,Belgaum,Onion,3000,4000,3700,2020-01-23
Belgaum,Belgaum,Onion,3000,4000,3700,2020-01-24
Belgaum,Belgaum,Onion,3100,4150,3850,2020-01-25
Belgaum,Belgaum,Onion,3100,4150,3850,2020-01-28
Belgaum,Belgaum,Onion,3000,4000,3800,2020-01-29
Belgaum,Belgaum,Onion,3000,4000,3800,2020-01-30
Belgaum,Belgaum,Onion,3000,4000,3800,2020-01-31
Belgaum,Belgaum,Onion,1500,3500,2850,2020-02-01
Belgaum,Belgaum,Onion,1500,3500,2850,2020-02-03
Belgaum,Belgaum,Onion,1500,3200,2850,2020-02-04
Belgaum,Belgaum,Onion,1250,3200,2700,2020-02-05
Belgaum,Belgaum,Onion,1250,3200,2700,2020-02-06
Belgaum,Belgaum,Onion,1250,3200,2700,2020-02-07
Belgaum,Belgaum,Onion,1200,3000,2800,2020-02-08
Belgaum,Belgaum,Onion,1200,3000,2800,2020-02-11
Belgaum,Belgaum,Onion,1500,3150,2850,2020-02-12
Belgaum,Belgaum,Onion,1500,3150,2850,2020-02-13
Belgaum,Belgaum,Onion,1500,3150,2850,2020-02-14
Belgaum,Belgaum,Onion,1650,2500,2250,2020-02-15
Belgaum,Belgaum,Onion,1650,2500,2250,2020-02-17
Belgaum,Belgaum,Onion,1650,2500,2250,2020-02-18
Belgaum,Belgaum,Onion,1850,2450,2200,2020-02-19
Belgaum,Belgaum,Onion,1850,2450,2200,2020-02-20
Belgaum,Belgaum,Onion,1250,2150,1950,2020-02-22
Belgaum,Belgaum,Onion,1250,2150,1950,2020-02-25
Belgaum,Belgaum,Onion,1200,1950,1750,2020-02-26
Belgaum,Belgaum,Onion,1200,1950,1750,2020-02-27
Belgaum,Belgaum,Onion,1200,1950,1750,2020-02-28
Belgaum,Belgaum,Onion,1250,1900,1700,2020-02-29
Belgaum,Belgaum,Onion,1250,1900,1700,2020-03-03
Belgaum,Belgaum,Onion,1300,2000,1800,2020-03-04
Belgaum,Belgaum,Onion,1300,2000,1800,2020-03-05
Belgaum,Belgaum,Onion,1300,2000,1800,2020-03-06
Belgaum,Belgaum,Onion,1050,2250,2000,2020-03-07
Belgaum,Belgaum,Onion,1050,2250,2000,2020-03-10
Belgaum,Belgaum,Onion,850,2200,1750,2020-03-11
Belgaum,Belgaum,Onion,850,2200,1750,2020-03-12
Belgaum,Belgaum,Onion,850,2200,1750,2020-03-13
Belgaum,Belgaum,Onion,1050,2250,1850,2020-03-14
Belgaum,Belgaum,Onion,1050,2250,1850,2020-03-16
Belgaum,Belgaum,Onion,1050,2250,1850,2020-03-17
Belgaum,Belgaum,Onion,950,1850,1550,2020-03-18
Belgaum,Belgaum,Onion,950,1850,1550,2020-03-19
Belgaum,Belgaum,Onion,950,1850,1550,2020-03-20
Belgaum,Belgaum,Onion,1050,1750,1550,2020-03-21
Belgaum,Belgaum,Onion,1800,3000,2650,2020-03-26
Belgaum,Belgaum,Onion,1500,3000,2500,2020-03-28
Belgaum,Belgaum,Onion,1500,3000,2500,2020-03-30
Belgaum,Belgaum,Onion,1500,3000,2500,2020-03-31
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-01
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-02
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-03
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-04
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-05
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-06
Belgaum,Belgaum,Onion,1000,1800,1650,2020-04-07
Belgaum,Belgaum,Onion,1000,2000,1650,2020-04-09
Belgaum,Belgaum,Onion,1000,2000,1650,2020-04-10
Belgaum,Belgaum,Onion,650,1650,1250,2020-04-11
Belgaum,Belgaum,Onion,650,1650,1250,2020-04-12
Belgaum,Belgaum,Onion,650,1650,1250,2020-04-13
Belgaum,Belgaum,Onion,650,1650,1250,2020-04-14
Belgaum,Belgaum,Onion,500,1400,1150,2020-04-15
Belgaum,Belgaum,Onion,500,1400,1150,2020-04-16
Belgaum,Belgaum,Onion,500,1400,1150,2020-04-17
Belgaum,Belgaum,Onion,500,1250,1050,2020-04-18
Belgaum,Belgaum,Onion,500,1250,1050,2020-04-19
Belgaum,Belgaum,Onion,500,1250,1050,2020-04-20
Belgaum,Belgaum,Onion,500,1250,1050,2020-04-21
Belgaum,Belgaum,Onion,500,1250,1050,2020-04-22
Belgaum,Belgaum,Onion,500,1200,950,2020-04-23
Belgaum,Belgaum,Onion,500,1200,950,2020-04-24
Belgaum,Belgaum,Onion,500,1200,950,2020-04-25
Belgaum,Belgaum,Onion,750,1500,1200,2020-04-26
Belgaum,Belgaum,Onion,750,1500,1200,2020-04-27
Belgaum,Belgaum,Onion,750,1500,1200,2020-04-28
Belgaum,Belgaum,Onion,750,1500,1200,2020-04-29
Belgaum,Belgaum,Onion,700,1100,950,2020-04-30
Belgaum,Belgaum,Onion,700,1100,950,2020-05-01
Belgaum,Belgaum,Onion,700,1100,950,2020-05-02
Belgaum,Belgaum,Onion,300,900,750,2020-05-03
Belgaum,Belgaum,Onion,300,900,750,2020-05-04
Belgaum,Belgaum,Onion,300,900,750,2020-05-05
Belgaum,Belgaum,Onion,300,900,750,2020-05-06
Belgaum,Belgaum,Onion,350,1100,800,2020-05-07
Belgaum,Belgaum,Onion,350,1100,800,2020-05-08
Belgaum,Belgaum,Onion,350,1100,800,2020-05-09
Belgaum,Belgaum,Onion,300,1000,800,2020-05-10
Belgaum,Belgaum,Onion,300,1000,800,2020-05-11
Belgaum,Belgaum,Onion,300,1000,800,2020-05-13
Belgaum,Belgaum,Onion,300,1200,900,2020-05-14
Belgaum,Belgaum,Onion,400,1850,1400,2020-05-15
Belgaum,Belgaum,Onion,300,1200,900,2020-05-16
Belgaum,Belgaum,Onion,300,1000,800,2020-05-17
Belgaum,Belgaum,Onion,300,1000,800,2020-05-19
Belgaum,Belgaum,Onion,300,1000,800,2020-05-20
Belgaum,Belgaum,Onion,350,950,750,2020-05-21
Belgaum,Belgaum,Onion,350,950,750,2020-05-22
Belgaum,Belgaum,Onion,350,800,650,2020-05-23
Belgaum,Belgaum,Onion,350,800,650,2020-05-24
Belgaum,Belgaum,Onion,300,950,750,2020-05-27
Belgaum,Belgaum,Onion,350,850,700,2020-05-28
Belgaum,Belgaum,Onion,350,850,700,2020-05-29
Belgaum,Belgaum,Onion,350,850,700,2020-05-30
Belgaum,Belgaum,Onion,350,850,700,2020-06-01
Belgaum,Belgaum,Onion,350,850,700,2020-06-02
Belgaum,Belgaum,Onion,350,850,700,2020-06-03
Belgaum,Belgaum,Onion,400,1250,900,2020-06-04
Belgaum,Belgaum,Onion,400,1250,900,2020-06-05
Belgaum,Belgaum,Onion,350,900,700,2020-06-06
Belgaum,Belgaum,Onion,350,900,700,2020-06-07
Belgaum,Belgaum,Onion,350,900,700,2020-06-08
