district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bellary,Hospet,Onion,3000,6000,4000,2020-01-01
Bellary,Hospet,Onion,2600,6000,4500,2020-01-07
Bellary,Hospet,Onion,2200,5000,4000,2020-01-21
Bellary,Hospet,Onion,2500,3000,3000,2020-01-27
Bellary,Hospet,Onion,1800,3000,2500,2020-01-31
Bellary,Hospet,Onion,1400,3000,2400,2020-02-05
Bellary,Hospet,Onion,2200,3000,2600,2020-02-07
Bellary,Hospet,Onion,1500,3000,2000,2020-02-11
Bellary,Hospet,Onion,850,960,900,2020-02-16
Bellary,Hospet,Onion,1400,2000,1800,2020-02-19
Bellary,Hospet,Onion,1400,2000,1800,2020-02-25
Bellary,Hospet,Onion,1000,1500,1200,2020-03-04
Bellary,Hospet,Onion,1200,1600,1400,2020-03-11
Bellary,Hospet,Onion,1000,1500,1200,2020-03-17
Bellary,Hospet,Onion,800,1300,1100,2020-03-23
Bellary,Hospet,Onion,900,1200,1000,2020-03-30
Bellary,Hospet,Onion,1500,1600,1550,2020-04-03
Bellary,Bellary,Onion,100,200,150,2020-04-04
Bellary,Hospet,Onion,600,1400,950,2020-04-04
Bellary,Hospet,Onion,1000,2000,1500,2020-04-05
Bellary,Bellary,Onion,1000,2000,1500,2020-04-05
Bellary,Hospet,Onion,2000,3200,2500,2020-04-06
Bellary,Bellary,Onion,400,1200,800,2020-04-06
Bellary,Bellary,Onion,400,1000,600,2020-04-07
Bellary,Hospet,Onion,900,1500,1300,2020-04-08
Bellary,Bellary,Onion,600,1500,900,2020-04-08
Bellary,Bellary,Onion,600,1500,1000,2020-04-09
Bellary,Bellary,Onion,700,1400,850,2020-04-10
Bellary,Hospet,Onion,1000,1500,1000,2020-04-10
Bellary,Hospet,Onion,500,1500,1000,2020-04-11
Bellary,Bellary,Onion,600,1200,800,2020-04-11
Bellary,Bellary,Onion,500,1300,750,2020-04-12
Bellary,Hospet,Onion,1000,1200,1000,2020-04-13
Bellary,Hospet,Onion,500,1500,1000,2020-04-14
Bellary,Hospet,Onion,800,1200,1000,2020-04-15
Bellary,Bellary,Onion,400,1200,560,2020-04-16
Bellary,Hospet,Onion,500,1500,1000,2020-04-17
Bellary,Bellary,Onion,400,1200,800,2020-04-17
Bellary,Hospet,Onion,900,1500,1200,2020-04-18
Bellary,Bellary,Onion,500,1000,800,2020-04-18
Bellary,Bellary,Onion,500,1200,800,2020-04-19
Bellary,Hospet,Onion,1000,1200,1000,2020-04-19
Bellary,Hospet,Onion,1000,1500,1000,2020-04-20
Bellary,Bellary,Onion,600,1100,900,2020-04-20
Bellary,Bellary,Onion,500,1000,800,2020-04-21
Bellary,Hospet,Onion,900,1200,1000,2020-04-21
Bellary,Hospet,Onion,900,1500,1000,2020-04-22
Bellary,Bellary,Onion,400,1000,800,2020-04-22
Bellary,Bellary,Onion,500,1100,800,2020-04-23
Bellary,Bellary,Onion,500,1000,800,2020-04-24
Bellary,Hospet,Onion,900,1200,900,2020-04-24
Bellary,Hospet,Onion,1000,1200,1000,2020-04-25
Bellary,Bellary,Onion,500,1000,800,2020-04-25
Bellary,Hospet,Onion,1000,1500,1200,2020-04-26
Bellary,Bellary,Onion,600,1000,800,2020-04-26
Bellary,Hospet,Onion,900,1400,1200,2020-04-27
Bellary,Bellary,Onion,400,800,600,2020-04-27
Bellary,Bellary,Onion,500,1000,800,2020-04-28
Bellary,Hospet,Onion,800,1400,1000,2020-04-28
Bellary,Bellary,Onion,500,1000,800,2020-04-29
Bellary,Bellary,Onion,400,800,600,2020-04-30
Bellary,Hospet,Onion,1000,1500,1200,2020-05-01
Bellary,Bellary,Onion,500,1000,800,2020-05-01
Bellary,Bellary,Onion,500,1100,900,2020-05-02
Bellary,Hospet,Onion,900,1400,1200,2020-05-02
Bellary,Bellary,Onion,500,1000,800,2020-05-03
Bellary,Hospet,Onion,1000,1200,1000,2020-05-03
Bellary,Hospet,Onion,1000,1000,1000,2020-05-04
Bellary,Bellary,Onion,400,800,600,2020-05-04
Bellary,Hospet,Onion,900,1000,900,2020-05-05
Bellary,Bellary,Onion,500,800,600,2020-05-05
Bellary,Hospet,Onion,600,1600,980,2020-05-06
Bellary,Bellary,Onion,400,1000,800,2020-05-06
Bellary,Bellary,Onion,500,800,700,2020-05-07
Bellary,Bellary,Onion,300,800,600,2020-05-08
Bellary,Bellary,Onion,800,1000,900,2020-05-09
Bellary,Hospet,Onion,1000,1200,1000,2020-05-09
Bellary,Bellary,Onion,500,800,600,2020-05-10
Bellary,Hospet,Onion,1000,1200,1000,2020-05-11
Bellary,Bellary,Onion,500,800,600,2020-05-11
Bellary,Bellary,Onion,300,700,500,2020-05-12
Bellary,Hospet,Onion,800,1400,1300,2020-05-13
Bellary,Bellary,Onion,400,800,600,2020-05-13
Bellary,Bellary,Onion,400,800,600,2020-05-14
Bellary,Bellary,Onion,500,800,600,2020-05-15
Bellary,Hospet,Onion,1000,1200,1000,2020-05-15
Bellary,Bellary,Onion,500,800,700,2020-05-16
Bellary,Bellary,Onion,300,600,500,2020-05-17
Bellary,Bellary,Onion,500,800,600,2020-05-18
Bellary,Bellary,Onion,500,800,600,2020-05-19
Bellary,Hospet,Onion,600,980,980,2020-05-20
Bellary,Bellary,Onion,500,700,600,2020-05-20
Bellary,Bellary,Onion,500,700,600,2020-05-21
Bellary,Bellary,Onion,500,800,700,2020-05-22
Bellary,Hospet,Onion,800,1000,800,2020-05-22
Bellary,Bellary,Onion,400,800,600,2020-05-23
Bellary,Bellary,Onion,500,800,700,2020-05-24
Bellary,Hospet,Onion,500,1000,800,2020-05-25
Bellary,Bellary,Onion,400,800,600,2020-05-25
Bellary,Bellary,Onion,700,800,750,2020-05-26
Bellary,Bellary,Onion,500,800,600,2020-05-27
Bellary,Bellary,Onion,500,800,700,2020-05-28
Bellary,Bellary,Onion,700,900,800,2020-05-29
Bellary,Hospet,Onion,500,1000,700,2020-05-29
Bellary,Bellary,Onion,400,600,500,2020-05-30
Bellary,Bellary,Onion,500,800,600,2020-05-31
Bellary,Hospet,Onion,500,1000,800,2020-05-31
Bellary,Bellary,Onion,400,800,600,2020-06-01
Bellary,Bellary,Onion,700,800,750,2020-06-02
Bellary,Hospet,Onion,600,1000,900,2020-06-03
Bellary,Bellary,Onion,700,800,750,2020-06-03
Bellary,Bellary,Onion,700,1000,800,2020-06-04
Bellary,Bellary,Onion,800,1000,900,2020-06-05
Bellary,Hospet,Onion,500,1500,1000,2020-06-06
Bellary,Bellary,Onion,700,1000,800,2020-06-06
Bellary,Hospet,Onion,1000,1200,1000,2020-06-07
Bellary,Hospet,Onion,600,1600,1000,2020-06-09
Bellary,Hospet,Onion,500,1500,1000,2020-06-16
Bellary,Hospet,Onion,500,1500,1000,2020-06-17
Bellary,Hospet,Onion,600,1400,1000,2020-06-21
Bellary,Hospet,Onion,600,1300,900,2020-06-27
Bellary,Hospet,Onion,1000,1200,1200,2020-07-04
Bellary,Hospet,Onion,1000,1000,1000,2020-07-06
Bellary,Hospet,Onion,1200,1200,1200,2020-07-07
Bellary,Hospet,Onion,500,1200,900,2020-07-08
Bellary,Hospet,Onion,1000,1200,1200,2020-07-10
Bellary,Hospet,Onion,850,1200,1000,2020-07-13
Bellary,Hospet,Onion,700,1200,1000,2020-07-15
Bellary,Hospet,Onion,800,1200,1000,2020-07-21
Bellary,Hospet,Onion,800,1200,1000,2020-07-22
Bellary,Hospet,Onion,1000,1250,1000,2020-07-27
Bellary,Hospet,Onion,600,1400,1000,2020-07-30
Bellary,Hospet,Onion,800,1200,1000,2020-08-02
Bellary,Hospet,Onion,700,900,700,2020-08-05
Bellary,Hospet,Onion,1000,1200,1000,2020-08-07
Bellary,Hospet,Onion,900,1200,1000,2020-08-08
Bellary,Hospet,Onion,1000,1200,1000,2020-08-11
Bellary,Hospet,Onion,500,1200,1000,2020-08-12
Bellary,Hospet,Onion,900,1500,1200,2020-08-16
Bellary,Hospet,Onion,500,600,600,2020-08-19
Bellary,Hospet,Onion,1000,1200,1200,2020-08-23
Bellary,Hospet,Onion,1200,1200,1200,2020-08-25
Bellary,Hospet,Onion,800,1200,1000,2020-08-26
Bellary,Hospet,Onion,1000,1600,1000,2020-08-29
Bellary,Hospet,Onion,1000,1200,1200,2020-09-02
Bellary,Hospet,Onion,700,1200,1000,2020-09-04
Bellary,Hospet,Onion,1000,1200,1200,2020-09-06
Bellary,Hospet,Onion,1000,1200,1200,2020-09-08
Bellary,Hospet,Onion,1000,1200,1000,2020-09-12
Bellary,Hospet,Onion,1000,1200,1200,2020-09-14
Bellary,Hospet,Onion,1400,1400,1400,2020-09-15
Bellary,Hospet,Onion,1000,2200,1200,2020-09-16
Bellary,Hospet,Onion,1000,2200,2000,2020-09-18
Bellary,Hospet,Onion,1300,1600,1500,2020-09-19
Bellary,Hospet,Onion,1300,1600,1500,2020-09-21
Bellary,Hospet,Onion,1000,2000,1800,2020-09-22
Bellary,Hospet,Onion,1000,2000,1800,2020-09-23
Bellary,Hospet,Onion,1500,1600,1500,2020-09-26
Bellary,Hospet,Onion,1500,1600,1500,2020-09-27
Bellary,Hospet,Onion,500,1200,1000,2020-09-29
Bellary,Hospet,Onion,2000,2800,2800,2020-09-30
Bellary,Hospet,Onion,1500,1600,1600,2020-10-04
Bellary,Hospet,Onion,1600,2000,1600,2020-10-05
Bellary,Hospet,Onion,1600,2200,2000,2020-10-06
Bellary,Hospet,Onion,1000,1800,1500,2020-10-07
Bellary,Hospet,Onion,1500,2000,1500,2020-10-10
Bellary,Hospet,Onion,1200,1800,1800,2020-10-11
Bellary,Hospet,Onion,1400,2000,1400,2020-10-13
Bellary,Hospet,Onion,1300,2600,1300,2020-10-16
Bellary,Hospet,Onion,1600,2000,1800,2020-10-17
Bellary,Hospet,Onion,1800,4000,2800,2020-10-19
Bellary,Hospet,Onion,1000,3400,2600,2020-10-20
Bellary,Hospet,Onion,2000,3400,3000,2020-10-24
Bellary,Hospet,Onion,2000,3400,3000,2020-10-27
Bellary,Hospet,Onion,3000,4000,4000,2020-10-28
Bellary,Hospet,Onion,1600,3000,3000,2020-11-02
Bellary,Hospet,Onion,3000,4000,3000,2020-11-03
Bellary,Hospet,Onion,3000,6000,4000,2020-11-04
Bellary,Hospet,Onion,1000,4500,3000,2020-11-06
Bellary,Hospet,Onion,3000,3000,3000,2020-11-07
Bellary,Hospet,Onion,3000,3500,3500,2020-11-08
Bellary,Hospet,Onion,3000,3500,3000,2020-11-10
Bellary,Hospet,Onion,3000,3000,3000,2020-11-11
Bellary,Hospet,Onion,3000,3000,3000,2020-11-15
Bellary,Hospet,Onion,2000,3000,3000,2020-11-17
Bellary,Hospet,Onion,1500,3500,3000,2020-11-18
Bellary,Hospet,Onion,2300,2500,2300,2020-11-20
Bellary,Hospet,Onion,3000,3500,3000,2020-11-22
Bellary,Hospet,Onion,3000,3500,3000,2020-11-24
Bellary,Hospet,Onion,2000,3600,2800,2020-11-25
Bellary,Hospet,Onion,3000,3200,3000,2020-11-28
Bellary,Hospet,Onion,1600,2100,2100,2020-11-29
Bellary,Hospet,Onion,1600,3000,2800,2020-12-01
Bellary,Hospet,Onion,1200,2600,2200,2020-12-02
Bellary,Hospet,Onion,1600,3000,2800,2020-12-04
Bellary,Hospet,Onion,1500,3200,2800,2020-12-05
Bellary,Hospet,Onion,2400,2800,2800,2020-12-06
Bellary,Hospet,Onion,2400,3200,2800,2020-12-08
Bellary,Hospet,Onion,1600,2800,2000,2020-12-09
Bellary,Hospet,Onion,1600,2800,2000,2020-12-12
Bellary,Hospet,Onion,1600,2600,1800,2020-12-13
Bellary,Hospet,Onion,2000,2000,2000,2020-12-14
Bellary,Hospet,Onion,1400,2600,2400,2020-12-15
Bellary,Hospet,Onion,1400,4000,2000,2020-12-18
Bellary,Hospet,Onion,1400,3000,2000,2020-12-19
Bellary,Hospet,Onion,1400,3500,1800,2020-12-21
Bellary,Hospet,Onion,1400,4000,2000,2020-12-23
Bellary,Hospet,Onion,1400,2500,2000,2020-12-26
Bellary,Hospet,Onion,1650,2000,2000,2020-12-29
Bellary,Hospet,Onion,1550,3000,2000,2020-12-30
Bellary,Hospet,Onion,1800,2000,2000,2021-01-01
Bellary,Hospet,Onion,1800,2200,2000,2021-01-02
Bellary,Hospet,Onion,2000,2000,2000,2021-01-04
Bellary,Hospet,Onion,1500,2500,2000,2021-01-05
Bellary,Hospet,Onion,2000,2500,2000,2021-01-06
Bellary,Hospet,Onion,1500,2500,2000,2021-01-09
Bellary,Hospet,Onion,1800,3000,2000,2021-01-10
Bellary,Hospet,Onion,1800,2500,2000,2021-01-12
Bellary,Hospet,Onion,1800,2000,2000,2021-01-13
Bellary,Hospet,Onion,2000,2000,2000,2021-01-15
Bellary,Hospet,Onion,2000,3000,2500,2021-01-17
Bellary,Hospet,Onion,3000,3000,3000,2021-01-18
Bellary,Hospet,Onion,1800,2700,2400,2021-01-20
Bellary,Hospet,Onion,2000,2600,2000,2021-01-23
Bellary,Hospet,Onion,2000,2600,2000,2021-01-25
Bellary,Hospet,Onion,1600,21000,1700,2021-01-27
Bellary,Hospet,Onion,1700,2200,2000,2021-01-29
Bellary,Hospet,Onion,2000,2000,2000,2021-02-01
Bellary,Hospet,Onion,1700,2500,2200,2021-02-03
Bellary,Hospet,Onion,1700,2000,2000,2021-02-06
Bellary,Hospet,Onion,2500,3000,3000,2021-02-09
Bellary,Hospet,Onion,2100,2500,2500,2021-02-10
Bellary,Hospet,Onion,1800,2000,2000,2021-02-13
Bellary,Hospet,Onion,2000,3000,2400,2021-02-15
Bellary,Hospet,Onion,2200,2600,2500,2021-02-17
Bellary,Hospet,Onion,2400,3000,2600,2021-02-19
Bellary,Hospet,Onion,2000,2500,2000,2021-02-20
Bellary,Hospet,Onion,2000,2500,2000,2021-02-21
Bellary,Hospet,Onion,2800,4500,3000,2021-02-22
Bellary,Hospet,Onion,200,2500,2000,2021-02-23
Bellary,Hospet,Onion,2000,3000,2500,2021-02-24
Bellary,Hospet,Onion,2000,2000,2000,2021-02-27
Bellary,Hospet,Onion,2000,2000,2000,2021-03-01
Bellary,Hospet,Onion,2000,2000,2000,2021-03-02
Bellary,Hospet,Onion,2000,4000,3000,2021-03-03
Bellary,Hospet,Onion,2000,2400,2400,2021-03-07
Bellary,Hospet,Onion,3000,3000,3000,2021-03-08
Bellary,Hospet,Onion,300,3500,2000,2021-03-10
Bellary,Hospet,Onion,300,3400,3000,2021-03-13
Bellary,Hospet,Onion,600,1200,1200,2021-03-15
Bellary,Hospet,Onion,1600,2500,2500,2021-03-16
Bellary,Hospet,Onion,1200,1800,1500,2021-03-17
Bellary,Hospet,Onion,3000,3000,3000,2021-03-19
Bellary,Hospet,Onion,1200,3000,1500,2021-03-21
Bellary,Hospet,Onion,1000,1800,1800,2021-03-22
Bellary,Hospet,Onion,1600,2400,2000,2021-03-23
Bellary,Hospet,Onion,1600,1800,1600,2021-03-27
Bellary,Hospet,Onion,1600,1900,1600,2021-03-28
Bellary,Hospet,Onion,1000,1800,1600,2021-03-29
Bellary,Hospet,Onion,1000,2000,1500,2021-04-03
Bellary,Hospet,Onion,1000,1500,1000,2021-04-05
Bellary,Hospet,Onion,1000,1600,1400,2021-04-06
Bellary,Hospet,Onion,1000,1800,1600,2021-04-07
Bellary,Hospet,Onion,1400,1600,1600,2021-04-10
Bellary,Hospet,Onion,900,900,900,2021-04-11
Bellary,Hospet,Onion,1000,1400,1200,2021-04-12
Bellary,Hospet,Onion,1000,1000,1000,2021-04-16
Bellary,Hospet,Onion,800,1600,1400,2021-04-17
Bellary,Hospet,Onion,1000,1200,1000,2021-04-19
Bellary,Hospet,Onion,1000,1200,1000,2021-04-21
Bellary,Hospet,Onion,1000,1200,1000,2021-04-24
Bellary,Hospet,Onion,1000,1200,1200,2021-04-26
Bellary,Hospet,Onion,800,1000,1000,2021-04-27
Bellary,Hospet,Onion,900,1500,1500,2021-04-28
Bellary,Hospet,Onion,900,900,900,2021-04-30
Bellary,Hospet,Onion,1600,1600,1600,2021-05-02
Bellary,Hospet,Onion,1000,1300,1000,2021-05-03
Bellary,Hospet,Onion,1000,1000,1000,2021-05-04
Bellary,Hospet,Onion,1000,1200,1000,2021-05-05
Bellary,Hospet,Onion,800,1000,1000,2021-05-09
Bellary,Hospet,Onion,1000,1000,1000,2021-05-11
Bellary,Hospet,Onion,900,1200,1000,2021-05-12
Bellary,Hospet,Onion,1000,1400,1000,2021-05-15
Bellary,Hospet,Onion,1000,1000,1000,2021-05-17
Bellary,Hospet,Onion,1000,1200,1000,2021-05-18
Bellary,Hospet,Onion,1000,1200,1200,2021-05-19
Bellary,Hospet,Onion,1900,1900,1900,2021-06-07
Bellary,Hospet,Onion,1200,1200,1200,2021-06-09
Bellary,Hospet,Onion,1200,1700,1500,2021-06-12
Bellary,Hospet,Onion,1500,1600,1600,2021-06-15
Bellary,Hospet,Onion,1500,1600,1500,2021-06-16
Bellary,Hospet,Onion,1200,1200,1200,2021-06-20
Bellary,Hospet,Onion,1500,1500,1500,2021-06-21
Bellary,Hospet,Onion,1600,1600,1600,2021-06-22
Bellary,Hospet,Onion,1200,1600,1600,2021-06-23
Bellary,Hospet,Onion,1500,1800,1500,2021-06-26
Bellary,Hospet,Onion,1200,2000,1800,2021-06-29
Bellary,Hospet,Onion,1800,1800,1800,2021-06-30
Bellary,Hospet,Onion,1800,2000,2000,2021-07-02
Bellary,Hospet,Onion,2000,2000,2000,2021-07-05
Bellary,Hospet,Onion,1600,2000,1600,2021-07-06
Bellary,Hospet,Onion,800,2000,1800,2021-07-10
Bellary,Hospet,Onion,1800,2000,2000,2021-07-12
Bellary,Hospet,Onion,1200,1800,1600,2021-07-13
Bellary,Hospet,Onion,2000,2500,2000,2021-07-16
Bellary,Hospet,Onion,1500,2000,2000,2021-07-19
Bellary,Hospet,Onion,1500,2000,2000,2021-07-20
Bellary,Hospet,Onion,1200,2000,1400,2021-07-24
Bellary,Hospet,Onion,1500,2600,1800,2021-07-26
Bellary,Hospet,Onion,1200,1800,1600,2021-07-27
Bellary,Hospet,Onion,1200,2000,1600,2021-07-29
