district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bidar,Humanabad,Onion,1000,1800,1400,2020-04-19
Bidar,Humanabad,Onion,1000,1500,1200,2023-09-13
Bidar,Humanabad,Onion,1000,1500,1200,2023-09-20
Bidar,Humanabad,Onion,1000,1500,1300,2023-09-24
Bidar,Humanabad,Onion,1000,1500,1300,2023-10-01
Bidar,Humanabad,Onion,1000,1500,1200,2023-10-04
Bidar,Humanabad,Onion,1000,1500,1400,2023-10-08
Bidar,Humanabad,Onion,800,1500,1200,2023-10-11
Bidar,Humanabad,Onion,3000,4000,3500,2023-10-25
Bidar,Humanabad,Onion,2500,4000,3500,2023-11-22
Bidar,Humanabad,Onion,1000,1500,1200,2024-02-11
