district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bijapur,Bijapur,Onion,1000,5500,3500,2020-01-02
Bijapur,Bijapur,Onion,500,5000,3500,2020-01-06
Bijapur,Bijapur,Onion,500,5000,3000,2020-01-09
Bijapur,Bijapur,Onion,100,4000,2800,2020-01-13
Bijapur,Bijapur,Onion,400,4500,2500,2020-01-20
Bijapur,Bijapur,Onion,1000,4000,2500,2020-01-23
Bijapur,Bijapur,Onion,500,3000,2200,2020-01-31
Bijapur,Bijapur,Onion,300,3000,2400,2020-02-03
Bijapur,Bijapur,Onion,300,2500,1800,2020-02-06
Bijapur,Bijapur,Onion,200,2000,1500,2020-02-10
Bijapur,Bijapur,Onion,500,2400,1800,2020-02-13
Bijapur,Bijapur,Onion,500,2600,2400,2020-02-17
Bijapur,Bijapur,Onion,500,2400,1600,2020-02-20
Bijapur,Bijapur,Onion,500,2000,1600,2020-02-24
Bijapur,Bijapur,Onion,100,1900,1500,2020-02-27
Bijapur,Bijapur,Onion,200,2000,1400,2020-03-02
Bijapur,Bijapur,Onion,200,1800,1200,2020-03-05
Bijapur,Bijapur,Onion,200,2000,1400,2020-03-09
Bijapur,Bijapur,Onion,200,2000,1400,2020-03-12
Bijapur,Bijapur,Onion,500,2000,1200,2020-03-16
Bijapur,Bijapur,Onion,400,1800,1100,2020-04-01
Bijapur,Bijapur,Onion,200,800,600,2020-04-20
Bijapur,Bijapur,Onion,200,800,600,2020-04-23
Bijapur,Bijapur,Onion,200,1000,600,2020-04-27
Bijapur,Bijapur,Onion,300,900,500,2020-04-30
Bijapur,Bijapur,Onion,200,800,500,2020-05-04
Bijapur,Bijapur,Onion,200,700,500,2020-05-07
Bijapur,Bijapur,Onion,100,700,400,2020-05-11
Bijapur,Bijapur,Onion,100,800,400,2020-05-14
Bijapur,Bijapur,Onion,100,800,400,2020-05-18
Bijapur,Bijapur,Onion,100,800,400,2020-05-21
Bijapur,Bijapur,Onion,200,800,400,2020-05-26
Bijapur,Bijapur,Onion,100,950,600,2020-06-04
Bijapur,Bijapur,Onion,200,1000,500,2020-06-08
Bijapur,Bijapur,Onion,100,1100,400,2020-06-15
Bijapur,Bijapur,Onion,100,1000,400,2020-06-18
Bijapur,Bijapur,Onion,100,1000,400,2020-06-22
Bijapur,Bijapur,Onion,100,900,400,2020-06-25
Bijapur,Bijapur,Onion,200,900,300,2020-06-29
Bijapur,Bijapur,Onion,200,1100,500,2020-07-02
Bijapur,Bijapur,Onion,100,900,500,2020-07-10
Bijapur,Bijapur,Onion,100,1000,600,2020-08-04
Bijapur,Bijapur,Onion,200,1100,600,2020-08-10
Bijapur,Bijapur,Onion,100,1200,800,2020-08-13
Bijapur,Bijapur,Onion,200,2000,1200,2020-08-21
Bijapur,Bijapur,Onion,200,1500,800,2020-08-24
Bijapur,Bijapur,Onion,200,2000,1200,2020-08-31
Bijapur,Bijapur,Onion,300,2000,1400,2020-09-03
Bijapur,Bijapur,Onion,200,2000,1200,2020-09-07
Bijapur,Bijapur,Onion,200,2000,1400,2020-09-14
Bijapur,Bijapur,Onion,1000,3500,1800,2020-09-21
