district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Chamrajnagar,Gundlupet,Onion,1000,1000,1000,2020-03-12
Chamrajnagar,Gundlupet,Onion,2140,2140,2140,2020-04-20
Chamrajnagar,Gundlupet,Onion,1000,1000,1000,2020-05-23
Chamrajnagar,Gundlupet,Onion,1000,1000,1000,2020-06-10
Chamrajnagar,Chamaraj Nagar,Onion,1000,2500,1000,2020-06-12
Chamrajnagar,Gundlupet,Onion,2000,2000,2000,2020-06-19
Chamrajnagar,Chamaraj Nagar,Onion,600,1000,600,2020-06-19
Chamrajnagar,Gundlupet,Onion,1500,2000,1665,2021-10-29
Chamrajnagar,Gundlupet,Onion,1500,2000,1500,2021-11-12
Chamrajnagar,Gundlupet,Onion,2000,3000,2000,2021-12-03
Chamrajnagar,Gundlupet,Onion,850,1025,960,2022-06-27
Chamrajnagar,Gundlupet,Onion,950,950,950,2022-07-05
Chamrajnagar,Gundlupet,Onion,2500,4162,3330,2022-10-27
Chamrajnagar,Gundlupet,Onion,2000,2575,2500,2022-11-03
Chamrajnagar,Gundlupet,Onion,5000,5550,5000,2022-11-10
Chamrajnagar,Gundlupet,Onion,4750,6660,5550,2022-11-24
Chamrajnagar,Gundlupet,Onion,5000,6660,5550,2022-11-25
Chamrajnagar,Gundlupet,Onion,2830,3360,3330,2022-12-01
Chamrajnagar,Gundlupet,Onion,3710,5565,4770,2022-12-08
Chamrajnagar,Gundlupet,Onion,5120,5550,5120,2022-12-22
Chamrajnagar,Gundlupet,Onion,2783,3340,2783,2023-03-23
Chamrajnagar,Gundlupet,Onion,3850,6650,5550,2023-03-30
Chamrajnagar,Gundlupet,Onion,3820,8325,5550,2023-04-06
Chamrajnagar,Gundlupet,Onion,2500,4757,4166,2023-04-13
Chamrajnagar,Gundlupet,Onion,2776,3334,3207,2023-04-20
Chamrajnagar,Gundlupet,Onion,2500,3335,2777,2023-04-21
Chamrajnagar,Gundlupet,Onion,2500,5568,3333,2023-05-04
Chamrajnagar,Gundlupet,Onion,3710,5565,4175,2023-05-11
Chamrajnagar,Gundlupet,Onion,3710,4175,3710,2023-05-25
Chamrajnagar,Gundlupet,Onion,4165,4165,4165,2023-06-01
Chamrajnagar,Gundlupet,Onion,4175,5570,4175,2023-06-08
Chamrajnagar,Gundlupet,Onion,4160,4160,4160,2023-06-16
Chamrajnagar,Gundlupet,Onion,4162,5550,4757,2023-06-22
Chamrajnagar,Gundlupet,Onion,4760,4975,4800,2023-09-22
Chamrajnagar,Kollegal,Onion,3300,3300,3300,2023-10-17
Chamrajnagar,Gundlupet,Onion,5550,6660,6050,2023-10-27
Chamrajnagar,Gundlupet,Onion,3700,4755,4165,2023-11-03
Chamrajnagar,Gundlupet,Onion,4165,6660,5000,2023-11-10
Chamrajnagar,Gundlupet,Onion,1260,1600,1450,2024-02-08
Chamrajnagar,Gundlupet,Onion,2000,2000,2000,2024-03-26
Chamrajnagar,Gundlupet,Onion,2550,2550,2550,2024-04-16
Chamrajnagar,Gundlupet,Onion,3340,3340,3340,2024-06-10
Chamrajnagar,Gundlupet,Onion,2000,2000,2000,2024-07-09
Chamrajnagar,Gundlupet,Onion,2220,2780,2220,2024-07-10
Chamrajnagar,Gundlupet,Onion,2500,2500,2500,2024-07-12
Chamrajnagar,Gundlupet,Onion,2220,2220,2220,2024-07-15
Chamrajnagar,Gundlupet,Onion,2223,2223,2223,2024-07-16
Chamrajnagar,Gundlupet,Onion,2000,2380,2080,2024-07-18
Chamrajnagar,Gundlupet,Onion,1850,1850,1850,2024-07-19
Chamrajnagar,Gundlupet,Onion,2085,2085,2085,2024-07-22
Chamrajnagar,Gundlupet,Onion,2223,2223,2223,2024-07-23
Chamrajnagar,Gundlupet,Onion,1500,1800,1650,2024-07-24
Chamrajnagar,Gundlupet,Onion,2085,2085,2085,2024-07-25
Chamrajnagar,Gundlupet,Onion,1670,2220,1800,2024-07-29
Chamrajnagar,Gundlupet,Onion,1480,1960,1600,2024-07-31
Chamrajnagar,Gundlupet,Onion,1560,1850,1670,2024-08-06
Chamrajnagar,Gundlupet,Onion,1700,1700,1700,2024-08-07
Chamrajnagar,Gundlupet,Onion,1670,1670,1670,2024-08-09
Chamrajnagar,Gundlupet,Onion,2222,2222,2222,2024-08-13
Chamrajnagar,Gundlupet,Onion,1670,1850,1800,2024-08-14
Chamrajnagar,Gundlupet,Onion,1665,1852,1665,2024-08-16
Chamrajnagar,Gundlupet,Onion,1665,1665,1665,2024-08-21
Chamrajnagar,Gundlupet,Onion,1850,2080,1850,2024-08-22
Chamrajnagar,Gundlupet,Onion,1670,1670,1670,2024-08-23
Chamrajnagar,Gundlupet,Onion,1665,1665,1665,2024-08-26
Chamrajnagar,Gundlupet,Onion,1750,1750,1750,2024-08-29
Chamrajnagar,Gundlupet,Onion,2000,2000,2000,2024-09-30
