district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Chikmagalur,Bagepalli,Onion,5000,7000,6500,2020-01-01
Chikmagalur,Chikkamagalore,Onion,4500,4500,4500,2020-01-13
Chikmagalur,Kadur,Onion,2500,4000,3000,2020-01-14
Chikmagalur,Kadur,Onion,3478,4000,3750,2020-01-21
Chikmagalur,Kadur,Onion,3333,4000,3333,2020-01-28
Chikmagalur,Kadur,Onion,2666,3333,2857,2020-02-04
Chikmagalur,Kadur,Onion,2500,2962,2500,2020-02-10
Chikmagalur,Kadur,Onion,2500,2962,2962,2020-02-17
Chikmagalur,Chikkamagalore,Onion,2500,2500,2500,2020-02-17
Chikmagalur,Kadur,Onion,1428,1454,1428,2020-02-25
Chikmagalur,Chikkamagalore,Onion,2333,2333,2333,2020-03-02
Chikmagalur,Kadur,Onion,1333,1500,1428,2020-03-03
Chikmagalur,Kadur,Onion,1154,2000,1860,2020-03-09
Chikmagalur,Kadur,Onion,1000,2000,1702,2020-03-17
Chikmagalur,Bagepalli,Onion,1600,2500,2100,2020-03-23
Chikmagalur,Kadur,Onion,1000,1455,1000,2020-03-24
Chikmagalur,Kadur,Onion,1393,1600,1393,2020-03-27
Chikmagalur,Kadur,Onion,1153,1724,1548,2020-03-30
Chikmagalur,Chikkamagalore,Onion,1998,2398,2198,2020-03-30
Chikmagalur,Bagepalli,Onion,1500,2000,1850,2020-03-31
Chikmagalur,Chikkamagalore,Onion,2354,2754,2554,2020-03-31
Chikmagalur,Kadur,Onion,1428,1563,1428,2020-03-31
Chikmagalur,Kadur,Onion,1250,1473,1250,2020-04-01
Chikmagalur,Bagepalli,Onion,2000,3000,2400,2020-04-01
Chikmagalur,Chikkamagalore,Onion,2349,2749,2549,2020-04-01
Chikmagalur,Tarikere,Onion,1000,2000,1556,2020-04-02
Chikmagalur,Chikkamagalore,Onion,2500,2500,2500,2020-04-02
Chikmagalur,Kadur,Onion,1250,1500,1388,2020-04-02
Chikmagalur,Bagepalli,Onion,1400,1600,1500,2020-04-02
Chikmagalur,Tarikere,Onion,1200,1200,1200,2020-04-03
Chikmagalur,Kadur,Onion,1333,1428,1333,2020-04-03
Chikmagalur,Chikkamagalore,Onion,2058,2458,2258,2020-04-03
Chikmagalur,Kadur,Onion,1428,1428,1428,2020-04-04
Chikmagalur,Bagepalli,Onion,1800,2000,1850,2020-04-04
Chikmagalur,Chikkamagalore,Onion,2025,2425,2225,2020-04-04
Chikmagalur,Kadur,Onion,1428,1428,1428,2020-04-07
Chikmagalur,Chikkamagalore,Onion,2034,2434,2234,2020-04-07
Chikmagalur,Bagepalli,Onion,1900,2200,2000,2020-04-07
Chikmagalur,Tarikere,Onion,1200,1200,1200,2020-04-07
Chikmagalur,Bagepalli,Onion,1600,2000,1850,2020-04-08
Chikmagalur,Chikkamagalore,Onion,1830,2130,1930,2020-04-08
Chikmagalur,Kadur,Onion,1700,1700,1700,2020-04-09
Chikmagalur,Chikkamagalore,Onion,1770,2370,1970,2020-04-09
Chikmagalur,Bagepalli,Onion,1800,2000,1950,2020-04-09
Chikmagalur,Chikkamagalore,Onion,1875,2000,1944,2020-04-10
Chikmagalur,Bagepalli,Onion,1600,2400,2100,2020-04-11
Chikmagalur,Chikkamagalore,Onion,1818,2000,1905,2020-04-11
Chikmagalur,Chikkamagalore,Onion,1566,1766,1666,2020-04-12
Chikmagalur,Bagepalli,Onion,1800,2200,2000,2020-04-12
Chikmagalur,Bagepalli,Onion,1500,1800,1745,2020-04-13
Chikmagalur,Chikkamagalore,Onion,1538,1765,1648,2020-04-13
Chikmagalur,Kadur,Onion,1250,1428,1379,2020-04-13
Chikmagalur,Bagepalli,Onion,1800,2000,1900,2020-04-14
Chikmagalur,Chikkamagalore,Onion,1667,1667,1667,2020-04-14
Chikmagalur,Bagepalli,Onion,1900,2200,2000,2020-04-15
Chikmagalur,Kadur,Onion,1000,1500,1363,2020-04-15
Chikmagalur,Chikkamagalore,Onion,1429,1538,1515,2020-04-15
Chikmagalur,Bagepalli,Onion,1600,2400,1720,2020-04-16
Chikmagalur,Chikkamagalore,Onion,1316,1667,1471,2020-04-17
Chikmagalur,Kadur,Onion,1153,1250,1250,2020-04-17
Chikmagalur,Kadur,Onion,1153,1428,1300,2020-04-18
Chikmagalur,Chikkamagalore,Onion,1538,1667,1600,2020-04-18
Chikmagalur,Bagepalli,Onion,1600,2400,2050,2020-04-18
Chikmagalur,Bagepalli,Onion,1600,2000,1740,2020-04-19
Chikmagalur,Kadur,Onion,1000,1071,1000,2020-04-20
Chikmagalur,Chikkamagalore,Onion,1667,2222,1833,2020-04-20
Chikmagalur,Bagepalli,Onion,1400,1600,1550,2020-04-20
Chikmagalur,Chikkamagalore,Onion,1429,1538,1515,2020-04-21
Chikmagalur,Kadur,Onion,1071,1153,1071,2020-04-21
Chikmagalur,Bagepalli,Onion,1400,1600,1500,2020-04-21
Chikmagalur,Chikkamagalore,Onion,1000,1250,1076,2020-04-22
Chikmagalur,Kadur,Onion,1071,1071,1071,2020-04-22
Chikmagalur,Bagepalli,Onion,1400,1600,1500,2020-04-22
Chikmagalur,Kadur,Onion,1000,1000,1000,2020-04-23
Chikmagalur,Chikkamagalore,Onion,1111,1250,1136,2020-04-23
Chikmagalur,Bagepalli,Onion,1400,1800,1680,2020-04-23
Chikmagalur,Kadur,Onion,1000,1000,1000,2020-04-24
Chikmagalur,Chikkamagalore,Onion,1000,1250,1132,2020-04-24
Chikmagalur,Chikkamagalore,Onion,1000,1250,1111,2020-04-25
Chikmagalur,Bagepalli,Onion,1400,1800,1715,2020-04-25
Chikmagalur,Bagepalli,Onion,1400,1800,1655,2020-04-26
Chikmagalur,Chikkamagalore,Onion,1250,1250,1250,2020-04-26
Chikmagalur,Kadur,Onion,1000,1071,1000,2020-04-27
Chikmagalur,Bagepalli,Onion,1400,1800,1740,2020-04-27
Chikmagalur,Chikkamagalore,Onion,1250,1333,1264,2020-04-27
Chikmagalur,Tarikere,Onion,1500,1500,1500,2020-04-27
Chikmagalur,Bagepalli,Onion,1400,1800,1650,2020-04-28
Chikmagalur,Chikkamagalore,Onion,1000,1250,1154,2020-04-28
Chikmagalur,Chikkamagalore,Onion,1000,1250,1038,2020-04-29
Chikmagalur,Bagepalli,Onion,1400,1800,1655,2020-04-30
Chikmagalur,Chikkamagalore,Onion,1000,1111,1053,2020-04-30
Chikmagalur,Chikkamagalore,Onion,952,952,952,2020-05-01
Chikmagalur,Bagepalli,Onion,1400,1800,1650,2020-05-02
Chikmagalur,Chikkamagalore,Onion,1000,1000,1000,2020-05-02
Chikmagalur,Chikkamagalore,Onion,1000,1000,1000,2020-05-03
Chikmagalur,Bagepalli,Onion,1300,1700,1545,2020-05-03
Chikmagalur,Bagepalli,Onion,1200,1700,1535,2020-05-04
Chikmagalur,Kadur,Onion,1000,1000,1000,2020-05-04
Chikmagalur,Chikkamagalore,Onion,909,1000,976,2020-05-04
Chikmagalur,Bagepalli,Onion,1400,1600,1450,2020-05-05
Chikmagalur,Kadur,Onion,1000,1000,1000,2020-05-05
Chikmagalur,Chikkamagalore,Onion,1000,1000,1000,2020-05-05
Chikmagalur,Chikkamagalore,Onion,1000,1000,1000,2020-05-06
Chikmagalur,Bagepalli,Onion,1200,1800,1650,2020-05-06
Chikmagalur,Bagepalli,Onion,1200,1500,1320,2020-05-07
Chikmagalur,Chikkamagalore,Onion,1000,1000,1000,2020-05-09
Chikmagalur,Bagepalli,Onion,1400,1900,1725,2020-05-09
Chikmagalur,Chikkamagalore,Onion,1000,1111,1086,2020-05-10
Chikmagalur,Bagepalli,Onion,1400,1600,1500,2020-05-10
Chikmagalur,Chikkamagalore,Onion,840,1000,968,2020-05-11
Chikmagalur,Bagepalli,Onion,1400,1800,1620,2020-05-11
Chikmagalur,Bagepalli,Onion,1200,1600,1350,2020-05-12
Chikmagalur,Chikkamagalore,Onion,1000,1200,1050,2020-05-12
Chikmagalur,Bagepalli,Onion,1000,1400,1200,2020-05-13
Chikmagalur,Chikkamagalore,Onion,1000,1212,1031,2020-05-13
Chikmagalur,Chikkamagalore,Onion,1018,1200,1157,2020-05-14
Chikmagalur,Chikkamagalore,Onion,1000,1200,1100,2020-05-15
Chikmagalur,Chikkamagalore,Onion,996,1200,1009,2020-05-16
Chikmagalur,Bagepalli,Onion,1200,1800,1615,2020-05-17
Chikmagalur,Bagepalli,Onion,1200,1800,1550,2020-05-18
Chikmagalur,Chikkamagalore,Onion,1200,1200,1200,2020-05-18
Chikmagalur,Chikkamagalore,Onion,1000,1200,1100,2020-05-19
Chikmagalur,Bagepalli,Onion,1100,1300,1200,2020-05-19
Chikmagalur,Chikkamagalore,Onion,1000,1213,1061,2020-05-20
Chikmagalur,Bagepalli,Onion,1200,1400,1270,2020-05-21
Chikmagalur,Chikkamagalore,Onion,1000,1200,1069,2020-05-21
Chikmagalur,Chikkamagalore,Onion,1200,1200,1200,2020-05-22
Chikmagalur,Bagepalli,Onion,1200,1400,1300,2020-05-23
Chikmagalur,Chikkamagalore,Onion,1000,1200,1100,2020-05-23
Chikmagalur,Chikkamagalore,Onion,1200,1200,1200,2020-05-24
Chikmagalur,Chikkamagalore,Onion,1000,1400,1200,2020-05-26
Chikmagalur,Bagepalli,Onion,1200,1400,1300,2020-05-26
Chikmagalur,Chikkamagalore,Onion,1200,1200,1200,2020-05-27
Chikmagalur,Bagepalli,Onion,1200,1500,1350,2020-05-28
Chikmagalur,Chikkamagalore,Onion,1200,1200,1200,2020-05-28
