district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Davangere,Davangere,Onion,1000,7000,4000,2020-01-01
Davangere,Davangere,Onion,1000,6500,3750,2020-01-02
Davangere,Davangere,Onion,1000,6500,3750,2020-01-03
Davangere,Davangere,Onion,1000,6500,3750,2020-01-04
Davangere,Davangere,Onion,2000,6500,4250,2020-01-06
Davangere,Davangere,Onion,1000,7000,4000,2020-01-07
Davangere,Davangere,Onion,1000,6700,3850,2020-01-08
Davangere,Davangere,Onion,1000,6500,3750,2020-01-09
Davangere,Davangere,Onion,1000,6500,3750,2020-01-10
Davangere,Davangere,Onion,500,5500,3000,2020-01-13
Davangere,Davangere,Onion,500,4400,2250,2020-01-14
Davangere,Davangere,Onion,500,4000,2250,2020-01-16
Davangere,Davangere,Onion,500,4500,2500,2020-01-17
Davangere,Davangere,Onion,500,5700,3100,2020-01-18
Davangere,Davangere,Onion,500,5700,3100,2020-01-20
Davangere,Davangere,Onion,500,6000,3250,2020-01-21
Davangere,Davangere,Onion,2000,5000,4000,2020-01-22
Davangere,Davangere,Onion,1500,5000,3000,2020-01-23
Davangere,Davangere,Onion,2000,4000,3000,2020-01-24
Davangere,Davangere,Onion,500,3500,2000,2020-01-27
Davangere,Davangere,Onion,1000,3100,2050,2020-01-28
Davangere,Davangere,Onion,1000,3500,2250,2020-01-29
Davangere,Davangere,Onion,1000,3800,2700,2020-01-30
Davangere,Davangere,Onion,1000,3600,2300,2020-01-31
Davangere,Davangere,Onion,1000,3300,2150,2020-02-01
Davangere,Davangere,Onion,1000,3000,2800,2020-02-03
Davangere,Davangere,Onion,1000,3000,2000,2020-02-04
Davangere,Davangere,Onion,500,3000,1750,2020-02-05
Davangere,Davangere,Onion,500,3000,1750,2020-02-06
Davangere,Davangere,Onion,500,2200,1350,2020-02-07
Davangere,Davangere,Onion,500,2500,1500,2020-02-10
Davangere,Davangere,Onion,500,2800,1650,2020-02-11
Davangere,Davangere,Onion,500,2800,1650,2020-02-12
Davangere,Davangere,Onion,500,2200,1350,2020-02-13
Davangere,Davangere,Onion,500,2300,1400,2020-02-15
Davangere,Davangere,Onion,600,2200,1400,2020-02-17
Davangere,Davangere,Onion,500,1900,1200,2020-02-18
Davangere,Davangere,Onion,600,2000,1300,2020-02-19
Davangere,Davangere,Onion,600,2100,1350,2020-02-20
Davangere,Davangere,Onion,500,2900,1700,2020-02-24
Davangere,Davangere,Onion,500,2800,1650,2020-02-25
Davangere,Davangere,Onion,500,2500,1500,2020-02-26
Davangere,Davangere,Onion,500,2300,1400,2020-02-27
Davangere,Davangere,Onion,500,2100,1300,2020-02-28
Davangere,Davangere,Onion,500,2100,1300,2020-02-29
Davangere,Davangere,Onion,1000,2000,1500,2020-03-02
Davangere,Davangere,Onion,500,1900,1200,2020-03-05
Davangere,Davangere,Onion,500,2000,1250,2020-03-06
Davangere,Davangere,Onion,500,2000,1250,2020-03-07
Davangere,Davangere,Onion,500,2000,1250,2020-03-09
Davangere,Davangere,Onion,500,2100,1300,2020-03-10
Davangere,Davangere,Onion,500,2100,1300,2020-03-11
Davangere,Davangere,Onion,500,2000,1250,2020-03-12
Davangere,Davangere,Onion,500,2000,1250,2020-03-13
Davangere,Davangere,Onion,500,1700,1100,2020-03-16
Davangere,Davangere,Onion,400,1500,950,2020-03-18
Davangere,Davangere,Onion,300,1500,900,2020-03-19
Davangere,Davangere,Onion,300,1300,800,2020-03-20
Davangere,Davangere,Onion,400,1500,950,2020-03-21
Davangere,Davangere,Onion,800,1800,1300,2020-03-23
Davangere,Davangere,Onion,1100,2200,1600,2020-03-31
Davangere,Davangere,Onion,500,1600,1050,2020-04-01
Davangere,Davangere,Onion,1000,1900,1450,2020-04-02
Davangere,Davangere,Onion,400,1500,1100,2020-04-03
Davangere,Davangere,Onion,500,1400,1050,2020-04-04
Davangere,Davangere,Onion,600,1400,1000,2020-04-07
Davangere,Davangere,Onion,400,1200,900,2020-04-08
Davangere,Davangere,Onion,300,1200,750,2020-04-09
Davangere,Davangere,Onion,400,1250,850,2020-04-10
Davangere,Davangere,Onion,300,1200,800,2020-04-11
Davangere,Davangere,Onion,600,1350,1020,2020-04-13
Davangere,Davangere,Onion,300,1350,900,2020-04-14
Davangere,Davangere,Onion,300,1250,800,2020-04-15
Davangere,Davangere,Onion,300,1200,800,2020-04-16
Davangere,Davangere,Onion,300,1100,750,2020-04-17
Davangere,Davangere,Onion,300,1100,750,2020-04-18
Davangere,Davangere,Onion,300,1100,700,2020-04-20
Davangere,Davangere,Onion,100,900,700,2020-04-21
Davangere,Davangere,Onion,100,1000,700,2020-04-22
Davangere,Davangere,Onion,200,1100,700,2020-04-23
Davangere,Davangere,Onion,300,1100,700,2020-04-24
Davangere,Davangere,Onion,200,1000,700,2020-04-25
Davangere,Davangere,Onion,10000,16000,12000,2020-04-27
Davangere,Davangere,Onion,200,1100,700,2020-04-28
Davangere,Davangere,Onion,200,1100,700,2020-04-29
Davangere,Davangere,Onion,200,1100,700,2020-04-30
Davangere,Davangere,Onion,300,1200,750,2020-05-01
Davangere,Davangere,Onion,200,1100,700,2020-05-02
Davangere,Davangere,Onion,200,1100,700,2020-05-04
Davangere,Davangere,Onion,200,1000,600,2020-05-05
Davangere,Davangere,Onion,200,1000,700,2020-05-06
Davangere,Davangere,Onion,200,1000,700,2020-05-07
Davangere,Davangere,Onion,200,1000,700,2020-05-08
Davangere,Davangere,Onion,200,900,700,2020-05-09
Davangere,Davangere,Onion,200,1000,700,2020-05-11
Davangere,Davangere,Onion,200,1000,700,2020-05-12
Davangere,Davangere,Onion,200,1000,700,2020-05-13
Davangere,Davangere,Onion,200,1000,700,2020-05-14
Davangere,Davangere,Onion,200,1000,700,2020-05-15
Davangere,Davangere,Onion,200,1000,650,2020-05-16
Davangere,Davangere,Onion,200,1000,650,2020-05-18
Davangere,Davangere,Onion,200,1000,650,2020-05-19
Davangere,Davangere,Onion,200,1000,650,2020-05-20
Davangere,Davangere,Onion,200,900,600,2020-05-21
Davangere,Davangere,Onion,200,900,600,2020-05-22
Davangere,Davangere,Onion,200,900,600,2020-05-23
Davangere,Davangere,Onion,200,900,650,2020-05-26
Davangere,Davangere,Onion,200,900,650,2020-05-27
Davangere,Davangere,Onion,200,1000,700,2020-05-28
Davangere,Davangere,Onion,200,1000,700,2020-05-29
