district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Dharwad,Hubli (Amaragol),Onion,1500,6000,4000,2020-01-01
Dharwad,Hubli (Amaragol),Onion,1000,6000,3600,2020-01-01
Dharwad,Hubli (Amaragol),Onion,5200,5200,5200,2020-01-01
Dharwad,Hubli (Amaragol),Onion,1500,5500,3300,2020-01-02
Dharwad,Hubli (Amaragol),Onion,1000,4100,2600,2020-01-02
Dharwad,Hubli (Amaragol),Onion,1000,4700,2650,2020-01-03
Dharwad,Hubli (Amaragol),Onion,1000,4150,2400,2020-01-03
Dharwad,Hubli (Amaragol),Onion,1500,5500,3400,2020-01-03
Dharwad,Hubli (Amaragol),Onion,1500,5500,3300,2020-01-04
Dharwad,Hubli (Amaragol),Onion,1000,5100,2700,2020-01-04
Dharwad,Hubli (Amaragol),Onion,1000,5000,3000,2020-01-06
Dharwad,Hubli (Amaragol),Onion,1000,4700,2700,2020-01-06
Dharwad,Hubli (Amaragol),Onion,1500,5500,3500,2020-01-06
Dharwad,Hubli (Amaragol),Onion,1500,5500,3300,2020-01-07
Dharwad,Hubli (Amaragol),Onion,1000,5000,3000,2020-01-07
Dharwad,Hubli (Amaragol),Onion,4500,4500,4500,2020-01-07
Dharwad,Hubli (Amaragol),Onion,1000,4800,2800,2020-01-07
Dharwad,Hubli (Amaragol),Onion,1000,4000,2500,2020-01-09
Dharwad,Hubli (Amaragol),Onion,1000,5500,3500,2020-01-09
Dharwad,Hubli (Amaragol),Onion,1000,5000,2800,2020-01-09
Dharwad,Hubli (Amaragol),Onion,1500,5100,3000,2020-01-10
Dharwad,Hubli (Amaragol),Onion,1000,4600,2800,2020-01-10
Dharwad,Hubli (Amaragol),Onion,2600,2600,2600,2020-01-10
Dharwad,Hubli (Amaragol),Onion,1000,4000,2300,2020-01-11
Dharwad,Hubli (Amaragol),Onion,1000,3800,2200,2020-01-11
Dharwad,Hubli (Amaragol),Onion,1000,4500,2800,2020-01-11
Dharwad,Hubli (Amaragol),Onion,1000,4000,2600,2020-01-13
Dharwad,Hubli (Amaragol),Onion,500,3710,2200,2020-01-13
Dharwad,Hubli (Amaragol),Onion,700,3100,2000,2020-01-13
Dharwad,Hubli (Amaragol),Onion,500,3000,1800,2020-01-14
Dharwad,Hubli (Amaragol),Onion,1000,4100,2400,2020-01-14
