district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Gadag,Gadag,Onion,300,1500,600,2020-01-01
Gadag,Gadag,Onion,1500,5000,2000,2020-01-01
Gadag,Gadag,Onion,1500,5000,2000,2020-01-02
Gadag,Gadag,Onion,300,1500,600,2020-01-02
Gadag,Gadag,Onion,300,1500,500,2020-01-06
Gadag,Gadag,Onion,1500,4000,2000,2020-01-06
Gadag,Gadag,Onion,500,4500,2000,2020-01-07
Gadag,Gadag,Onion,2100,2500,2200,2020-04-01
Gadag,Gadag,Onion,2200,2600,2300,2020-04-02
Gadag,Gadag,Onion,2500,3000,2500,2020-04-04
Gadag,Gadag,Onion,2500,2800,2600,2020-04-05
Gadag,Gadag,Onion,2700,3000,2800,2020-04-06
Gadag,Gadag,Onion,800,1800,1500,2020-04-08
Gadag,Gadag,Onion,1000,2500,1900,2020-04-12
Gadag,Gadag,Onion,1000,2500,1900,2020-04-15
Gadag,Gadag,Onion,1200,3000,2000,2020-04-17
Gadag,Gadag,Onion,300,1300,800,2020-04-19
Gadag,Gadag,Onion,200,1200,900,2020-04-21
Gadag,Gadag,Onion,200,1200,1000,2020-04-23
Gadag,Gadag,Onion,200,2000,1500,2020-04-25
Gadag,Gadag,Onion,1500,2500,1800,2020-04-27
Gadag,Gadag,Onion,200,1200,1000,2020-04-29
Gadag,Gadag,Onion,200,1200,1000,2020-05-01
Gadag,Gadag,Onion,800,2500,1200,2020-05-03
Gadag,Gadag,Onion,200,1200,1000,2020-05-05
Gadag,Gadag,Onion,200,1200,1100,2020-05-07
Gadag,Gadag,Onion,200,1200,1000,2020-05-09
Gadag,Gadag,Onion,200,1000,800,2020-05-11
Gadag,Gadag,Onion,1000,1200,1100,2020-05-13
Gadag,Gadag,Onion,500,1300,1200,2020-05-15
Gadag,Gadag,Onion,300,1000,900,2020-05-17
Gadag,Gadag,Onion,300,1000,800,2020-05-19
Gadag,Gadag,Onion,500,1000,900,2020-05-21
