district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Hassan,Hassan,Onion,2000,6000,4000,2020-01-01
Hassan,Hassan,Onion,2000,6400,5500,2020-01-02
Hassan,Hassan,Onion,2000,5500,4000,2020-01-03
Hassan,Arasikere,Onion,3000,3000,3000,2020-01-07
Hassan,Hassan,Onion,1500,5000,3000,2020-01-08
Hassan,Channarayapatna,Onion,2800,2800,2800,2020-01-10
Hassan,Hassan,Onion,1500,5000,4291,2020-01-10
Hassan,Hassan,Onion,1500,4000,3295,2020-01-13
Hassan,Hassan,Onion,1500,4500,2760,2020-01-14
Hassan,Hassan,Onion,1500,4500,3395,2020-01-16
Hassan,Hassan,Onion,1500,5000,3444,2020-01-20
Hassan,Hassan,Onion,1500,5000,3408,2020-01-21
Hassan,Hassan,Onion,1600,4200,2500,2020-01-22
Hassan,Hassan,Onion,1000,4000,3600,2020-01-24
Hassan,Hassan,Onion,1500,3500,3395,2020-01-27
Hassan,Arasikere,Onion,2000,2000,2000,2020-01-28
Hassan,Channarayapatna,Onion,3800,3800,3800,2020-01-28
Hassan,Hassan,Onion,1000,3500,2578,2020-01-29
Hassan,Arasikere,Onion,4000,4000,4000,2020-01-29
Hassan,Hassan,Onion,1000,3000,3000,2020-01-30
Hassan,Channarayapatna,Onion,2600,2600,2600,2020-02-01
Hassan,Arasikere,Onion,3127,3127,3127,2020-02-01
Hassan,Hassan,Onion,2415,3320,2415,2020-02-04
Hassan,Hassan,Onion,1000,2500,2065,2020-02-05
Hassan,Hassan,Onion,2422,2422,2422,2020-02-06
Hassan,Arasikere,Onion,400,400,400,2020-02-07
Hassan,Hassan,Onion,2060,2600,2500,2020-02-11
Hassan,Hassan,Onion,1000,2000,1507,2020-02-12
Hassan,Hassan,Onion,980,2000,1495,2020-02-13
Hassan,Arasikere,Onion,1200,1200,1200,2020-02-14
Hassan,Hassan,Onion,2250,2290,2290,2020-02-17
Hassan,Hassan,Onion,1085,1855,1742,2020-02-19
Hassan,Hassan,Onion,1928,1928,1928,2020-02-20
Hassan,Hassan,Onion,1573,2046,1972,2020-02-24
Hassan,Arasikere,Onion,1500,1500,1500,2020-02-25
Hassan,Channarayapatna,Onion,2500,2500,2500,2020-02-26
Hassan,Hassan,Onion,1155,2394,1725,2020-02-26
Hassan,Hassan,Onion,1802,2025,1929,2020-02-27
Hassan,Hassan,Onion,1813,1813,1813,2020-02-29
Hassan,Hassan,Onion,756,1855,1236,2020-03-04
Hassan,Hassan,Onion,1721,1721,1721,2020-03-05
Hassan,Hassan,Onion,1609,1669,1669,2020-03-10
Hassan,Hassan,Onion,1292,2048,1682,2020-03-11
Hassan,Hassan,Onion,1570,1967,1615,2020-03-12
Hassan,Arasikere,Onion,1000,1000,1000,2020-03-12
Hassan,Arasikere,Onion,1500,1500,1500,2020-03-16
Hassan,Hassan,Onion,677,1762,1358,2020-03-18
Hassan,Hassan,Onion,925,1761,1761,2020-03-19
Hassan,Hassan,Onion,1613,1613,1613,2020-03-20
Hassan,Hassan,Onion,1200,2200,1600,2020-03-26
Hassan,Hassan,Onion,951,2500,2200,2020-03-27
Hassan,Channarayapatna,Onion,500,1000,1000,2020-03-29
Hassan,Hassan,Onion,1500,2600,1800,2020-03-30
